"Date Range: Aug 1, 2026 - Aug 4, 2026"
"Locations: All locations"
Type,"Part #",Description,Category,Vendor,Location,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,052-1544-6,"FEMALE PLUG END 15A","HD-Misc / Other",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,052-4234-06,"Outdoor Outlet w/ Cover",Off-Road,"Tiline Management","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,052-8337-8,"20A MALE PLUG","HD-Misc / Other",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,052-8338-6,"20A FEMALE PLUG END","HD-Misc / Other",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,06-35209-000,"HIGH PRESSURE SWITCH, AC DUAL FUNCTION","HD-Cooling & HVAC",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,06-39681-000,"BATTERY HOLD-DOWN FASTNERS",HD-Fasteners,"Enson Forestry","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,0619455,SEAL-O-RING,"HD-Engine Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,0
Inventory,065145-G,"BOBTAIL VALVE","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,2
Inventory,065145-G,"BOBTAIL VALVE","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,065159-G,"MV-3 Park Brake Valve, 1/4"" NPT Ports","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,065159-G,"MV-3 Park Brake Valve, 1/4"" NPT Ports","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,2
Inventory,065160-G,"DASH VALVE (3) W/AUX. PORT (80","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,065206-G,"RELAY VALVE (12)","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,065206-G,"RELAY VALVE (12)","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,1
Inventory,065225-G,"AIR DRYER, AD-9 (W/ BRACKET & WIRE HARNESS)","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,07-150,"1/4x50 TYGON FUEL LINE","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"434 days",35.00,0.00,0,0
Inventory,07-152,"3/16 TYGON FUEL LINE","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"97 days",42.00,0.00,0,0
Inventory,07-23445-000,"Oil Cooler Hose","HD-Drive Train","Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,07158583010FTG,"DEF COOLANT LINE FITTING (90 DEGREE, 8-3/8"")",HD-Emissions,"Keman Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"495 days",1.00,0.00,0,0
Inventory,07493,"STANLEY HH ORING PLUG, MALE","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,077038,"Slider, Walk Ramp","HD-Truck Accessories",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,08-02794,"AIR TANK BRACKETS","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,0
Inventory,08-130301,"BRAKE CAM KIT","HD-Heavy Duty Brake Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,08-130311,"CAM KIT","HD-Heavy Duty Brake Comp",—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,090-167,"Drain Plug w/Gasket, M18x1.50","HD-Engine Comp","Baplains Solutions","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"125 days",3.00,0.00,0,1
Inventory,091417,"RUBBER BUSHING","HD-Trailer Comp","Hofalls Landscaping","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,9.00,0.00,4,8
Inventory,092-028,"7/8"" NF HEX NUT",HD-Fasteners,"Weriver Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,0
Inventory,0937521,"Hydraulic Filter (093-7521, HF35018, P553148, 51621, BT305)",HD-Filters,"Figrove Apparel","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"251 days",2.00,0.00,0,1
Inventory,095.421,"TORQUE ROD","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,"1 1/8 x 8"" Gr8 Bolt","1 1/8 x 8"" Gr8 Bolt",HD-Fasteners,"Gipoint Motors","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,3.00,0.00,—,—
Inventory,"1-1/4""SCH40","1-1/4"" Schedule 40 Pipe","HD-Fabrication & Building","Faburg Concrete","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,6.00,0.00,0,0
Inventory,1-1/8STOVER,"1-1/8"" NC Stover Nut ",Uncategorized,"Gipoint Motors","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,3.00,0.00,—,—
Inventory,1-82119-119-0,"ADJUSTER SCREW",HD-Fasteners,—,"Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,"1""  WELD ON D RING","D RING ASSY. 1""","HD-Trailer Comp","Boside Forestry","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,"1/2""-SCH40","1/2"" Hollow Bar","HD-Fabrication & Building","Faburg Concrete","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,9.00,0.00,0,0
Inventory,1/4x2FS,"1/4"" x 2"" Flat Steel",Uncategorized,"Faburg Concrete","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,10.00,0.00,—,—
Inventory,10-18150-06P,"CUMMINS 5.9","HD-Hose & Fittings","Teline Rentals","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,10-22150-11,"FEMCO DRAIN PLUG ISB/MERC 900","HD-Engine Comp",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,10-27200-01,"FEMCO DRAIN PLUG DD13/15/16","HD-Engine Comp",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"119 days",8.00,0.00,0,0
Inventory,10-27200-02,"Cummins ISX/X15 Femco Drain Plug","HD-Engine Comp","Enson Forestry","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"193 days",3.00,0.00,0,0
Inventory,"10'X2""X10""","10'X2""X10"" BOARD","HD-Fabrication & Building","Duhaven Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,100-073,"BRIGGS & STRATTON AIR FILTER (393957S, 42291)",HD-Filters,"Oowell Services","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
Inventory,100.1308.30,"BRAKE KIT ","HD-Heavy Duty Brake Comp",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,12.00,0.00,0,0
Inventory,100.1308.30,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,12.00,0.00,0,0
Inventory,100.4515.21,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"563 days",9.00,0.00,0,0
Inventory,100.4515.21,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,9.00,0.00,0,0
Inventory,100.4515.22,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,10.00,0.00,0,0
Inventory,100.4515.32,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"195 days",2.00,0.00,0,0
Inventory,100.4515.32,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,0,0
Inventory,100.4515.51,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,6.00,0.00,0,0
Inventory,100.4515.51,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"215 days",1.00,0.00,0,0
Inventory,100.4524.11,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,9.00,0.00,0,0
Inventory,100.4527.10,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,4.00,0.00,1,0
Inventory,100.4702.10,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,6.00,0.00,0,0
Inventory,100.4702.10,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"307 days",5.00,0.00,0,0
Inventory,100.4709.11,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,12.00,0.00,0,0
Inventory,100.4709.11,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,8.00,0.00,0,0
Inventory,100.4719.10,"BRAKE KIT (E10760, R507094)","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,5.00,0.00,0,0
Inventory,100.4719.11,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"101 days",8.00,0.00,0,0
Inventory,100.4719.11,"BRAKE KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,10.00,0.00,0,0
Inventory,100.4729.10,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,1,3
Inventory,100.4729.10,"BRAKE KIT ","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,10000107,"PUSH ROD THIMBLE","HD-Trailer Comp",—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,1000012572,"Cabin Air Filter, Paccar",HD-Filters,"Keman Electrical","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"297 days",3.00,0.00,1,2
Inventory,100010,"OIL FILTER WIXWL10010",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"376 days",14.00,0.00,1,2
Inventory,1000119485,"1/4""X4'X8' PLYWOOD","HD-Trailer Comp","Tepark Towing","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,6.00,0.00,0,0
Inventory,1000173237,"3/8"" 4'x8' PLYWOOD SHEET","HD-Fabrication & Building","Tepark Towing","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,100050,"OIL FILTER",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"130 days",4.00,0.00,1,2
Inventory,10006555,"CONTACT BRUSH HOEN ASSY (HORN PINS)","HD-Body Interior","Vaboro Plumbing","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,2.00,0.00,0,0
Inventory,1000789781,"2x6x10' Board","HD-Trailer Comp","Tepark Towing","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"285 days",1.00,0.00,0,0
Inventory,100164,"OIL FILTER",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,3.00,0.00,1,1
Inventory,10019845,"WHEEL STUD (201.6047)","HD-Wheel Comp","Iview Commercial","Staging Heavy Duty - 9919",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,19.00,0.00,0,0
Inventory,100255,"OIL FILTER WIXWL10255",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"52 days",2.00,0.00,1,2
Inventory,100454,"OIL FILTER WIX -WL10454",HD-Filters,—,"Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,"215 days",3.00,0.00,1,2
Inventory,101112-G,"SPRING BRAKE RELAY VALVE (SR-4)","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,0,—,1.00,0.00,0,0
