category,case_id,link,title,section,reason,how
Parts delete / restock detail-page affordance (not reachable in the harness),26419,https://shopview.testrail.io/index.php?/cases/view/26419,Returning a part to inventory (restocking) is controlled by Vendor and order management,Parts Department Permissions (3538),restocking (return part to inventory) control not reached — needs a WO/PO with a picked part to exercise the return-to-inventory action gated by Vendor and order management.,"On a work order or purchase order that has a picked part, confirm the return-to-inventory (restock) action is controlled by Vendor and order management."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),26379,https://shopview.testrail.io/index.php?/cases/view/26379,The Review work orders sub-toggle controls the Review action on work orders,Work Orders Permissions (3534),with woReviewWorkOrders the WO/line showed no explicit Review/Approve action (header menu: Audit Log/Add Fee-Discount; line menu: Add line note/Story history/Audit log). The Review action likely requires a submitted line-authorization state to appear; needs seeding that authorization workflow to show toggle on vs off.,"First put a work order line into the submitted/awaiting-review state. Then, with the 'Review work orders' sub-toggle ON, confirm the Review action appears; with it OFF, confirm it is hidden."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),26380,https://shopview.testrail.io/index.php?/cases/view/26380,"Pick parts needs only Work orders View, not Create & Edit",Work Orders Permissions (3534),"Technician (woPickParts + WO View, no C&E) shows Complete/Start on lines but no Pick action was visible on the test WO (parts already picked/requested). Needs a seeded pending pickable part-request state to display and exercise the Pick action.","On a work order that has a pending part request to pick, give a test user Work orders View + Pick parts (no Create & Edit) and confirm they can pick the parts."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),26391,https://shopview.testrail.io/index.php?/cases/view/26391,Work order lines Delete allows removing lines,Work Order Lines Permissions (3535),WOL Delete role shows line-selection checkboxes but no line delete/remove button was exposed (selecting a line revealed no bulk-delete control; no per-line delete icon). Line-delete affordance not reachable in the harness; needs the expanded-line editor delete control or the line-delete endpoint confirmed.,"Give a test user Work order lines Delete. On a work order, confirm they can remove a line."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),27866,https://shopview.testrail.io/index.php?/cases/view/27866,A default Technician (with Work order lines Create & Edit) can bulk-complete another tech's line via Set Line Status,Work Order Lines Permissions (3535),needs multiple lines assigned to a DIFFERENT technician plus the Set Line Status bulk control; Set Line Status was not present on the test WO for the Technician role. Requires seeding another tech-s lines + reaching the bulk Set Line Status action.,"Seed a work order with lines assigned to a DIFFERENT technician. With a default Technician role (Work order lines Create & Edit), confirm they can bulk-complete those lines via 'Set Line Status'."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),27870,https://shopview.testrail.io/index.php?/cases/view/27870,Work order lines Create & Edit lets the user mark a core OK/Not-OK and add line history,Work Order Lines Permissions (3535),needs a work order line with a cored part to expose the core OK/Not-OK control; no cored-part line was present on the test WOs. Requires seeding a core part on a line (New Part Request with a cored catalog PN) then observe the core control + line history for a WOL C&E role.,"Seed a work order line with a cored part (use New Part Request with a cored catalog part number). With Work order lines Create & Edit, confirm the user can mark the core OK / Not-OK and see the line history."
Seeded work-order line-state operations (review / pick / core / set-line-status / line-delete / qty),29435,https://shopview.testrail.io/index.php?/cases/view/29435,A Pick/Order Parts role can edit the Quantity on the Part Requests tab,Work Orders Permissions (3534),"the Part Requests tab (Order-Parts role) shows a Quantity column, but the inline quantity-edit interaction could not be triggered in this harness (cell-click did not open an editable input). Needs manual confirm that qty is editable.","On the Part Requests tab, with a Pick/Order Parts role, confirm the Quantity value can be edited inline."
Tech-view parts-request form field count (needs a real browser),26460,https://shopview.testrail.io/index.php?/cases/view/26460,Tech view: the parts request form shows fewer fields,View Mode (3543),needs the New Part Request form opened in tech view vs full view to compare field counts; the lines screen is drivable but the request-form modal step was not reached this pass.,"Open the New Part Request form once in tech view and once in full view, and confirm the tech view shows fewer fields."
Last-Administrator guard (shared org has 89 admins — cannot create the last-admin state),26550,https://shopview.testrail.io/index.php?/cases/view/26550,The last Administrator cannot be left with zero users,Cross-Permission Combinations (3553),"cannot test the last-Administrator guard on shared staging — the org has 89 users on the Admin role, so the single-last-admin state cannot be created without mass-reassigning real users (destructive/irreversible on a shared env). Product rule; needs an isolated org or DB-level setup. Route to product team to confirm the rule exists.",Needs an isolated org (not shared staging). Try to remove or reassign the last remaining Administrator and confirm the system blocks leaving zero Administrators. Route to the product team to confirm the rule exists.
Migration (needs a pre-migration org with a legacy Owner user),27731,https://shopview.testrail.io/index.php?/cases/view/27731,Legacy 'Owner' users become 'Administrator' after migration (Owner merged into Admin),Migration (3549),,"Needs a pre-migration org that has a legacy 'Owner' user. After migration, confirm the Owner user becomes an 'Administrator' (Owner merged into Admin)."
