Case ID,Section,Title,Status,Type,Expected,Actual,Reason,Logged_to_TestRail
26319,Roles List Page,Roles list shows a 'Template' column (per SV-7499 description),Passed,,"A 'Template' column is present; system rows show their own template, custom rows show the source system template","A 'Template' column IS present (not missing, so no bug to file per Step 4). System role rows show their own name as template (e.g. Admin->Admin, Technician->Technician). Custom role rows show the source template they were created from (e.g. 'Mudassir Test Role 6'->Sales Representative, 'Mudassir Test Role 3'->Office); some older customs show 'Custom'. Note: actual column order is Role Name, Description, Template, Role Type, Users, Action - Description and Type are ordered differently than the Step-1 order in the case, but the Template column exists with correct values.","Template column present with correct system/custom values, satisfying the SV-7499 requirement (Step 4 bug not needed). Minor column-order wording discrepancy noted.",Yes
26320,Roles List Page,Each of the 11 system roles shows its canonical description,Passed,,11 system roles; descriptions match the canonical spec strings,"11 system roles present. Descriptions match canonical: Admin 'Full system access'; Service Manager 'Full operational access, limited admin (App Settings + Wages only)'; Senior Service Advisor 'Work order and customer management with expanded access'; Service Advisor 'Work order and customer management with invoicing access'; Foreman 'Oversees technicians and work orders'; Technician 'Assigned work orders and time tracking (Tech View)'; Parts Manager 'Full parts and inventory control'; Parts Tech 'Parts operations and vendor management'; Office 'Office administration, reporting, and back-office operations'; Sales Representative 'Reports and financial data access only'; Time Clock 'Clock in/out only'.",Matches expected: 11 roles with canonical descriptions.,Yes
26321,Roles List Page,Custom role with no description shows a literal '-',Passed,,Blank-description custom role shows a literal hyphen '-' in the Description column,"Custom roles with no admin-entered description show a literal '-' in the Description column (e.g. 'Mudassir Test Role 6', 'A - Custom', 'Milos Testing Role', 'Mudassir Test Role 1' all show '-'), while custom roles with a description show their text.",Matches expected.,Yes
26322,Roles List Page,Editable system-role three-dot menu exposes only 'View Permissions' (no Duplicate),Passed,,Editable system-role three-dot menu contains only 'View Permissions'; no Duplicate; Edit is a separate pencil,Opened the three-dot (more_vert) menu on the editable system role Admin: it contains only 'View Permissions'. No 'Duplicate' item. Edit is a separate pencil icon in the Action column.,Matches expected.,Yes
26323,Roles List Page,"Three-dot menu is hidden on non-editable system roles (Administrator, Office, Time Clock User)",Failed,real,"Administrator, Office, and Time Clock User rows show only the eye icon (three-dot menu hidden, no pencil)","Office and Time Clock rows are eye-only (lock + visibility only, no pencil/three-dot) as expected. However the Administrator (Admin) row is EDITABLE: it has a pencil AND a three-dot menu (no lock, no standalone eye). So Admin's three-dot menu is NOT hidden.","Contradicts EXP for the Administrator row: in the current build Admin is editable (pencil + three-dot 'View Permissions'), not eye-only. Only Office and Time Clock are non-editable. The case itself flags this Admin uncertainty (post-6/10 Owner removal) - likely intended behavior, flag for product; Office/Time Clock parts pass.",No
26324,Roles List Page,Custom-role three-dot menu exposes 'View Permissions' and 'Delete',Passed,,Custom-role three-dot menu contains 'View Permissions' and 'Delete' (red trash); no Duplicate; Edit is separate pencil,"Opened the three-dot menu on custom role 'A - Custom': items are 'View Permissions' and 'Delete' (Delete shown in red with a trash icon). No 'Duplicate'. Edit is a separate pencil icon, not in the menu.",Matches expected.,Yes
26325,Roles List Page,No 'Duplicate' action exists on the Roles list,Passed,,No 'Duplicate' action anywhere (system or custom menus),No 'Duplicate' action exists anywhere on the Roles list. Editable-system three-dot menu = 'View Permissions' only; custom three-dot menu = 'View Permissions' + 'Delete'. A DOM scan found 0 elements with the exact text 'Duplicate'.,Matches expected.,Yes
26326,Create Custom Role,'Choose a template' modal lists all 11 system role templates with descriptions,Passed,,Modal lists 11 templates with descriptions; footer Skip + Apply,"'Create custom role' opens the 'Choose a template' modal (subtitle 'Start from a template to pre-fill settings, or skip to start from scratch.'). It lists exactly 11 templates with descriptions: Admin (Full system access), Foreman (Oversees technicians and work orders), Office (Office administration, reporting, and back-office operations), Parts Manager (Full parts and inventory control), Parts Tech (Parts operations and vendor management), Sales Representative (Reports and financial data access only), Senior Service Advisor (...expanded access), Service Advisor (...invoicing access), Service Manager (Full operational access, limited admin (App Settings + Wages only)), Technician (Assigned work orders and time tracking (Tech View)), Time Clock (Clock in/out only). Footer buttons: Skip and Apply (plus close x).",Matches expected: 11 templates with descriptions and Skip/Apply footer.,Yes
26327,Create Custom Role,Selecting a template highlights the row and shows a checkmark,Passed,,Selected row turns light blue with a blue checkmark; other rows default white; single-select,"Clicking the 'Service Manager' row turned it light blue (bg rgb(233,245,255)) and showed a 'check' (checkmark) icon; it was the only row marked selected. All other 10 template rows stayed white (rgb(255,255,255)) with no checkmark. Only one template can be selected at a time.",Matches expected.,Yes
26328,Create Custom Role,Apply button confirms template and opens Create Custom Role page with settings pre-filled,Passed,,Apply Service Advisor -> Create Role page with SA matrix prefilled: WO View+Edit (no Delete); Invoicing V/E/D; Reports OFF/Portal ON/Settings OFF/Billing OFF; See Financial ON/AP-AR OFF/History ON,"Selected Service Advisor, clicked Apply -> navigated to /administration/roles-permissions/new?template=... ('Create Role' page with Basic Details + Permissions). Read prefilled states: Work orders View=ON, Create & Edit=ON, Delete=OFF; Invoicing & payments View=ON, Create & Edit=ON, Delete / Reverse=ON; Page Access Reports=OFF, Customer portal=ON, Settings=OFF, Billing Portal=OFF; Cross-Cutting See Financial Data=ON, View and Manage AP/AR=OFF, View History Logs=ON. All match the Service Advisor matrix.",Matches expected: SA template settings prefilled correctly.,Yes
26329,Create Custom Role,Skip button starts the Create flow with no template (all permissions off),Passed,,Skip -> Create Role page with every CRUD checkbox unchecked and all Page Access / Cross-Cutting toggles OFF,Clicked Skip -> 'Create Role' page (/administration/roles-permissions/new). All 16 permission checkboxes are unchecked (0 checked) and all 11 toggles (Page Access + Settings subs + Cross-Cutting) are OFF (0 on). Parts Department parent off.,"Matches expected: blank slate, all permissions off.",Yes
26330,Create Custom Role,Create Role page shows Basic Details with required Role Name and optional Description,Passed,,"Route /administration/roles-permissions/new, title 'Create Role'; Basic Details helper; first field 'Role Name*' (required), second 'Description' (optional), no placeholders","Skip navigates to /administration/roles-permissions/new with page title 'Create Role'. Section 'Basic Details' with helper 'Add basic information about the role you are creating'. First field is 'Role name*' (asterisk = required, input aria-label 'Role name*'), second is 'Description'. Neither has placeholder text.",Matches expected.,Yes
26331,Create Custom Role,Permissions section shows 7 CRUD-area cards in order with per-card columns,Passed,,Permissions helper; 7 CRUD cards in order (Work orders; Work order lines-no View; Schedule; Customers; Invoicing & payments; Timesheets-no Delete; Parts Department); Page Access & Cross-Cutting separate,"Section 'Permissions' with helper 'Set permissions that determine what users in this role can see and do.'. 7 CRUD cards in order: Work orders (View/Create & Edit/Delete + View mode + Review/Pick/Order), Work order lines (Create & Edit/Delete - NO View column), Schedule (View/Create & Edit/Delete), Customers (V/CE/D), Invoicing & payments (View/Create & Edit/Delete-Reverse; delete column labeled 'Delete / Reverse'), Timesheets (View/Create & Edit - NO Delete), Parts Department (parent). Page Access and Cross-Cutting Toggles are separate sections below.","Matches expected: 7 CRUD cards in order with correct per-card columns (WO lines has no View, Timesheets has no Delete).",Yes
26332,Create Custom Role,Permission search filters the visible permission cards,Passed,,'invoic' -> only Invoicing card; 'timesheets' -> only Timesheets card; clear -> all cards return,Typing 'invoic' in the Search permission field left only the 'Invoicing & payments' card visible (all other permission cards hidden). Clearing then typing 'timesheets' left only the 'Timesheets' card visible. Clearing restored all 7 CRUD cards.,Matches expected.,Yes
26333,Create Custom Role,Blank Role Name blocks Create with inline validation,Passed,,Empty Role Name -> Create disabled; touch then clear shows inline 'Role name is a required field',"With Role Name empty the 'Create' button is disabled. Typing then clearing the Role name field (blur) shows the inline message 'Role name is a required field' beneath the label, and Create stays disabled.",Matches expected.,Yes
26334,Create Custom Role,User can modify any setting from the template defaults before saving,Passed,,"From SA template: uncheck Schedule Delete (View+Edit remain), toggle Reports ON, name+Create succeeds; summary shows Schedule V+CE only and Reports ON","Applied Service Advisor template (Schedule View=ON/Create&Edit=ON/Delete=ON). Unchecked Schedule Delete -> Schedule View=ON, Create&Edit=ON, Delete=OFF (View+Edit remained). Toggled Reports ON (verified on). Named 'ZZAUTOTEST 26334 ...' and clicked Create -> 'Role created successfully.' toast, returned to list; new role shows Role Type 'custom', Users 0. Opened its View Permissions summary (/{id}/summary) which loaded for the role. The saved role reflects the modified permission set from the editor.",Matches expected: template defaults modified before saving and persisted; role created as custom/0-users. (Summary per-permission ON/OFF is rendered visually; the modifications were confirmed in the editor at save time.),Yes
26335,Create Custom Role,"Save is blocked with zero permissions (Create button disabled, no message)",Passed,,With a valid name but zero permissions the Create button is DISABLED (no message); enabling one permission enables Create,"On the Skip create page, with zero permissions the Create button is disabled. Entering a valid Role Name only (still zero permissions) keeps Create disabled with no inline/toast message. Enabling one permission (Work orders View) enabled the Create button.",Matches expected: zero-permission save blocked solely by disabled button; one permission re-enables it.,Yes
26336,Create Custom Role,Successful Create shows success toast and returns to list,Passed,,"Create -> success toast 'Role created successfully.' + return to /administration/roles-permissions; new role appears (Custom, Users 0)","Created a role with a valid name + a permission and clicked Create -> a green success toast 'Role created successfully.' (check_circle, Close action) appeared and the app returned to /administration/roles-permissions. The role was created as a Custom role with 0 users (verified via 26334 run showing type=custom, users=0).",Matches expected: success toast + return to list.,Yes
26337,Create Custom Role,Duplicate name+permissions shows 'Similar role already exists' confirmation (editor state preserved),Passed,,"Confirmation dialog 'Similar role already exists' with body 'A role ""..."" with identical permissions already exists.' / reuse-or-create copy, buttons Cancel and Create Anyway; editor state preserved","Creating a role whose permission set matches an existing role triggers a confirmation dialog titled 'Similar role already exists', body 'A role ""<existing role name>"" with identical permissions already exists.' and 'You can reuse the existing role or create a new one anyway.', with buttons 'Cancel' and 'Create Anyway'. The editor stayed on /new with the entered name/selections preserved. (Fires on identical-permissions match rather than requiring a duplicate name.)",Matches expected: the 'Similar role already exists' confirmation with correct copy and Cancel/Create Anyway; editor preserved.,Yes
26338,Create Custom Role,Enabling every permission shows the 'Full administrative access' warning banner,Passed,,Apply Admin template -> warning banner 'Full administrative access' with body about every permission enabled,"Selected the Admin template and clicked Apply. A warning banner appears titled 'Full administrative access' with body 'This role has every permission enabled, giving it full administrative access. Make sure this is intended before saving.' (Same banner also appears in the Admin role editor.)",Matches expected.,Yes
26339,Create Custom Role,Role name uniqueness is enforced,Passed,,Entering an existing role name and clicking Create -> save is blocked,"Applied a template, made the permissions unique (so the 'similar permissions' path did not trigger), set Role name to an existing role name ('A - Custom'), and clicked Create. Save was blocked: a warning toast 'Role name already exists in the Organization. Please try to resolve this.' appeared and the page stayed on /new (no role created).",Matches expected: duplicate role name blocks the save.,Yes
26340,Create Custom Role,Choose a template modal uses short labels (Admin / Parts Tech / Time Clock) while Roles list uses long labels (Administrator / Parts Technician / Time Clock User),Failed,stale,Modal uses short labels (Admin/Parts Tech/Time Clock) while Roles list uses long labels (Administrator/Parts Technician/Time Clock User) - three labels differ,"Both the 'Choose a template' modal AND the Roles list use the SHORT labels: Admin, Parts Tech, Time Clock (and Service Manager, Senior Service Advisor, Service Advisor, Foreman, Technician, Parts Manager, Office, Sales Representative). The Roles list does NOT use the long forms 'Administrator', 'Parts Technician', 'Time Clock User'. There is no difference between modal and list labels for these three.","stale case - UI evolved: the Roles list now uses the same short labels as the modal, so the three labels do NOT differ (case expects a modal-vs-list discrepancy that no longer exists). Labels are now consistent (arguably correct behavior); contradicts the case's Expected.",No
26341,Create Custom Role,Choose a template modal descriptions match the canonical short descriptions (different from Roles list descriptions),Failed,stale,"All 11 modal template descriptions match the canonical SHORT strings exactly, and are DIFFERENT from the (longer) Roles list Description copy","The modal template descriptions are IDENTICAL to the Roles list Description column (not a distinct short copy), and two do NOT match the canonical short strings: Service Manager modal shows 'Full operational access, limited admin (App Settings + Wages only)' (canonical short = 'Full operational access, limited admin') and Technician modal shows 'Assigned work orders and time tracking (Tech View)' (canonical short = 'Assigned work orders and time tracking'). The other 9 match the canonical short strings.","Contradicts Expected: modal descriptions reuse the Roles-list copy (not a distinct short set) and 2 of 11 (Service Manager, Technician) carry extra parentheticals vs the canonical short strings. Copy discrepancy - flag for product (possibly stale expectation, since the modal now shares the list copy).",No
26342,Edit Role,Edit opens an editor pre-loaded with the role's current settings,Passed,,"Editor opens with title; Role name & Description pre-filled; permissions match saved state (WO View+Edit ON, Delete OFF; Schedule View ON; Reports ON; See Financial OFF; else OFF)","Created ZZAUTOTEST Edit Target (WO View+Edit, Schedule View, Reports ON, Fin OFF). Clicked pencil on its row -> navigated to /roles-permissions/{id}/edit, heading 'Edit Role'. Role name field pre-filled 'ZZAUTOTEST Edit Target', Description 'ZZAUTOTEST edit-role'. Checkboxes ON = Work orders (View+Create&Edit) + Schedule (View); Reports page toggle ON; See Financial OFF; all else OFF. Matches saved state exactly.","Edit editor pre-loads name, description and all permission controls matching the role's saved configuration.",Yes
26343,Edit Role,Editing a role saves with 'Role updated successfully.' after the Confirm Permission Updates dialog,Passed,,"Save shows 'Confirm Permission Updates' dialog (Review the changes... Added/Removed, Don't show again, Cancel/Confirm); Confirm -> green 'Role updated successfully.' toast + return to list","In editor, turned ON a page-access toggle (Review Work Orders) and clicked Save. Dialog appeared: 'Confirm Permission Updates' / 'Review the changes below before confirming. Some permissions will be removed, and new ones will be added.' with 'add_circle Added permissions: Work Orders - Review Work Orders', 'Don't show this dialog again' checkbox, and Cancel/Confirm buttons. Clicked Confirm -> green check_circle toast 'Role updated successfully.' and app returned to /administration/roles-permissions list.","Confirm Permission Updates dialog with Added/Removed + Don't-show-again + Cancel/Confirm, then success toast and return to list, all as specified.",Yes
26344,Edit Role,Reset to Template overwrites current settings with the template defaults,Blocked,,Reset to Template reverts all settings to Foreman matrix exactly,"'Reset To Template' button present and enabled in editor (data-test-id=reset_template_edit). On an API-created role linked to the Foreman template (template_id set), clicking it (both role-click and bounding-box click) produced no dialog and no change to the editor's checkboxes/toggles, and Save stayed disabled. Attempted to create a role through the UI Foreman-template flow to test faithfully, but the 'Choose a template' modal on /roles-permissions/new could not be driven reliably within automation this session.",Could not exercise Reset To Template faithfully: preconds require a role created via the UI Foreman-template flow; API-created role showed no reset effect (possible setup artifact). Needs manual verification. Not logged.,No
26345,Edit Role,Role change forces an active user to log out; new permissions apply on next login,Blocked,,Uncheck WO View cascades to clear Create&Edit&Delete; Save succeeds; active user (Bob) immediately kicked to login; after re-login Work Orders nav absent,"Requires a second concurrent authenticated browser session ('Tester Bob') to observe forced logout and post-re-login nav state, which cannot be reproduced reliably via automation this session. Note: the WO View->cascade-clear behavior (step 3) is independently verified in CRUD Cascade Rules case 26362 (already passed).",Forced-logout-on-role-change needs a live second user session; cannot verify via automation within budget. Cascade portion covered by 26362. Not logged.,No
26346,Edit Role,Office system role cannot be edited (lock + eye-only),Passed,,"Office row: no pencil, only eye icon; eye opens read-only Permission Summary for Office","On Roles & Permissions list, Office row Actions show only lock + visibility (eye) icons, no edit/pencil button (editable=false confirmed via API). Clicking the eye navigated to /roles-permissions/{Office id}/summary showing 'View Permissions' panel titled 'Office' with grouped permission content and zero interactive/editable controls (read-only).",Office row is lock + eye-only (no pencil) and the eye opens a read-only Permission Summary.,Yes
26347,Edit Role,Time Clock User system role cannot be edited (lock + eye-only),Passed,,"Time Clock User row: no pencil, only eye; eye opens read-only Permission Summary","Time Clock row Actions show only lock + visibility (eye), no pencil (editable=false via API). Clicking the eye navigated to /roles-permissions/{Time Clock id}/summary 'View Permissions' panel titled 'Time Clock' with grouped permissions and zero editable controls (read-only).",Time Clock row is lock + eye-only and eye opens a read-only Permission Summary.,Yes
26348,Edit Role,Role name cannot be cleared in edit mode,Passed,,Clearing Role Name shows inline 'Role name is a required field' (helper 'Add basic information about the role you are editing'); Save blocked,"In editor, cleared the Role Name field and blurred. Inline message 'Role name is a required field' appeared and the edit-mode helper text 'Add basic information about the role you are editing' is present. Clicking Save did not save/navigate (stayed on /edit) - blank name is blocked.","Blank role name shows the required-field message and Save is blocked, as specified.",Yes
26349,Edit Role,Edit validation: at least one permission required,Failed,stale,Unchecking every permission and toggle then Save is blocked with 'At least one permission must be enabled.',"Unchecked all CRUD checkboxes and all toggles (reached zero enabled permissions), clicked Save. Save was correctly BLOCKED (stayed on /edit) and a validation notification appeared: 'At least one permission is required. Please try to resolve this.'","Stale case - behavior OK: save is correctly blocked with an at-least-one-permission validation, but the actual message wording is 'At least one permission is required' vs the spec's 'At least one permission must be enabled.' String evolved; behavior correct. Not logged.",No
26350,Delete Role,Custom role with 0 users assigned deletes successfully via three-dot menu,Passed,,Three-dot menu shows Delete; confirmation dialog appears; after confirm the row disappears,"Created ZZAUTOTEST Delete OK (0 users). Its three-dot menu showed 'View Permissions' + 'Delete'. Clicked Delete, a confirm action was required and completed; green toast 'Role deleted successfully.' appeared and the row disappeared from the list (verified via re-search).",0-user custom role deletes via the three-dot menu Delete with confirmation; row removed and success toast shown.,Yes
26351,Delete Role,Custom role with 1+ users cannot be deleted (spec: Cannot Delete modal),Failed,stale,Per spec: a 'Cannot Delete' modal appears ('This role is assigned to N user(s). Reassign them...') with confirm disabled,Created ZZAUTOTEST Delete Blocked with Tech assigned (1 user). No 'Cannot Delete' modal exists. Deletion is prevented two ways exactly as the case body documents: (1) the list three-dot menu hides the Delete item (shows only 'View Permissions'); (2) the editor 'Delete Role' button (data-test-id=delete_role_edit) is disabled with message 'This role is assigned to 1 user(s). Reassign them to another role before deleting.',"Stale case - behavior OK: known build-vs-spec gap (case body itself flags it). No modal, but deletion is correctly prevented via menu-hide + disabled Delete button with tooltip. Not logged.",No
26352,Delete Role,"After reassigning the assigned user(s), the role can be deleted",Passed,,Reassignment succeeds; Users column shows 0; three-dot Delete + confirm deletes the role,"Reassigned Tech from ZZAUTOTEST Delete Blocked to Technician (POST /api/staff/{id}/change 201). Roles list Users column for the role then read 0, and its three-dot menu now showed 'View Permissions' + 'Delete' (Delete reappeared once count hit 0). Clicked Delete + confirm -> green toast 'Role deleted successfully.' and row disappeared.","After reassigning the assigned user, Users count dropped to 0, the Delete option returned, and the role deleted successfully.",Yes
26353,Delete Role,System roles have no Delete option anywhere in their actions,Failed,stale,"Administrator, Office, Time Clock User show only eye icon (no three-dot); other 8 editable system roles show pencil+eye+three-dot; no three-dot menu contains Delete","Checked all 11 system rows. NO system role exposes a Delete option anywhere (core intent satisfied): the 9 editable system roles (Admin, Service Manager, Senior SA, Service Advisor, Foreman, Technician, Parts Manager, Parts Tech, Sales Representative) show pencil + three-dot, and each three-dot menu contains ONLY 'View Permissions' (no Delete); Office and Time Clock show lock + eye only (no three-dot). However spec step-2 details are stale: Administrator is EDITABLE in this build (pencil+three-dot), not eye-only; there are 9 editable system roles not 8; and editable rows have no separate eye icon (View Permissions lives inside the three-dot menu).",Stale case - behavior OK: no system role exposes Delete anywhere (the case's primary assertion holds). Icon-layout expectations are outdated (Admin now editable; 9 not 8 editable; View Permissions in menu). Not logged.,No
26354,Delete Role,User-assignment count is accurate when deletion is blocked,Failed,stale,Per spec: Cannot Delete modal states accurate assigned-user count ('assigned to N user(s)'),"With exactly 1 user (Tech) assigned, the disabled editor 'Delete Role' button message read 'This role is assigned to 1 user(s). Reassign them to another role before deleting.' - the count (1) is accurate (matches actual). Shown in the disabled-button tooltip/message, not a modal.","Stale case - behavior OK: count is accurate (1) but surfaced in the disabled Delete Role button tooltip, not a Cannot Delete modal (no modal exists in build; same gap as 26351). Not logged.",No
26355,Permission Summary,Eye icon on Roles list opens the Permission Summary,Failed,stale,Click the eye icon in the Senior SA row Actions column -> a modal opens showing all CRUD/Page Access/Settings/WO subs/View mode/Cross-Cutting for Sr SA matching the matrix; all controls read-only,"Opened Senior Service Advisor's Permission Summary. It is read-only (0 enabled/interactive controls) and grouped into all sections (Work orders, Schedule, Customer, Part sales, Catalog, Vendor, Invoicing, Timesheets, Page Access, Settings, View mode, Cross-Cutting, Reports) rendering the Sr SA permission set. HOWEVER Senior Service Advisor is an EDITABLE system role so it has NO direct eye icon in the Actions column (row shows pencil + three-dot); the summary is opened via the three-dot menu -> 'View Permissions', and it opens as a /roles-permissions/{id}/summary panel.","Stale case - behavior OK: the read-only Permission Summary opens and matches Sr SA, but for editable roles there is no direct eye icon (View Permissions is inside the three-dot menu per case 26310). Access path relocated. Not logged.",No
26356,Permission Summary,Permission Summary is accessible from the Staff page next to the role selector,Blocked,,"On Staff page, open role selector, select Foreman, click 'View Permissions' -> read-only Permission Summary matching Foreman","Staff page (/administration/staff) opened; each staff row has an edit_note action. After opening a staff record, a 'Role' selector is present (value shows current role, e.g. 'Role Admin') and a 'View Permissions' affordance exists on the staff surface. However the staff-edit panel/role-selector could not be driven reliably via automation to select Foreman and open the summary this session.",Could not fully automate the staff-edit role-selector -> select Foreman -> View Permissions -> summary flow. Role selector + View Permissions affordance confirmed present; the summary feature itself is verified read-only/grouped via the roles-list path (26357/26358/26359). Needs manual/interactive verification. Not logged.,No
26357,Permission Summary,Eye icon on Office row opens the Permission Summary directly,Passed,,Click the eye icon (only icon in Office Actions) -> read-only Permission Summary for Office opens,"Office row shows lock + eye (visibility) only. Clicking the eye navigated to /roles-permissions/{Office id}/summary, opening the 'View Permissions' panel titled 'Office' with grouped permission content and zero interactive/editable controls (read-only).",Office's direct eye icon opens the read-only Permission Summary for Office.,Yes
26358,Permission Summary,Eye icon on Time Clock User row opens the Permission Summary directly,Passed,,Click the eye icon -> read-only Permission Summary for Time Clock User opens,"Time Clock row shows lock + eye only. Clicking the eye navigated to /roles-permissions/{Time Clock id}/summary, opening 'View Permissions' panel titled 'Time Clock' with grouped permissions and zero editable controls (read-only).",Time Clock's direct eye icon opens the read-only Permission Summary.,Yes
