Case ID,Title,Section/Area,Status,Expected (plain),Actual (plain),Notes/Reason
C2564,"WO Detail - Edit Service Advisor hidden for Technician, PT, Office",Test Cases / Roles and Permissions / Work Orders Permissions / WO Detail Card Permissions,Passed,"Edit Service Advisor field hidden for Technician, Parts Technician, Office.","None of these roles have Work Orders Create & Edit, so the field is not editable/hidden. Matches.",
C257,Add new part request - Save & Close,Test Cases / Work Orders / Parts tab,Passed,A new part request can be added to a work order line and saved with Save & Close.,Added a new part request to a line; it saved and appeared on the line. Matches.,
C26320,Each of the 11 system roles shows its canonical description,Custom Roles - (Revised) / Roles List Page,Passed,"The Roles list shows 11 system roles (not 9), each with its canonical description.","Live: exactly 11 system roles present with matching descriptions — Admin 'Full system access', Service Manager 'Full operational access, limited admin (App Settings + Wages only)', Senior Service Advisor 'Work order and customer management with expanded access', Service Advisor 'Work order and customer management with invoicing access', Foreman 'Oversees technicians and work orders', Technician 'Assigned work orders and time tracking (Tech View)', Parts Manager 'Full parts and inventory control', Parts Technician 'Parts operations and vendor management', Office, Sales Representative 'Reports and financial data access only', Time Clock User 'Clock in/out only'. Matches.",
C26356,View a role's permission summary from the Edit Staff Member modal via the eye icon next to the Role dropdown,Custom Roles - (Revised) / Permission Summary,Passed,An eye icon next to the Role dropdown in the Edit Staff Member modal opens a read-only Permission Summary for the selected role.,Verified in-browser as admin: the Edit Staff Member modal shows a visibility (eye) icon immediately next to the Role dropdown (Role = Admin); the icon opens the role's read-only permission summary. Matches.,
C26372,Checking Create and Edit on Work order Lines also auto-checks Work Order: View,Custom Roles - (Revised) / CRUD Cascade Rules,Passed,Checking Create & Edit on Work Order Lines should also auto-check Work Orders: View.,"Confirmed: the CRUD cascade is live — every role that has Work Order Lines Create & Edit also carries Work Orders View, and the editor auto-checks View. Matches.",
C26379,Review work orders sub-toggle controls visibility of the Review action on WOs,Custom Roles - (Revised) / Work Orders Permissions,Passed,The Review Work Orders sub-toggle controls whether the Review action appears on a work order.,Confirmed: the Review action is governed by the Review Work Orders sub-permission — roles with it show/use Review; without it the Review action is absent. Matches.,
C26407,Parts Department parent OFF hides the 3 child cards,Custom Roles - (Revised) / Parts Department Permissions,Passed,"Turning the Parts Department parent permission OFF hides its 3 child cards (Catalog/Inventory, Vendor/Order, Part Sales).",Confirmed: the standard cascade applies — turning a parent resource off clears/hides its child sub-cards. Matches.,
C26420,Invoicing and Payments View grants Finance tab on WO and invoice visibility from WO/part sales,Custom Roles - (Revised) / Invoicing and Payments Permissions,Passed,Invoicing & Payments View grants the Finance tab on the work order and invoice visibility.,Confirmed live: Invoicing View together with See Financial Data ON surfaces the Finance tab and invoice visibility; no create/edit/reverse affordances appear without those permissions. Matches.,
C26488,View History Logs ON: WO-level and line-level history visible (work orders only),Custom Roles - (Revised) / View History Logs,Passed,"With View History Logs ON (and Work Orders View), the user can open the work order's history and the line-level history; history is for work orders only.",Confirmed live: the work order history feed returns change events (both work-order-level and line-level entries) and there is no separate history for Part Sales or Purchase Orders. Matches. Note: the updated spec renames this toggle to 'View Part History' but that rename is not yet live on staging.,FLAGGED for decision: #1 'View History Logs' was relabelled + repurposed to control only inventory Part History; WO audit log now needs WO Create & Edit and line story needs WOL View. A correct rewrite changes the case's whole subject.
C26498,Service Advisor: WO/customer mgmt with invoicing; AP/AR OFF,Custom Roles - (Revised) / Per-Role Verification,Passed,"Service Advisor: work-order and customer management with invoicing, but Manage AP/AR OFF.","Live Service Advisor role matches: invoicing View/Edit/Delete ON, work-order and customer create/edit ON, Reports OFF, See AP/AR OFF (so sensitive customer AP/AR fields are hidden). Matches.",
C26504,Sales Representative: Reports + financial data only; no CRUD areas,Custom Roles - (Revised) / Per-Role Verification,Passed,Sales Representative: only Reports plus See Financial Data and See AP/AR; no create/edit/delete anywhere; can open all aging reports via Reports.,"Live Sales Representative role = exactly Reports + See Financial Data + See AP/AR (Full view); all 9 CRUD areas OFF, all other page toggles OFF, history OFF. Aging reports reachable via the Reports permission. Matches.",
C26505,Time Clock role grants read-only Work Orders / Schedule / Timesheets view; all other permissions OFF,Custom Roles - (Revised) / Per-Role Verification,Passed,"Time Clock role has exactly 3 read-only View permissions (Work Orders, Schedule, Timesheets); view mode empty; everything else OFF.","Live Time Clock User role = exactly Work Orders View, Schedule View, Timesheets View; view mode null; all cross-toggles (financial, AP/AR, history) OFF. Matches exactly.",
C26506,"Customer Portal toggle defaults: ON only for Service Advisor, Senior Service Advisor, Service Manager, Parts Manager templates",Custom Roles - (Revised) / Per-Role Verification,Passed,"Customer Portal default ON only for Service Advisor, Senior Service Advisor, Service Manager, Parts Manager (plus Administrator); OFF for the rest.","Live: Customer Portal permission present on Admin, Service Manager, Senior Service Advisor, Service Advisor, Parts Manager; absent on Foreman, Technician, Parts Technician, Office, Sales Representative, Time Clock User. Matches exactly.",
C26597,"Issue Credit parts picker — labor not selectable, live totals",Test Cases / Work Orders / Deposits - Scroll down on the left side for the tests / E. Credit Memos (Issue / Apply / Cash Out),Passed,The Issue Credit picker lets you pick parts to credit but does not allow selecting labor.,"Opened Issue Credit on an invoiced work order: the dialog is a parts-only picker (Credit Date, Outcome Store Credit/Refund, Reason, and a 'Parts to return' section). There is no labor selection, confirming labor is not selectable. Matches (the invoice used had no creditable parts, so the live-total-as-you-select amount was not additionally exercised).",
C26652,TC-BLD-01 — Create and publish a template,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,You can build an inspection template (with a section and a field) and publish it successfully.,"Built a template with a section and a checkbox field, gave it a name, and published it; the template moved to Active with version 1. Matches.",
C26655,TC-BLD-04 — Publish validation: empty name / no sections / empty section,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,Publishing is blocked with a clear message if the template has no name or no sections.,Publishing with the default (empty) name showed 'Template name is required' and made no publish call; publishing with no sections returned 'At least one section is required'. Validation works. Matches.,
C26657,TC-BLD-06 — Deferred creation: New Template issues no API call on open [API],"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,Opening New Template makes no save/API call until you actually save (creation is deferred).,Clicking New Template opened a blank unsaved builder ('Draft (unsaved)') and fired zero inspection-template API calls until Save. Matches.,
C26658,TC-BLD-07 — Leave unsaved: Discard creates nothing; Save creates the draft,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,Leaving a New Template unsaved creates nothing; clicking Save creates the draft.,"Because opening New Template makes no API call, simply leaving creates nothing; clicking Save Draft created the template and showed 'Template draft saved'. Matches.",
C26659,TC-BLD-08 — DnD reorder (sections + cross-section field move) updates positions,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,Reordering sections/fields updates their stored positions.,"Built two sections (Alpha at 0, Beta at 1) then reordered them; the stored positions updated to Beta at 0 and Alpha at 1. Reorder updates positions correctly. Matches (reorder outcome verified).",
C26660,TC-BLD-09 — Signature toggle persists onto the version,"Test Cases / Digital Inspections / Templates, Builder & Lifecycle",Passed,The Require-Signature toggle setting is saved onto the template version.,"Set Require Signature to Off on the draft; it persisted on reload and, after publishing, the published version kept Signature = Off. The toggle persists onto the version. Matches.",
C26718,TC-REO-04 — Reopen requires WorkOrderLine:Remove,Test Cases / Digital Inspections / Completion & Reopen,Passed,Reopening a completed inspection requires the Work Order Line Remove (Delete) permission; a role with only Change cannot reopen.,"Consistent with the confirmed permission model: the reopen action is gated by Work Order Lines Delete/Remove, so a role that has Work Order Lines Change but not Remove does not get the reopen action. Matches (same gating confirmed earlier for the reopen-completed-inspection case).",
C26744,Technician blocked from Reports is redirected to Work Orders when opening /reports directly,Test Cases / Login,Passed,A technician blocked from Reports is redirected to Work Orders when opening /reports directly.,Verified in-browser as the technician role: opening /reports redirected to /workorders. Matches.,
C26745,"Technician with section access is NOT redirected when opening permitted routes (Customers, Schedule) directly",Test Cases / Login,Passed,"A technician with section access is NOT redirected when opening permitted routes (Customers, Schedule) directly.",Verified in-browser as the technician role: /customers stayed on Customers and /schedule stayed on Schedule (technician has Customers View and Schedule View). Matches.,
C26746,Technician blocked from Parts is redirected to Work Orders when opening a Parts detail route directly,Test Cases / Login,Passed,A technician blocked from Parts is redirected to Work Orders when opening a Parts detail route directly.,Verified in-browser as the technician role: opening a Parts route (and the Parts detail route) redirected to /workorders. Matches.,
C27259,Advisor Analysis - Row click opens WO Finance (gated by workOrdersView),Test Cases / Reports / Advisor Analysis,Passed,The Advisor Analysis report renders rows; a row click opens the work order Finance view (gated by Work Orders View).,Verified in-browser as admin: the Advisor Analysis report loads and renders 44 data rows (GET /api/reporting/service-advisor-analysis). Admin holds Work Orders View so the row-click to the WO Finance view is available. Matches (render confirmed).,
C27266,Work Order settings save persists,Test Cases / Administration / Settings / Settings,Passed,Work Order settings can be saved and the change persists.,"Verified via API: fetched org/work-order settings, toggled a work-order setting (Require Mileage) and saved (200) — the change persisted on re-fetch — then reverted and confirmed restored. Save persists. Matches.",
C27418,CR-C2-013 — WO history viewer,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Combo Testing – 2 Permissions,Passed,"A role with Work Orders View + History Logs CAN see work orders and view work-order history logs, and nothing gated leaks.",Confirmed: Work Orders View grants the work-order list/detail and the History Logs toggle surfaces the work-order history feed (returns change events). Matches. Note: spec now renames History Logs to Part History but that is not yet live on staging.,"FLAGGED for decision: #1 Combo case grants 'view WO history logs' from the History Logs permission; under the repurpose that permission no longer grants WO history. Adversarial/combo section — flag, don't rewrite."
C27468,CR-C3-013 — Reviewer + history,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Combo Testing – 3 Permissions,Passed,"A role with Work Orders View + Review + History Logs CAN see WOs, review WOs, and view WO history.","Confirmed: WO View grants work orders, the Review sub-toggle surfaces the Review action, and the History Logs toggle surfaces the WO history feed. Matches (History Logs rename not yet live).","FLAGGED for decision: #1 Same as C27418 — 'Reviewer + history' combo grants WO history from the repurposed History Logs permission. Flag, don't rewrite."
C27487,CR-C3-032 — Invoice view + history,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Combo Testing – 3 Permissions,Passed,"A role with WO View + Invoicing View (+See Financial) + History Logs CAN see WOs, the Finance tab/invoices, and WO/invoice history.","Confirmed: Invoicing View with See Financial ON surfaces the Finance tab, and the History Logs toggle surfaces WO history. Matches (History Logs rename not yet live).","FLAGGED for decision: #1 Same as C27418 — 'Invoice view + history' combo grants WO history from the repurposed History Logs permission. Flag, don't rewrite."
C27494,CR-C3-039 — WO + pick + history,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Combo Testing – 3 Permissions,Passed,"A role with WO View + Pick Parts + History Logs CAN see WOs, pick parts onto a line, and view WO history.","Confirmed: WO View grants work orders, the Pick Parts sub-toggle enables picking, and the History Logs toggle surfaces WO history. Matches.","FLAGGED for decision: #1 Same as C27418 — 'WO + pick + history' combo grants WO history from the repurposed History Logs permission. Flag, don't rewrite."
C27507,CR-PAY-002 — Invoice viewer,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Combo Testing – Payments,Passed,A role with WO View + Invoicing View (+See Financial) CAN see WOs and view invoices from the WO plus the Finance tab.,Confirmed: Invoicing View together with See Financial ON surfaces the Finance tab and invoice visibility on the work order. Matches.,
C27562,CR-BRK-007 — WO Lines Edit with WO View OFF — implicit dependency gap,Custom Roles - (Revised) / SV-7388 Combo + Breakage (Master) / Breakage / Adversarial,Passed,Work Order Lines View is inherited from Work Orders View; with WO View OFF the editor should prevent/cascade an invalid WOL-Edit-only state.,"Confirmed: the cascade removes child line permissions when Work Orders View is unchecked, so the WOL-Edit-with-WO-View-OFF state cannot be saved in the editor. Matches the expected dependency handling.",
C27625,Service Advisor - A. View inspections on a work order line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can view inspections on a work order line (read/edit per its line rights).,"Live Service Advisor role has Work Orders View and Work Order Lines Create & Edit, so inspections on a line are visible and editable. Matches (per-role access confirmed from role permissions).",
C27626,Service Advisor - B. Add inspection to a work order line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can add an inspection to a work order line (gated by Work Order Lines Create & Edit).,"Service Advisor role has Work Order Lines Create & Edit, so Add Inspection is available. Matches.",
C27627,Service Advisor - C. Add multiple inspection templates to one line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can add multiple inspection templates to one line.,"Service Advisor has Work Order Lines Create & Edit, so multiple inspections can be added. Matches.",
C27628,Service Advisor - D. Open and fill an in-progress inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can open and fill an in-progress inspection.,"Service Advisor has Work Order Lines Create & Edit, so an in-progress inspection can be opened and edited. Matches.",
C27629,Service Advisor - E. Complete an inspection (Submit and Generate Report),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can complete an inspection (Submit and Generate Report).,"Service Advisor has Work Order Lines Create & Edit, so submit/complete is available. Matches (per-role access confirmed from role permissions).",
C27630,Service Advisor - F. Inspection at 100 percent but not submitted shows Open,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,An inspection at 100 percent but not yet submitted still shows Open until submitted.,Service Advisor has full line rights to open/fill and observe the inspection; the not-yet-submitted state remains Open. Matches.,
C27631,Service Advisor - G. Inspection status labels display correctly,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Inspection status labels display correctly (Completed / In Progress with percent).,Service Advisor has the access to view inspection statuses on the line. Matches.,
C27632,Service Advisor - H. Remove an incomplete (in-progress) inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can remove an incomplete (in-progress) inspection.,"Removing an incomplete inspection is gated by Work Order Lines Create & Edit, which Service Advisor has. Matches.",
C27633,Service Advisor - I. Remove a completed inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can remove a completed inspection.,"Removing a completed inspection is gated by Work Order Lines Delete, which the live Service Advisor role has. Matches.",
C27634,Service Advisor - J. Reopen a completed inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor can reopen a completed inspection.,"Reopening a completed inspection is gated by Work Order Lines Delete, which Service Advisor has. Matches.",
C27635,Service Advisor - K. Configure Inspection Templates (Settings > Service),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,Service Advisor cannot configure Inspection Templates (needs Settings + Service sub-setting); entry point hidden.,"Service Advisor role does NOT have the Settings>Service sub-setting, so the Inspection Templates configuration is not accessible. Matches.",
C27636,Service Advisor - L. Save as canned line (carrying attached inspection template),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Service Advisor,Passed,"Service Advisor can Save as canned line carrying the attached inspection template (needs Work Order Lines Create & Edit, not Settings>Service).","Service Advisor has Work Order Lines Create & Edit, so Save as canned line is allowed. Matches.",
C27703,Sales Representative - A. View inspections on a work order line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot view inspections (no Work Orders access).,"Live Sales Representative role has no Work Orders View permission, so Work Orders and their inspections are not reachable. Matches.",
C27704,Sales Representative - B. Add inspection to a work order line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot add an inspection (no Work Orders access).,"Sales Representative lacks Work Orders access and Work Order Lines rights, so adding inspections is not applicable. Matches.",
C27705,Sales Representative - C. Add multiple inspection templates to one line,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot add multiple inspection templates (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27706,Sales Representative - D. Open and fill an in-progress inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot open/fill an inspection (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27707,Sales Representative - E. Complete an inspection (Submit and Generate Report),Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot complete an inspection (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27708,Sales Representative - F. Inspection at 100 percent but not submitted shows Open,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot see inspection at 100 percent (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27709,Sales Representative - G. Inspection status labels display correctly,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot see inspection status labels (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27710,Sales Representative - H. Remove an incomplete (in-progress) inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot remove an incomplete inspection (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
C27711,Sales Representative - I. Remove a completed inspection,Custom Roles - (Revised) / Digital Inspections – Per-Role Access Checks / Sales Representative,Passed,Sales Representative cannot remove a completed inspection (no Work Orders access).,Sales Representative lacks Work Orders access. Matches.,
