internal_id,testrail_case_id,testrail_link,area,spec_anchors_after,anchors_valid_in_v1_6,ticket_ref,verdict_before,changed_this_pass,refs_before,refs_after,len_after
FLT-COLL-02,C29602,https://shopview.testrail.io/index.php?/cases/view/29602,Collapse and Expand,S1-R6,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 1 S1-R6,Filters (no Jira epic) (S1-R6) [spec v1.6 2026-07-28],53
FLT-COLL-03,C29603,https://shopview.testrail.io/index.php?/cases/view/29603,Collapse and Expand,S1-R7;S10-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 1 S1-R7; Story 10 S10-R1,Filters (no Jira epic) (S1-R7; S10-R1) [spec v1.6 2026-07-28],61
FLT-COLL-04,C29604,https://shopview.testrail.io/index.php?/cases/view/29604,Collapse and Expand,S7-R4;S7-N2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 7 S7-R4; S7-N2,Filters (no Jira epic) (S7-R4; S7-N2) [spec v1.6 2026-07-28],60
FLT-COLL-05,C29605,https://shopview.testrail.io/index.php?/cases/view/29605,Collapse and Expand,S7-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 7 S7-R5,Filters (no Jira epic) (S7-R5) [spec v1.6 2026-07-28],53
FLT-STAT-07,C38877,https://shopview.testrail.io/index.php?/cases/view/38877,Status Filter,S2-R7;S2-N4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited spec v1.3 / an unresolved conflict,YES,Filters (Epic key TBD); tech plan 2026-07-29 G1 (Imported exclusivity); spec S2-R1 (conflict raised with the author - export of spec v1.3 awaited),Filters (no Jira epic) (S2-R7 (Imported cannot be combined with anything else; other filter chips disabled while it is active); S2-N4 (the combination is prevented rather than returning an empty result)) [spec v1.6 2026-07-28],226
FLT-CUST-01,C29566,https://shopview.testrail.io/index.php?/cases/view/29566,Customer Filter,S3-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R1,Filters (no Jira epic) (S3-R1) [spec v1.6 2026-07-28],53
FLT-CUST-02,C29567,https://shopview.testrail.io/index.php?/cases/view/29567,Customer Filter,S3-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R2,Filters (no Jira epic) (S3-R2) [spec v1.6 2026-07-28],53
FLT-CUST-03,C29568,https://shopview.testrail.io/index.php?/cases/view/29568,Customer Filter,S3-R3;S3-R4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R3; S3-R4; §4 Key Decisions (no selection limit),Filters (no Jira epic) (S3-R3; S3-R4; §4 Key Decisions (no selection limit)) [spec v1.6 2026-07-28],99
FLT-CUST-04,C29569,https://shopview.testrail.io/index.php?/cases/view/29569,Customer Filter,S3-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R5,Filters (no Jira epic) (S3-R5) [spec v1.6 2026-07-28],53
FLT-CUST-05,C29570,https://shopview.testrail.io/index.php?/cases/view/29570,Customer Filter,S3-R6;S2-R6,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R6; Story 2 S2-R6 (real-time pattern),Filters (no Jira epic) (S3-R6; S2-R6 (real-time pattern)) [spec v1.6 2026-07-28],80
FLT-CUST-06,C29571,https://shopview.testrail.io/index.php?/cases/view/29571,Customer Filter,S3-R7;S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R7; Story 8 S8-R2,Filters (no Jira epic) (S3-R7; S8-R2) [spec v1.6 2026-07-28],60
FLT-CUST-07,C29572,https://shopview.testrail.io/index.php?/cases/view/29572,Customer Filter,S3-R8,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-R8,Filters (no Jira epic) (S3-R8) [spec v1.6 2026-07-28],53
FLT-CUST-08,C29573,https://shopview.testrail.io/index.php?/cases/view/29573,Customer Filter,S3-N1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-N1,Filters (no Jira epic) (S3-N1) [spec v1.6 2026-07-28],53
FLT-CUST-09,C29574,https://shopview.testrail.io/index.php?/cases/view/29574,Customer Filter,S3-E1;S3-N2;S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 3 S3-E1; S3-N2; Story 8 S8-R3,Filters (no Jira epic) (S3-E1; S3-N2; S8-R3) [spec v1.6 2026-07-28],67
FLT-TECH-01,C29575,https://shopview.testrail.io/index.php?/cases/view/29575,Lead Technician Filter,S4-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-R1,Filters (no Jira epic) (S4-R1) [spec v1.6 2026-07-28],53
FLT-TECH-02,C29576,https://shopview.testrail.io/index.php?/cases/view/29576,Lead Technician Filter,S4-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-R2,Filters (no Jira epic) (S4-R2) [spec v1.6 2026-07-28],53
FLT-TECH-03,C29577,https://shopview.testrail.io/index.php?/cases/view/29577,Lead Technician Filter,S4-R3;S4-R4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-R3; S4-R4,Filters (no Jira epic) (S4-R3; S4-R4) [spec v1.6 2026-07-28],60
FLT-TECH-04,C29578,https://shopview.testrail.io/index.php?/cases/view/29578,Lead Technician Filter,S4-R5;S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-R5; Story 8 S8-R2,Filters (no Jira epic) (S4-R5; S8-R2) [spec v1.6 2026-07-28],60
FLT-TECH-05,C29579,https://shopview.testrail.io/index.php?/cases/view/29579,Lead Technician Filter,S4-R6,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-R6,Filters (no Jira epic) (S4-R6) [spec v1.6 2026-07-28],53
FLT-TECH-06,C29580,https://shopview.testrail.io/index.php?/cases/view/29580,Lead Technician Filter,S4-N1;S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-N1; Story 8 S8-R3,Filters (no Jira epic) (S4-N1; S8-R3) [spec v1.6 2026-07-28],60
FLT-TECH-07,C29581,https://shopview.testrail.io/index.php?/cases/view/29581,Lead Technician Filter,S4-E1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 4 S4-E1,Filters (no Jira epic) (S4-E1) [spec v1.6 2026-07-28],53
FLT-ADV-01,C29582,https://shopview.testrail.io/index.php?/cases/view/29582,Service Advisor Filter,S5-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-R1,Filters (no Jira epic) (S5-R1) [spec v1.6 2026-07-28],53
FLT-ADV-02,C29583,https://shopview.testrail.io/index.php?/cases/view/29583,Service Advisor Filter,S5-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-R2,Filters (no Jira epic) (S5-R2) [spec v1.6 2026-07-28],53
FLT-ADV-03,C29584,https://shopview.testrail.io/index.php?/cases/view/29584,Service Advisor Filter,S5-R3;S5-R4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-R3; S5-R4,Filters (no Jira epic) (S5-R3; S5-R4) [spec v1.6 2026-07-28],60
FLT-ADV-04,C29585,https://shopview.testrail.io/index.php?/cases/view/29585,Service Advisor Filter,S5-R5;S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-R5; Story 8 S8-R2,Filters (no Jira epic) (S5-R5; S8-R2) [spec v1.6 2026-07-28],60
FLT-ADV-05,C29586,https://shopview.testrail.io/index.php?/cases/view/29586,Service Advisor Filter,S5-R6,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-R6,Filters (no Jira epic) (S5-R6) [spec v1.6 2026-07-28],53
FLT-ADV-06,C29587,https://shopview.testrail.io/index.php?/cases/view/29587,Service Advisor Filter,S5-N1;S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-N1; Story 8 S8-R3,Filters (no Jira epic) (S5-N1; S8-R3) [spec v1.6 2026-07-28],60
FLT-ADV-07,C29588,https://shopview.testrail.io/index.php?/cases/view/29588,Service Advisor Filter,S5-E1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 5 S5-E1,Filters (no Jira epic) (S5-E1) [spec v1.6 2026-07-28],53
FLT-ASSET-01,C29589,https://shopview.testrail.io/index.php?/cases/view/29589,Asset on Site Filter,S6-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,"requirements.md Story 6 S6-R1; §4 Key Decisions (dropdown, not toggle)",Filters (no Jira epic) (S6-R1; §4 Key Decisions (dropdown - not toggle)) [spec v1.6 2026-07-28],95
FLT-ASSET-02,C29590,https://shopview.testrail.io/index.php?/cases/view/29590,Asset on Site Filter,S6-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-R2,Filters (no Jira epic) (S6-R2) [spec v1.6 2026-07-28],53
FLT-ASSET-03,C29591,https://shopview.testrail.io/index.php?/cases/view/29591,Asset on Site Filter,S6-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-R3,Filters (no Jira epic) (S6-R3) [spec v1.6 2026-07-28],53
FLT-ASSET-04,C29592,https://shopview.testrail.io/index.php?/cases/view/29592,Asset on Site Filter,S6-R4;S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-R4; Story 8 S8-R2,Filters (no Jira epic) (S6-R4; S8-R2) [spec v1.6 2026-07-28],60
FLT-ASSET-05,C29593,https://shopview.testrail.io/index.php?/cases/view/29593,Asset on Site Filter,S6-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-R5,Filters (no Jira epic) (S6-R5) [spec v1.6 2026-07-28],53
FLT-ASSET-06,C29594,https://shopview.testrail.io/index.php?/cases/view/29594,Asset on Site Filter,S6-N1;S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-N1; Story 8 S8-R3,Filters (no Jira epic) (S6-N1; S8-R3) [spec v1.6 2026-07-28],60
FLT-ASSET-07,C38878,https://shopview.testrail.io/index.php?/cases/view/38878,Asset on Site Filter,S6-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 6 S6-R2; Filters (Epic key TBD); tech plan 2026-07-29 G4 (filtering No is new capability),Filters (no Jira epic) (S6-R2; Filters (Epic key TBD); tech plan 2026-07-29 G4 (filtering No is new capability)) [spec v1.6 2026-07-28],135
FLT-CHIP-01,C29595,https://shopview.testrail.io/index.php?/cases/view/29595,Active Filter Chips and Clear Filters,S7-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 7 S7-R1,Filters (no Jira epic) (S7-R1) [spec v1.6 2026-07-28],53
FLT-CHIP-02,C29596,https://shopview.testrail.io/index.php?/cases/view/29596,Active Filter Chips and Clear Filters,S7-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 7 S7-R2,Filters (no Jira epic) (S7-R2) [spec v1.6 2026-07-28],53
FLT-CHIP-03,C29597,https://shopview.testrail.io/index.php?/cases/view/29597,Active Filter Chips and Clear Filters,S7-R3;S7-N1;S8-N1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 7 S7-R3; S7-N1; Story 8 S8-N1,Filters (no Jira epic) (S7-R3; S7-N1; S8-N1) [spec v1.6 2026-07-28],67
FLT-CHIP-04,C29598,https://shopview.testrail.io/index.php?/cases/view/29598,Active Filter Chips and Clear Filters,S8-R1;S13-R13,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",PRESENT + VALID in v1.6,YES,Filters epic (key TBD) (S8-R1; §4 Key Decisions; S13-R13 (clearing filters does not clear a typed search)) [spec v1.6 2026-07-28],Filters (no Jira epic) (S8-R1; §4 Key Decisions; S13-R13 (clearing filters does not clear a typed search)) [spec v1.6 2026-07-28],129
FLT-CHIP-05,C29599,https://shopview.testrail.io/index.php?/cases/view/29599,Active Filter Chips and Clear Filters,S8-R2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 8 S8-R2; §4 Key Decisions,Filters (no Jira epic) (S8-R2; §4 Key Decisions) [spec v1.6 2026-07-28],71
FLT-CHIP-06,C29600,https://shopview.testrail.io/index.php?/cases/view/29600,Active Filter Chips and Clear Filters,S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md §2 Feature Overview (multi-criteria); Story 8 S8-R3 ('combination of active filters'),Filters (no Jira epic) (§2 Feature Overview (multi-criteria); S8-R3 ('combination of active filters')) [spec v1.6 2026-07-28],125
FLT-EMPTY-01,C29606,https://shopview.testrail.io/index.php?/cases/view/29606,Empty State,S8-R3,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 8 S8-R3,Filters (no Jira epic) (S8-R3) [spec v1.6 2026-07-28],53
FLT-EMPTY-02,C29607,https://shopview.testrail.io/index.php?/cases/view/29607,Empty State,S8-R4;S8-R5,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",DEFECT — internal case id leaked into References,YES,Filters epic (key TBD) (S8-R4; S8-R5 (with a query active each is cleared independently - FLT-EMPTY-03)) [spec v1.6 2026-07-28],Filters (no Jira epic) (S8-R4 (the empty state includes a prompt or link to clear filters); S8-R5 (where a query is also active each is cleared independently)) [spec v1.6 2026-07-28],182
FLT-EMPTY-03,C38897,https://shopview.testrail.io/index.php?/cases/view/38897,Empty State,S8-R3;S8-R4;S8-R5;S13-N1;S13-N2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",PRESENT + VALID in v1.6,YES,Filters epic (key TBD) (S8-R3 (empty state covers filters AND any active query); S8-R4 (prompt to clear filters and the query where active); S8-R5 (each cleared independently from the empty state); S13-N1; S13-N2) [spec v1.6 2026-07-28],Filters (no Jira epic) (S8-R3 (empty state covers filters AND any active query); S8-R4 (prompt to clear filters and the query where active); S8-R5 (each cleared independently from the empty state); S13-N1; S13-N2) [spec v1.6 2026-07-28],236
FLT-TAB-01,C29608,https://shopview.testrail.io/index.php?/cases/view/29608,Tab Behaviour,S9-R1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 9 S9-R1,Filters (no Jira epic) (S9-R1) [spec v1.6 2026-07-28],53
FLT-TAB-02,C29609,https://shopview.testrail.io/index.php?/cases/view/29609,Tab Behaviour,S9-R2;S2-N1,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 9 S9-R2; Story 2 S2-N1 (chip-hidden wording superseded by PO ruling 2026-07-17: chip shown disabled); §4 Key Decisions,"Filters (no Jira epic) (S9-R2; S2-N1; §4 Key Decisions - PRD text says ""hidden""; behaviour per Branko Q4=B 2026-07-17 + QA-lead ruling 2026-07-30 = shown greyed-out/disabled; PRD alignment is Branko's open item) [spec v1.6 2026-07-28]",234
FLT-TAB-03,C29610,https://shopview.testrail.io/index.php?/cases/view/29610,Tab Behaviour,S9-R3;S2-N2,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 9 S9-R3; Story 2 S2-N2 (chip-hidden wording superseded by PO ruling 2026-07-17: chip shown disabled); §4 Key Decisions,"Filters (no Jira epic) (S9-R3; S2-N2; §4 Key Decisions - PRD text says ""hidden""; behaviour per Branko Q4=B 2026-07-17 + QA-lead ruling 2026-07-30 = shown greyed-out/disabled; PRD alignment is Branko's open item) [spec v1.6 2026-07-28]",234
FLT-TAB-04,C29611,https://shopview.testrail.io/index.php?/cases/view/29611,Tab Behaviour,S9-R4,YES,"NONE EXISTS — Filters has no Jira epic and no stories (verified; see FILTERS-EPIC-SEARCH.md). Stated honestly, never invented.",STALE — cited the V1.0 requirements.md ingest (not a live v1.6 anchor),YES,requirements.md Story 9 S9-R4; §4 Key Decisions (My Work Orders tab does not remove filters),Filters (no Jira epic) (S9-R4; §4 Key Decisions (My Work Orders tab does not remove filters)) [spec v1.6 2026-07-28],116
