internal_id,testrail_case_id,testrail_link,area,title,title_len,d1_useful,d1_tier,d1_merge_group,d1_merge_survivor,d1_reason,d1_source,d2_makes_sense,d2_reason,d3_genuine,d3_ticket,d3_layman_runnable
FLT-COLL-02,C29602,https://shopview.testrail.io/index.php?/cases/view/29602,Collapse and Expand,Expanding the filter bar brings it back with active filters still shown,71,MERGE,T2,MG4-COLLAPSE-EXPAND,FLT-COLL-01,Absorbed into FLT-COLL-01 (C29601): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-R6 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 71 chars (<=80)
FLT-COLL-03,C29603,https://shopview.testrail.io/index.php?/cases/view/29603,Collapse and Expand,The filter bar's collapsed or expanded state is remembered on return,68,CUT,T2,,,Duplicate of FLT-PERS-01 (C29613): bar collapsed/expanded state restored after leaving and returning is already expected lines 2-3 there.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S1-R7;S10-R1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 68 chars (<=80)
FLT-COLL-04,C29604,https://shopview.testrail.io/index.php?/cases/view/29604,Collapse and Expand,Collapsed funnel button shows a blue indicator only when filters are active,75,KEEP,T2,,,Collapsed-with-active-filters indicator — prevents the 'invisible filtering' trap where a user cannot see why the list is short.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S7-R4;S7-N2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 75 chars (<=80)
FLT-COLL-05,C29605,https://shopview.testrail.io/index.php?/cases/view/29605,Collapse and Expand,Active filters keep filtering the table while the filter bar is collapsed,73,KEEP,T1,,,Active filters keep filtering while the bar is hidden — a real data-visibility bug if collapsing paused or dropped the filters.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S7-R5 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 73 chars (<=80)
FLT-STAT-07,C38877,https://shopview.testrail.io/index.php?/cases/view/38877,Status Filter,Imported works alone: picking it greys out the other filters,60,KEEP,T1,,,Imported exclusivity gate (separate data source) — combined-filter corruption risk; explicitly regression-flagged by engineering; pending Branko confirmation.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S2-R7;S2-N4 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 60 chars (<=80)
FLT-CUST-01,C29566,https://shopview.testrail.io/index.php?/cases/view/29566,Customer Filter,Customer chip opens a dropdown with a search field and a customer list,70,KEEP,T2,MG5-DROPDOWN-OPEN,FLT-CUST-01,"The searchable multi-select dropdown's open state (search field, list, 'Clear selection'); survivor of MG5 (gains the Technician/Advisor twins as repeat checks).",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 70 chars (<=80)
FLT-CUST-02,C29567,https://shopview.testrail.io/index.php?/cases/view/29567,Customer Filter,Typing in the customer search narrows the list to matching names,64,KEEP,T2,MG6-TYPEAHEAD,FLT-CUST-02,Type-ahead narrowing of the shared people list; survivor of MG6 (gains the Technician/Advisor repeat checks).,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 64 chars (<=80)
FLT-CUST-03,C29568,https://shopview.testrail.io/index.php?/cases/view/29568,Customer Filter,Selected customers show as removable tags and as ticks in the list,66,KEEP,T2,MG7-TAG-SELECT,FLT-CUST-03,Tag/checkmark multi-select contract incl. ellipsis and the no-limit decision; survivor of MG7 (gains the remove-one-tag half).,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R3;S3-R4 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 66 chars (<=80)
FLT-CUST-04,C29569,https://shopview.testrail.io/index.php?/cases/view/29569,Customer Filter,Clicking the x on a customer tag removes just that customer from the selection,78,MERGE,T2,MG7-TAG-SELECT,FLT-CUST-03,Absorbed into FLT-CUST-03 (C29568): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R5 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 78 chars (<=80)
FLT-CUST-05,C29570,https://shopview.testrail.io/index.php?/cases/view/29570,Customer Filter,The table shows only work orders belonging to any of the selected customers,75,KEEP,T1,,,"Customer-ACCOUNT filtering semantics (not the contact person, per engineering G3) — a wrong-field bug here misfilters every customer's list.",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R6;S2-R6 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 75 chars (<=80)
FLT-CUST-06,C29571,https://shopview.testrail.io/index.php?/cases/view/29571,Customer Filter,Clear selection in the Customer dropdown removes all selected customers,71,MERGE,T2,MG1-CLEAR-SELECTION,FLT-CHIP-05,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R7;S8-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 71 chars (<=80)
FLT-CUST-07,C29572,https://shopview.testrail.io/index.php?/cases/view/29572,Customer Filter,Clicking outside the Customer dropdown closes it and the selections remain,74,MERGE,T2,MG2-CLICK-OUTSIDE,FLT-STAT-05,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-R8 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 74 chars (<=80)
FLT-CUST-08,C29573,https://shopview.testrail.io/index.php?/cases/view/29573,Customer Filter,Customer search with no matching name shows a no-results message in the list,76,KEEP,T2,,,"In-dropdown no-results message — correctly authored ONCE for the shared search list, not per filter.",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-N1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 76 chars (<=80)
FLT-CUST-09,C29574,https://shopview.testrail.io/index.php?/cases/view/29574,Customer Filter,A customer with no work orders is still listed; picking them shows no rows,74,KEEP,T2,,,"Customers with no work orders must still be offered in the list (S3-E1) — a real selectable-options bug, plus the empty-result leg.",carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S3-E1;S3-N2;S8-R3 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 74 chars (<=80)
FLT-TECH-01,C29575,https://shopview.testrail.io/index.php?/cases/view/29575,Lead Technician Filter,Lead Technician chip opens a dropdown with a search field and a list,68,MERGE,T2,MG5-DROPDOWN-OPEN,FLT-CUST-01,Absorbed into FLT-CUST-01 (C29566): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-R1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 68 chars (<=80)
FLT-TECH-02,C29576,https://shopview.testrail.io/index.php?/cases/view/29576,Lead Technician Filter,Typing in the technician search narrows the list to matching names,66,MERGE,T2,MG6-TYPEAHEAD,FLT-CUST-02,Absorbed into FLT-CUST-02 (C29567): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 66 chars (<=80)
FLT-TECH-03,C29577,https://shopview.testrail.io/index.php?/cases/view/29577,Lead Technician Filter,Selecting technicians shows only work orders where they are the lead technician,79,KEEP,T1,,,Lead-only matching — the one semantic that distinguishes this filter from 'any assigned technician'; a classic wrong-field bug.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-R3;S4-R4 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 79 chars (<=80)
FLT-TECH-04,C29578,https://shopview.testrail.io/index.php?/cases/view/29578,Lead Technician Filter,Clear selection in the Lead Technician dropdown removes all selected technicians,80,MERGE,T2,MG1-CLEAR-SELECTION,FLT-CHIP-05,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-R5;S8-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 80 chars (<=80)
FLT-TECH-05,C29579,https://shopview.testrail.io/index.php?/cases/view/29579,Lead Technician Filter,Clicking outside the Lead Technician dropdown closes it,55,MERGE,T2,MG2-CLICK-OUTSIDE,FLT-STAT-05,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-R6 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 55 chars (<=80)
FLT-TECH-06,C29580,https://shopview.testrail.io/index.php?/cases/view/29580,Lead Technician Filter,Selecting a technician who leads no work orders shows the empty state,69,MERGE,T2,MG3-EMPTY-STATE,FLT-EMPTY-01,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-N1;S8-R3 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 69 chars (<=80)
FLT-TECH-07,C29581,https://shopview.testrail.io/index.php?/cases/view/29581,Lead Technician Filter,A deactivated technician does not appear in the Lead Technician filter list,75,KEEP,T2,MG8-DEACTIVATED-STAFF,FLT-TECH-07,Deactivated staff excluded from the filter list (activeOnly per engineering G5); survivor of MG8 (gains the Advisor twin).,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S4-E1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 75 chars (<=80)
FLT-ADV-01,C29582,https://shopview.testrail.io/index.php?/cases/view/29582,Service Advisor Filter,Service Advisor chip opens a dropdown with a search field and a list,68,MERGE,T2,MG5-DROPDOWN-OPEN,FLT-CUST-01,Absorbed into FLT-CUST-01 (C29566): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S5-R1 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 68 chars (<=80)
FLT-ADV-02,C29583,https://shopview.testrail.io/index.php?/cases/view/29583,Service Advisor Filter,Typing in the advisor search narrows the list to matching names,63,MERGE,T2,MG6-TYPEAHEAD,FLT-CUST-02,Absorbed into FLT-CUST-02 (C29567): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S5-R2 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 63 chars (<=80)
FLT-ADV-03,C29584,https://shopview.testrail.io/index.php?/cases/view/29584,Service Advisor Filter,Selecting advisors shows only work orders assigned to those advisors,68,KEEP,T1,,,Advisor-assignment filtering semantics on its own backing field; wrong-field bugs are per-filter distinct.,carried forward from the 2026-07-31 usefulness audit,SENSIBLE,"Cold-read PASS (full body read this pass): preconditions reachable and seeding stated where needed, steps executable in the order given, expected follows from the steps, no internal contradiction, every control traceable to the v1.6 spec or the captured design (anything unpinned is explicitly hedged), and pass/fail is observable.",YES — S5-R3;S5-R4 (YES),no Jira ticket exists for Filters (stated - never invented),YES — plain wording; no internal ids / spec anchors / Jira keys / VIU jargon in any tester-facing field; numbered preconditions+steps+expected 1..n; title 68 chars (<=80)
