spec,line_no,class,section,story,requirement_id,raw_line
SBC,151,REQ-DEF,Requirements,2,S2-N1,"- **S2-N1:** If the chosen date range contains no matching invoices, the table shows the empty-state message (see Story 17)."
SBC,152,REQ-DEF,Requirements,2,S2-N2,"- **S2-N2:** A Custom range wider than 366 days cannot be applied. If the user picks a start and end date more than 366 days apart, the report prevents the selection rather than loading the wider range."
SBC,154,HEADING,Requirements,3,,### Story 3: Filter by product type
SBC,156,STORY-INTRO,Requirements,3,,"Limit the report to service invoices, parts invoices, or both."
SBC,158,LABEL,Requirements,3,,**Design:** See Story 20 **Jira:** TBD
SBC,160,LABEL,Requirements,3,,**Prerequisites:**
SBC,162,PREREQ,Requirements,3,,- User is on the Sales By Customer report.
SBC,164,LABEL,Requirements,3,,**Requirements:**
SBC,166,REQ-DEF,Requirements,3,S3-R1,"- **S3-R1:** A ""Product Type"" dropdown is visible in the report toolbar."
SBC,167,REQ-DEF,Requirements,3,S3-R2,"- **S3-R2:** The dropdown offers exactly three options, in this order: ""Parts & Service,"" ""Parts only,"" ""Service only."""
SBC,168,REQ-DEF,Requirements,3,S3-R3,"- **S3-R3:** ""Parts & Service"" is the default selection on first load."
SBC,169,REQ-DEF,Requirements,3,S3-R4,"- **S3-R4:** When ""Parts & Service"" is selected, no product-type filter is applied."
SBC,170,REQ-DEF,Requirements,3,S3-R5,"- **S3-R5:** When ""Service only"" is selected, the report includes only invoices whose number starts with S."
SBC,171,REQ-DEF,Requirements,3,S3-R6,"- **S3-R6:** When ""Parts only"" is selected, the report includes only invoices whose number starts with P."
SBC,172,REQ-DEF,Requirements,3,S3-R7,"- **S3-R7:** The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line."
SBC,173,REQ-DEF,Requirements,3,S3-R8,- **S3-R8:** Changing the Product Type is remembered between visits — see Story 6.
SBC,175,LABEL,Requirements,3,,**Negative cases:**
SBC,177,REQ-DEF,Requirements,3,S3-N1,"- **S3-N1:** If the selection produces no matching invoices, the table shows the empty-state message (see Story 17)."
SBC,179,HEADING,Requirements,4,,### Story 4: Filter by location
SBC,181,STORY-INTRO,Requirements,4,,"Scope the report to one, several, or all of the locations the user has access to."
SBC,183,LABEL,Requirements,4,,**Design:** See Story 20 **Jira:** TBD
SBC,185,LABEL,Requirements,4,,**Prerequisites:**
SBC,187,PREREQ,Requirements,4,,- User is on the Sales By Customer report.
SBC,189,LABEL,Requirements,4,,**Requirements:**
SBC,191,REQ-DEF,Requirements,4,S4-R1,"- **S4-R1:** A location filter is visible in the report toolbar, as the rightmost filter."
SBC,192,REQ-DEF,Requirements,4,S4-R2,- **S4-R2:** The filter lists the locations the signed-in user has access to.
SBC,193,REQ-DEF,Requirements,4,S4-R3,"- **S4-R3:** The filter also offers an ""All locations"" option, pinned to the top, that selects or clears every listed location at once."
SBC,194,REQ-DEF,Requirements,4,S4-R4,"- **S4-R4:** On first load, the filter defaults to the location the user is currently working in (their active location) — a single location."
SBC,195,REQ-DEF,Requirements,4,S4-R5,"- **S4-R5:** When the user selects one or more locations, the report includes only data from those locations."
SBC,196,REQ-DEF,Requirements,4,S4-R6,"- **S4-R6:** When the user selects ""All locations,"" the report includes data from every location the user has access to."
SBC,197,REQ-DEF,Requirements,4,S4-R7,- **S4-R7:** An administrator has access to every location in the organization.
SBC,198,REQ-DEF,Requirements,4,S4-R8,- **S4-R8:** A non-administrator has access to the locations assigned to them.
SBC,199,REQ-DEF,Requirements,4,S4-R9,"- **S4-R9:** The report never includes data from a location the user does not have access to, regardless of what is requested."
SBC,200,REQ-DEF,Requirements,4,S4-R10,- **S4-R10:** The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.
SBC,201,REQ-DEF,Requirements,4,S4-R11,- **S4-R11:** Changing the location selection is remembered between visits — see Story 6.
SBC,202,REQ-DEF,Requirements,4,S4-R12,"- **S4-R12:** When more than one location is in scope, the report shows a per-row Location column; the column is hidden when a single location is in scope."
SBC,203,REQ-DEF,Requirements,4,S4-R12a,"- **S4-R12a:** In the Location column, a customer or asset row whose invoices are all at one location shows that location's name; a customer or asset row that aggregates invoices from more than one location shows ""Multiple""; an invoice detail row always shows its exact location."
SBC,204,REQ-DEF,Requirements,4,S4-R13,"- **S4-R13:** Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected. When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column."
SBC,206,LABEL,Requirements,4,,**Negative cases:**
SBC,208,REQ-DEF,Requirements,4,S4-N1,"- **S4-N1:** If the user requests a location they do not have access to, that location is ignored; the report does not widen to the whole organization."
SBC,209,REQ-DEF,Requirements,4,S4-N2,"- **S4-N2:** If the selected locations contain no matching invoices, the table shows the empty-state message (see Story 17)."
SBC,211,HEADING,Requirements,5,,### Story 5: (removed — search consolidated into the Customer filter)
SBC,213,STORY-INTRO,Requirements,5,,"> *\* This report no longer uses the application's global search bar. Narrowing to a specific customer is done entirely with the multi-select Customer filter (Story 18), which offers search-as-you-type over customer names. The export-narrowing behavior that previously lived here (an export contains exactly the customers currently shown; an empty selection still downloads a headers-plus-zero-totals file) moved into Story 18 (S18-R7, S18-R10). The story number is retained as a placeholder so the later story numbers and every ""See Story 20"" design reference remain stable.*"
SBC,215,HEADING,Requirements,6,,### Story 6: Remember filters and view between visits
SBC,217,STORY-INTRO,Requirements,6,,"Restore the user's last filters, sort, and columns when they return to the report."
SBC,219,LABEL,Requirements,6,,**Design:** See Story 20 **Jira:** TBD
SBC,221,LABEL,Requirements,6,,**Prerequisites:**
SBC,223,PREREQ,Requirements,6,,- User is on the Sales By Customer report.
SBC,225,LABEL,Requirements,6,,**Requirements:**
SBC,227,REQ-DEF,Requirements,6,S6-R1,- **S6-R1:** The report saves the user's view to the browser so it can be restored on the next visit.
SBC,228,REQ-DEF,Requirements,6,S6-R2,"- **S6-R2:** The saved view includes: the date range, the Product Type, the location selection, the Customer filter selection, the sort column and direction, and the visible columns."
SBC,229,REQ-DEF,Requirements,6,S6-R3,"- **S6-R3:** The saved view does not include the Customer filter's type-ahead search text, expansion state, or scroll position."
SBC,231,CONTEXT-NOTE,Requirements,6,S6-R3,"> *\* Context note: the Customer filter's search text is a transient way to find a name in the dropdown, not a saved setting — only the resulting customer selection is saved (S18-R8); expansion is treated as fresh each visit so a returning user is not faced with rows expanded against data they have not looked at yet.*"
SBC,232,REQ-DEF,Requirements,6,S6-R4,"- **S6-R4:** On load, the report shows the restored view immediately — the default view is never shown first and then replaced."
SBC,233,REQ-DEF,Requirements,6,S6-R5,"- **S6-R5:** On restore, any saved value that is no longer valid is discarded, and that setting uses its default instead."
SBC,234,REQ-DEF,Requirements,6,S6-R6,"- **S6-R6:** A saved value is treated as no longer valid when it is an unknown date range, a location the user no longer has access to, a sort column that no longer exists, or a column set that does not match the current columns."
SBC,235,REQ-DEF,Requirements,6,S6-R7,- **S6-R7:** The saved view is specific to this report and does not affect any other report.
SBC,237,LABEL,Requirements,6,,**Negative cases:**
SBC,239,REQ-DEF,Requirements,6,S6-N1,"- **S6-N1:** If no saved view exists (first visit, or cleared browser storage), every setting uses the default defined in its own story: date range (S2-R5), Product Type (S3-R3), location (S4-R4), the Customer filter (S18-R4 — all customers selected), sort (S10-R4), and visible columns (S13-R7)."
SBC,241,HEADING,Requirements,7,,### Story 7: View customer summary rows
SBC,243,STORY-INTRO,Requirements,7,,Show one row per customer that rolls up their revenue.
SBC,245,LABEL,Requirements,7,,**Design:** See Story 20 **Jira:** TBD
SBC,247,LABEL,Requirements,7,,**Prerequisites:**
SBC,249,PREREQ,Requirements,7,,- User is on the Sales By Customer report with at least one customer in the set of customers.
SBC,251,LABEL,Requirements,7,,**Requirements:**
SBC,253,REQ-DEF,Requirements,7,S7-R1,- **S7-R1:** Each customer occupies one summary row at the top level of the table.
SBC,254,REQ-DEF,Requirements,7,S7-R2,- **S7-R2:** The customer's name is shown at the start of the row.
SBC,255,REQ-DEF,Requirements,7,S7-R3,"- **S7-R3:** The number of invoices contributing to that customer's totals in the current view is shown in parentheses immediately after the name — for example, Acme Corp (5)."
SBC,256,REQ-DEF,Requirements,7,S7-R4,"- **S7-R4:** That invoice count is rendered in the color #616161 at font-weight 600, the same font size as the name."
SBC,257,REQ-DEF,Requirements,7,S7-R5,"- **S7-R5:** The count reflects the active date range, Product Type, and location; it is not a lifetime count."
SBC,258,REQ-DEF,Requirements,7,S7-R6,"- **S7-R6:** The summary row totals the customer's matching invoices for each financial column: Inv. Hrs, Labor Invoiced, Labor Margin, Parts Invoiced, Parts Margin, Shop Supplies, Margin, Margin %, and Subtotal."
SBC,259,REQ-DEF,Requirements,7,S7-R7,"- **S7-R7:** A reversed or voided invoice is excluded from every row, count, and total, regardless of the Product Type filter."
SBC,260,REQ-DEF,Requirements,7,S7-R8,- **S7-R8:** The Date cell on the summary row is blank.
SBC,261,REQ-DEF,Requirements,7,S7-R9,"- **S7-R9:** Every cell on a customer summary row uses font-weight 600, except the Subtotal cell."
SBC,262,REQ-DEF,Requirements,7,S7-R10,- **S7-R10:** The Subtotal cell on a customer summary row uses font-weight 700.
SBC,263,REQ-DEF,Requirements,7,S7-R11,"- **S7-R11 (Margin %):** The Margin % column shows the row's Margin divided by its Subtotal, times 100, to one decimal with a percent sign — for example, 64.7%."
SBC,264,REQ-DEF,Requirements,7,S7-R12,"- **S7-R12:** When the row's Subtotal is zero or below, the Margin % cell shows an em dash."
SBC,265,REQ-DEF,Requirements,7,S7-R13,- **S7-R13:** Margin % is monochrome — it has no green or red coloring.
SBC,266,REQ-DEF,Requirements,7,S7-R14,"- **S7-R14:** The Margin % calculation and format (S7-R11, S7-R12) apply the same way to customer rows, asset rows, and invoice rows."
SBC,267,REQ-DEF,Requirements,7,S7-R15,"- **S7-R15:** Every row type — customer, asset, invoice, totals — renders the same columns in the same left-to-right order."
SBC,268,REQ-DEF,Requirements,7,S7-R16,"- **S7-R16:** A cell with no value for its row (for example, the Date cell on a customer or asset row) is left blank and keeps its column position; no value moves into another column."
SBC,270,LABEL,Requirements,7,,**Negative cases:**
SBC,272,REQ-DEF,Requirements,7,S7-N1,- **S7-N1:** A customer with no matching invoices in the current view is not shown.
SBC,273,REQ-DEF,Requirements,7,S7-N2,"- **S7-N2:** A reversed or voided invoice never appears as an invoice row and never adds to any count or total, even under ""Parts & Service."""
SBC,275,HEADING,Requirements,8,,"### Story 8: Expand a customer to its assets, and an asset to its invoices"
SBC,277,STORY-INTRO,Requirements,8,,"Drill from a customer down to the vehicles the work was done on, then to the individual invoices."
SBC,279,LABEL,Requirements,8,,**Design:** See Story 20 **Jira:** TBD
SBC,281,LABEL,Requirements,8,,**Prerequisites:**
SBC,283,PREREQ,Requirements,8,,- User is on the Sales By Customer report.
SBC,285,LABEL,Requirements,8,,**Requirements:**
SBC,287,REQ-DEF,Requirements,8,S8-R1,- **S8-R1:** Each customer summary row has a chevron control that toggles its asset rows.
SBC,288,REQ-DEF,Requirements,8,S8-R2,"- **S8-R2:** Activating a customer's chevron reveals that customer's asset rows beneath the summary row — one row per vehicle the customer's invoices were done on, plus the ""Parts Sales"" bucket (S8-R6) when there is no-vehicle work."
SBC,289,REQ-DEF,Requirements,8,S8-R3,"- **S8-R3:** Invoices are grouped into one asset row when they reference the same vehicle record (the same vehicle id). For an older invoice that has no vehicle id on file, the invoice's own stored vehicle snapshot is used as the grouping key instead of a vehicle id."
SBC,290,REQ-DEF,Requirements,8,S8-R4,- **S8-R4:** Each asset row has its own chevron; activating it reveals the invoice detail rows for that asset.
SBC,291,REQ-DEF,Requirements,8,S8-R5,"- **S8-R5:** An asset row shows a vehicle icon, the asset label (S8-R7), and the asset's invoice count in parentheses."
SBC,292,REQ-DEF,Requirements,8,S8-R5a,"- **S8-R5a:** An asset row shows the same financial columns as the customer row, rolled up for that asset."
SBC,293,REQ-DEF,Requirements,8,S8-R5b,- **S8-R5b:** The Date cell is blank on asset rows.
SBC,294,REQ-DEF,Requirements,8,S8-R5c,- **S8-R5c:** Asset rows are indented one level under the customer.
SBC,295,REQ-DEF,Requirements,8,S8-R6,"- **S8-R6:** A customer's work with no vehicle collects under a single row labeled ""Parts Sales,"" always sorted last among that customer's assets."
SBC,297,CONTEXT-NOTE,Requirements,8,S8-R6,"> *\* Context note: a service work order always has a vehicle, so no-vehicle work is treated as a parts sale.*"
SBC,298,REQ-DEF,Requirements,8,S8-R6a,"- **S8-R6a:** A customer's real asset rows are ordered A→Z by their label, case-insensitive; the ""Parts Sales"" bucket is always last, whatever the active column sort."
SBC,299,REQ-DEF,Requirements,8,S8-R7,- **S8-R7 (asset label — primary):** The asset label is the vehicle's VIN.
SBC,300,REQ-DEF,Requirements,8,S8-R8,"- **S8-R8 (asset label — first fallback):** When the vehicle has no VIN, the label is the vehicle's Unit number."
SBC,301,REQ-DEF,Requirements,8,S8-R9,"- **S8-R9 (asset label — second fallback):** When the vehicle has no VIN and no Unit number, the label is the vehicle's plate."
SBC,302,REQ-DEF,Requirements,8,S8-R10,"- **S8-R10 (asset label — nothing on file):** When the vehicle has no VIN, Unit number, or plate, the label reads ""Unknown Asset."""
SBC,303,REQ-DEF,Requirements,8,S8-R11,"- **S8-R11 (asset label — duplicates):** When two of a customer's assets still produce the same label, a suffix "" (#1),"" "" (#2),"" and so on is added, numbered in a fixed, repeatable order so the same vehicle always keeps the same number across reloads."
