"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
600-421-03CP,"KIT, HI BOOM","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",2.00,"$1,862.67","$2,419.05","$3,725.34","$4,838.10","$1,112.76",23.0%
ATFMVDD,"ATF Bulk- Mobil 1 Multi Vehicle ",HD-Fluids,—,"Staging Lethbridge - 4310",480.00,$7.63,$12.51,"$3,662.40","$6,004.80","$2,342.40",39.0%
125148,"HDEO 10W30 OIL",HD-Fluids,—,"Staging Lethbridge - 4310",955.00,$3.76,$6.84,"$3,590.80","$6,532.20","$2,941.40",45.0%
W4515Q,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Lethbridge - 4310",88.00,$39.85,$92.58,"$3,506.80","$8,147.04","$4,640.24",57.0%
MD668D,"ATF Bulk- Mobil Delvac 1 ATF 668 ",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919",311.00,$11.10,$17.08,"$3,452.10","$5,311.88","$1,859.78",35.0%
ARW-3922308,"LOAD HOLD VALVE 144 1ST BOOM","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,"$3,419.40","$4,274.25","$3,419.40","$4,274.25",$854.85,20.0%
HIB9810323,"HIAB 144 SOLENOID","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",5.00,$673.55,$948.70,"$3,367.75","$4,743.50","$1,375.75",29.0%
SHL550045128P,"15W40 ROTELLA T4, 18.9L [PAIL]",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",42.50,$79.13,$113.05,"$3,363.03","$4,804.63","$1,441.60",30.0%
110004688,"2200 PINTLE HITCH, 2-1/8"" (COUPLING, REAR MT)","HD-Trailer Comp","Wuboro Farms","Staging Lethbridge - 4310",5.00,$670.94,$958.50,"$3,354.70","$4,792.50","$1,437.80",30.0%
WEB5013913A,"AIRTOP 2000STC W/BLUETOOTH","HD-Cooling & HVAC",—,"Staging Lethbridge - 4310",3.00,"$1,027.65","$1,388.77","$3,082.95","$4,166.31","$1,083.36",26.0%
HDEO13,"10W30 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919",792.00,$3.76,$6.84,"$2,977.92","$5,417.28","$2,439.36",45.0%
BRAKECLEAN,"Brake & Parts Cleaner",HD-Fluids,—,"Staging Heavy Duty - 9919",618.00,$4.79,$7.99,"$2,960.22","$4,937.82","$1,977.60",40.1%
KL-TF4090,"SAE 50 SYNTHETIC TRANSMISSION FLUID BULK (122205) (PER LITER)",HD-Fluids,"Faspring Maintenance","Staging Heavy Duty - 9919",259.00,$11.31,$17.40,"$2,929.29","$4,506.60","$1,577.31",35.0%
MDS79DD,"75W90 Bulk- Mobil Delvac 1 Gear Oil",HD-Fluids,"Faspring Maintenance","Staging Heavy Duty - 9919",296.00,$9.55,$15.66,"$2,826.80","$4,635.36","$1,808.56",39.0%
3719022R,"Outrigger leg hiab 144","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",1.00,"$2,800.00","$3,544.24","$2,800.00","$3,544.24",$744.24,21.0%
550045513,"Shell Tallus S2 VX32, AW46 Hydraulic Oil, 18.9L Pail",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",24.00,$114.99,$164.27,"$2,759.76","$3,942.48","$1,182.72",30.0%
257002-448,"5W40 Synthetic, Chevron Delo 400 XSP, /L",HD-Fluids,"Nevale Foods","Staging Heavy Duty - 9919",363.00,$7.55,$12.38,"$2,740.65","$4,493.94","$1,753.29",39.0%
R8244707AB,"VALVE BODY ASSY, REMAN (TRANSMISSION)","HD-Transmission & Clutch","Quboro Concrete","Staging Lethbridge - 4310",1.00,"$2,548.00","$3,309.09","$2,548.00","$3,309.09",$761.09,23.0%
"S400 500 1010","WABCO ABS ECU/VALVE ASSEMBLY (2S/1M FOR STD TRAILERS)","HD-Trailer Brake Comp","Toshore Electrical","Staging Lethbridge - 4310",3.00,$769.00,"$1,083.14","$2,307.00","$3,249.42",$942.42,29.0%
550045506,"Shell Tellus VX32, AW32 Hydraulic Oil, 18.9L",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",20.50,$112.25,$160.36,"$2,301.13","$3,287.38",$986.25,30.0%
W4707QP,"Brake Shoe Kit w/ Hardware, 16.5x7, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Lethbridge - 4310",55.00,$41.46,$94.33,"$2,280.30","$5,188.15","$2,907.85",56.1%
1809395,"DRIVER SIDE GLASS","HD-Body Exterior","Botown Retail","Staging Heavy Duty - 9919",1.00,"$2,229.62","$2,933.73","$2,229.62","$2,933.73",$704.11,24.0%
615-23-24-10.5B,"HANNAY SPRG TWIN HOSE REEL","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",2.00,"$1,100.00","$1,466.63","$2,200.00","$2,933.26",$733.26,25.0%
MD668D,"ALLISON SYNTHETIC TES 295 HD668",HD-Fluids,"Hibridge Supply","Staging Lethbridge - 4310",195.00,$11.22,$17.26,"$2,187.90","$3,365.70","$1,177.80",35.0%
SB3636S3000,"36/36 LONG STROKE SPRING BRAKE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",31.00,$69.95,$120.60,"$2,168.45","$3,738.60","$1,570.15",42.0%
W3600AX,"Brake Drum, 16.5x7","HD-Heavy Duty Drums","Qucastle Excavating","Staging Lethbridge - 4310",34.00,$63.48,$140.89,"$2,158.32","$4,790.26","$2,631.94",54.9%
104775,"AW32 Hydraulic Oil, Univis N 32",HD-Fluids,"Zocrest Maintenance","Staging Lethbridge - 4310",209.00,$10.12,$15.57,"$2,115.08","$3,254.13","$1,139.05",35.0%
AS-530-TOTE,"Bulk 5w30 Synthetic Oil (tote)",HD-Fluids,"Aiboro Rentals","Staging Lethbridge - 4310",506.00,$4.15,$7.55,"$2,099.90","$3,820.30","$1,720.40",45.0%
5013920A,"Thermo Top Evo Heater Kit with SmarTemp 3.0 Bluetooth","HD-Cooling & HVAC","Enson Forestry","Staging Heavy Duty - 9919",2.00,"$1,024.76","$1,530.10","$2,049.52","$3,060.20","$1,010.68",33.0%
MOB122046,"75W90 BULK GEAR OIL, PER LITER",HD-Fluids,—,"Staging Lethbridge - 4310",238.11,$8.45,$13.85,"$2,012.03","$3,297.82","$1,285.79",39.0%
W4715QP,"Brake Shoe Kit w/ Hardware, 16.5x6, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Lethbridge - 4310",50.00,$39.90,$122.51,"$1,995.00","$6,125.50","$4,130.50",67.4%
C10892525AM,"EverTough Manual Adjust Clutch Assembly 15.5""","HD-Drive Train",—,"Staging Heavy Duty - 9919",2.00,$971.45,"$1,330.79","$1,942.90","$2,661.58",$718.68,27.0%
W4715QP,"Brake Shoe Kit w/ Hardware, 16.5x6, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating","Staging Heavy Duty - 9919",48.00,$39.90,$122.51,"$1,915.20","$5,880.48","$3,965.28",67.4%
6TH8NC,"#6 HYD. HOSE NON-CONDUCTIVE X10356 4467-1203","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",150.00,$12.69,$24.40,"$1,903.50","$3,660.00","$1,756.50",48.0%
MN15532,"AXLE ADAPTER ROUND NEWAY","HD-Drive Train",—,"Staging Lethbridge - 4310",14.00,$135.06,$223.24,"$1,890.84","$3,125.36","$1,234.52",39.5%
FLTC30301305,"30/30 STANDARD/REGULAR STROKE BRAKE CHAMBER, 13"" ROD","HD-Heavy Duty Brake Comp","Xawick Consulting","Staging Lethbridge - 4310",39.00,$46.98,$91.81,"$1,832.22","$3,580.59","$1,748.37",48.8%
KL-TF7490,"TDTO-4 ARCTIC FULL SYNTHETIC",HD-Fluids,—,"Staging Heavy Duty - 9919",203.00,$8.85,$14.51,"$1,796.55","$2,945.53","$1,148.98",39.0%
4657-1571,"16M2T #16 HYD HOSE SAE100R16 1""","HD-Hose & Fittings","Uushore Mining","Staging Lethbridge - 4310",153.00,$11.55,$22.21,"$1,767.15","$3,398.13","$1,630.98",48.0%
ASL46,"SYN COMPRESSOR LUBRICANT","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",4.00,$435.00,$639.71,"$1,740.00","$2,558.84",$818.84,32.0%
C0125-SA,"DPF Kit, Cummins ISC/ISL",HD-Emissions,"Uview Equipment","Staging Heavy Duty - 9919",1.00,"$1,713.20","$2,224.93","$1,713.20","$2,224.93",$511.73,23.0%
151.6700BA-LW,"16.5X7 LIGHT WEIGHT BRAKE DRUM ","HD-Heavy Duty Drums",—,"Staging Lethbridge - 4310",8.00,$211.85,$294.24,"$1,694.80","$2,353.92",$659.12,28.0%
R134A,Refrigerant,HD-Fluids,—,"Staging Lethbridge - 4310",113.99,$14.56,$22.40,"$1,659.69","$2,553.38",$893.69,35.0%
125477,"MOBIL SPECIAL 5W30, BULK",HD-Fluids,—,"Staging Lethbridge - 4310",487.00,$3.36,$6.11,"$1,636.32","$2,975.57","$1,339.25",45.0%
330K065,"OUTRIGGER FOOT, BALL JOINT STYLE","HD-Equipment & Hydraulics","Babrook Distributors","Staging Lethbridge - 4310",5.00,$325.86,$493.74,"$1,629.30","$2,468.70",$839.40,34.0%
S31S-950,"Group 31 Battery- Stud Post 950CCA",HD-Batteries,"Enson Forestry","Staging Heavy Duty - 9919",17.00,$92.00,$141.54,"$1,564.00","$2,406.18",$842.18,35.0%
HCG200FRN8Z,"PALL SUPRALON FILTER (GLASS FIBER 7 MICRON)",HD-Filters,"Quspring Concrete","Staging Heavy Duty - 9919",8.00,$194.34,$277.63,"$1,554.72","$2,221.04",$666.32,30.0%
5566893,"EGR Cooler Kit, ISB","HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,"$1,530.57","$1,987.75","$1,530.57","$1,987.75",$457.18,23.0%
KEG24711QP,"Brake Shoe Kit, New, Coreless","HD-Heavy Duty Shoes",—,"Staging Heavy Duty - 9919",15.00,$99.98,$162.57,"$1,499.70","$2,438.55",$938.85,38.5%
REC16424,"GREEN 50/50 COOLANT/ANTIFREEZE","HD-Cooling & HVAC",—,"Staging Lethbridge - 4310",172.00,$8.69,$18.89,"$1,494.68","$3,249.08","$1,754.40",54.0%
27001,"3/16"" FUEL HOSE 25'","HD-Hose & Fittings","Reson Farms","Staging Lethbridge - 4310",25.00,$59.61,$99.35,"$1,490.25","$2,483.75",$993.50,40.0%
124518,"MOBIL SPECIAL 5W20, BULK",HD-Fluids,—,"Staging Lethbridge - 4310",439.30,$3.39,$6.16,"$1,489.23","$2,706.09","$1,216.86",45.0%
SAFXA351ALP,"PLATE S/A - 5TH WHEEL","HD-Trailer Comp",—,"Staging Lethbridge - 4310",1.00,"$1,468.89","$1,985.06","$1,468.89","$1,985.06",$516.17,26.0%
A4720921705,"Fuel Filter Kit",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",12.00,$121.54,$162.91,"$1,458.48","$1,954.92",$496.44,25.4%
266037-01R,"Maxon Liftgate Cylinder, Reman","HD-Equipment & Hydraulics","Oubay Excavating","Staging Heavy Duty - 9919",3.00,$474.00,$879.99,"$1,422.00","$2,639.97","$1,217.97",46.1%
AUR5F,"5FT AMBER LED WHIP W/FLAG","AUTO-Accessories (Gauges, Power Accessories, Vision & Air bag)","Aiboro Rentals","Staging Lethbridge - 4310",5.00,$280.77,$492.58,"$1,403.85","$2,462.90","$1,059.05",43.0%
ARW-9835857,"TWIN HOSE ASSY","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",2.00,$698.26,$983.50,"$1,396.52","$1,967.00",$570.48,29.0%
FLTEG24709E223,"REMANUFACTURED BRAKE SHOE KIT","HD-Heavy Duty Shoes",—,"Staging Lethbridge - 4310",23.00,$58.99,$103.49,"$1,356.77","$2,380.27","$1,023.50",43.0%
SAP084-23084,"DIN HYDRAULIC PTO PISTON PUMP","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",1.00,"$1,346.01","$1,771.08","$1,346.01","$1,771.08",$425.07,24.0%
339-273,"SERVICE KIT","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$672.07,$960.12,"$1,344.14","$1,920.24",$576.10,30.0%
2431069,"HARNESS, ECM TO VALVE COVER FRONT AND REAR","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",1.00,"$1,320.20","$1,784.12","$1,320.20","$1,784.12",$463.92,26.0%
339-255,"PIVOT KIT","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",2.00,$644.42,$920.62,"$1,288.84","$1,841.24",$552.40,30.0%
REC15204,"'-40C Windshield Washer Fluid",HD-Fluids,"Xawick Consulting","Staging Lethbridge - 4310",297.00,$4.32,$6.65,"$1,283.04","$1,975.05",$692.01,35.0%
"HDR 21140 007","R650 ADAPTER ASSEMBLY","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",4.00,$316.74,$487.30,"$1,266.96","$1,949.20",$682.24,35.0%
KL-IO5180,"ISO 46 SYN COMPRESSOR OIL, 18.9L [PAIL]",HD-Fluids,—,"Staging Heavy Duty - 9919",6.00,$210.00,$300.01,"$1,260.00","$1,800.06",$540.06,30.0%
W3687AX,"Brake Drum, 16.5x6","HD-Heavy Duty Drums","Qucastle Excavating","Staging Heavy Duty - 9919",20.00,$62.85,$292.00,"$1,257.00","$5,840.00","$4,583.00",78.5%
W3687AX,"Brake Drum, 16.5x6","HD-Heavy Duty Drums","Qucastle Excavating","Staging Lethbridge - 4310",20.00,$62.85,$292.00,"$1,257.00","$5,840.00","$4,583.00",78.5%
SH550057739,"COOLANT, RED HD (4L)",HD-Fluids,"Lawood Transport","Staging Lethbridge - 4310",152.00,$8.25,$13.52,"$1,254.00","$2,055.04",$801.04,39.0%
43-1835,"Leaf Spring, Ford F-550","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$625.34,$893.36,"$1,250.68","$1,786.72",$536.04,30.0%
5010666B,"24V WEBASTO thermo pro 50, standard kit","HD-Cooling & HVAC",—,"Staging Lethbridge - 4310",1.00,"$1,249.97","$1,689.21","$1,249.97","$1,689.21",$439.24,26.0%
9863958,"HIAB ANGLE COUPLING","HD-Equipment & Hydraulics","Iuboro Transport","Staging Lethbridge - 4310",10.00,$124.41,$203.95,"$1,244.10","$2,039.50",$795.40,39.0%
556-1302,SHAFT,"HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",2.00,$616.90,$868.90,"$1,233.80","$1,737.80",$504.00,29.0%
AS-520-208,"Bulk 5w20 Synthetic Oil (drum)",HD-Fluids,"Aiboro Rentals","Staging Lethbridge - 4310",208.00,$5.84,$10.07,"$1,214.72","$2,094.56",$879.84,42.0%
KL-TF3190,"HD SYNTHETIC ATF",HD-Fluids,"Zocrest Maintenance","Staging Lethbridge - 4310",105.50,$11.40,$17.54,"$1,202.70","$1,850.47",$647.77,35.0%
FPK109962WCX,"DISC BRAKE CALIPER, LH ADB22","HD-Heavy Duty Brake Comp","Toshore Electrical","Staging Lethbridge - 4310",2.00,$599.00,$868.13,"$1,198.00","$1,736.26",$538.26,31.0%
562.U7150-10A,"Straight Tubing 5in X 10ft Alu",HD-Exhaust,—,"Staging Lethbridge - 4310",10.00,$119.15,$186.17,"$1,191.50","$1,861.70",$670.20,36.0%
GP-ISW2000,"2000W INVERTER","HD-Truck Accessories","Braman Consulting","Staging Heavy Duty - 9919",1.00,"$1,152.27","$1,557.18","$1,152.27","$1,557.18",$404.91,26.0%
2516116C91,"BRAKE ROTOR 16.875""","HD-Heavy Duty Brake Comp","Uisland Maintenance","Staging Lethbridge - 4310",2.00,$576.12,$766.00,"$1,152.24","$1,532.00",$379.76,24.8%
CWB4709E2K,"4709 BRAKE SHOE KIT W/ HARDWARE (CORELESS)","HD-Heavy Duty Shoes","Ruridge Mining","Staging Heavy Duty - 9919",23.00,$49.99,$92.58,"$1,149.77","$2,129.34",$979.57,46.0%
321-128,"RT650 CENTER BUSHING","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$574.67,$832.87,"$1,149.34","$1,665.74",$516.40,31.0%
DOR1-2,"SEAL DOOR SEALOK .500"" (MDG-000012)","HD-Trailer Comp","Weriver Electrical","Staging Lethbridge - 4310",626.00,$1.83,$4.43,"$1,145.58","$2,773.18","$1,627.60",58.7%
"SP 558782-KA","AIR BAG ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",9.00,$126.90,$209.75,"$1,142.10","$1,887.75",$745.65,39.5%
20505,"HH HANDLE PIVOT BLOCK","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",2.00,$570.15,$814.52,"$1,140.30","$1,629.04",$488.74,30.0%
WEB5013920A,"ENGINE HEATER EVO W/BLUETOOTH WEBASTO THERMOTOP 3.0","HD-Engine Comp",—,"Staging Lethbridge - 4310",1.00,"$1,134.95","$1,513.23","$1,134.95","$1,513.23",$378.28,25.0%
321-129,"RT650 END BUSHING","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",4.00,$282.45,$441.33,"$1,129.80","$1,765.32",$635.52,36.0%
80002-018,"16.5X7 LIGHTWEIGHT DRUM","HD-Heavy Duty Drums",—,"Staging Lethbridge - 4310",6.00,$187.00,$263.39,"$1,122.00","$1,580.34",$458.34,29.0%
RLHD2436FOOTHILLS,"MUD FLAP, FOOTHILLS GROUP LOGO","HD-Truck Accessories",—,"Staging Lethbridge - 4310",51.00,$22.00,$40.00,"$1,122.00","$2,040.00",$918.00,45.0%
334-1576,"HENDRICKSON TF-II BUSHING KIT (Partial Kit In Stock)","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",9.00,$123.11,$192.36,"$1,107.99","$1,731.24",$623.25,36.0%
20R3322,"ARM ROCKER- CAT","HD-Engine Comp",—,"Staging Lethbridge - 4310",2.00,$550.51,$769.94,"$1,101.02","$1,539.88",$438.86,28.5%
PF211,"URETHANE SEAM SEALER- GRAY",HD-Fluids,"Eoharbor Supply","Staging Lethbridge - 4310",66.00,$16.64,$28.71,"$1,098.24","$1,894.86",$796.62,42.0%
151.6703,"BRAKE DRUM 16.5x 7"", 10x 0.810 HOLE","HD-Heavy Duty Drums",—,"Staging Lethbridge - 4310",6.00,$182.51,$257.07,"$1,095.06","$1,542.42",$447.36,29.0%
5558776,"FUEL FILTER HEAD/MOUNT","HD-Engine Comp",—,"Staging Lethbridge - 4310",1.00,"$1,091.88","$1,455.80","$1,091.88","$1,455.80",$363.92,25.0%
59-554,"Taper Leaf Spring, Hendrickson/Pacaar","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$542.78,$786.65,"$1,085.56","$1,573.30",$487.74,31.0%
1842196C96,"VALVE COVER GASKET W/HARNESS","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,"$1,078.36","$1,437.78","$1,078.36","$1,437.78",$359.42,25.0%
452-9644,"AIR SPRING","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",7.00,$153.52,$251.67,"$1,074.64","$1,761.69",$687.05,39.0%
CM107875,"16.5X7 DRM 8 HOLE GUNITE 3141B","HD-Heavy Duty Drums",—,"Staging Lethbridge - 4310",8.00,$134.13,$191.62,"$1,073.04","$1,532.96",$459.92,30.0%
2894827,"CONNECTOR, INJ FUEL SUPPLY","HD-Engine Comp","Enson Forestry","Staging Lethbridge - 4310",12.00,$88.89,$132.67,"$1,066.68","$1,592.04",$525.36,33.0%
"SP 559978-KP","AIR BAG ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",10.00,$106.46,$166.34,"$1,064.60","$1,663.40",$598.80,36.0%
14-153,"Leaf Spring, Bluebird/Hendrickson","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$532.15,$771.24,"$1,064.30","$1,542.48",$478.18,31.0%
CHHD2436,"PLAIN MUD FLAP 24""x36"" - CUTTABLE","HD-Truck Accessories","Weriver Electrical","Staging Lethbridge - 4310",20.00,$52.83,$91.08,"$1,056.60","$1,821.60",$765.00,42.0%
DTE24UD,"Hydraulic Oil Bulk- AW32 ",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919",189.60,$5.56,$9.59,"$1,054.18","$1,818.26",$764.08,42.0%
2599273C92,"LONESTAR AIR FILTERS",HD-Filters,—,"Staging Lethbridge - 4310",2.00,$526.70,$731.53,"$1,053.40","$1,463.06",$409.66,28.0%
ARW-500-900-01,"POLAR 2100B MODULE","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,"$1,047.44","$1,396.55","$1,047.44","$1,396.55",$349.11,25.0%
59-450,"TAPER LEAF SPRING, KENWORTH (HK48110-2200)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$521.20,$755.38,"$1,042.40","$1,510.76",$468.36,31.0%
WEB5013913A,"AIRTOP 2000STC W/BLUETOOTH","HD-Cooling & HVAC","Xistone Consulting","Staging Heavy Duty - 9919",1.00,"$1,039.70","$1,405.05","$1,039.70","$1,405.05",$365.35,26.0%
14-151,"Leaf Spring, Bluebird/Hendrickson","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",2.00,$504.80,$731.61,"$1,009.60","$1,463.22",$453.62,31.0%
893.106,"HHS2000 SPRAY LUBE",HD-Fluids,—,"Staging Heavy Duty - 9919",37.00,$26.97,$38.53,$997.89,"$1,425.61",$427.72,30.0%
101571,"MOBIL N32 HYDRAULIC OIL, 18.9L [PAIL]",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919",9.00,$109.02,$155.75,$981.18,"$1,401.75",$420.57,30.0%
LGS-3A115,"LANDING GEAR SET HOLLAND 16.5""","HD-Trailer Comp","Weriver Electrical","Staging Lethbridge - 4310",1.00,$979.95,"$1,342.43",$979.95,"$1,342.43",$362.48,27.0%
FLTPRO4702QP23K,"BRAKE SHOE","HD-Heavy Duty Shoes",—,"Staging Heavy Duty - 9919",14.00,$69.98,$155.51,$979.72,"$2,177.14","$1,197.42",55.0%
181.CR43761,CRSCOTSEAL,"HD-Light Duty Brake Comp",—,"Staging Lethbridge - 4310",20.00,$48.41,$86.45,$968.20,"$1,729.00",$760.80,44.0%
334-2162,"SERVICE KIT, RIDEWELL","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",2.00,$474.59,$697.93,$949.18,"$1,395.86",$446.68,32.0%
"M365-BT2  (GROTE 61P11)","LED Dome light","HD-Trailer Comp",—,"Staging Lethbridge - 4310",6.00,$158.09,$259.16,$948.54,"$1,554.96",$606.42,39.0%
CE1000,"20LB FIRE EXTINGUISHER CABINET","HD-Truck Accessories","Lalake Design","Staging Heavy Duty - 9919",2.00,$470.78,$692.33,$941.56,"$1,384.66",$443.10,32.0%
KEG24725E,"KIT- BRAKE- OVERHAUL /MAJ","HD-Heavy Duty Shoes",—,"Staging Lethbridge - 4310",8.00,$115.95,$181.17,$927.60,"$1,449.36",$521.76,36.0%
FK13850NN,"Fuel Filter Kit, DD13/15/16 (2014-2020) ",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",8.00,$114.77,$168.78,$918.16,"$1,350.24",$432.08,32.0%
SHL55057739,"Shell Red Coolant- 50/50 Antifreeze 4L",HD-Fluids,"Xistone Consulting","Staging Heavy Duty - 9919",115.00,$7.95,$13.03,$914.25,"$1,498.45",$584.20,39.0%
551771,"LED HD LAMP CHROME/HEATED,LOW","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",4.00,$228.31,$340.75,$913.24,"$1,363.00",$449.76,33.0%
551781,"HIGH BEAM CHROME W/HEATED LENS","HD-Truck Accessories",—,"Staging Lethbridge - 4310",4.00,$228.31,$362.40,$913.24,"$1,449.60",$536.36,37.0%
43-1851,"LEAF SPRING, FORD F250/F350/F450 (BC3Z5560H/BC345560P)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$451.98,$664.68,$903.96,"$1,329.36",$425.40,32.0%
