arm,canned_line_name,canned_line_id,pricing_shape,catalogue_parts,work_order_id,line_to_complete_http,wo_to_complete_http,invoices_create_http,x_request_id,response_body
no contact,Service - Adjust brakes,c84bd165-2687-4c13-8e34-06d2d773045a,HOURLY LABOUR RATE (labour_rate set),0,41eeb2c6-e437-45d7-8a0f-70edfce50647,200,201,500,1199cb9c-c94d-4817-b6b9-efa940b36dc0,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""1199cb9c-c94d-4817-b6b9-efa940b3"
no contact,Service - PDI,3b52c4f5-f9e3-47bd-b205-7efa2e03c98a,HOURLY LABOUR RATE (labour_rate set),0,f2b9fe60-dc45-40fc-be79-0526fb91cbcf,200,201,500,3aa3f11b-dc4a-4461-86e8-01d349e84b4d,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""3aa3f11b-dc4a-4461-86e8-01d349e8"
no contact,Service - Perform winterization inspection,da0a0c9f-57ee-45f6-901c-aeea01e21665,HOURLY LABOUR RATE (labour_rate set),0,e0411b90-605a-4363-b8cf-06045a7ede9b,200,201,500,fc42b699-5ec9-43d1-8363-68745db12130,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""fc42b699-5ec9-43d1-8363-68745db1"
no contact,HD Misc Buffer,68d59b05-ac52-4081-a193-1c0ab1fbda1d,HOURLY LABOUR RATE (labour_rate set),0,4742a1c4-cd1b-45f0-afd9-84b6fdb3581f,200,201,500,fb390515-742d-43b8-b5df-7b51fccdda36,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""fb390515-742d-43b8-b5df-7b51fccd"
no contact,Sublet - Tow,c83f70f6-fb1d-4b47-958e-4c98978d47f0,HOURLY LABOUR RATE (labour_rate set),1,c992c20f-9f89-4038-8822-2ad01734f6a9,400,400,400,3bc11a53-8993-4584-9586-6690006b5542,"{""errors"":[{""error"":""Work order is not complete.""}]}"
no contact,Replace - Tie rod,9deb042f-a103-4ca8-a6c0-9b2925125114,HOURLY LABOUR RATE (labour_rate set),1,b272ecd9-1a50-4fdf-a6b5-6e2a8506dbd3,400,400,400,2c7bc380-b482-458a-94e8-7393acc8ca10,"{""errors"":[{""error"":""Work order is not complete.""}]}"
contact set,HD CVIP air brake trailer single/tandem,ce1f2549-24a9-485c-a849-267f8918d66e,FIXED LABOUR,,cd2011aa-7756-44f6-b2ed-6de647ff7b54,200,201,201,6e3f48a6-4d4e-46ad-b78d-c77a7ee2bffe,"{""data"":{""invoice_id"":""88f5adb9-7cf3-41c4-8c82-d322e3fe131a"",""customer_account_id"":""ee9ade86-2fa6-4a45-81c6-4370869f2fab"",""auto_paid"":false,""auto_paid_credit_id"
contact set,CVIP Driving Force,e55c893f-8253-4aa9-8901-7282c804d056,FIXED LINE TOTAL,,f0b9591f-946f-4d66-b9f0-6dfb6f24bed4,200,201,201,a4741f1b-b1cf-4f56-8c04-840830d5f2bf,"{""data"":{""invoice_id"":""a1ea3f90-3dd3-43df-9806-12c767dfa4f8"",""customer_account_id"":""4998cb32-dcff-41fe-9211-fb94c41344c4"",""auto_paid"":false,""auto_paid_credit_id"
contact set,Champ X Service air filter,53b26ca7-92ca-4def-bfd0-7f5649a775ca,HOURLY LABOUR RATE,,9c2a1dcc-c84c-48d2-ac89-91a0786113d7,200,201,201,d721c58e-5ae0-4b45-b218-cfd650791bc5,"{""data"":{""invoice_id"":""8a1e65e3-d7fe-4f10-898b-b49eae570bc1"",""customer_account_id"":""9b51b765-d844-46e3-b679-4d63fb1e8a78"",""auto_paid"":false,""auto_paid_credit_id"
contact set,Service - Adjust brakes,c84bd165-2687-4c13-8e34-06d2d773045a,HOURLY LABOUR RATE (HD Door Rate),,6dc7dd2b-0619-493c-b2f6-021ed5e4579e,200,201,201,aeeb2588-64ad-4b6c-97be-844a974783b2,"{""data"":{""invoice_id"":""0eeccceb-6917-43f9-a6ea-fc648d7d38a2"",""customer_account_id"":""934527f3-5ad2-4683-8607-26556ff03017"",""auto_paid"":false,""auto_paid_credit_id"
isolation — WITHOUT contact,HD CVIP air brake trailer single/tandem,ce1f2549-24a9-485c-a849-267f8918d66e,FIXED LABOUR,0,3a0250d2-5b4c-4628-bd3c-d588970bbda4,200,201,500,6c492a5b-552a-49e0-84a1-95486072e191,"{""errors"":[{""error"":""An error occurred. We're sorry for this inconvenience, please try again a bit later later.""},{""requestId"":""6c492a5b-552a-49e0-84a1-95486072"
isolation — WITH contact,HD CVIP air brake trailer single/tandem,ce1f2549-24a9-485c-a849-267f8918d66e,FIXED LABOUR,0,c3914e04-e165-47ff-b48d-f8e0c9e5288d,200,201,201,b1f4c9e7-61eb-4bd4-b31e-2491a1c52bd2,"{""data"":{""invoice_id"":""986cdda0-75a3-4751-a75c-a2fcaae45353"",""customer_account_id"":""ee9ade86-2fa6-4a45-81c6-4370869f2fab"",""auto_paid"":false,""auto_paid_credit_id"
