canned_line_id,canned_line_name,pricing_shape,fixed_price,fixed_line_total,labour_rate,labour_type_name,total_parts,time_estimate,tech_time,workplace_id
6d62e67b-ff02-45d3-a893-e856ac421bbc,No ShopView Crane Service History on file,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
358835c3-cc7f-422f-8975-c2df693bc466,Replace - Brake pot,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
df4d3d66-fe0d-4b69-928d-46f02e0b38be,Replace - Cab air bags,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,120,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
970fed6a-5263-4971-958c-66a5e84ca61c,Replace - Cab shock,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
b834cd15-cfda-4183-abe3-46ab86896a81,Replace - Drag link,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
3b4ee399-7f47-4cf1-a4a8-e2b7fe9e9045,Replace - Drive axle brakes (Drum),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,180,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
5e88b0de-c1de-4b09-ae67-797ed3531a40,Replace - Drive axle gaskets,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,60,45,b3c8c820-f815-4cf1-8938-10956c5ee71a
b0e5f4f5-4c32-4b53-8fc4-e81a070fc711,Replace - Drive axle shocks,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
9b4f2ec3-907e-4e55-b384-bb87e98a4fe6,Replace - Drive axle slack adjuster,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
2879e626-89b9-464a-abc6-4d2936ba5fcb,Replace - Hub cap gaskets,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,60,45,b3c8c820-f815-4cf1-8938-10956c5ee71a
a775b278-47dc-4464-b35f-d924db3a4913,Replace - Steer axle brakes (Drum),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,180,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
752d4f84-f440-45b8-8cbd-68540feb9206,Replace - Steer axle shocks,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
2fb85f2f-4e2a-4685-abb8-af85338de8aa,Replace - Steer axle slack adjuster,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
91505fb2-4a0c-4fd5-b482-1b69eb131049,Replace - Steering shaft u joints,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,120,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
1f91a6d5-1cf2-46fd-8bcd-0813143eb2aa,Replace - Suspension air bag,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
9deb042f-a103-4ca8-a6c0-9b2925125114,Replace - Tie rod,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,150,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
27e3ae74-abb8-437f-974f-a5ff68af65d2,Replace - Torque rod,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,150,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
8c57a74d-a87c-40c2-a75d-8afe85b83e48,Service -,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
45c64dc5-271f-4696-b30d-fa26c0a27676,Service - 5th wheel adjustment,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,45,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
8681e3d4-2f4f-4971-ae5a-f154c9ea11ca,Service - 5th wheel service,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,60,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
c84bd165-2687-4c13-8e34-06d2d773045a,Service - Adjust brakes,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,60,45,b3c8c820-f815-4cf1-8938-10956c5ee71a
5de235c3-d692-47c9-bb9b-52be2fa53d7f,Service - Adjust clutch,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
69907c55-1df1-447d-91d8-1d40508a8599,Service - Adjust tire pressures,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
7868bd0f-141a-4665-82cf-d22e40917d34,Service - Air filter,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,30,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
42effe86-6b35-4661-804f-e10f49af5c8b,Service - Battery service,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
dbb80911-a80d-4007-86a8-09f4967039ea,Service - Cabin air filter,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,18,18,b3c8c820-f815-4cf1-8938-10956c5ee71a
a5459826-36ec-4ce8-aa7c-55a6ed9a31b7,Service - Coolant flush,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
b0355ac2-6393-42fa-8af8-7844a5aa9aa5,Service - Differential fluid service,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
ab7b8ca6-f646-47e0-b68a-2b290e950d32,Service - Hydraulic filter,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,30,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
f9e37d42-460b-4e72-8a3e-6b10c7d64848,Service - Hydraulic fluid flush,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,120,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
4ceec247-e34b-4d7c-935d-1204fb871adf,Service - Install coupler,HOURLY LABOUR RATE,,,14500,CP RAIL FLEET RATE,0,120,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
672212f4-67e7-4f79-8147-fee0d3b78602,Service - Install fittings and hoses,HOURLY LABOUR RATE,,,14500,CP RAIL FLEET RATE,0,120,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
3b52c4f5-f9e3-47bd-b205-7efa2e03c98a,Service - PDI,HOURLY LABOUR RATE,,,14500,CP RAIL FLEET RATE,0,240,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
c08b8759-97dc-40c5-9cab-fef38fe117a1,Service - Perform Annual Inspection,FIXED LABOUR,40000,,,Fixed labour,0,240,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
5506a77e-31e7-48b6-9171-dc904919f028,Service - Perform LOF and inspection,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,5,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
59f47fa6-736e-4009-946b-400f4c5d2f4d,Service - Perform manual regeneration,HOURLY LABOUR RATE,,,16495,HD Door Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
45084491-9405-4687-b2a6-74865b51c7f9,Service - Perform sunbelt quarterly inspection,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,150,150,b3c8c820-f815-4cf1-8938-10956c5ee71a
da0a0c9f-57ee-45f6-901c-aeea01e21665,Service - Perform winterization inspection,HOURLY LABOUR RATE,,,14995,Two Small Men with Big Hearts Rate,0,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
955fa787-20f6-4050-9251-47f88bf0782d,Service - Perfrom Two Small Men schedule 2,HOURLY LABOUR RATE,,,14995,Two Small Men with Big Hearts Rate,0,120,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
9d29c9e3-7bc4-4ee0-a775-0b95fc85c5a0,Service - Post rental inspection (Major),HOURLY LABOUR RATE,,,16495,HD Door Rate,0,180,180,b3c8c820-f815-4cf1-8938-10956c5ee71a
4f8cf389-74ba-4df1-b611-986b6c7829bb,Service - Post rental inspection (Minor),HOURLY LABOUR RATE,,,16495,HD Door Rate,0,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
a715b4ea-7e81-4e0c-b2be-b6d41470ff1e,Service - Power steering flush,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,3,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
739dccab-acdc-4ff0-ad97-d0c1f167d31b,Service - Reinstall driveshaft,HOURLY LABOUR RATE,,,16495,HD Door Rate,1,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
7eea9a2b-8974-4c79-bb7e-72377a78b28e,Service - Remove wheels for annual inspection,FIXED LABOUR,15000,,,Fixed labour,0,90,90,b3c8c820-f815-4cf1-8938-10956c5ee71a
3c78e712-4642-4c66-ab20-cc9620383984,Service - Replace fuel filter,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,48,48,b3c8c820-f815-4cf1-8938-10956c5ee71a
36655710-a881-4766-9654-46c9d17f54c7,Service - Replace wiper blades,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,18,18,b3c8c820-f815-4cf1-8938-10956c5ee71a
2674a1f2-4560-4ff2-923d-961e8ae9dbbe,Service - Steer hub oil,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,60,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
0f9a7759-1982-4855-96d5-4a4cf1773a23,Service - Transmission service (Automatic),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,2,120,120,b3c8c820-f815-4cf1-8938-10956c5ee71a
2b8c8b33-783a-4d95-abcd-54c50c59b048,Service - Transmission service (Manual),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,90,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
4e8b737c-268d-4b21-ba2d-1684c2fcb32e,Service - Valve set adjustment (Cat),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,360,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
5c0a27be-2600-45b3-9fc4-fdadb178264d,Service - Valve set adjustment (Cummins),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,360,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
a3e465c0-92ee-4512-a37e-74c528066496,Service - Valve set adjustment (Detroit),HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,360,240,b3c8c820-f815-4cf1-8938-10956c5ee71a
c83f70f6-fb1d-4b47-958e-4c98978d47f0,Sublet - Tow,HOURLY LABOUR RATE,,,16495,HD Door Rate,1,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
c98f9b91-a36b-456d-8e3f-d33288e1b19d,Sublet - Windshield,HOURLY LABOUR RATE,,,16495,HD Door Rate,1,0,0,b3c8c820-f815-4cf1-8938-10956c5ee71a
71c1d93f-27e6-4209-a2eb-a1d6904ce0d4,United Rentals Winterize,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,72,72,b3c8c820-f815-4cf1-8938-10956c5ee71a
835b68c2-d337-4b49-835c-ae1819277b11,West Wind Trailer PM,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,1,30,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
5fd21946-4da4-43b6-9331-cf7df66c3032,Wheels off Driving Force,FIXED LINE TOTAL,,100,,Fixed line total,0,0,60,b3c8c820-f815-4cf1-8938-10956c5ee71a
867c13de-95a9-4bfd-b6d7-50b38a2dec63,Winterize,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,72,72,b3c8c820-f815-4cf1-8938-10956c5ee71a
ff8c9094-2ef3-4032-a614-b675ccb85691,XCMG New Equip Ins Report,HOURLY LABOUR RATE,,,14995,HD Fleet Rate,0,30,30,b3c8c820-f815-4cf1-8938-10956c5ee71a
