internal_id,testrail_case_id,testrail_link,report,section,title,verdict,field_title,field_preconditions,field_steps,field_expected,field_references,field_section,field_notes,observed,evidence,recheck_obligation,build_marker,notes_addition
PV-FILT-08,C30335,https://shopview.testrail.io/index.php?/cases/view/30335,Parts Velocity,PV — Filters,The Bin multi-select limits the table to parts stocked in those bins,VIU-Observed-PASS,"OK — accurate, 68 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Selecting bin ""General Storage"" issues &bins=<uuid> and narrows the table to 8 rows, all of type inventory.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json; evidence/pv/last-gaps.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-09,C30336,https://shopview.testrail.io/index.php?/cases/view/30336,Parts Velocity,PV — Filters,Bin filter excludes special-order rows; Bin plus that Type is empty by design,VIU-Observed-PASS,"OK — accurate, 77 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Type = Special Order combined with a Bin filter returns rowsNumber 0, while the same bin with Type Inventory or Both returns 8 rows, all inventory - special-order rows are excluded whenever a bin filter is active.",evidence/pv/exports/; evidence/pv/last-gaps.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-10,C30337,https://shopview.testrail.io/index.php?/cases/view/30337,Parts Velocity,PV — Filters,"Location filter is rightmost, defaults to the active location, accessible-only",DEVIATION,"OK — accurate, 78 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"The Location filter IS the rightmost control and IS limited to the accessible locations, but on a FIRST visit it defaults to ALL locations (both workplaces), not to the user's currently active location. SPEC S2-R9 (verbatim): ""On a first visit it defaults to the user's currently active location (the location currently selected in the application's global location switcher)."" Read as a build defect on the default, small and self-contained; the rest of S2-R9 passes.",evidence/final/final-ui.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-11,C30338,https://shopview.testrail.io/index.php?/cases/view/30338,Parts Velocity,PV — Filters,Empty state shows the standard no-data message when no parts match the filters,VIU-Observed-PASS,"OK — accurate, 78 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"A search with no matches returns 0 rows and the data area shows exactly ""Empty bays, endless possibilities. Get Going!"".","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-12,C30339,https://shopview.testrail.io/index.php?/cases/view/30339,Parts Velocity,PV — Filters,Parts with no category; vendor or bin are excluded when that filter is on,VIU-Observed-PASS,"OK — accurate, 73 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"106 rows carry a null Vendor with no filter applied; with a Vendor filter active NO null-vendor row survives. A Bin filter leaves only inventory rows (parts with no bin are excluded). Honest limit: no part on this org has a null Category (every part resolves to a real ""Uncategorized"" category), so the no-category third of the case could not be exercised.",evidence/pv/last-gaps.json,Re-check the no-category third once a part with a genuinely unassigned category exists.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-13,C30340,https://shopview.testrail.io/index.php?/cases/view/30340,Parts Velocity,PV — Filters,Parts Velocity: the Location filter is hidden for a one-location user,DEVIATION,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"A seeded one-location user (Sales Representative, single workplace, impersonated then restored) STILL SEES the Location filter; its menu offers only ""Clear all"" and the one location name (the ""All locations"" entry drops out). The per-row Location column is correctly absent. Our case follows Chris Ward's 2026-07-31 Q1=A ruling that the filter should be HIDDEN; PV spec S2-E4 still reads (verbatim) ""A user with access to only one location still sees the Location filter with a single selectable location; behavior is unchanged from single-location use."" Read as the build following the un-updated spec - a product decision awaiting Chris's spec edit, not a bug ticket. NO CASE CHANGE.","evidence/perms/singleloc-pv-tu.json, evidence/perms/singleloc2-parts-velocity.png",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-FILT-14,C38914,https://shopview.testrail.io/index.php?/cases/view/38914,Parts Velocity,PV — Filters,"The Location column shows only with more than one location, leftmost before Type",DEVIATION,"OK — accurate, 80 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,EDIT,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"The per-row Location column DOES appear only when more than one location is in scope (present with both locations, absent for a single-location user and for a single-location selection), it is NOT in the 20-column picker, and a merged special-order row shows the literal ""Multiple"". But it renders SIXTH - after Vendor, before Units Sold - not leftmost before Type, on screen AND in both exports. SPEC S7-R8 (verbatim): ""the per-row Location column renders as the leftmost column, before Type"". Read as a build defect on placement only; every other assertion of the case passes.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json; evidence/pv/exports/pv-csv-GREASE-multi.csv, pv-pdf-GREASE-multi.txt",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-01,C30341,https://shopview.testrail.io/index.php?/cases/view/30341,Parts Velocity,PV — Row Model,A part stocked at two selected locations shows as two per-location rows,VIU-Observed-PASS,"OK — accurate, 71 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Part number ""2750"" returns TWO inventory rows - Heavy Duty (On Hand 1, Min 0, Max 1) and Lethbridge (On Hand 2, Min 0, Max 0) - each carrying that location's own figures, never summed.",evidence/pv/calc-checks.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-02,C30342,https://shopview.testrail.io/index.php?/cases/view/30342,Parts Velocity,PV — Row Model,A Special Order part is one merged row summed across selected locations,VIU-Observed-PASS,"OK — accurate, 71 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Special-order rows SUBLET and FREIGHT return a SINGLE row each with Location ""Multiple"" and movement/money summed across the two locations (Units Sold 44 = Sold (WO) 44; 13 = 12 + 1).",evidence/pv/calc-checks.json; evidence/pv/exports/pv-csv-specialorder-multi.csv,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-03,C30343,https://shopview.testrail.io/index.php?/cases/view/30343,Parts Velocity,PV — Row Model,"Rows load ranked by Demand descending, indicator on the Demand header",VIU-Observed-PASS,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"On load the Demand header alone carries classes ""sortable sorted sort-desc"" with its arrow at opacity 0.86 (every other header sits at 0), and the saved view records sortBy demand / descending true.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-04,C30344,https://shopview.testrail.io/index.php?/cases/view/30344,Parts Velocity,PV — Row Model,"A header click sorts ascending first, toggles, and places nulls by direction",VIU-Observed-PASS,"OK — accurate, 76 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"First click on Part # issues pagination[sortBy]=part_number&pagination[descending]=false, the second issues descending=true, and the export of the same scope places nulls FIRST on ascending and LAST on descending (proven on Last Sale).","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json; evidence/pv/exports/pv-csv-sort-lastsale*.csv",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-05,C30345,https://shopview.testrail.io/index.php?/cases/view/30345,Parts Velocity,PV — Row Model,"Sticky header, all-left alignment on screen, and plain-text Type values",VIU-Observed-PASS,"OK — accurate, 71 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"thead th computes position: sticky; every body cell computes text-align: left including the money and numeric columns; the Type cell renders the plain words ""Inventory"" / ""Special Order"".","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-06,C30346,https://shopview.testrail.io/index.php?/cases/view/30346,Parts Velocity,PV — Row Model,Info icons sit on Units Sold; Demand and Turns / Yr with descriptions,DEVIATION,OK,OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,EDIT,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"All three info icons exist and carry the spec's VERBATIM descriptions (Units Sold and Demand always on; the Turns icon appears only once that column is enabled, with ""How many times you sell through this part in a year. Higher is better.""). The build's header label is ""Turns/Yr"" with no spaces; the spec and our case write ""Turns / Yr"". OUR WORDING must change.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-07,C30347,https://shopview.testrail.io/index.php?/cases/view/30347,Parts Velocity,PV — Row Model,Description; Category and Vendor truncate on hover; Part # never does,DEVIATION,"OK — accurate, 69 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"At 1680px a 62-character description (""WHEEL BEARING GREASE, RED - HIGH TEMP (PRIMGHT64, WOIPR127651)"") renders in FULL: computed text-overflow is ""clip"" (not ellipsis), scrollWidth equals clientWidth, and the cell carries NO title attribute, so there is no native hover tooltip. SPEC S3-R7 (verbatim): ""The Description, Category, and Vendor columns truncate long text with an ellipsis on screen; the full value is available on native hover (browser tooltip)"". The ""Part # is never truncated"" half passes. Read as a build defect. Honest limit: measured at 1680x1050; a 900px re-measure did not render a row in time.","evidence/pv/ui/pv-ui-1.json, pv-ui-2.json, pv-ui-3.json, pv-ui-4.json",Re-measure at a narrow viewport once the branch is final.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-08,C30348,https://shopview.testrail.io/index.php?/cases/view/30348,Parts Velocity,PV — Row Model,Em-dash only in nullable fields; counts and Revenue/Margin are never null,VIU-Observed-PASS,"OK — accurate, 73 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Across ALL 10,064 rows Revenue, Margin, Units Sold, Units Returned, Sold (WO), Sold (Parts Sale) and Demand are never null; the em-dash appears only in On Hand, Turns/Yr, Min, Max, Unit Cost, Sell Price, Margin % and Last Sale (6,478 rows have a null Last Sale).",evidence/pv/calc-checks.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-09,C30349,https://shopview.testrail.io/index.php?/cases/view/30349,Parts Velocity,PV — Row Model,"An inventory part drops out only with no movement, no stock and no revenue",VIU-Observed-PASS,"OK — accurate, 74 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,"Whole-population check over all 10,064 rows: ZERO inventory rows have Units Sold 0 AND under one on hand AND zero revenue. Rows kept purely by revenue exist (e.g. 5-3256X: 0 sold, 0 on hand, $173.72). A seeded part with 5 on hand and no activity at all correctly APPEARED.","evidence/pv/calc-checks.json; evidence/pv/core-exclusion-final.json, core-exclusion-iscore.json",Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
PV-ROW-10,C30350,https://shopview.testrail.io/index.php?/cases/view/30350,Parts Velocity,PV — Row Model,A sale invoiced then fully reversed shows Demand 1 with Units Sold 0.00,VIU-Observed-PASS,"OK — accurate, 71 chars, consistent with its own expected result",OK — reachable; every precondition was satisfiable on this estate,OK — executable in order against the build labels observed this run,OK,"OK — ticket + spec anchor, both still present in the current spec",OK — UI-only case in a functional section,EDIT — add the non-final-build marker,CHHD2436 shows Demand 4 with Units Sold 0.00 while holding 1 on hand and $167.04 revenue; negative-movement rows exist (1221-308 at -24.00) and render with a leading minus.,evidence/pv/calc-checks.json,Re-run this observation when the branch is declared final or the app-version marker changes.,v3.4.1-0ed4433,"Observed on QA branch build v3.4.1-0ed4433 on 2026-08-03/04; the branch was declared NOT FINAL, so this observation is PROVISIONAL and is queued for re-check."
