internal_id,testrail_case_id,testrail_link,section,title,verdict,reason,merge_group,merge_survivor,tier,sense_verdict,sense_reason,refs_ok,title_over_80
SCH-FILT-02,C29943,https://shopview.testrail.io/index.php?/cases/view/29943,Sidebar - Work Order Filters,Assignment filter narrows the list to Assigned or Unassigned work orders,KEEP,Assignment filter behaviour (Assigned/Unassigned) — distinct data contract; the only assignment split in the sidebar.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-FILT-03,C29944,https://shopview.testrail.io/index.php?/cases/view/29944,Sidebar - Work Order Filters,Status filter narrows the list to work orders in the chosen status(es),KEEP,"Status filter behaviour + card-border consistency — distinct data contract (status list deferred to the app, honestly).",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-FILT-04,C29945,https://shopview.testrail.io/index.php?/cases/view/29945,Sidebar - Work Order Filters,"Priority filter offers High, Medium, Low and narrows the list accordingly",KEEP,"Priority filter behaviour (High/Medium/Low) — distinct data contract, pairs with the WO-form Priority case SCH-REG-05.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-FILT-05,C29946,https://shopview.testrail.io/index.php?/cases/view/29946,Sidebar - Work Order Filters,'Clear all' resets every applied sidebar filter in one click,KEEP,'Clear all' resets every filter in one click — distinct action with badge + list assertions.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-FILT-06,C29947,https://shopview.testrail.io/index.php?/cases/view/29947,Sidebar - Work Order Filters,Search and filter work together - both can be active at the same time,KEEP,"Search AND filter combined (both active at once) — the combination contract, a classic real-bug spot.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-LINE-01,C29948,https://shopview.testrail.io/index.php?/cases/view/29948,Sidebar - Line Drill-Down,"Clicking a work order card replaces the list in place with that order's lines, with a back control",KEEP,Drill-down open/back navigation contract; survivor of G-DRILLDOWN-OPEN (gains the header id + count read).,G-DRILLDOWN-OPEN,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-LINE-02,C29949,https://shopview.testrail.io/index.php?/cases/view/29949,Sidebar - Line Drill-Down,Drill-down header shows the work order id plus its line count,MERGE,Absorbed into SCH-LINE-01 (C29948) — the drill-down header read (work order id + line count matching approved lines) becomes an expected line of the open/back case,G-DRILLDOWN-OPEN,SCH-LINE-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-LINE-03,C29950,https://shopview.testrail.io/index.php?/cases/view/29950,Sidebar - Line Drill-Down,Only approved work order lines appear in the drill-down - unapproved lines are not shown,KEEP,Approved-only lines in the drill-down — a critical business rule; an unapproved line leaking into scheduling is a real bug.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-LINE-04,C29951,https://shopview.testrail.io/index.php?/cases/view/29951,Sidebar - Line Drill-Down,"Each line row shows its title, estimated hours, technician roster (avatar stack plus count, no cap), and a drag handle",KEEP,Line-row anatomy incl. the no-cap roster (avatar stack + count) and per-line drag handle — one packaged case.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-LINE-05,C29952,https://shopview.testrail.io/index.php?/cases/view/29952,Sidebar - Line Drill-Down,Lines with no technician assigned show a 'Needs techs' badge,KEEP,"'Needs techs' badge lifecycle (shows when rosterless, clears when scheduled) — a real workflow cue.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-LINE-06,C29953,https://shopview.testrail.io/index.php?/cases/view/29953,Sidebar - Line Drill-Down,'Search lines' matches the line title/name only,KEEP,Line search scoping contract: matches line titles ONLY (negative customer-name probe included).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-LINE-07,C29954,https://shopview.testrail.io/index.php?/cases/view/29954,Sidebar - Line Drill-Down,'All / Unscheduled' filter chips with counts - Unscheduled shows only lines with no shifts yet,KEEP,All/Unscheduled chips with counts — a data-correctness contract (counts must reconcile with the header).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-01,C29955,https://shopview.testrail.io/index.php?/cases/view/29955,Drag-and-Drop Scheduling,"Dropping a single-line work order on a technician cell creates a shift immediately, skipping the scope picker",KEEP,"The core fast path: single-line drop creates a shift immediately, skipping the picker — plus roster sync + toast.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-02,C29956,https://shopview.testrail.io/index.php?/cases/view/29956,Drag-and-Drop Scheduling,Dropping a multi-line work order on a technician cell opens the scope picker,KEEP,The multi-line trigger: drop opens the scope picker and creates NOTHING until a scope is chosen.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-DND-03,C29957,https://shopview.testrail.io/index.php?/cases/view/29957,Drag-and-Drop Scheduling,Dragging an individual line from the drill-down creates a single-line shift directly,KEEP,Line-level drag from the drill-down — roster scoped to that line only (not the whole order).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-04,C29958,https://shopview.testrail.io/index.php?/cases/view/29958,Drag-and-Drop Scheduling,A job exceeding the technician's daily hours opens the spread step after the scope is chosen,KEEP,The large-job trigger: exceeding daily hours opens the spread step; nothing exists until confirmed.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-05,C29959,https://shopview.testrail.io/index.php?/cases/view/29959,Drag-and-Drop Scheduling,A scope that fits within one working day skips the spread step and creates a single shift,KEEP,The conditional skip: a fitting scope skips the spread step — the boundary of the SCH-DND-04 trigger.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-06,C29960,https://shopview.testrail.io/index.php?/cases/view/29960,Drag-and-Drop Scheduling,"While dragging, drop-target cells highlight and a ghost block shows the line name and hours",WEAK-KEEP,Drag micro-feedback (cell highlight + ghost block) — a real usability cue but failure is cosmetic; the drop outcomes are covered by the DND creation cases.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-07,C29961,https://shopview.testrail.io/index.php?/cases/view/29961,Drag-and-Drop Scheduling,Scheduling a technician onto a line adds them to that line's labor roster on the work order,KEEP,Roster-sync integration contract (schedule ↔ work order labor roster) — load-bearing lifecycle integrity.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-DND-08,C29962,https://shopview.testrail.io/index.php?/cases/view/29962,Drag-and-Drop Scheduling,A click-to-arm alternative exists for scheduling without dragging,KEEP,Click-to-arm alternative to dragging — the accessibility path; same picker/spread rules must apply.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-SCOPE-01,C29963,https://shopview.testrail.io/index.php?/cases/view/29963,Scope Picker,"'Schedule whole work order' is pinned at the top, visually distinct, labeled with line count and total hours",KEEP,"Scope-picker contents contract (pinned whole-order row, line count + total hours); survivor of G-SCOPE-CONTENTS.",G-SCOPE-CONTENTS,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-SCOPE-02,C29964,https://shopview.testrail.io/index.php?/cases/view/29964,Scope Picker,Choosing 'Schedule whole work order' assigns the technician to all lines and creates one whole-order shift,KEEP,Whole-order scope behaviour: one shift covering all lines + technician added to EVERY roster — load-bearing.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-SCOPE-03,C29965,https://shopview.testrail.io/index.php?/cases/view/29965,Scope Picker,Tapping an individual line row immediately creates a single-line shift with no confirmation step,KEEP,The single-tap fast path in the picker (no confirmation) — a distinct interaction contract.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-SCOPE-04,C29966,https://shopview.testrail.io/index.php?/cases/view/29966,Scope Picker,"Scope picker line rows show the line title, estimated hours, and current technician roster",MERGE,"Absorbed into SCH-SCOPE-01 (C29963) — the line-row contents (title, estimated hours, roster avatar stack + count) become expected lines — one read-the-picker case",G-SCOPE-CONTENTS,SCH-SCOPE-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-SCOPE-05,C29967,https://shopview.testrail.io/index.php?/cases/view/29967,Scope Picker,'Select multiple' switches rows to checkboxes with a confirm bar showing a running tally,KEEP,'Select multiple' checkbox mode + running-tally confirm bar + subset roster scoping; survivor of G-SCOPE-MULTI.,G-SCOPE-MULTI,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-SCOPE-06,C29968,https://shopview.testrail.io/index.php?/cases/view/29968,Scope Picker,'Select all' equals whole order; Cancel returns to the fast single-tap list,MERGE,"Absorbed into SCH-SCOPE-05 (C29967) — 'Select all' (tally equals the whole order) and Cancel (returns to the single-tap list, creates nothing) become final steps of the checkbox-mode case",G-SCOPE-MULTI,SCH-SCOPE-05,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-START-01,C29969,https://shopview.testrail.io/index.php?/cases/view/29969,Shift Start Times and Unassigned Shifts,A shift's start time uses the technician's configured working hours when they are set,KEEP,Start-time hierarchy step 1: technician hours win over shop hours — a genuine data-driven contract.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-02,C29970,https://shopview.testrail.io/index.php?/cases/view/29970,Shift Start Times and Unassigned Shifts,"With no technician hours set, the shift start time falls back to the shop's business hours",KEEP,Start-time hierarchy step 2: business-hours fallback when the technician has no hours.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-03,C29971,https://shopview.testrail.io/index.php?/cases/view/29971,Shift Start Times and Unassigned Shifts,"With neither technician hours nor business hours set, a 7:00 AM default applies",KEEP,Start-time hierarchy step 3: the 7:00 AM default when neither is set (with an honest blocked-with-reason note).,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-START-04,C29972,https://shopview.testrail.io/index.php?/cases/view/29972,Shift Start Times and Unassigned Shifts,"In day view, the start time comes from where the shift is dropped on the timeline",KEEP,Day-view drop position overrides the hierarchy — the positional start-time rule.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-05,C29973,https://shopview.testrail.io/index.php?/cases/view/29973,Shift Start Times and Unassigned Shifts,Dropping a work order or line onto the Unassigned row creates an unassigned shift with no technician,KEEP,"Unassigned-row drop creates a technician-less shift, roster untouched — distinct creation path.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-06,C29974,https://shopview.testrail.io/index.php?/cases/view/29974,Shift Start Times and Unassigned Shifts,Unassigned shift start time skips the technician-hours rule and uses business hours or the default,WEAK-KEEP,Derivative of SCH-START-02 for the Unassigned row (no technician whose hours could apply) — one extra assertion on an already-covered fallback.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-07,C29975,https://shopview.testrail.io/index.php?/cases/view/29975,Shift Start Times and Unassigned Shifts,"Dragging an unassigned shift onto a technician row assigns it, and that technician's hours then apply",KEEP,"Unassigned → technician assignment via drag: leaves the lane, roster updated, tech hours apply — lifecycle integrity.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,yes
SCH-START-08,C29976,https://shopview.testrail.io/index.php?/cases/view/29976,Shift Start Times and Unassigned Shifts,Every shift always has a start time - none is created without one,CUT,"Duplicate sweep: its steps literally re-run the other entry-point cases (SCH-START-01 C29954, SCH-START-02 C29955, SCH-START-03 C29956, SCH-START-04 C29957, SCH-START-05 C29958) and each of those already reads the created shift's start time — the 'every shift has a start time' invariant adds no new observation.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
SCH-SPREAD-01,C29977,https://shopview.testrail.io/index.php?/cases/view/29977,Multi-Day Spread Scheduling,Spread step shows the chosen scope in its header with a 'Change scope' back-link,MERGE,"Absorbed into SCH-SPREAD-02 (C29978) — the spread-step header assertions (step 2 of the same modal, chosen scope shown, 'Change scope' present) become expected lines before the back-link is clicked",G-SPREAD-HEADER,SCH-SPREAD-02,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec/design/tech-plan-traceable, domain logic sound, pass/fail observable. (Spec-only suite: VIU-confirm flags are honest, not nonsense.)",yes,
