internal_id,proposed_testrail_case_id,title
INV-PAID-08,44953,$0.00 payment rows hidden; no-payments state shows heading with Balance = Total
INV-PAID-09,44954,No paid banner when the invoice has no portal-processed payment
INV-FOOT-01,44955,"Shop disclaimer shows with no heading, identical on every document"
INV-FOOT-02,44956,Signature area has exactly three labeled lines and no acknowledgment sentence
INV-FOOT-03,44957,"Footer shows the shop tax identifier exactly, with no added label"
INV-FOOT-04,44958,Disclaimer and footer tax identifier hide when not configured
INV-EIS-01,44959,Estimate and Invoice differ only as Section 3 specifies
INV-EIS-02,44960,"Estimate shows 'Work Summary', 'Estimated Total', and 'Estimate date'"
INV-EIS-03,44961,"Invoice shows 'Work Performed', 'Balance', 'Invoice date' and 'Due date'"
INV-EIS-04,44962,Fully paid Invoice stays an Invoice; 'Paid date' replaces 'Due date'
INV-EIS-05,44963,Invoice with no due date shows no Due date line; paid swap still applies
INV-CRED-01,44964,"Credit Invoice masthead shows 'Credit: {number}' and 'Issue date', no money"
INV-CRED-02,44965,Customer address block is labeled 'Credit To' on the Credit Invoice
INV-CRED-03,44966,"Status table shows Credit Number, Status, Invoice Number correctly"
INV-CRED-04,44967,Credited items table shows returned parts and money-only lines correctly
INV-CRED-05,44968,Restocking fee reduces a returned-part credit total as specified
INV-CRED-06,44969,Totals block rows and Balance follow the credit's status
INV-CRED-07,44970,Credit Invoice shows the disclaimer and standard signature area
INV-VIS-01,44971,Document layout matches the Design Document structure
INV-VIS-02,44972,Only the closed palette colours appear on any document
INV-VIS-03,44973,Accent colour appears only on line numbers and the footer 'ShopView'
INV-VIS-04,44974,Typography uses Inter with the specified weights
INV-VIS-05,44975,Print/PDF ink floor keeps text and rules dark enough
INV-VIS-06,44976,Every document is fully legible in grayscale
INV-VIS-07,44977,Prototype chrome does not appear on any real document
INV-VIS-08,44978,Work-section rules and dividers follow the specified treatment
INV-VIS-09,44979,Section labels use the three-tier hierarchy with exact sizes and inks
INV-PART-01,44980,Parts Sale documents behave as the Estimate/Invoice except as stated
INV-PART-02,44981,"Parts Sale body is a single flat 'Parts' section, no jobs"
INV-PART-03,44982,Parts Sale line-level fees/discounts render as on the Invoice
INV-PART-04,44983,Parts Sale document number keeps parts-sale numbering
INV-PART-05,44984,Parts Sale reference fields drop Work Order and Approval Code
INV-PART-06,44985,Parts sale receives the Authorizer treatment (net-new)
INV-PART-07,44986,Parts Sale financial summary shows no Labor and no Shop supplies row
INV-PART-08,44987,Batch and imported invoices are out of scope (kept on current templates)
