internal_id,testrail_case_id,testrail_link,report,section,title,title_len,d1_useful,d1_reason,d2a_sense,d2a_reason,d3_genuine_layman,d3_traceable,d3_jargon_in_tester_text,d3_internal_id_in_tester_text,refs
IV-CALC-05,C30549,https://shopview.testrail.io/index.php?/cases/view/30549,IV,IV — Valuation & Columns,Margin is Total Sell minus Total Cost for the whole on-hand quantity,68,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R8; §3 Key Decisions (extended margin); §4 Terminology)
IV-CALC-06,C30550,https://shopview.testrail.io/index.php?/cases/view/30550,IV,IV — Valuation & Columns,Margin % is Margin over Total Sell to one decimal; em-dash when Sell <= 0,73,KEEP,"Calculation contract with a worked example; a failure is a real, reportable money/hours bug.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R9; S3-E3)
IV-COL-01,C30551,https://shopview.testrail.io/index.php?/cases/view/30551,IV,IV — Valuation & Columns,With every column on they appear in the fixed order with the set alignment,74,KEEP,Column selector behavior contract (contents/effect/exports interaction).,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R1; S3-R2)
IV-COL-02,C30552,https://shopview.testrail.io/index.php?/cases/view/30552,IV,IV — Valuation & Columns,Value formats: Qty on Hand to two decimals; money as US-dollar currency,71,KEEP,Column selector behavior contract (contents/effect/exports interaction).,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R3; S3-R4; S3-R5 (display); S3-R10; §4 Terminology (On-hand quantity))
IV-COL-03,C30553,https://shopview.testrail.io/index.php?/cases/view/30553,IV,IV — Valuation & Columns,Total Cost is bold and pinned far right; it stays put on sideways scroll,72,KEEP,Column selector behavior contract (contents/effect/exports interaction).,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R11; Story 12 S12-R4; §3 Key Decisions)
IV-COL-04,C30554,https://shopview.testrail.io/index.php?/cases/view/30554,IV,IV — Valuation & Columns,On a first visit the default columns show and the rest stay available,69,KEEP,Column selector behavior contract (contents/effect/exports interaction).,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R12; S3-R13; Story 8 S8-R3)
IV-COL-05,C30555,https://shopview.testrail.io/index.php?/cases/view/30555,IV,IV — Valuation & Columns,"Category and Vendor show their names; an em dash (""—"") when the part has none",77,WEAK-KEEP,"Em-dash for missing category/vendor; a rendering default, low value.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8670 (specs/inventory-value.md Story 3 S3-R14; S3-E1; S3-E2)
IV-DATE-01,C30561,https://shopview.testrail.io/index.php?/cases/view/30561,IV,IV — As-of Date & Snapshots,Date range offers the standard presets plus Custom; no All Time option,70,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R1; §2 Known Limitations (v1))
IV-DATE-02,C30562,https://shopview.testrail.io/index.php?/cases/view/30562,IV,IV — As-of Date & Snapshots,The report values inventory as of the END of the selected range,63,KEEP,"The date is an as-of anchor, not a created-date filter — the report's core semantic; testers WILL misread this without the case.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R2 (+ context note))
IV-DATE-03,C30563,https://shopview.testrail.io/index.php?/cases/view/30563,IV,IV — As-of Date & Snapshots,A window reaching today with today not yet recorded values live stock,69,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R3; §3 Key Decisions (live fallback for today))
IV-DATE-04,C30564,https://shopview.testrail.io/index.php?/cases/view/30564,IV,IV — As-of Date & Snapshots,For a past date the report replays the closest recorded day on or before it,75,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R4; §2 Relationship to nightly history)
IV-DATE-05,C30565,https://shopview.testrail.io/index.php?/cases/view/30565,IV,IV — As-of Date & Snapshots,"""As of"" indicator names the day shown; hidden when it matches the ask",69,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R5; S5-R6)
IV-DATE-06,C30566,https://shopview.testrail.io/index.php?/cases/view/30566,IV,IV — As-of Date & Snapshots,A Custom range values stock as of the picked end date; capped at today,70,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-R7; S5-R8)
IV-DATE-08,C30568,https://shopview.testrail.io/index.php?/cases/view/30568,IV,IV — As-of Date & Snapshots,History accrues forward only; a pre-first-recording date is not shown,69,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8672 (specs/inventory-value.md Story 5 S5-E1; §2 Known Limitations (v1); §2 Out of scope)
IV-DATE-09,C38892,https://shopview.testrail.io/index.php?/cases/view/38892,IV,IV — As-of Date & Snapshots,A recorded day keeps its category and vendor names after a rename or delete,75,KEEP,Snapshot rows keep the category/vendor NAMES they were recorded with after a rename or delete. A genuine historical-integrity contract; failure = silently rewritten history.,SENSIBLE,"Cold-read PASS 2026-07-31: preconditions reachable (seeding named where needed), steps executable in order, expected follows from the steps, no internal contradiction, every control traceable to the spec or the driving story, domain logic sound, pass/fail observable by a non-technical tester.",PASS,yes,,,SV-8678 (specs/inventory-value.md Story 11 S11-R2; Story 5 S5-R4; tech-plan-2026-07-29 B4.1 — names stored with the recorded rows on purpose)
IV-EXP-01,C30587,https://shopview.testrail.io/index.php?/cases/view/30587,IV,IV — Exports,Inventory Value: a three-dot menu holds Download (PDF) and Download (CSV),73,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R1; S10-R2)
IV-EXP-02,C30588,https://shopview.testrail.io/index.php?/cases/view/30588,IV,IV — Exports,"Downloads keep shown columns and order, honor filters, and include Totals",73,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R3; S10-R4; S10-R5; S10-R6 + Locations: line in every CSV/PDF export per Chris Ward group message 2026-07-29 (chris-update-2026-07-29/chris-message-2026-07-29.md; NEWEST source; last-update-wins))
IV-EXP-03,C30589,https://shopview.testrail.io/index.php?/cases/view/30589,IV,IV — Exports,Export number formats: money to 2 decimals; Margin % to 1 with em-dash,70,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R7 (+ context note))
IV-EXP-04,C30590,https://shopview.testrail.io/index.php?/cases/view/30590,IV,IV — Exports,PDF header shows report name; org; period and an as-of line; logo if set,72,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R8; S10-R9)
IV-EXP-05,C30591,https://shopview.testrail.io/index.php?/cases/view/30591,IV,IV — Exports,Downloaded files are named inventory-value-report.pdf and .csv,62,WEAK-KEEP,"Verbatim filenames; string conformance, verify once.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R10)
IV-EXP-06,C30592,https://shopview.testrail.io/index.php?/cases/view/30592,IV,IV — Exports,Exports are generated server-side over the full filtered set,60,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R11)
IV-EXP-07,C30593,https://shopview.testrail.io/index.php?/cases/view/30593,IV,IV — Exports,An over-cap set produces no file and shows the too-large-to-export message,74,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R12; §7 User Feedback Summary)
IV-EXP-09,C30595,https://shopview.testrail.io/index.php?/cases/view/30595,IV,IV — Exports,Download notifications: verbatim success and failure texts per format,69,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8677 (specs/inventory-value.md Story 10 S10-R13; S10-R14; §7 User Feedback Summary)
IV-FLT-01,C30569,https://shopview.testrail.io/index.php?/cases/view/30569,IV,IV — Filters & Part Search,Category and Vendor multi-selects reload the report to matching parts only,74,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8673 (specs/inventory-value.md Story 6 S6-R1; S6-R2; S6-R3; S6-R4)
IV-FLT-02,C30570,https://shopview.testrail.io/index.php?/cases/view/30570,IV,IV — Filters & Part Search,"Category, Vendor and part search are server-side; each change returns page 1",76,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8673 (specs/inventory-value.md Story 6 S6-R5; Story 1 S1-R4; S1-R5; S1-R7; S1-R8)
IV-FLT-03,C30571,https://shopview.testrail.io/index.php?/cases/view/30571,IV,IV — Filters & Part Search,With no category or vendor selected all parts show,50,WEAK-KEEP,No-selection-means-no-narrowing; restates the absence of a filter (trivial inverse).,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8673 (specs/inventory-value.md Story 6 S6-R7)
IV-FLT-04,C30572,https://shopview.testrail.io/index.php?/cases/view/30572,IV,IV — Filters & Part Search,Part search matches part number or description on the server; case-insensitive,78,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8673 (specs/inventory-value.md Story 6 S6-R8; S6-R5)
IV-FLT-05,C30573,https://shopview.testrail.io/index.php?/cases/view/30573,IV,IV — Filters & Part Search,"Date range, Location, Category, Vendor, and the part search combine with AND",76,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8673 (specs/inventory-value.md Story 6 S6-R9)
IV-LOC-01,C30574,https://shopview.testrail.io/index.php?/cases/view/30574,IV,IV — Location Filter,The Location filter is a rightmost multi-select with an All locations toggle,76,KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable. [NOTE: this case was video-edited concurrently (commit 3bd08a7) — this sense verdict applies to the PRE-EDIT text; re-check after the video edits land.]",PASS,yes,,,SV-8674 (specs/inventory-value.md Story 7 S7-R1; S7-R2; Story 12 S12-R3 — per-row location identifier in All-locations view ADDED per kickoff video P10 40:58-41:20; user ruling 2026-07-28: video overrides spec (video newer; last-update-wins))
IV-LOC-02,C30575,https://shopview.testrail.io/index.php?/cases/view/30575,IV,IV — Location Filter,"Selecting one, several, or all locations reloads the report scoped to that set",78,KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8674 (specs/inventory-value.md Story 7 S7-R3 + on-screen location-scope indicator per Chris Ward group message 2026-07-29 (chris-update-2026-07-29/chris-message-2026-07-29.md; NEWEST source; last-update-wins))
IV-LOC-03,C30576,https://shopview.testrail.io/index.php?/cases/view/30576,IV,IV — Location Filter,Scoping never includes an inaccessible location,47,KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8674 (specs/inventory-value.md Story 7 S7-R4; S7-R5)
IV-LOC-04,C30577,https://shopview.testrail.io/index.php?/cases/view/30577,IV,IV — Location Filter,Inventory Value: the Location filter is hidden for a one-location user,70,WEAK-KEEP,Single-location-still-sees-filter: contradicted by pending video P33; may invert.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable. [NOTE: this case was video-edited concurrently (commit 3bd08a7) — this sense verdict applies to the PRE-EDIT text; re-check after the video edits land.]",PASS,yes,,,"SV-8674 (IV spec Story 7 S7-N1 — RULED HIDDEN by Chris Ward answer 2026-07-31 Q1=A ""classic spec drift""; the S7-N1 ""still sees the filter"" note is stale; spec edit pending)"
IV-LOC-06,C38917,https://shopview.testrail.io/index.php?/cases/view/38917,IV,IV — Location Filter,"The Location column is automatic, sits after Vendor, and never reads Multiple",77,KEEP,"Per-row Location column for IV: its own position (after Vendor), its own NEVER-'Multiple' rule (one part at one location), not in the column selector. Different contract from the other five reports' Location columns.",SENSIBLE,"Cold-read PASS 2026-07-31: preconditions reachable (seeding named where needed), steps executable in order, expected follows from the steps, no internal contradiction, every control traceable to the spec or the driving story, domain logic sound, pass/fail observable by a non-technical tester.",PASS,yes,,,"SV-8674 (IV spec v3 2026-07-29 S7-R6; S7-R7; S3-R1; S12-R10 — Location column inserted between Vendor and Qty on Hand; automatic visibility; never ""Multiple"")"
IV-NAV-01,C30534,https://shopview.testrail.io/index.php?/cases/view/30534,IV,IV — Access & Display,Inventory Value appears in the reports navigation under the Parts group,71,KEEP,Navigation/entry contract — additive placement was an explicit PO instruction on the video.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-R1)
IV-NAV-02,C30535,https://shopview.testrail.io/index.php?/cases/view/30535,IV,IV — Access & Display,One row per in-stock part at the selected locations valued at the resolved date,79,KEEP,"Report opening scope: one row per in-stock part, valued as of the resolved date.",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-R2; S1-R6)
IV-NAV-03,C30536,https://shopview.testrail.io/index.php?/cases/view/30536,IV,IV — Access & Display,First visit defaults to the current calendar month and the active location,74,KEEP,"First-visit defaults (current month, active location).",SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-R3; Story 7 S7-R2)
IV-NAV-05,C30538,https://shopview.testrail.io/index.php?/cases/view/30538,IV,IV — Access & Display,The report is server-paginated: one page of rows at a time,58,KEEP,Server pagination + return-to-first-page contract.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-R8; §2 Scale and data model)
IV-NAV-06,C30539,https://shopview.testrail.io/index.php?/cases/view/30539,IV,IV — Access & Display,"No qualifying parts, day or location: the no-data message shows and no totals",77,KEEP,Navigation/entry contract — additive placement was an explicit PO instruction on the video.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-N2; Story 5 S5-N1; Story 7 S7-N2; Story 12; §7 User Feedback Summary)
IV-PERM-01,C30603,https://shopview.testrail.io/index.php?/cases/view/30603,IV,IV — Permissions,User with the existing inventory-reports permission can open the report,71,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 Prerequisites)
IV-PERM-02,C30604,https://shopview.testrail.io/index.php?/cases/view/30604,IV,IV — Permissions,Without the permission Inventory Value is absent from the reports navigation,76,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8668 (specs/inventory-value.md Story 1 S1-N1)
IV-PERS-01,C30579,https://shopview.testrail.io/index.php?/cases/view/30579,IV,IV — Column Selection & Persistence,Column Selection toggles columns; Total Cost cannot be turned off,65,KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8675 (specs/inventory-value.md Story 8 S8-R1; S8-R2)
IV-PERS-02,C30580,https://shopview.testrail.io/index.php?/cases/view/30580,IV,IV — Column Selection & Persistence,Toggling columns never reorders them,36,KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8675 (specs/inventory-value.md Story 8 S8-R4; Story 3 S3-R1)
IV-PERS-03,C30581,https://shopview.testrail.io/index.php?/cases/view/30581,IV,IV — Column Selection & Persistence,The report remembers all filters; columns and sort per browser,62,KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, every control spec-traceable, domain logic sound, pass/fail observable.",PASS,yes,,,SV-8675 (specs/inventory-value.md Story 8 S8-R5 (+ context note); Story 9 S9-R5)
