Case ID,Section Path,Title,Spec Change #,Verdict,Current Wording (stale),Proposed Corrected Wording
26381,"Custom Roles - (Revised) > Work Orders Permissions","Order parts requires only Work orders View, not Create and Edit",4,"NEEDS UPDATE","Title: ""Order parts requires only Work orders View, not Create and Edit""; precond lists Order parts ON with no See Financial Data.","Retitle: ""Order parts requires Work orders View AND See Financial Data (not Create and Edit)."" Precond must set See Financial Data ON; enabling Order Parts prompts/requires SFD."
26475,"Custom Roles - (Revised) > See Financial Data","Turning See Financial OFF auto-clears Part sales and Invoicing and Payments CRUDs",4,"NEEDS UPDATE","Title: ""Turning See Financial OFF auto-clears Part sales and Invoicing and Payments CRUDs"" — omits Order Parts.","Add Order Parts to the auto-cleared items: ""Turning See Financial OFF auto-clears Part sales and Invoicing and Payments CRUDs AND the Order Parts sub-toggle."" (Removing SFD removes Order Parts.)"
27416,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – 2 Permissions","CR-C2-011 — Parts orderer / receiver",4,"NEEDS UPDATE","CR-C2-011 — precond ""WO View + Order Parts. All other permissions OFF."" (no SFD).","Add See Financial Data as an auto-gated (not counted) permission forced ON, since Order Parts now requires SFD. Precond: ""WO View + Order Parts; Auto-gate forced ON (not counted): See Financial."""
27467,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – 3 Permissions","CR-C3-012 — Parts runner",4,"NEEDS UPDATE","CR-C3-012 — precond ""WO View + Pick Parts + Order Parts. All other permissions OFF."" (no SFD).","Add See Financial Data auto-gated ON (Order Parts requires SFD). Precond: ""…Auto-gate forced ON (not counted): See Financial."""
27565,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Breakage / Adversarial","CR-BRK-010 — Pick/Order/Review with WO View only (no WO Edit) — over-gating",4,"NEEDS UPDATE","CR-BRK-010 — EXP: ""All three sub-settings require only WO View, NOT WO Edit"". Order Parts now also requires See Financial Data.","Clarify: Pick Parts and Review WOs require only WO View; Order Parts requires WO View AND See Financial Data (not WO Edit). Setup must include See Financial ON for the Order Parts leg."
26482,"Custom Roles - (Revised) > Manage Accounts Payable and Receivable","AP/AR OFF + Reports ON: the 6 AP/AR aging reports are hidden from Reports",6,"NEEDS UPDATE","Title: ""AP/AR OFF + Reports ON: the 6 AP/AR aging reports are hidden from Reports""; EXP: ""None of the 6 reports are listed.""","Reverse: ""AP/AR OFF + Reports ON: the 6 AP/AR aging reports ARE listed and accessible."" Aging reports now follow the Reports permission (all-or-nothing); Manage AP/AR no longer gates them."
27474,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – 3 Permissions","CR-C3-019 — Invoicing + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27490,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – 3 Permissions","CR-C3-035 — Part sales + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27509,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-004 — Customer payment viewer",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27510,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-005 — Vendor payment viewer",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27513,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-008 — Part-sales + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27514,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-009 — Invoice + AP/AR viewer",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27517,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-012 — Payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27519,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-014 — Part-sales + AP/AR (edit)",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27523,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-018 — WO + invoice + AP/AR view",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27524,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-019 — Vendor invoicing + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27531,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-026 — WO + payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27535,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-030 — Customer payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27539,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-034 — WO + invoice + AP/AR + history",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27541,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-036 — WO + customer + invoice + AP/AR view",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27542,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-037 — Part sales full + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27546,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-041 — WO + customer + payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27547,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-042 — WO writer + payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27549,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-044 — Part-sales + payments + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27554,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-049 — WO + payments + AP/AR + history",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27555,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Combo Testing – Payments","CR-PAY-050 — Vendor + part-sales + AP/AR",6,"NEEDS UPDATE","EXP lists ""AP/AR aging reports""/""aging"" as accessible, but the role has See AP/AR WITHOUT the Reports permission.","Remove the aging-reports capability from the CAN list (or move to CANNOT): aging reports now require the Reports permission, which this combo does not include. AP/AR tab visibility (Unpaid Invoices/Payments/Credits) stays as-is (still gated by Manage AP/AR)."
27568,"Custom Roles - (Revised) > SV-7388 Combo + Breakage (Master) > Breakage / Adversarial","CR-BRK-013 — AP/AR OFF — Unpaid/Payments/Credits tabs leak (customer & vendor)",6,"NEEDS CLARIFY","CR-BRK-013 — EXP: ""…AP/AR aging reports hidden from Reports"" attributed to §5b Manage AP/AR OFF. Role also has NO Reports permission.","Keep tab-leak assertions (unchanged, gated by Manage AP/AR). For aging reports, re-attribute: they are hidden because the role lacks the Reports permission, not because Manage AP/AR is OFF."
26478,"Custom Roles - (Revised) > Manage Accounts Payable and Receivable","AP/AR ON + Reports ON: all 6 AP/AR aging reports listed",6,"NEEDS CLARIFY","Title: ""AP/AR ON + Reports ON: all 6 AP/AR aging reports listed"" — implies Manage AP/AR is required to see aging reports.","Clarify that aging reports are shown by the Reports permission alone; Manage AP/AR is not required. Consider retitling to ""Reports ON: all 6 AP/AR aging reports listed (regardless of Manage AP/AR)."""
27757,"Custom Roles - (Revised) > Regression Suite (By Dev) > Administrator","Verify Administrator can open all AP/AR reports",6,"NEEDS CLARIFY","Precond attributes AP/AR aging report access to ""this role has Manage Accounts Payable and Receivable ON"".","Re-attribute the aging-report access to the Reports permission (which this role also has). Manage AP/AR now only gates the customer/vendor AP/AR tabs, not the aging reports."
27773,"Custom Roles - (Revised) > Regression Suite (By Dev) > Service Manager","Verify Service Manager can open AP/AR reports",6,"NEEDS CLARIFY","Precond attributes AP/AR aging report access to ""this role has Manage Accounts Payable and Receivable ON"".","Re-attribute the aging-report access to the Reports permission (which this role also has). Manage AP/AR now only gates the customer/vendor AP/AR tabs, not the aging reports."
27852,"Custom Roles - (Revised) > Regression Suite (By Dev) > Office","Verify Office can open AP/AR reports and customer AP/AR tabs",6,"NEEDS CLARIFY","Precond attributes AP/AR aging report access to ""this role has Manage Accounts Payable and Receivable ON"".","Re-attribute the aging-report access to the Reports permission (which this role also has). Manage AP/AR now only gates the customer/vendor AP/AR tabs, not the aging reports."
27858,"Custom Roles - (Revised) > Regression Suite (By Dev) > Sales Representative","Verify Sales Representative can open AP/AR reports",6,"NEEDS CLARIFY","Precond attributes AP/AR aging report access to ""this role has Manage Accounts Payable and Receivable ON"".","Re-attribute the aging-report access to the Reports permission (which this role also has). Manage AP/AR now only gates the customer/vendor AP/AR tabs, not the aging reports."
26504,"Custom Roles - (Revised) > Per-Role Verification","Sales Representative: Reports + financial data only; no CRUD areas",6,"NEEDS CLARIFY","Sales Representative: step ""Confirm access to AP/AR aging reports""; EXP ""User can access Reports including AP/AR reports."" Attribution implies See AP/AR grants aging reports.","Clarify that aging-report access comes from Reports ON (all-or-nothing); See AP/AR is not what surfaces the aging reports."
26488,"Custom Roles - (Revised) > View History Logs","View History Logs ON: history visible on WO, part sales, parts orders",7,"NEEDS CLARIFY","Title: ""View History Logs ON: history visible on WO, part sales, parts orders"" — does not distinguish WO-level vs line-level history.","Add the WO-level vs line-level distinction: with View History Logs ON, both the WO-level history and the individual line-level history (line/story history) are visible, plus part sales and parts order history."
26489,"Custom Roles - (Revised) > View History Logs","View History Logs OFF: history hidden everywhere",7,"NEEDS CLARIFY","Title: ""View History Logs OFF: history hidden everywhere"" — blanket, no WO-level vs line-level distinction.","Clarify: with View History Logs OFF, both WO-level history AND line-level (line/story) history sections are hidden, along with part sale and PO history."
26414,"Custom Roles - (Revised) > Parts Department Permissions","Catalog and Inventory Create and Edit enables create / edit / inventory adjustments",8,"NEEDS CLARIFY","Title: ""Catalog and Inventory Create and Edit enables create / edit / inventory adjustments"" — no mention of See Financial Data impact when creating an item.","Clarify the See Financial Data relationship: creating an inventory/catalog item is enabled by Catalog and Inventory Create and Edit, but cost/price fields on the new-item form are gated by See Financial Data (hidden/blank when SFD is OFF). Related combos to review: 27409, 27460, 27830, 27840."
(gap),"Custom Roles - (Revised)","(no matching case)",3,"POSSIBLE GAP / MISSING COVERAGE","No test case covers this behavior.","No test case gates the WO Parts tab visibility on the Order Parts permission. Existing Order-Parts cases (26381, 26382) test the Order Parts *action*, not the Parts tab. The Parts tab is not exercised anywhere."
(gap),"Custom Roles - (Revised)","(no matching case)",4,"POSSIBLE GAP / MISSING COVERAGE","No test case covers this behavior.","No case mirrors 26471/26474 for Order Parts — i.e. ""Enabling Order Parts while See Financial Data OFF prompts to enable SFD"". Add one so the new SFD auto-gate on Order Parts is covered."
(gap),"Custom Roles - (Revised)","(no matching case)",5,"POSSIBLE GAP / MISSING COVERAGE","No test case covers this behavior.","No case covers marking core OK / Not-OK or the line ""story/history"" under WO Lines Create & Edit. Case 26390 (""WO lines Create and Edit enables add / edit / move parts / authorize / manage part requests"") is the natural place to extend, or add dedicated cases. This is missing coverage."
