case_id,url,section_id,section,title,title_len,verdict,reasons
C30150,https://shopview.testrail.io/index.php?/cases/view/30150,4298,SBC — Totals & Calculations,Margin % is Margin over Subtotal to one decimal; em dash when Subtotal <= 0,75,PASS,
C30151,https://shopview.testrail.io/index.php?/cases/view/30151,4298,SBC — Totals & Calculations,Labor Delta heading is verbatim; value shows +green / -red / 0.0 on every row,77,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30152,https://shopview.testrail.io/index.php?/cases/view/30152,4298,SBC — Totals & Calculations,Labor Delta is never blank: no-labor rows and near-zero values both show 0.0,76,PASS,
C30153,https://shopview.testrail.io/index.php?/cases/view/30153,4298,SBC — Totals & Calculations,Invoice subtotals sum to their asset row and asset subtotals to the customer,76,PASS,
C30154,https://shopview.testrail.io/index.php?/cases/view/30154,4298,SBC — Totals & Calculations,Subtotal is the rightmost column; pinned on scroll and bold everywhere,70,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30155,https://shopview.testrail.io/index.php?/cases/view/30155,4298,SBC — Totals & Calculations,The totals row covers the whole filtered set; not just the current page,71,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30156,https://shopview.testrail.io/index.php?/cases/view/30156,4299,SBC — Column Selector,Column selector is its own toolbar button with ten toggles all on,65,PASS,
C30157,https://shopview.testrail.io/index.php?/cases/view/30157,4299,SBC — Column Selector,"Column toggles hide header+cells; Customer, Subtotal and chevron never in list",78,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30159,https://shopview.testrail.io/index.php?/cases/view/30159,4300,SBC — Exports,The overflow menu holds exactly the four download items - no Print,66,PASS,
C30160,https://shopview.testrail.io/index.php?/cases/view/30160,4300,SBC — Exports,Download file names carry the version and the active date range,63,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30161,https://shopview.testrail.io/index.php?/cases/view/30161,4300,SBC — Exports,"Expanded View CSV: column order, blank-cell rules, and the Locations line",73,PASS,
C30162,https://shopview.testrail.io/index.php?/cases/view/30162,4300,SBC — Exports,CSV formats: Margin % plain; dates mm-dd-yyyy; currency plain; no color,71,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 3 marker-not-last
C30163,https://shopview.testrail.io/index.php?/cases/view/30163,4300,SBC — Exports,CSV and PDF hold exactly the customers matching the active filters and sort,75,PASS,
C30164,https://shopview.testrail.io/index.php?/cases/view/30164,4300,SBC — Exports,Each download item shows a loading state and its own export-failed toast,72,PASS,
C30166,https://shopview.testrail.io/index.php?/cases/view/30166,4300,SBC — Exports,"PDF page: A4 landscape, uniform margins, ShopView footer and page numbers",73,PASS,
C30167,https://shopview.testrail.io/index.php?/cases/view/30167,4300,SBC — Exports,"PDF header: title, organization, date range, Product Type and Locations lines",77,PASS,
C30168,https://shopview.testrail.io/index.php?/cases/view/30168,4300,SBC — Exports,"PDF logo is embedded, scales without distortion",47,PASS,
C30169,https://shopview.testrail.io/index.php?/cases/view/30169,4300,SBC — Exports,"Expanded CSV body: column set and order, Customer/Asset/Invoice tree, blanks",76,PASS,
C30172,https://shopview.testrail.io/index.php?/cases/view/30172,4300,SBC — Exports,"An export over 10,000 data rows is refused with the too-large toast",67,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30173,https://shopview.testrail.io/index.php?/cases/view/30173,4300,SBC — Exports,A no-match export still downloads headers and a zero totals row,63,PASS,
C30174,https://shopview.testrail.io/index.php?/cases/view/30174,4301,SBC — Saved View & Persistence,Filters; sort and visible columns are restored on the next visit,64,PASS,
C30175,https://shopview.testrail.io/index.php?/cases/view/30175,4301,SBC — Saved View & Persistence,"Type-ahead search text, expansion state and scroll position are not saved",73,PASS,
C30176,https://shopview.testrail.io/index.php?/cases/view/30176,4301,SBC — Saved View & Persistence,A saved value that is no longer valid is dropped and falls back to default,74,PASS,
C30177,https://shopview.testrail.io/index.php?/cases/view/30177,4301,SBC — Saved View & Persistence,The saved view is specific to this report and does not affect any other report,78,PASS,
C30178,https://shopview.testrail.io/index.php?/cases/view/30178,4301,SBC — Saved View & Persistence,With no saved view every setting uses its own default,53,PASS,
C30179,https://shopview.testrail.io/index.php?/cases/view/30179,4301,SBC — Saved View & Persistence,When a saved view and a page-link range clash the saved view wins,65,PASS,
C30180,https://shopview.testrail.io/index.php?/cases/view/30180,4301,SBC — Saved View & Persistence,Customer filter restore: all-customers stays all; an id set is intersected,74,PASS,
C30181,https://shopview.testrail.io/index.php?/cases/view/30181,4302,SBC — Empty & Edge States,Empty state shows in the table body; toolbar interactive; kept selection returns,80,PASS,
C30184,https://shopview.testrail.io/index.php?/cases/view/30184,4302,SBC — Empty & Edge States,A failed data fetch shows the error toast which fades after 5 seconds,69,PASS,
C30185,https://shopview.testrail.io/index.php?/cases/view/30185,4303,SBC — Visual Conformance,Page and toolbar match the suite theme in padding; surface and alignment,72,PASS,
C30186,https://shopview.testrail.io/index.php?/cases/view/30186,4303,SBC — Visual Conformance,Row surfaces alternate by tree level; header and totals rows stay white,71,PASS,
C30187,https://shopview.testrail.io/index.php?/cases/view/30187,4303,SBC — Visual Conformance,Dark mode darkens every surface while the PDF always renders light,66,PASS,
C30188,https://shopview.testrail.io/index.php?/cases/view/30188,4304,SBC — Mobile,On a phone every toolbar control works on touch; the toolbar splits in two,74,PASS,
C30189,https://shopview.testrail.io/index.php?/cases/view/30189,4304,SBC — Mobile,On touch the table scrolls sideways with Subtotal pinned and chevrons work,74,PASS,
C30190,https://shopview.testrail.io/index.php?/cases/view/30190,4305,SBC — API,Asset and invoice rows are fetched on first expand; one call per customer,73,PASS,
C30191,https://shopview.testrail.io/index.php?/cases/view/30191,4305,SBC — API,Sorting is applied on the server and re-fetches the first page,62,PASS,
C30192,https://shopview.testrail.io/index.php?/cases/view/30192,4305,SBC — API,The Customer type-ahead queries the server instead of loading every name,72,PASS,
C30193,https://shopview.testrail.io/index.php?/cases/view/30193,4305,SBC — API,Customer rows are server-paginated; the totals row is server-computed,69,PASS,
C30194,https://shopview.testrail.io/index.php?/cases/view/30194,4305,SBC — API,"Exports are server-generated and the 10,000-row cap is counted first",68,PASS,
C30195,https://shopview.testrail.io/index.php?/cases/view/30195,4306,SBR — Access & Navigation,"Sales By Representative under Performance, below existing links; titles correct",79,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30197,https://shopview.testrail.io/index.php?/cases/view/30197,4306,SBR — Access & Navigation,The nav entry fits the full Sales By Representative label; no truncation,72,PASS,
C30198,https://shopview.testrail.io/index.php?/cases/view/30198,4307,SBR — Permissions,Sales By Representative is visible to anyone who sees another Performance report,80,PASS,
C30199,https://shopview.testrail.io/index.php?/cases/view/30199,4307,SBR — Permissions,"Without Reports access: no navigation, no export menu, no Export dialog",71,PASS,
C30200,https://shopview.testrail.io/index.php?/cases/view/30200,4307,SBR — Permissions,Without staff-administration access the deactivation flow is unreachable,72,PASS,
C30201,https://shopview.testrail.io/index.php?/cases/view/30201,4308,SBR — Date Range Filter,Date range picker is in the toolbar and offers the standard presets plus Custom,79,PASS,
C30202,https://shopview.testrail.io/index.php?/cases/view/30202,4308,SBR — Date Range Filter,A Custom range uses the date-picker and holds a 366-day maximum span,68,PASS,
C30204,https://shopview.testrail.io/index.php?/cases/view/30204,4308,SBR — Date Range Filter,An invoice sits in the range by its own invoice date; endpoints included,72,PASS,
C30206,https://shopview.testrail.io/index.php?/cases/view/30206,4309,SBR — Product Type Filter,"Product Type: three options, Parts & Service default, each option filters right",79,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30208,https://shopview.testrail.io/index.php?/cases/view/30208,4310,SBR — Invoice Status Filter,Invoice Status offers exactly four options; All Statuses is the default,71,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30209,https://shopview.testrail.io/index.php?/cases/view/30209,4310,SBR — Invoice Status Filter,Status filtering matches on the mapped display value,52,PASS,
C30211,https://shopview.testrail.io/index.php?/cases/view/30211,4310,SBR — Invoice Status Filter,Filters compose: a rep appears only with an invoice matching ALL active filters,79,PASS,
C30212,https://shopview.testrail.io/index.php?/cases/view/30212,4310,SBR — Invoice Status Filter,"Money columns always show invoiced amounts, never the outstanding balance",73,PASS,
C30213,https://shopview.testrail.io/index.php?/cases/view/30213,4311,SBR — Location Filter,Location filter is the rightmost control with an All Locations option,69,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30215,https://shopview.testrail.io/index.php?/cases/view/30215,4311,SBR — Location Filter,Location selection cascades; an inaccessible location's data is never included,78,PASS,
C30216,https://shopview.testrail.io/index.php?/cases/view/30216,4311,SBR — Location Filter,Sales By Representative: Location filter hidden for a one-location user,71,PASS,
C30217,https://shopview.testrail.io/index.php?/cases/view/30217,4312,SBR — Rep Rows & Tree,A rep row appears only when the rep has a matching non-reversed invoice,71,PASS,
C30218,https://shopview.testrail.io/index.php?/cases/view/30218,4312,SBR — Rep Rows & Tree,"Row layout: 13 columns in order, blanks in position, bold summary rows",70,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30219,https://shopview.testrail.io/index.php?/cases/view/30219,4312,SBR — Rep Rows & Tree,A toggled-off or deleted contributor still appears; tagged (Inactive),69,PASS,
C30221,https://shopview.testrail.io/index.php?/cases/view/30221,4312,SBR — Rep Rows & Tree,Expanding a rep loads its invoices on demand with a row-level spinner,69,FAIL,3 no-automation-marker
C30222,https://shopview.testrail.io/index.php?/cases/view/30222,4312,SBR — Rep Rows & Tree,The header chevron expands every visible rep and its glyph tracks state,71,PASS,
C30223,https://shopview.testrail.io/index.php?/cases/view/30223,4312,SBR — Rep Rows & Tree,Each invoice appears under exactly one rep or the Unassigned row,64,PASS,
C30224,https://shopview.testrail.io/index.php?/cases/view/30224,4312,SBR — Rep Rows & Tree,"Expansion survives filter and sort changes within the session, resets on reload",79,PASS,
C30225,https://shopview.testrail.io/index.php?/cases/view/30225,4312,SBR — Rep Rows & Tree,Detail rows run newest first with a numeric invoice-number tie-break,68,PASS,
C30226,https://shopview.testrail.io/index.php?/cases/view/30226,4313,SBR — Payment Status Badge,Status badge between Customer and Labor Delta; every detail row shows mapped text,81,FAIL,"5 title-too-long (81 chars, max 80); 2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker"
C30227,https://shopview.testrail.io/index.php?/cases/view/30227,4313,SBR — Payment Status Badge,Badge colors use the canonical payment-status tokens in light and dark,70,PASS,
C30229,https://shopview.testrail.io/index.php?/cases/view/30229,4314,SBR — Inv. Hrs & Calculations,Labor Delta is hours invoiced minus hours worked; half-up to one decimal,72,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30230,https://shopview.testrail.io/index.php?/cases/view/30230,4314,SBR — Inv. Hrs & Calculations,"Labor Delta: +green, -red, 0.0 default on every row; rollups from unrounded deltas",82,FAIL,"5 title-too-long (82 chars, max 80); 2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker"
C30231,https://shopview.testrail.io/index.php?/cases/view/30231,4314,SBR — Inv. Hrs & Calculations,No-labor-no-time invoices show 0.0; clocked-unbilled work shows negative,72,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30233,https://shopview.testrail.io/index.php?/cases/view/30233,4314,SBR — Inv. Hrs & Calculations,Margin % to one decimal; em dash when Subtotal <= 0; recomputed on rollups,74,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30234,https://shopview.testrail.io/index.php?/cases/view/30234,4314,SBR — Inv. Hrs & Calculations,Money columns use the standardized labels and definitions,57,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30235,https://shopview.testrail.io/index.php?/cases/view/30235,4314,SBR — Inv. Hrs & Calculations,Negative dollar values render in accounting parentheses; money columns only,75,PASS,
C30236,https://shopview.testrail.io/index.php?/cases/view/30236,4314,SBR — Inv. Hrs & Calculations,Half-up rounding at each precision; totals may differ by one last-decimal unit,78,PASS,
C30237,https://shopview.testrail.io/index.php?/cases/view/30237,4315,SBR — Subtotal & Totals,"Subtotal: rightmost, pinned right, bold everywhere; header row sticky on scroll",79,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30238,https://shopview.testrail.io/index.php?/cases/view/30238,4315,SBR — Subtotal & Totals,Desktop Totals row merges the identifier columns and sticks to the bottom,73,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30239,https://shopview.testrail.io/index.php?/cases/view/30239,4315,SBR — Subtotal & Totals,Mobile shows a simplified totals bar below the table; Subtotal at right,71,PASS,
C30241,https://shopview.testrail.io/index.php?/cases/view/30241,4316,SBR — Sorting,All nine financial columns are sortable,39,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30242,https://shopview.testrail.io/index.php?/cases/view/30242,4316,SBR — Sorting,"Default order is plain A to Z by display name, case-insensitive",63,PASS,
C30243,https://shopview.testrail.io/index.php?/cases/view/30243,4316,SBR — Sorting,First header click sorts ascending; second descending; no third state,69,PASS,
C30244,https://shopview.testrail.io/index.php?/cases/view/30244,4316,SBR — Sorting,Sorting reorders rep rows only; Unassigned stays pinned on top,62,PASS,
C30245,https://shopview.testrail.io/index.php?/cases/view/30245,4316,SBR — Sorting,Ties keep the A to Z order and an em-dash Margin % sorts as zero,64,PASS,
C30247,https://shopview.testrail.io/index.php?/cases/view/30247,4317,SBR — Links & Navigation,Detail-row invoice number and customer name links navigate in the current tab,77,PASS,
C30249,https://shopview.testrail.io/index.php?/cases/view/30249,4317,SBR — Links & Navigation,Browser back from a drilldown restores expansion and scroll; no reload,70,PASS,
C30250,https://shopview.testrail.io/index.php?/cases/view/30250,4317,SBR — Links & Navigation,Invoice links use theme-primary; customer links use the body color,66,PASS,
C30251,https://shopview.testrail.io/index.php?/cases/view/30251,4317,SBR — Links & Navigation,An unavailable link destination shows the standard not-found state,66,PASS,
C30253,https://shopview.testrail.io/index.php?/cases/view/30253,4318,SBR — Staff Deactivation,"Deactivate dialog: counted pluralized headline, reassurance, focus trap",71,PASS,
C30254,https://shopview.testrail.io/index.php?/cases/view/30254,4318,SBR — Staff Deactivation,Type-YES gate: auto-focus; case-insensitive match; Enter submits,64,PASS,
C30255,https://shopview.testrail.io/index.php?/cases/view/30255,4318,SBR — Staff Deactivation,Cancel and X dismiss the Deactivate dialog; Escape and clicking outside do not,78,PASS,
C30256,https://shopview.testrail.io/index.php?/cases/view/30256,4318,SBR — Staff Deactivation,"Valid submit locks the dialog, then deactivates keeping assignments",67,PASS,
C30257,https://shopview.testrail.io/index.php?/cases/view/30257,4318,SBR — Staff Deactivation,"After deactivation: toggle unchanged, CSV shows No, report credit intact",72,PASS,
C30258,https://shopview.testrail.io/index.php?/cases/view/30258,4318,SBR — Staff Deactivation,"No dialog: toggle off, no assignments, already inactive, or reactivation",72,PASS,
C30259,https://shopview.testrail.io/index.php?/cases/view/30259,4318,SBR — Staff Deactivation,A deactivation failure shows the error toast and leaves the status alone,72,PASS,
C30260,https://shopview.testrail.io/index.php?/cases/view/30260,4318,SBR — Staff Deactivation,"If the assignment pre-check fails, the warning dialog still opens",65,PASS,
C30261,https://shopview.testrail.io/index.php?/cases/view/30261,4319,SBR — Show Unassigned,"Show Unassigned sits between the column selector and the date picker, off",73,PASS,
C30262,https://shopview.testrail.io/index.php?/cases/view/30262,4319,SBR — Show Unassigned,Show Unassigned adds one top-pinned Unassigned row that acts like a rep row,75,PASS,
C30264,https://shopview.testrail.io/index.php?/cases/view/30264,4319,SBR — Show Unassigned,No empty Unassigned row is ever rendered,40,PASS,
C30265,https://shopview.testrail.io/index.php?/cases/view/30265,4320,SBR — Column Selector,Column selector: eight metric toggles; five always-on columns cannot be hidden,78,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 2 raw-list-markup (expected); 3 no-blank-line-before-marker
C30267,https://shopview.testrail.io/index.php?/cases/view/30267,4320,SBR — Column Selector,Toggling a column applies at once to summary; detail and Totals rows,68,PASS,
C30268,https://shopview.testrail.io/index.php?/cases/view/30268,4320,SBR — Column Selector,Column visibility never affects the exports,43,PASS,
C30269,https://shopview.testrail.io/index.php?/cases/view/30269,4320,SBR — Column Selector,Hiding the active sort column keeps the sort,44,PASS,
C30271,https://shopview.testrail.io/index.php?/cases/view/30271,4321,SBR — Persistence,All filter and view settings are restored before the first data fetch,69,PASS,
C30272,https://shopview.testrail.io/index.php?/cases/view/30272,4321,SBR — Persistence,Expansion state and scroll position are not remembered and reset on reload,74,PASS,
C30273,https://shopview.testrail.io/index.php?/cases/view/30273,4321,SBR — Persistence,A stale saved value falls back to its default and never errors,62,PASS,
C30274,https://shopview.testrail.io/index.php?/cases/view/30274,4321,SBR — Persistence,First visit or cleared storage yields all defaults; no server-side profile,74,PASS,
C30275,https://shopview.testrail.io/index.php?/cases/view/30275,4321,SBR — Persistence,The A to Z default is its own saved value,41,PASS,
C30276,https://shopview.testrail.io/index.php?/cases/view/30276,4322,SBR — Exports,The ⋯ overflow menu lists exactly four download actions,55,PASS,
C30277,https://shopview.testrail.io/index.php?/cases/view/30277,4322,SBR — Exports,"All four downloads respect filters, full result set, and active order",69,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps)
C30278,https://shopview.testrail.io/index.php?/cases/view/30278,4322,SBR — Exports,Summary PDF: one rolled-up row per rep with a recomputed grand totals row,73,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps)
C30279,https://shopview.testrail.io/index.php?/cases/view/30279,4322,SBR — Exports,Expanded View PDF: one page-block per rep with its own totals; no grand,71,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps)
C30280,https://shopview.testrail.io/index.php?/cases/view/30280,4322,SBR — Exports,Expanded View PDF truncates invoice numbers longer than 18 characters,69,PASS,
C30281,https://shopview.testrail.io/index.php?/cases/view/30281,4322,SBR — Exports,"PDF footer on every page, default-logo fallback, and deterministic PDF filenames",80,PASS,
C30282,https://shopview.testrail.io/index.php?/cases/view/30282,4322,SBR — Exports,"PDFs render negative dollars in accounting parentheses, keep the (Inactive) tag",79,PASS,
C30283,https://shopview.testrail.io/index.php?/cases/view/30283,4322,SBR — Exports,PDF body font steps down as the longest dollar value grows; no overflow,71,PASS,
C30285,https://shopview.testrail.io/index.php?/cases/view/30285,4322,SBR — Exports,"Summary CSV: file name, UTF-8 BOM, verbatim headers, one row per rep",68,PASS,
C30286,https://shopview.testrail.io/index.php?/cases/view/30286,4322,SBR — Exports,"Expanded CSV: file name, verbatim headers, one row per invoice",62,PASS,
C30287,https://shopview.testrail.io/index.php?/cases/view/30287,4322,SBR — Exports,"CSV cells: plain numbers, signed Labor Delta, empty Margin %, (Inactive)",72,FAIL,2 raw-list-markup (preconditions); 2 raw-list-markup (steps); 3 marker-not-last
C30288,https://shopview.testrail.io/index.php?/cases/view/30288,4322,SBR — Exports,The Unassigned row appears in both CSV downloads only when the toggle is on,75,PASS,
C30289,https://shopview.testrail.io/index.php?/cases/view/30289,4322,SBR — Exports,A failed download shows the canonical error toast,49,PASS,
C30290,https://shopview.testrail.io/index.php?/cases/view/30290,4322,SBR — Exports,Over-cap Expanded View PDF is refused with the too-large message,64,PASS,
C30291,https://shopview.testrail.io/index.php?/cases/view/30291,4322,SBR — Exports,An empty-data export still generates with zeroed Summary PDF totals,67,PASS,
C30292,https://shopview.testrail.io/index.php?/cases/view/30292,4323,SBR — Sales Rep Assignments Export,Report Name dropdown lists Sales Representative Assignments at the bottom,73,PASS,
C30293,https://shopview.testrail.io/index.php?/cases/view/30293,4323,SBR — Sales Rep Assignments Export,"Sales Representative Assignments CSV: file name, headers, success toast",71,PASS,
C30294,https://shopview.testrail.io/index.php?/cases/view/30294,4323,SBR — Sales Rep Assignments Export,"Assignments CSV: one row per assigned customer, sorted customer then rep",72,PASS,
C30295,https://shopview.testrail.io/index.php?/cases/view/30295,4323,SBR — Sales Rep Assignments Export,"""Rep is active?"" tracks the staff-active status, not the toggle",63,PASS,
C30296,https://shopview.testrail.io/index.php?/cases/view/30296,4323,SBR — Sales Rep Assignments Export,"A deleted rep record still exports one row from the stored name, marked No",74,PASS,
C30297,https://shopview.testrail.io/index.php?/cases/view/30297,4323,SBR — Sales Rep Assignments Export,Assignments export failure and nothing-to-export use the dialog's messages,74,PASS,
