C-id,TestRail link,Title,Source cited BEFORE,Source cited NOW,Requirements now cited,Anchor quote-verified live,Changed this pass,What changed,Raw markup in tester text,Automation marker
C29986,https://shopview.testrail.io/index.php?/cases/view/29986,The same work order on a second technician spreads the full estimate again,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§12; §4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38863,https://shopview.testrail.io/index.php?/cases/view/38863,Spread past 8 weeks asks to confirm; a series can never exceed 120 shifts,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29987,https://shopview.testrail.io/index.php?/cases/view/29987,"Month view: series banner wraps across weeks, labeled once, then 'continues'",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8958)
C29988,https://shopview.testrail.io/index.php?/cases/view/29988,"Week view: series banner spans the week, with chevrons and 'week N of M'",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29989,https://shopview.testrail.io/index.php?/cases/view/29989,Day view shows the series day as one block with a multi-week cue,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29990,https://shopview.testrail.io/index.php?/cases/view/29990,A series is just a grouping - capacity and conflicts use the daily shifts,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.6; §8.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29991,https://shopview.testrail.io/index.php?/cases/view/29991,"A single-line shift block shows customer, unit number and line name",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29992,https://shopview.testrail.io/index.php?/cases/view/29992,Whole-order and multi-line shifts both read 'N Lines' on the block,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§12; §4.4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29995,https://shopview.testrail.io/index.php?/cases/view/29995,The conflict icon is the only icon on a shift block,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29996,https://shopview.testrail.io/index.php?/cases/view/29996,"Non-overlapping same-day shifts share one lane, even from different orders",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§12; §4.7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29997,https://shopview.testrail.io/index.php?/cases/view/29997,Shifts whose times intersect split into stacked lanes and the row grows to fit,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11; §4.7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29998,https://shopview.testrail.io/index.php?/cases/view/29998,Visible lanes cap at 3; extra overlapping shifts collapse into '+N more',spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29999,https://shopview.testrail.io/index.php?/cases/view/29999,"Lane stacking and the '+N more' overflow apply in day, week, and month views",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30001,https://shopview.testrail.io/index.php?/cases/view/30001,Day view auto-scrolls to the working-day start; manual scrolling stands,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8837)
C30003,https://shopview.testrail.io/index.php?/cases/view/30003,Date and time headers stick to the top during vertical scroll,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30004,https://shopview.testrail.io/index.php?/cases/view/30004,Dragging a shift sideways moves its start time in 15-minute steps,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.8; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C30005,https://shopview.testrail.io/index.php?/cases/view/30005,Dragging a shift's left or right edge resizes its duration,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30006,https://shopview.testrail.io/index.php?/cases/view/30006,"A now line marks the current time on today's day view, with a label on hover",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30008,https://shopview.testrail.io/index.php?/cases/view/30008,"Clicking a shift opens its detail modal, with VIN always visible",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9; §9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30009,https://shopview.testrail.io/index.php?/cases/view/30009,Scheduled date and start/end time pickers work in 15-minute increments,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8833)
C30010,https://shopview.testrail.io/index.php?/cases/view/30010,The modal shows the technician and time logged vs estimate progress,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8834)
C30011,https://shopview.testrail.io/index.php?/cases/view/30011,The modal lists the scheduled line(s) with no money fields,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.4; §4.9,yes,yes,the money half of the divergence is now settled by spec v25; the labor half remains,no,AUTOMATION: READY
C30012,https://shopview.testrail.io/index.php?/cases/view/30012,Estimated hours can be edited inline in the modal,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30013,https://shopview.testrail.io/index.php?/cases/view/30013,"Notes can be added, edited, and deleted per work order from the modal",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C30014,https://shopview.testrail.io/index.php?/cases/view/30014,A conflicted shift's modal shows a conflict banner with an 'Adjust' action,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8852)
C30015,https://shopview.testrail.io/index.php?/cases/view/30015,Shift modal offers Delete only - there is no Reassign action,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.9; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30016,https://shopview.testrail.io/index.php?/cases/view/30016,Create an event via left-click 'Create Event' on empty grid space,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30017,https://shopview.testrail.io/index.php?/cases/view/30017,Day view event creation shows a live preview block you can drag to resize,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30018,https://shopview.testrail.io/index.php?/cases/view/30018,Event modal fields all save; the all-day toggle creates an all-day event,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10; §8.1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30020,https://shopview.testrail.io/index.php?/cases/view/30020,Events can be dragged to another technician or another day,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10; §7,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - not re-checked against the current build - it needs a drag that could not be completed
C30021,https://shopview.testrail.io/index.php?/cases/view/30021,Event cards look structurally distinct from shift cards,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30022,https://shopview.testrail.io/index.php?/cases/view/30022,Events default to grey; choosing a color tints the card and chip,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§10; §4.10,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30615,https://shopview.testrail.io/index.php?/cases/view/30615,An event's hours count toward the capacity bar but raise no conflict,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.10; §4.11; §4.12,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30023,https://shopview.testrail.io/index.php?/cases/view/30023,Double-booked: two overlapping work orders on one technician are flagged,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30024,https://shopview.testrail.io/index.php?/cases/view/30024,Working-day conflict: a shift outside the tech's working days is flagged,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30025,https://shopview.testrail.io/index.php?/cases/view/30025,Before-hours and after-hours shifts are flagged against the tech's hours,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11; §4.2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30027,https://shopview.testrail.io/index.php?/cases/view/30027,The toolbar conflict pill shows the count and opens a list,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11; §6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30028,https://shopview.testrail.io/index.php?/cases/view/30028,Clicking a conflict in the dropdown navigates to the relevant technician and day,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30029,https://shopview.testrail.io/index.php?/cases/view/30029,"Red styling is only for conflicts and errors, never for overtime",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.11; §4.12,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30030,https://shopview.testrail.io/index.php?/cases/view/30030,"Capacity bar fill = booked (shifts + events) vs available, clamped, equal tracks",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.12,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30031,https://shopview.testrail.io/index.php?/cases/view/30031,"Over capacity, an amber spill extends past the track's right edge",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.12,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30032,https://shopview.testrail.io/index.php?/cases/view/30032,'OT' text tag appears when one technician exceeds their own daily hours,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§11; §4.12,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30033,https://shopview.testrail.io/index.php?/cases/view/30033,Hovering a capacity bar shows a per-technician breakdown,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.12,yes,yes,v26 narrowed the tooltip to assigned technicians,no,AUTOMATION: READY
C30034,https://shopview.testrail.io/index.php?/cases/view/30034,Shift hover tooltip shows the full shift summary incl. up to 3 line names,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.13,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30035,https://shopview.testrail.io/index.php?/cases/view/30035,A conflicted shift's tooltip shows the icon and reason in amber,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.13,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8959)
C30036,https://shopview.testrail.io/index.php?/cases/view/30036,"Event hover tooltip shows name, grey category dot, time range and tech",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.13,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8893)
C30037,https://shopview.testrail.io/index.php?/cases/view/30037,"Tooltips open after a hover delay, dismiss on mouse-leave, are read-only",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.13,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30038,https://shopview.testrail.io/index.php?/cases/view/30038,The tooltip flips or shifts to stay within the viewport - never clipped,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.13,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30039,https://shopview.testrail.io/index.php?/cases/view/30039,'Today' button jumps the grid to the current date,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30040,https://shopview.testrail.io/index.php?/cases/view/30040,"Left/right arrows step by day, week, or month to match the active range",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30041,https://shopview.testrail.io/index.php?/cases/view/30041,Toolbar search highlights matching blocks and fades non-matching ones,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§6,yes,yes,the fade/highlight requirement was deleted from the spec in v24,no,AUTOMATION: READY - EXPECT FAIL (SV-8874)
C30042,https://shopview.testrail.io/index.php?/cases/view/30042,"'Filter & Display' dropdown combines department toggles, My Shifts, and VIN",spec v23 | refs names no spec version,spec v27 | refs names no spec version,§6; §9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30043,https://shopview.testrail.io/index.php?/cases/view/30043,Department toggles show or hide individual department groups in the grid,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C30044,https://shopview.testrail.io/index.php?/cases/view/30044,'My Shifts' filters the grid to only the current user's shifts,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§14.3; §9,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - needs a second sign-in as a user with no staff record of their own
C30045,https://shopview.testrail.io/index.php?/cases/view/30045,'VIN Number' toggle gates the block VIN only - tooltip and modal always show it,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.4; §4.8; §9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8941)
C30046,https://shopview.testrail.io/index.php?/cases/view/30046,'View Options': six toggles with defaults; Capacity Bars and Events flip,spec v23 | refs names no spec version,spec v27 | refs names no spec version,§4.12; §6; §9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY - EXPECT FAIL (SV-8827)
