internal_id,testrail_case_id,testrail_link,area,title,title_len,useful_verdict,sense_verdict,genuine_layman,refs,viu_status
SCH-DND-05,C29959,https://shopview.testrail.io/index.php?/cases/view/29959,Drag-and-Drop Scheduling,A scope that fits one working day skips the spread step,55,KEEP,SENSIBLE,PASS,SV-8688 (§4.1 (spread step is conditional)),VIU-Pending
SCH-DND-06,C29960,https://shopview.testrail.io/index.php?/cases/view/29960,Drag-and-Drop Scheduling,"While dragging, target cells highlight and a ghost block follows",64,WEAK-KEEP,SENSIBLE,PASS,SV-8688 (§7 (Drag feedback)),VIU-Pending
SCH-DND-07,C29961,https://shopview.testrail.io/index.php?/cases/view/29961,Drag-and-Drop Scheduling,Scheduling a technician onto a line adds them to its labor roster,65,KEEP,SENSIBLE,PASS,"SV-8688 (§1.2 (Goals - roster sync), §4.3 (roster add), §7)",VIU-Pending
SCH-DND-08,C29962,https://shopview.testrail.io/index.php?/cases/view/29962,Drag-and-Drop Scheduling,A click-to-arm alternative exists for scheduling without dragging,65,KEEP,SENSIBLE,PASS,"SV-8688 (§7 (Keyboard support - click-to-arm), §11 (Accessibility))",VIU-Pending
SCH-EDGE-02,C30086,https://shopview.testrail.io/index.php?/cases/view/30086,Edge Cases and Responsiveness,Below 960px the grid scrolls sideways and the sidebar collapses,63,KEEP,SENSIBLE,PASS,"SV-8686,SV-8687 (§11 (Responsiveness - grid scrolls horizontally below 960px; sidebar collapses))",VIU-Pending
SCH-EDGE-03,C30087,https://shopview.testrail.io/index.php?/cases/view/30087,Edge Cases and Responsiveness,The sidebar work order list and line drill-down stay smooth with 50+ items,74,WEAK-KEEP,SENSIBLE,PASS,SV-8687 (§11 (Performance - sidebar list and line drill-down virtualize at 50+ items)),VIU-Pending
SCH-EDGE-04,C30088,https://shopview.testrail.io/index.php?/cases/view/30088,Edge Cases and Responsiveness,The grid renders smoothly at full load - 15 technicians over 7 days,67,WEAK-KEEP,SENSIBLE,PASS,SV-8686 (§11 (Performance)),VIU-Pending
SCH-EDGE-05,C30089,https://shopview.testrail.io/index.php?/cases/view/30089,Edge Cases and Responsiveness,Shop closures do NOT block spread in V1 - shifts can land on closure days,73,KEEP,SENSIBLE,PASS,"SV-8691 (§12 (Shop closures), §4.5)",VIU-Pending
SCH-EDGE-06,C30090,https://shopview.testrail.io/index.php?/cases/view/30090,Edge Cases and Responsiveness,"Scheduled, estimated and actual clocked hours are three separate numbers",72,WEAK-KEEP,SENSIBLE,PASS,"SV-8691 (§4.5 (three separate quantities), §12)",VIU-Pending
SCH-EDGE-07,C38865,https://shopview.testrail.io/index.php?/cases/view/38865,Edge Cases and Responsiveness,A multi-week series keeps the same local start time across the clock change,75,KEEP,SENSIBLE,PASS,SV-8691 (§4.5 + tech-plan D2 NFR-005 DST),VIU-Pending
SCH-EDGE-08,C38866,https://shopview.testrail.io/index.php?/cases/view/38866,Edge Cases and Responsiveness,Schedule and all its dialogs display correctly in dark mode,59,KEEP,SENSIBLE,PASS,"SV-8685 (§11 (Dark theme - user-selectable Light / Dark, persisted per user))",VIU-Pending
SCH-EVT-01,C30016,https://shopview.testrail.io/index.php?/cases/view/30016,Events,Create an event via left-click 'Create Event' on empty grid space,65,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (left-click menu on empty grid space), §7)",VIU-Pending
SCH-EVT-02,C30017,https://shopview.testrail.io/index.php?/cases/view/30017,Events,Day view event creation shows a live preview block you can drag to resize,73,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (left-click menu entry; day-view live preview, drag-to-resize))",VIU-Pending
SCH-EVT-03,C30018,https://shopview.testrail.io/index.php?/cases/view/30018,Events,Event modal fields all save; the all-day toggle creates an all-day event,72,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (Event modal), §8.1 (Event allDay field))",VIU-Pending
SCH-EVT-05,C30020,https://shopview.testrail.io/index.php?/cases/view/30020,Events,Events can be dragged to another technician or another day,58,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (Drag-and-drop to reassign/move), §7 (toast))",VIU-Pending
SCH-EVT-06,C30021,https://shopview.testrail.io/index.php?/cases/view/30021,Events,Event cards look structurally distinct from shift cards,55,KEEP,SENSIBLE,PASS,SV-8696 (§4.10 (Event card anatomy)),VIU-Pending
SCH-EVT-07,C30022,https://shopview.testrail.io/index.php?/cases/view/30022,Events,Events default to grey; choosing a color tints the card and chip,64,WEAK-KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (Event color), §10)",VIU-Pending
SCH-EVT-08,C30615,https://shopview.testrail.io/index.php?/cases/view/30615,Events,An event's hours count toward the capacity bar but raise no conflict,68,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (Events), §4.11 (events not conflict-checked), §4.12 (event time included in the utilization total))",VIU-Pending
SCH-FILT-01,C29942,https://shopview.testrail.io/index.php?/cases/view/29942,Sidebar - Work Order Filters,The 'Filters' button opens Assignment / Status / Priority filter groups,71,KEEP,SENSIBLE,PASS,SV-8687 (§5.1),VIU-Pending
SCH-FILT-02,C29943,https://shopview.testrail.io/index.php?/cases/view/29943,Sidebar - Work Order Filters,Assignment filter narrows the list to Assigned or Unassigned work orders,72,KEEP,SENSIBLE,PASS,"SV-8687 (§5.1, §3.1)",VIU-Pending
SCH-FILT-03,C29944,https://shopview.testrail.io/index.php?/cases/view/29944,Sidebar - Work Order Filters,Status filter narrows the list to work orders in the chosen status(es),70,KEEP,SENSIBLE,PASS,SV-8687 (§5.1),VIU-Pending
SCH-FILT-04,C29945,https://shopview.testrail.io/index.php?/cases/view/29945,Sidebar - Work Order Filters,"Priority filter offers High, Medium, Low and narrows the list accordingly",73,KEEP,SENSIBLE,PASS,SV-8687 (§5.1),VIU-Pending
SCH-FILT-05,C29946,https://shopview.testrail.io/index.php?/cases/view/29946,Sidebar - Work Order Filters,'Clear all' resets every applied sidebar filter in one click,60,KEEP,SENSIBLE,PASS,SV-8687 (§5.1),VIU-Pending
SCH-FILT-06,C29947,https://shopview.testrail.io/index.php?/cases/view/29947,Sidebar - Work Order Filters,Search and filter work together - both can be active at the same time,69,KEEP,SENSIBLE,PASS,SV-8687 (§5.1),VIU-Pending
SCH-HRS-02,C38847,https://shopview.testrail.io/index.php?/cases/view/38847,Working Hours Settings,Business-hours toggle reveals a per-day (Mon-Sun) From-To editor,64,KEEP,SENSIBLE,PASS,"SV-8699 (§4.2 Working Hours - business hours toggle, per-day From/To editor)",VIU-Pending
SCH-HRS-03,C38848,https://shopview.testrail.io/index.php?/cases/view/38848,Working Hours Settings,"Edit Staff has a 'Set custom hours for this technician' toggle, off by default",78,KEEP,SENSIBLE,PASS,SV-8699 (§4.2 Working Hours - technician custom-hours toggle),VIU-Pending
SCH-HRS-04,C38849,https://shopview.testrail.io/index.php?/cases/view/38849,Working Hours Settings,A technician with no custom hours inherits the shop business hours,66,KEEP,SENSIBLE,PASS,SV-8699 (§4.2 Working Hours - inherit shop hours when no custom hours),VIU-Pending
SCH-HRS-05,C38850,https://shopview.testrail.io/index.php?/cases/view/38850,Working Hours Settings,"'Add hours' appends a removable second range for split shifts, starting empty",77,KEEP,SENSIBLE,PASS,SV-8699 (§4.2 Working Hours - Add hours split shifts),VIU-Pending
SCH-HRS-06,C38851,https://shopview.testrail.io/index.php?/cases/view/38851,Working Hours Settings,Overlapping hour ranges block Save; incomplete rows are ignored,63,KEEP,SENSIBLE,PASS,SV-8699 (§4.2 Working Hours - overlap validation; incomplete rows ignored by overlap check),VIU-Pending
SCH-KEY-01,C30066,https://shopview.testrail.io/index.php?/cases/view/30066,Keyboard Interactions,"Escape closes the topmost open modal or popover, following the stacking order",77,KEEP,SENSIBLE,PASS,"SV-8700 (§7 (Keyboard support - Escape, including within the shift modal))",VIU-Pending
SCH-KEY-03,C30068,https://shopview.testrail.io/index.php?/cases/view/30068,Keyboard Interactions,"Enter confirms the active dialog, but not inside a note textarea",64,KEEP,SENSIBLE,PASS,SV-8700 (§7 (Keyboard support - Enter; Enter does not fire inside textareas)),VIU-Pending
SCH-KEY-05,C30070,https://shopview.testrail.io/index.php?/cases/view/30070,Keyboard Interactions,Modals trap focus and all interactive elements are keyboard-reachable,69,KEEP,SENSIBLE,PASS,SV-8700 (§11 (Accessibility)),VIU-Pending
SCH-LANE-01,C29996,https://shopview.testrail.io/index.php?/cases/view/29996,Overlap and Lane Stacking,"Non-overlapping same-day shifts share one lane, even from different orders",74,KEEP,SENSIBLE,PASS,"SV-8693 (§4.7, §12 (edge case))",VIU-Pending
SCH-LANE-02,C29997,https://shopview.testrail.io/index.php?/cases/view/29997,Overlap and Lane Stacking,Shifts whose times intersect split into stacked lanes and the row grows to fit,78,KEEP,SENSIBLE,PASS,"SV-8693 (§4.7, §4.11)",VIU-Pending
SCH-LANE-03,C29998,https://shopview.testrail.io/index.php?/cases/view/29998,Overlap and Lane Stacking,Visible lanes cap at 3; extra overlapping shifts collapse into '+N more',72,KEEP,SENSIBLE,PASS,SV-8693 (§4.7),VIU-Pending
SCH-LANE-04,C29999,https://shopview.testrail.io/index.php?/cases/view/29999,Overlap and Lane Stacking,"Lane stacking and the '+N more' overflow apply in day, week, and month views",76,KEEP,SENSIBLE,PASS,SV-8693 (§4.7),VIU-Pending
SCH-LINE-01,C29948,https://shopview.testrail.io/index.php?/cases/view/29948,Sidebar - Line Drill-Down,"Work order card opens the line drill-down in place, with header and back control",80,KEEP,SENSIBLE,PASS,SV-8687 (§3.1 (Line drill-down)),VIU-Pending
SCH-LINE-03,C29950,https://shopview.testrail.io/index.php?/cases/view/29950,Sidebar - Line Drill-Down,Only approved work order lines appear in the drill-down,55,KEEP,SENSIBLE,PASS,SV-8687 (§3.1 (Line drill-down - approved-only)),VIU-Pending
SCH-LINE-04,C29951,https://shopview.testrail.io/index.php?/cases/view/29951,Sidebar - Line Drill-Down,"Line row shows title, hours, the technician roster and a drag handle",68,KEEP,SENSIBLE,PASS,"SV-8687 (§3.1 (Line drill-down), §8.1 (Line labor roster - no cap))",VIU-Pending
SCH-LINE-05,C29952,https://shopview.testrail.io/index.php?/cases/view/29952,Sidebar - Line Drill-Down,Lines with no technician assigned show a 'Needs techs' badge,60,KEEP,SENSIBLE,PASS,SV-8687 (§3.1 (Line drill-down - Needs techs badge)),VIU-Pending
SCH-LINE-06,C29953,https://shopview.testrail.io/index.php?/cases/view/29953,Sidebar - Line Drill-Down,'Search lines' matches the line title/name only,47,KEEP,SENSIBLE,PASS,SV-8687 (§3.1 (Line search)),VIU-Pending
SCH-LINE-07,C29954,https://shopview.testrail.io/index.php?/cases/view/29954,Sidebar - Line Drill-Down,'All / Unscheduled' filter chips show counts and filter the line list,69,KEEP,SENSIBLE,PASS,"SV-8687 (§3.1, §5.1 (drill-down filters))",VIU-Pending
SCH-MCAL-01,C29932,https://shopview.testrail.io/index.php?/cases/view/29932,Sidebar - Mini Calendar,Clicking a date in the mini calendar navigates the main grid to that date,73,KEEP,SENSIBLE,PASS,"SV-8687 (§3.1, §5.2)",VIU-Pending
SCH-MCAL-02,C29933,https://shopview.testrail.io/index.php?/cases/view/29933,Sidebar - Mini Calendar,Mini calendar month/year picker has month buttons and year arrows,65,KEEP,SENSIBLE,PASS,SV-8687 (§5.2),VIU-Pending
SCH-MCAL-03,C29934,https://shopview.testrail.io/index.php?/cases/view/29934,Sidebar - Mini Calendar,A chevron toggle collapses and expands the mini calendar grid,61,KEEP,SENSIBLE,PASS,"SV-8687 (§3.1, §5.2)",VIU-Pending
SCH-MCAL-04,C29935,https://shopview.testrail.io/index.php?/cases/view/29935,Sidebar - Mini Calendar,"Mini calendar highlights the selected date, today, and the hovered week",71,WEAK-KEEP,SENSIBLE,PASS,SV-8687 (§5.2),VIU-Pending
SCH-MODAL-01,C30008,https://shopview.testrail.io/index.php?/cases/view/30008,Shift Detail Modal,"Clicking a shift opens its detail modal, with VIN always visible",64,KEEP,SENSIBLE,PASS,"SV-8695 (§4.9, §9 (VIN always in modal))",VIU-Pending
SCH-MODAL-02,C30009,https://shopview.testrail.io/index.php?/cases/view/30009,Shift Detail Modal,Scheduled date and start/end time pickers work in 15-minute increments,70,KEEP,SENSIBLE,PASS,SV-8695 (§4.9),VIU-Pending
SCH-MODAL-03,C30010,https://shopview.testrail.io/index.php?/cases/view/30010,Shift Detail Modal,The modal shows the technician and time logged vs estimate progress,67,KEEP,SENSIBLE,PASS,SV-8695 (§4.9),VIU-Pending
SCH-MODAL-04,C30011,https://shopview.testrail.io/index.php?/cases/view/30011,Shift Detail Modal,The modal lists the scheduled line(s) with no money fields,58,KEEP,SENSIBLE,PASS,"SV-8695 (§4.9, §4.4)",VIU-Pending
SCH-MODAL-05,C30012,https://shopview.testrail.io/index.php?/cases/view/30012,Shift Detail Modal,Estimated hours can be edited inline in the modal,49,KEEP,SENSIBLE,PASS,SV-8695 (§4.9 (Estimated hours with inline edit)),VIU-Pending
SCH-MODAL-06,C30013,https://shopview.testrail.io/index.php?/cases/view/30013,Shift Detail Modal,"Notes can be added, edited, and deleted per work order from the modal",69,KEEP,SENSIBLE,PASS,"SV-8695 (§4.9 (Notes: add, edit, and delete per work order))",VIU-Pending
SCH-MODAL-07,C30014,https://shopview.testrail.io/index.php?/cases/view/30014,Shift Detail Modal,A conflicted shift's modal shows a conflict banner with an 'Adjust' action,74,KEEP,SENSIBLE,PASS,SV-8695 (§4.9 (conflict banner + Adjust)),VIU-Pending
SCH-MODAL-08,C30015,https://shopview.testrail.io/index.php?/cases/view/30015,Shift Detail Modal,Shift modal offers Delete only - there is no Reassign action,60,KEEP,SENSIBLE,PASS,"SV-8695 (§4.9 (Actions - Delete only; Reassign removed in Confluence v23), §7)",VIU-Pending
SCH-NAV-01,C29925,https://shopview.testrail.io/index.php?/cases/view/29925,Navigation and Layout,Schedule opens from the top-level navigation into a sidebar + grid layout,73,KEEP,SENSIBLE,PASS,"SV-8686 (§3, §3.1, §3.2)",VIU-Pending
SCH-NAV-03,C29927,https://shopview.testrail.io/index.php?/cases/view/29927,Navigation and Layout,Day / Week / Month segmented control switches the grid between the three views,78,KEEP,SENSIBLE,PASS,"SV-8686 (§3.2, §6)",VIU-Pending
SCH-NAV-04,C29928,https://shopview.testrail.io/index.php?/cases/view/29928,Navigation and Layout,Grid rows are grouped by department under group headers,55,KEEP,SENSIBLE,PASS,"SV-8686 (§3.2, §14.4)",VIU-Pending
SCH-NAV-05,C29929,https://shopview.testrail.io/index.php?/cases/view/29929,Navigation and Layout,Collapsing a department header hides its technician rows,56,KEEP,SENSIBLE,PASS,SV-8686 (§3.2),VIU-Pending
SCH-NAV-06,C29930,https://shopview.testrail.io/index.php?/cases/view/29930,Navigation and Layout,No Tech/Dept toggle - department grouping is the only grid grouping,67,WEAK-KEEP,SENSIBLE,PASS,SV-8686 (§3.2),VIU-Pending
SCH-NAV-07,C29931,https://shopview.testrail.io/index.php?/cases/view/29931,Navigation and Layout,"An Unassigned row sits inside the grid, not in a separate tray",62,KEEP,SENSIBLE,PASS,"SV-8686 (§3.2, §4.2)",VIU-Pending
SCH-PERM-01,C30074,https://shopview.testrail.io/index.php?/cases/view/30074,Permissions,Schedule: View grants the full read-only experience across the whole page,73,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (Schedule: View), §14.3)",VIU-Pending
SCH-PERM-02,C30075,https://shopview.testrail.io/index.php?/cases/view/30075,Permissions,View-only: every editing affordance is hidden or disabled,57,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (Schedule: View - editing affordances hidden or disabled))",VIU-Pending
SCH-PERM-03,C30076,https://shopview.testrail.io/index.php?/cases/view/30076,Permissions,"With Schedule: View OFF, the Schedule top-level nav item is hidden entirely",75,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (When Schedule: View is OFF))",VIU-Pending
SCH-PERM-04,C30077,https://shopview.testrail.io/index.php?/cases/view/30077,Permissions,Schedule: Edit unlocks all creation and modification interactions,65,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (Schedule: Edit))",VIU-Pending
SCH-PERM-05,C30078,https://shopview.testrail.io/index.php?/cases/view/30078,Permissions,Edit without Delete: the user can create and modify but not remove,66,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (Schedule: Delete - without it))",VIU-Pending
SCH-PERM-06,C30079,https://shopview.testrail.io/index.php?/cases/view/30079,Permissions,Schedule: Delete unlocks deleting shifts and events,51,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.1 (Schedule: Delete))",VIU-Pending
SCH-PERM-07,C30080,https://shopview.testrail.io/index.php?/cases/view/30080,Permissions,"Permission tiers nest: Delete requires Edit, Edit requires View",63,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14 (Delete requires Edit and Edit requires View))",VIU-Pending
SCH-PERM-08,C30081,https://shopview.testrail.io/index.php?/cases/view/30081,Permissions,Schedule without Work Orders: View - the sidebar hides the work order list,74,KEEP,SENSIBLE,PASS,SV-8687 (§14.2),VIU-Pending
SCH-PERM-09,C30082,https://shopview.testrail.io/index.php?/cases/view/30082,Permissions,No own-only restriction: a View user sees ALL technicians' shifts,65,KEEP,SENSIBLE,PASS,"SV-8685 [epic - cross-cutting, no single-story owner] (§14.3)",VIU-Pending
SCH-PERM-10,C30083,https://shopview.testrail.io/index.php?/cases/view/30083,Permissions,"Grid rows are department-based, not role-based",46,KEEP,SENSIBLE,PASS,SV-8686 (§14.4),VIU-Pending
SCH-PERM-11,C30084,https://shopview.testrail.io/index.php?/cases/view/30084,Permissions,Clocking into line tasks is gated by the staff 'Time Clock' setting,67,KEEP,SENSIBLE,PASS,SV-8686 (§14.4 (Time Clock setting)),VIU-Pending
