Report,Case ID,TestRail Link,Title,Source cited BEFORE,Source cited NOW,refs version BEFORE,refs version NOW,Requirements cited now,Anchor quote-verified against the LIVE spec body,Changed this pass,Could not be sourced / note
SBC,C30162,https://shopview.testrail.io/index.php?/cases/view/30162,CSV formats: Margin % plain; dates mm-dd-yyyy; currency plain; no color,SBC spec v15,SBC spec v16,v13,v16,S14-R10; S14-R11; S14-R12; S14-R13; S14-R9,YES - all exist in live v16,yes,
SBC,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,CSV and PDF hold exactly the customers matching the active filters and sort,SBC spec v15,SBC spec v16,v13,v16,S14-R3; S15-R3; S18-R7; S2-R7; S3-R7; S4-R10,YES - all exist in live v16,yes,
SBC,C30164,https://shopview.testrail.io/index.php?/cases/view/30164,Each download item shows a loading state and its own export-failed toast,SBC spec v15,SBC spec v16,v13,v16,S14-E1; S14-N1; S15-E1; S15-N1,YES - all exist in live v16,yes,
SBC,C30166,https://shopview.testrail.io/index.php?/cases/view/30166,"PDF page: A4 landscape, uniform margins, ShopView footer and page numbers",SBC spec v15,SBC spec v16,v13,v16,S15-R5; S15-R6; S15-R7; S15-R8,YES - all exist in live v16,yes,
SBC,C30167,https://shopview.testrail.io/index.php?/cases/view/30167,"PDF header: title, organization, date range, Product Type and Locations lines",SBC spec v15,SBC spec v16,v13,v16,S15-R10; S15-R11; S15-R14; S15-R7; S15-R8; S15-R9; S4-R13,YES - all exist in live v16,yes,unwarranted divergence hedge removed - S15-R7..R11/S15-R14/S4-R13 agree outright
SBC,C30168,https://shopview.testrail.io/index.php?/cases/view/30168,"PDF logo is embedded, scales without distortion",SBC spec v15,SBC spec v16,v13,v16,S15-R12; S15-R13; S15-R14; S15-R15; S15-R16; S15-R17; S15-R18,YES - all exist in live v16,yes,
SBC,C30169,https://shopview.testrail.io/index.php?/cases/view/30169,Expanded View PDF body matches the CSV's columns and on-screen rules,SBC spec v15,SBC spec v16,v13,v16,S15-R13; S15-R19; S15-R20; S15-R21; S15-R22; S15-R23; S15-R24; S15-R5; S4-R13,YES - all exist in live v16,yes,
SBC,C30172,https://shopview.testrail.io/index.php?/cases/view/30172,"An export over 10,000 data rows is refused with the too-large toast",SBC spec v15,SBC spec v16,v13,v16,S14-R14; S14-R16; S15-R22; S15-R25,YES - all exist in live v16,yes,unwarranted divergence hedge removed - S14-R16/S15-R25 state the cap in the SBC spec itself
SBC,C30173,https://shopview.testrail.io/index.php?/cases/view/30173,A no-match export still downloads headers and a zero totals row,SBC spec v15,SBC spec v16,v15,v16,S18-R10,YES - all exist in live v16,yes,
SBC,C30174,https://shopview.testrail.io/index.php?/cases/view/30174,Filters; sort and visible columns are restored on the next visit,SBC spec v15,SBC spec v16,v13,v16,S10-R9; S13-R8; S2-R8; S3-R8; S4-R11; S6-R1; S6-R2; S6-R4,YES - all exist in live v16,yes,
SBC,C30175,https://shopview.testrail.io/index.php?/cases/view/30175,"Type-ahead search text, expansion state and scroll position are not saved",SBC spec v15,SBC spec v16,v13,v16,S6-R3; S8-R22,YES - all exist in live v16,yes,
SBC,C30176,https://shopview.testrail.io/index.php?/cases/view/30176,A saved value that is no longer valid is dropped and falls back to default,SBC spec v15,SBC spec v16,v13,v16,S6-R5; S6-R6,YES - all exist in live v16,yes,
SBC,C30177,https://shopview.testrail.io/index.php?/cases/view/30177,The saved view is specific to this report and does not affect any other report,SBC spec v15,SBC spec v16,v13,v16,S6-R7,YES - all exist in live v16,yes,
SBC,C30178,https://shopview.testrail.io/index.php?/cases/view/30178,With no saved view every setting uses its own default,SBC spec v15,SBC spec v16,v13,v16,S2-R5; S4-R4; S6-N1,YES - all exist in live v16,yes,
SBC,C30179,https://shopview.testrail.io/index.php?/cases/view/30179,When a saved view and a page-link range clash the saved view wins,SBC spec v15,SBC spec v16,v13,v16,S2-R9,YES - all exist in live v16,yes,
SBC,C30180,https://shopview.testrail.io/index.php?/cases/view/30180,Customer filter restore: all-customers stays all; an id set is intersected,SBC spec v15,SBC spec v16,v13,v16,S18-R8,YES - all exist in live v16,yes,
SBC,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,Empty state shows in the table body; toolbar interactive; kept selection returns,SBC spec v15,SBC spec v16,v13,v16,S17-E1; S17-N1; S17-R1; S17-R2; S17-R3; S2-N1; S3-N1; S4-N2; S8-N1,YES - all exist in live v16,yes,
SBC,C30184,https://shopview.testrail.io/index.php?/cases/view/30184,A failed data fetch shows the error toast which fades after 5 seconds,SBC spec v15,SBC spec v16,(none named),(none named),(section-level),YES - section located in live v16,yes,
SBC,C30185,https://shopview.testrail.io/index.php?/cases/view/30185,Page and toolbar match the suite theme in padding; surface and alignment,SBC spec v15,SBC spec v16,v13,v16,S20-R1; S20-R12; S20-R13; S20-R15; S20-R17; S20-R2; S20-R3; S20-R4; S20-R5; S20-R6; S20-R7,YES - all exist in live v16,yes,
SBC,C30186,https://shopview.testrail.io/index.php?/cases/view/30186,Row surfaces alternate by tree level; header and totals rows stay white,SBC spec v15,SBC spec v16,v13,v16,S20-R10; S20-R11; S20-R14; S20-R8; S20-R9,YES - all exist in live v16,yes,
SBC,C30187,https://shopview.testrail.io/index.php?/cases/view/30187,Dark mode darkens every surface while the PDF always renders light,SBC spec v15,SBC spec v16,v13,v16,S20-R18,YES - all exist in live v16,yes,
SBC,C30188,https://shopview.testrail.io/index.php?/cases/view/30188,On a phone every toolbar control works on touch; the toolbar splits in two,SBC spec v15,SBC spec v16,v13,v16,S21-R1; S21-R2; S21-R3,YES - all exist in live v16,yes,
SBC,C30189,https://shopview.testrail.io/index.php?/cases/view/30189,On touch the table scrolls sideways with Subtotal pinned and chevrons work,SBC spec v15,SBC spec v16,v13,v16,S21-R4; S21-R5; S21-R6,YES - all exist in live v16,yes,
SBC,C30190,https://shopview.testrail.io/index.php?/cases/view/30190,Asset and invoice rows are fetched on first expand; one call per customer,SBC spec v15,SBC spec v16,v13,v16,S8-R14; S8-R16,YES - all exist in live v16,yes,
SBC,C30191,https://shopview.testrail.io/index.php?/cases/view/30191,Sorting is applied on the server and re-fetches the first page,SBC spec v15,SBC spec v16,v13,v16,S10-R8; S10-R8b,YES - all exist in live v16,yes,
SBC,C30192,https://shopview.testrail.io/index.php?/cases/view/30192,The Customer type-ahead queries the server instead of loading every name,SBC spec v15,SBC spec v16,v13,v16,S18-R2; S18-R4,YES - all exist in live v16,yes,
SBC,C30193,https://shopview.testrail.io/index.php?/cases/view/30193,Customer rows are server-paginated; the totals row is server-computed,SBC spec v15,SBC spec v16,v13,v16,S18-R11; S18-R6,YES - all exist in live v16,yes,
SBC,C30194,https://shopview.testrail.io/index.php?/cases/view/30194,"Exports are server-generated and the 10,000-row cap is counted first",SBC spec v15,SBC spec v16,v13,v16,S14-R14; S14-R3; S15-R22; S15-R3,YES - all exist in live v16,yes,
SBC,C38856,https://shopview.testrail.io/index.php?/cases/view/38856,Summary and Expanded View downloads exist for both PDF and CSV,SBC spec v15,SBC spec v16,v13,v16,S14-R1; S14-R2; S14-R4; S15-R1; S15-R2; S15-R4; S15-R5; S4-R13,YES - all exist in live v16,yes,
SBC,C38912,https://shopview.testrail.io/index.php?/cases/view/38912,"Location column: shown to any multi-location user, Multiple on aggregating rows",SBC spec v16,SBC spec v16,v16,v16,S20-R19; S4-R12; S4-R12a; S4-R13,YES - all exist in live v16,no - already current,
SBC,C39447,https://shopview.testrail.io/index.php?/cases/view/39447,No Sales By Customer permission is offered in the role permission editor,SBC spec v15,SBC spec v16,(none named),(none named),S1-R2,YES - all exist in live v16,yes,
SBC,C43546,https://shopview.testrail.io/index.php?/cases/view/43546,The back end serves SBC report data and export on ordinary reports access,SBC spec v15,SBC spec v16,v13,v16,S1-N1; S1-R2,YES - all exist in live v16,yes,
SBC,C43550,https://shopview.testrail.io/index.php?/cases/view/43550,A one-location user never sees Location in the column-selection list,SBC spec v15,SBC spec v16,v13,v16,S10-R4; S4-R12; S4-R3,YES - all exist in live v16,yes,
SBC,C43553,https://shopview.testrail.io/index.php?/cases/view/43553,A logo that is set but will not load falls back to the ShopView logo,SBC spec v15,SBC spec v16,v13,v16,S15-R17,YES - all exist in live v16,yes,
SBC,C43558,https://shopview.testrail.io/index.php?/cases/view/43558,You cannot reach an invoice you have no permission to open,SBC spec v15,SBC spec v16,v15,v16,S9-N2; S9-R1a,YES - all exist in live v16,yes,
TU,C30392,https://shopview.testrail.io/index.php?/cases/view/30392,"Technician Utilization sits under Performance, below existing report links",TU spec v6,TU spec v7,(none named),(none named),S1-R1,YES - all exist in live v7,yes,
TU,C30393,https://shopview.testrail.io/index.php?/cases/view/30393,One row per technician who clocked time in the range at those locations,TU spec v6,TU spec v7,v5,v7,S1-R2,YES - all exist in live v7,yes,
TU,C30394,https://shopview.testrail.io/index.php?/cases/view/30394,First visit defaults to the This Month preset and the user's active location,TU spec v6,TU spec v7,v5,v7,S1-R3; S1-R6; S9-R2,YES - all exist in live v7,yes,
TU,C30395,https://shopview.testrail.io/index.php?/cases/view/30395,Changing the date range reloads the rows; a Custom range is capped at 366 days,TU spec v6,TU spec v7,v5,v7,S1-R4; S1-R5,YES - all exist in live v7,yes,
TU,C30396,https://shopview.testrail.io/index.php?/cases/view/30396,The loading indicator shows on load and reload; rows swap only on data,TU spec v6,TU spec v7,v5,v7,S1-R10,YES - all exist in live v7,yes,
TU,C30397,https://shopview.testrail.io/index.php?/cases/view/30397,All clock records are day-grouped and windowed in one report-level time zone,TU spec v6,TU spec v7,v5,v7,S1-R7,YES - all exist in live v7,yes,
TU,C30398,https://shopview.testrail.io/index.php?/cases/view/30398,Without reports access Technician Utilization is hidden,TU spec v6,TU spec v7,(none named),v7,S1-N1,YES - all exist in live v7,yes,refs claimed Chris still owed a spec edit; TU v7 Story 1 now states the single reports permission
TU,C30399,https://shopview.testrail.io/index.php?/cases/view/30399,Standard no-data message when no time in scope or all technicians cleared,TU spec v6,TU spec v7,v5,v7,S1-N2; S3-N1; S5-N1; S9-N2,YES - all exist in live v7,yes,
TU,C30401,https://shopview.testrail.io/index.php?/cases/view/30401,"Headers in fixed order; Total, WO and Internal Hours show clocked hours (2 dp)",TU spec v6,TU spec v7,v5,v7,S2-R1; S2-R2; S2-R3; S2-R4; S2-R5; S9-R9,YES - all exist in live v7,yes,
TU,C30402,https://shopview.testrail.io/index.php?/cases/view/30402,Utilization % is WO hours over total hours from unrounded values,TU spec v6,TU spec v7,v5,v7,S2-R6; S2-R7,YES - all exist in live v7,yes,
TU,C30403,https://shopview.testrail.io/index.php?/cases/view/30403,A technician with only internal hours shows 0.0% utilization,TU spec v6,TU spec v7,v5,v7,S2-E1; S2-R7,YES - all exist in live v7,yes,
TU,C30404,https://shopview.testrail.io/index.php?/cases/view/30404,Est. Lost Labor values internal hours at each location's default rate,TU spec v6,TU spec v7,v5,v7,S2-R8; S2-R9,YES - all exist in live v7,yes,
TU,C30405,https://shopview.testrail.io/index.php?/cases/view/30405,"Est. Lost Labor, when shown, is pinned right and bold with the info icon",TU spec v6,TU spec v7,v5,v7,S10-R3; S2-R10; S2-R11; S8-N1; S8-R4; S8-R6; S8-R7,YES - all exist in live v7,yes,
TU,C30406,https://shopview.testrail.io/index.php?/cases/view/30406,"Zero internal hours - or a configured $0.00 rate - shows $0.00, never an em-dash",TU spec v6,TU spec v7,v5,v7,S2-E2,YES - all exist in live v7,yes,
TU,C30407,https://shopview.testrail.io/index.php?/cases/view/30407,Internal hours with no default labor rate anywhere show an em-dash,TU spec v6,TU spec v7,v5,v7,S2-E3; S2-R4; S8-R11,YES - all exist in live v7,yes,
TU,C30408,https://shopview.testrail.io/index.php?/cases/view/30408,Internal hours split across rated and unrated locations show a part value,TU spec v6,TU spec v7,v5,v7,S2-E4,YES - all exist in live v7,yes,
TU,C30409,https://shopview.testrail.io/index.php?/cases/view/30409,On load rows sort by Technician A to Z with the ascending indicator,TU spec v6,TU spec v7,v5,v7,S2-R12; S8-R10; S8-R8,YES - all exist in live v7,yes,
TU,C30410,https://shopview.testrail.io/index.php?/cases/view/30410,"All six columns sort on screen: ascending first, toggling with no third state",TU spec v7,TU spec v7,v5,v7,S2-R13; S2-R14,YES - all exist in live v7,yes,
TU,C30411,https://shopview.testrail.io/index.php?/cases/view/30411,A data reload resets the sort to Technician A to Z,TU spec v6,TU spec v7,v5,v7,S2-R15,YES - all exist in live v7,yes,
TU,C30412,https://shopview.testrail.io/index.php?/cases/view/30412,Sorting reorders only the technician rows,TU spec v6,TU spec v7,v5,v7,S2-R16,YES - all exist in live v7,yes,
TU,C30413,https://shopview.testrail.io/index.php?/cases/view/30413,Sorting Est. Lost Labor keeps em-dash rows last both ways; $0.00 sorts as 0,TU spec v6,TU spec v7,v5,v7,S2-R17,YES - all exist in live v7,yes,
TU,C30414,https://shopview.testrail.io/index.php?/cases/view/30414,"A pinned Summary row labeled Summary sits at the bottom, stays visible on scroll",TU spec v6,TU spec v7,v5,v7,S3-R1; S3-R2; S3-R6; S3-R7; S8-R5,YES - all exist in live v7,yes,
TU,C30415,https://shopview.testrail.io/index.php?/cases/view/30415,Summary totals visible technicians from unrounded hours; 0.01 drift expected,TU spec v6,TU spec v7,v5,v7,S3-R3; S5-E1,YES - all exist in live v7,yes,
TU,C30416,https://shopview.testrail.io/index.php?/cases/view/30416,Summary Utilization % is the weighted rate; not an average of the rows,TU spec v6,TU spec v7,v5,v7,S3-R4,YES - all exist in live v7,yes,
TU,C30417,https://shopview.testrail.io/index.php?/cases/view/30417,Summary Est. Lost Labor sums rated contributions; em-dash only if all are,TU spec v6,TU spec v7,v5,v7,S3-R5,YES - all exist in live v7,yes,
TU,C30418,https://shopview.testrail.io/index.php?/cases/view/30418,Each technician row has an accessible expand/collapse control,TU spec v7,TU spec v7,v5,v7,S4-R1; S8-R12,YES - all exist in live v7,yes,
TU,C30419,https://shopview.testrail.io/index.php?/cases/view/30419,"Expanding shows one row per clocked day in date order, loaded on demand",TU spec v6,TU spec v7,v5,v7,S4-N1; S4-R2; S9-R4,YES - all exist in live v7,yes,
TU,C30420,https://shopview.testrail.io/index.php?/cases/view/30420,Day rows use the same columns and formats as the technician rows,TU spec v6,TU spec v7,v5,v7,S2-R8; S4-R3,YES - all exist in live v7,yes,
TU,C30421,https://shopview.testrail.io/index.php?/cases/view/30421,One control in the table header expands or collapses all technician rows,TU spec v6,TU spec v7,v5,v7,S4-R4; S8-R12; S8-R3,YES - all exist in live v7,yes,
TU,C30422,https://shopview.testrail.io/index.php?/cases/view/30422,Expansion state is view-only: it resets on any reload and fresh visit,TU spec v6,TU spec v7,v5,v7,S4-R5,YES - all exist in live v7,yes,
TU,C30423,https://shopview.testrail.io/index.php?/cases/view/30423,Filter by Technician starts with every technician selected on a first visit,TU spec v7,TU spec v7,v5,v7,S5-R1; S5-R2,YES - all exist in live v7,yes,
TU,C30424,https://shopview.testrail.io/index.php?/cases/view/30424,Deselecting a technician hides the row and recalculates the Summary,TU spec v7,TU spec v7,v5,v7,S5-R3; S5-R4; S5-R5,YES - all exist in live v7,yes,
TU,C30425,https://shopview.testrail.io/index.php?/cases/view/30425,All technicians and Clear all controls set every technician on or off,TU spec v6,TU spec v7,v5,v7,S5-R6; S5-R7; S5-R8; S5-R9,YES - all exist in live v7,yes,
TU,C30426,https://shopview.testrail.io/index.php?/cases/view/30426,Previously deselected technicians stay deselected on the next visit,TU spec v6,TU spec v7,v5,v7,S1-R8; S5-R10,YES - all exist in live v7,yes,
TU,C30428,https://shopview.testrail.io/index.php?/cases/view/30428,Total Hours is a real link with a non-color affordance and keyboard access,TU spec v6,TU spec v7,v5,v7,S6-N1; S6-R1; S8-R14,YES - all exist in live v7,yes,
TU,C30429,https://shopview.testrail.io/index.php?/cases/view/30429,The Total Hours link opens Timesheet Activities in the same tab,TU spec v6,TU spec v7,v5,v7,S6-R2; S6-R3; S6-R4,YES - all exist in live v7,yes,
