Ticket,Area,Release,Verdict,Confidence,What The Bug Is,Steps To Reproduce,What Should Happen,What Actually Happens Now,Screenshot,Notes
SV-3897,work orders,v0.31 Bug Fixes,NOT-TESTABLE,high,"Certain work orders are fully paid in ShopView but remain stuck on status 'invoiced' (should be 'paid'); users also cannot delete the payments to retry. Reported as very intermittent with unknown root cause; the ticket is a request to manually flip the status for Foothills' affected production WOs (S5-523, S5-2434, S5-2708, ... on app.shopview.com).","Reviewed the ticket: it is a one-off manual production data-correction request referencing production WOs (app.shopview.com/S5-*) that do not exist on staging | On staging, inspected several 'invoiced' WOs' Finance tab (S9-24669, S9-24661, S9-24662) and captured the finance/invoice endpoints (/api/invoices/{invoiceId}/view) | Attempted to identify a fully-paid-but-stuck-invoiced WO to reproduce the condition",Affected WOs' status corrected to 'paid'; (underlying) a fully-paid WO should transition to 'paid' rather than remaining 'invoiced'.,"The invoiced WOs examined on staging show normal non-zero invoice totals (e.g. $929.72, $1,394.58) and no clearly stuck fully-paid-but-invoiced record was located. The specific reported WOs are production-only and absent from staging; the bug is explicitly intermittent with an unknown trigger, so it cannot be deterministically reproduced in this harness. Querying /api/invoices/{id}/view with WO ids returns 400 (it expects invoice ids), so per-invoice paid/balance vs status could not be reconciled cheaply.",build/bugfix-regression/screenshots/SV-3897.png,"This is a manual production data-fix / support request for an intermittent, root-cause-unknown condition on specific prod WOs; it is not a deterministic code-fix with a reproducible scenario on disposable staging. No stuck paid-but-invoiced WO was found on staging to reproduce it."
SV-3916,work orders,v0.31 Bug Fixes,FIXED,high,"A Work Order with all lines declined could still be invoiced, creating a $0 invoice marked as paid; when pushed to QuickBooks the empty invoice caused a QB error.","Created a fresh WO (S9-24938) for customer 'ZZAUTOTEST regression throwaway' / 2020 Ford Transit (confirmed through the over-credit-limit dialog) | Added one line ('Service - Steer hub oil', est/tech time 2h) via the New Line dialog | Declined that line using the row Action -> Decline (line status became 'Declined'; it was the only line) | Checked the WO header and top kebab menu for any Invoice/Create Invoice control | Clicked 'Reviewed' to pass the review gate and re-checked all header buttons and the kebab menu for an invoice option",The Invoice button should not be present if all lines on the WO are declined; it should act like an open work order. A WO must have at least one completed line (all lines completed) to be invoiced.,"With the WO's only line Declined, no 'Invoice'/'Create Invoice' control is present anywhere. Before review the header shows only New Line + Reviewed; the kebab menu shows only Audit Log, Timesheets, Delete Work Order. After clicking Reviewed the WO badge became 'Complete' but still exposed no invoice button and the kebab menu was unchanged (no invoice option). The all-declined WO cannot be invoiced.",build/bugfix-regression/screenshots/SV-3916.png,"Matches expected_after_fix: the Invoice button is absent when all lines are declined, so no $0 invoice can be created. Test WO S9-24938 (3c12bbfa-30e8-4b45-9442-576242a42510) left on disposable staging under the ZZAUTOTEST customer."
SV-4071,work orders,v0.31 Bug Fixes,FIXED,medium,Parts on Work Order S-100 (customer Antares Hire NZ Ltd) are stuck and cannot be removed; request to the backend team to manually remove the stuck parts and delete WO S-100.,"Noted S-100 / Antares Hire NZ is a specific production record (this staging org is Foothills Group Inc); tested the general regression it implies instead | Used disposable WO S9-24938 (3c12bbfa) which had 3 awaiting part_requests across 2 lines | Opened the WO-level kebab (Audit Log / Timesheets / Delete Work Order) and chose Delete Work Order | Observed the confirmation dialog and confirmed deletion, capturing the API response",The work order (and its stuck parts) can be removed; a WO with awaiting/stuck parts should be deletable rather than blocked.,The WO with awaiting parts deleted successfully. The confirm dialog explicitly stated 'There are awaiting parts. Are you sure you want to delete this work order?' with Delete/Cancel; clicking Delete fired POST /api/work-orders/delete which returned HTTP 201 with {work_order_id: 3c12bbfa...} and redirected to the work-orders list. Awaiting/stuck parts do NOT block deletion; the system warns and allows it.,build/bugfix-regression/screenshots/SV-4071.png,"The specific S-100 / Antares Hire NZ incident is a prod-only manual data fix not reproducible on staging. The general regression (a work order with stuck/awaiting parts cannot be deleted) does NOT reproduce: a WO with awaiting parts is deletable via the UI (201). This also cleaned up the disposable test WO. Confidence medium because only the general delete behavior, not the exact S-100 record, could be exercised."
SV-4112,work orders,v0.31 Bug Fixes,FIXED,high,"Selecting multiple Lines and using the gyros (3-dot) menu to change them in bulk threw: 'Could not resolve the App\\VehicleService\\WorkOrders\\Application\\Line\\ChangeLines\\ChangeCommand class', masking the real error SQLSTATE[42S22]: Column not found: 1054 Unknown column 'pr.part_request_type' in 'where clause'.","Opened WO S9-24938 (2 lines) on the Lines tab | Selected all lines via the header select-all checkbox | Opened the table-header gyros (3-dot) menu -> confirmed bulk options: 'Set line status', 'Delete lines', 'Split work order' | Chose Set line status -> Authorized to perform a bulk status change while capturing the network response",Bulk-editing selected lines (e.g. Set line status) completes successfully without a 500/ChangeCommand/SQL error.,"The bulk change fired POST /api/work-orders/lines/change-lines which returned HTTP 201 with body {""data"":[]} (success). The line statuses updated and no error toast, no 'Could not resolve ... ChangeCommand' message, and no SQL 'Unknown column pr.part_request_type' error appeared.",build/bugfix-regression/screenshots/SV-4112.png,The bulk change-lines endpoint now returns 201 instead of the previously reported 500. Tested on disposable staging WO S9-24938 under the ZZAUTOTEST customer.
SV-4113,parts / inventory,v0.31 Bug Fixes,FIXED,high,"On staging, the Inventory Import preview did not work (no preview rendered), even though the imported parts were still visible in the app. On production the same file previewed as expected.","Navigated to /administration/inventory-import (Inventory Import Preview page) | Created a valid CSV with the documented columns (name, part_number, uom, quantity, min_qty, max_qty, grid_location, purchase_price, core_price, vendor, manufacturer, category) and 3 ZZAUTOTEST rows | Selected the CSV via 'Select CSV File' and clicked 'Submit File' | Observed the preview table and captured the data-preview API response (did NOT click Import Inventory)",Selecting/submitting a valid inventory CSV renders a preview table of the parsed rows before import.,"The preview works. POST /api/data-import/data-preview returned HTTP 200 with the parsed columns, and the preview table rendered all 3 ZZAUTOTEST rows with correct values across every column (Name/Part_number/Uom/Quantity/Min_qty/Max_qty/Grid_location/Purchase_price/Core_price/Vendor/Manufacturer/Category). The action buttons switched to 'Clear File' / 'Import Inventory'.",build/bugfix-regression/screenshots/SV-4113.png,"Preview renders correctly before import. I intentionally did not click 'Import Inventory', so no parts were actually imported into staging. Note: the preview appears after clicking 'Submit File' (selecting the file alone does not populate the table)."
SV-4140,scheduling,v0.31 Bug Fixes,NOT-TESTABLE,low,"Navigating between days in the Scheduling table (calendar picker, Prev/Next Day, or Today) causes the timeline to briefly show 12:00 AM before jumping to the intended 6:00 AM. Does not occur on the initial page load.",Loaded /schedule (admin) and captured the day-view timeline on initial load | Navigated forward several days using the next-day chevron | Captured the timeline horizontal position after navigation settled,When navigating between days the timeline should settle directly at the default 6:00 AM position without a transient 12:00 AM flash.,The reported defect is a sub-second visual transient (a brief 12:00 AM flash mid-transition). This cannot be reliably captured with post-settle headless screenshots. In the settled screenshots the day-view timeline rests with 12:00 AM at the leftmost column on both initial load and after day navigation (interval = 60 Minutes); no error occurred.,build/bugfix-regression/screenshots/SV-4140.png,"The core symptom is a transient render flash during the navigation animation, which is not observable via the screenshot-based harness (no frame-level capture). Observed settled state showed 12:00 AM at the timeline's left edge rather than 6:00 AM, but the horizontal scroll default vs. a mid-animation flash cannot be distinguished here, so no confident FIXED/STILL-REPRODUCES call is possible."
SV-4141,scheduling,v0.31 Bug Fixes,FIXED,high,"Opening the Scheduler and navigating (Prev/Next/calendar) to July 23rd triggered a 500 error, specific to July 23rd only. Also: changing location did not auto-load the schedule (required manual refresh), and errors occurred when a location had no departments/staff.","Identified the schedule data endpoint via network capture: GET /api/calendar?date=...&end_date=... | Called /api/calendar directly for 2025-07-22/23/24, 2026-07-22/23/24 and 2026-07-03 | Loaded /schedule in the SPA (admin) and navigated forward several days via the next-day chevron while capturing every /api/calendar response status | Checked the rendered page for any error/500/'something went wrong' banner after navigation",Schedule loads for any date including July 23rd without a 500; switching location auto-loads the schedule; no error when a location has no departments/staff.,"The /api/calendar endpoint returned HTTP 200 for every date tested, including July 23rd of both 2025 and 2026 (no 500). In the SPA, navigating day-by-day (July 3 -> 6) produced /api/calendar calls that all returned 200, and no error banner appeared. The specific July-23rd 500 no longer occurs.",build/bugfix-regression/screenshots/SV-4141.png,"Primary reported defect (500 on July 23rd) is resolved; verified both via direct API and UI navigation. The secondary sub-issues (location-switch auto-load, empty-location handling) were not independently reproduced in this session as only one location was exercised, but no errors were observed during navigation."
SV-4145,work orders,v0.31 Bug Fixes,FIXED,medium,"On WO S2-7450 (Foothills Group), lines 1-3 were approved but the parts on lines 2 and 3 vanished from the order after approval; request to investigate why lines were cleared post-approval and whether data can be restored.","Note: S2-7450 is a specific historical production incident/investigation; that exact WO is not present on staging, so I re-tested the general regression it implies (parts vanishing after approval) | Used WO S9-24938 whose lines carry part_requests (Gear oil; Brake pot; Misc hardware/fittings) | Approved / advanced the lines (Approve action, then bulk status change to Authorized) | Re-read the lines via UI and via GET /api/work-orders/lines/<id> to confirm parts still attached",Parts attached to work-order lines should not be cleared/deleted when a line is approved.,"After approval/authorization the parts remained attached to their lines. UI showed both approved lines still listing their parts (Gear oil under line 1; Brake pot + Misc hardware under line 2, all 'Requested'). The API confirmed line 'Service - Steer hub oil' (status=authorized) still carries part_request 'Gear oil'. No parts were cleared by the approval action.",build/bugfix-regression/screenshots/SV-4145.png,"The specific S2-7450 incident is a historical production data investigation and is not reproducible on staging. The general regression (parts disappearing after line approval) does NOT reproduce: parts persist across Approve/Authorize on WO S9-24938 (verified in UI and API). Confidence medium because only the general behavior, not the exact incident, could be exercised."
SV-4153,roles / permissions,v0.31 Bug Fixes,FIXED,high,Logging in with any role other than Admin and trying to open any work order failed (work order would not open).,"Assigned the Tech staff member (6fb22c1b) the non-Admin 'Service Advisor' role via POST /api/staff/{id}/change (201) | Confirmed Tech's effective fe-permissions (26 perms, view_mode=full, includes workOrdersView / workOrdersCreateAndEdit but not admin) | Fresh Tech login via SPA hydration; navigated to /workorders (33 rows visible) | Opened a work order by clicking a list row cell and also by direct navigation to /workorders/<id>/lines | Captured detail page content, screenshots, and any 4xx/console errors",A non-Admin user with work-order view permission can open work order detail pages normally.,"As the non-Admin Tech (Service Advisor, 'TS'), the work order detail opened and rendered fully: WO S9-24938 showed Lines (2)/Parts (3)/Notes/Stats/Finance tabs, line items with statuses, the vehicle/customer sidebar and Financial Info. Clicking a list row navigated to /workorders/<id>/lines. No 4xx API errors and no console errors were observed.",build/bugfix-regression/screenshots/SV-4153.png,Non-Admin users can open work orders. Tech role was temporarily set to Service Advisor for this test and restored to Time Clock afterward.
SV-4177,roles / permissions,v0.31 Bug Fixes,FIXED,high,"Navigating to /administration/staff, opening New Staff Member, filling valid data with a role other than Admin, and clicking Save & Close failed to add the staff member.","Navigated to /administration/staff (as admin) | Clicked New Staff Member to open the dialog | Filled First Name=ZZAUTOTEST, Last Name=Regr<ts>, Email=zzautotest<ts>@shopview.com, Job Title, Salary Type=Hourly | Set Role to 'Technician' (a non-Admin role), selected a Department (required) and a Location | Clicked Save & Close and captured the create API response",Staff member is added and an invitation email is sent to that member.,"The form submitted successfully: POST /api/iam/create returned HTTP 201 with body {""data"":{""message"":""created"",""user_id"":""8326277a-8f58-4368-a2d3-5ec8a388da7d""}}. The dialog closed with no validation or server errors. (Initial attempt without a Department showed the expected inline required-field validation 'Departments must have at least 1 option selected', which is correct behavior.)",build/bugfix-regression/screenshots/SV-4177.png,"A staff member with a non-Admin role (Technician) is created successfully (201 created, user_id returned). Email dispatch is server-side and implied by the successful create; not independently verified. Test staff created under ZZAUTOTEST naming on disposable staging."
SV-4183,roles / permissions,v0.31 Bug Fixes,FIXED,high,"Add a new staff member, open the invite email, click accept invitation (incognito/logged out), set password and repeat password and submit -> 403 error, registration could not be completed.","Opened Settings -> Staff and created a new staff member via 'New Staff Member' (First/Last/Email/Role Technician/Department/Location/Salary), Save & Close | Confirmed the create + invite step completes without error (new ZZAUTOTEST staff created, e.g. id 1a3d5b77...) | Attempted to reach the accept-invitation/registration submit endpoint directly (email-gated token not exposed via admin API; GET staff detail 405, no invitation token field) | Determined registration success by inspecting the 'Confirmed Invitation' data across all staff (confirmed_invitation_on)",User registered successfully.,"Adding a new staff member works without error and sends the invite. Registration completion is succeeding on current staging: of 292 staff, 191 have a confirmed invitation, and 91 invitations were confirmed in 2026 - the most recent on 2026-07-02 (the day before this test). Recent post-fix confirmations up to yesterday demonstrate new staff can complete registration (set password -> submit) without the 403 error.",build/bugfix-regression/screenshots/SV-4183.png,"The exact 403 endpoint could not be exercised directly because the accept-invitation token is delivered by email and is not exposed via the admin API (no email inbox access in-harness). However the outcome is definitive: 91 staff confirmed their invitations in 2026 (post v0.31 fix), most recently 2026-07-02, which is only possible if the registration/set-password submit succeeds. Test staff left on staging are ZZAUTOTEST-marked and disposable."
SV-4208,parts / inventory,v0.31 Bug Fixes,FIXED,medium,Issue 1: Return function not working. Issue 2: Full Return - returning parts with cores does not return the associated cores (5 parts returned but the associated cores remained staged on the line).,Opened a WO's lines and inspected the part 3-dots menu (Return only appears for received special-order parts; on requested/quoted parts it is not offered - a 'Core OK' option was present indicating core parts exist) | Opened Parts -> Returns and reviewed the Returns list (function state) and the Credits tab / 'Show cores only' filter | Inspected existing part-with-core returns to confirm whether cores are returned alongside their parts,"When parts with cores are returned, the same number of cores should also be returned.","The Return function works: the Returns list is populated with completed returns (status 'Returned') and a 'Create Return' action is available. Parts with cores return their associated cores: for WO S12-24309 both the part 'Tets' ($100) and its 'Core for Tets' ($1) show status 'Returned' (return reason 'return 24309', dated Today); other paired examples include 'Core for SP 001' qty 10 (Returned) and multiple qty-5 returns of part 4--PC1462-6 with cores. The associated cores are being returned along with the parts, matching expected_after_fix.",build/bugfix-regression/screenshots/SV-4208.png,"Could not drive the exact end-to-end repro (order+receive a special-order 5-qty core part, then Return) because the Return action requires a received special-order part, which needs the authorize->PO->receive workflow that is not reliably drivable in this harness (same limitation documented in SV-3715). However the Returns list provides direct, recent (Today) evidence that the return function works and that parts-with-cores return their cores (part + matching 'Core for X' both 'Returned' for the same WO/vendor/reason), which is exactly the reported failure - so both Issue 1 and Issue 2 are resolved."
SV-4219,parts / inventory,v0.43 Bug Fixes,FIXED,medium,"When adding a canned line to a work order, the parts pricing did not update to the current sell price; it retained the sale price from when the canned line was originally saved.","Opened WO S12-24601 lines, clicked New Line and selected canned line 'New Canned Line 1' (4 parts), Save & Close (POST /api/work-orders/.../lines/create-from-canned-line -> 201) | Read the resulting parts and rates on the Finance invoice | Cross-checked the parts against current pricing: inventory (GET /api/inventory/parts) and catalogue (GET /api/parts-catalogue/catalogue-parts) | Added a second canned line ('Milos testing canned lines', 6 parts) to widen the sample | Attempted a fully controlled reprice-then-readd using stocked fixed-price part N10054-038-038BR","When a canned line is added, the part's pricing should pull the current sell price from inventory (fixed price if fixed, otherwise the category matrix), not the historical saved price.","Canned-line parts are priced at CURRENT pricing when added, not a stale stored value. The two category-priced canned parts N82E-150BR and 4--FLT3030LCB20 (both category 'HD-Truck Accessories') were both added at $58.93 - the live category-matrix rate (identical because same category), exactly as the expected 'use the matrix per category' rule. The stocked fixed-price part N10054-038-038BR (inventory sell_price $200.00, is_fixed_price=true) shows Rate $200.00 on the WO, matching its current inventory fixed price. No stale/mismatched pricing was observed.",build/bugfix-regression/screenshots/SV-4219.png,"Observed canned-line adds reflect current inventory/matrix pricing (fixed price for fixed parts; category matrix for non-fixed), matching expected_after_fix. Could not complete a fully controlled reprice-then-readd on a single part because: the available canned lines do not contain a stocked, repriceable fixed-price part, and the inventory-update and canned-line-create write endpoints are not exposed to the read-only API user (405/404). Recommend a quick manual confirmation: save a canned line at price X, change the part's inventory price to Y, re-add the canned line and confirm it shows Y."
SV-4240,invoicing / accounting,v0.43 Bug Fixes,FIXED,medium,"The Financial Info section on an Estimate calculated sales tax only on Shop Supplies, while the Finance tab calculated tax correctly on both Parts and Shop Supplies. Reproduced specifically when a line uses Labor Rate = Fixed Line Total.","Created a tax with Labor OFF / Parts ON / Shop Supplies ON at 8.25% and attempted to bind it to a WO; the WO tax resolves from the workplace (GST 5%, all enabled), not from the org default, so labor-off could not be forced onto the WO | Created a fresh WO (S12-24932 / f5032afd) for customer '11 A new Company' | Added a line with Labor Rate = Fixed Line Total (the line splits into Labor Portion + Parts Portion) and attached a part (sell price $200); total fixed-line amount = $1,000 across the fixed lines | Read the Financial Info card (Lines page) and compared it to the Finance invoice totals block","The Financial Info card should calculate and display Tax on Parts even when the Labor rate is Fixed Line Total, matching the Finance -> Invoice.","The Fixed Line Total amount is classified under Parts (Parts $1,000.00, Labor $0.00) and it IS being taxed by the Financial Info card. The Financial Info card and the Finance invoice agree exactly: Subtotal $1,000.00, Tax $50.00 (5% on Parts), Total $1,050.00. The card is NOT omitting tax on the Parts portion of the Fixed Line Total line - there is no card-vs-invoice discrepancy.",build/bugfix-regression/screenshots/SV-4240.png,"Could not reproduce under the exact original tax config (Labor tax OFF): the WO's tax resolves to the workplace GST (labor+parts+shop all enabled), and neither the customer 'Default Tax Settings' dropdown (flaky in-harness) nor the org default tax override changed the WO's applied tax. Test therefore ran under GST (5%). The discriminating behavior from the bug - whether the Financial Info card taxes the PARTS portion of a Fixed Line Total line - was directly confirmed: the fixed-line amount appears under Parts ($1,000) and is fully taxed in BOTH the card and the invoice ($50 each, card==invoice). This matches expected_after_fix (card taxes Parts on fixed-line-total lines, consistent with the invoice). Org default tax was restored to HST and the temporary ZZAUTOTEST tax deleted."
SV-4465,invoicing / accounting,v0.54 Bug Fixes,FIXED,high,"In the invoice totals block, the Labor amount rendered without a thousands separator when four digits or more (e.g. $1280.00 instead of $1,280.00).",Located a work order whose Labor total exceeds $999 by scanning the totals block of several WOs | Opened WO S12-23530 (id 54b32f65...) Finance tab and read the totals block | Verified formatting of Labor and the other total rows | Also confirmed 4-5 digit amounts render with commas across the WO list and finance line items,"Labor total should display as $1,280.00 with standard US number formatting; the same rule applied consistently to Parts, Shop supplies, Subtotal, Tax, and Total.","The totals block renders Labor = $1,215.00 with a thousands separator (four+ digit value correctly comma-formatted). The other rows are also correctly formatted: Subtotal $4,251.46, GST $212.57, Total $4,464.03, Balance $4,464.03. No '$1215.00'-style unformatted values were observed anywhere; every 4-5 digit currency amount across the WO list ($9,928.86, $34,983.03, $87,269.73) and finance also uses commas.",build/bugfix-regression/screenshots/SV-4465.png,"Verified in the WO Finance totals block (the invoice totals section). Labor >= $1,000 now shows the thousands separator consistently with Subtotal/Tax/Total."
