internal_id,testrail_case_id,testrail_link,file,section,title,verdict,reason,merge_group,merge_survivor,tier,sense_verdict,sense_reason,refs_ok,title_len
FLT-COLL-05,C29605,https://shopview.testrail.io/index.php?/cases/view/29605,cases-A-bar-status-collapse.json,Collapse and Expand,Active filters keep filtering the table while the filter bar is collapsed,KEEP,Active filters keep filtering while the bar is hidden — a real data-visibility bug if collapsing paused or dropped the filters.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,73
FLT-STAT-07,C38877,https://shopview.testrail.io/index.php?/cases/view/38877,cases-A-bar-status-collapse.json,Status Filter,Imported works alone: picking it greys out the other filters,KEEP,Imported exclusivity gate (separate data source) — combined-filter corruption risk; explicitly regression-flagged by engineering; pending Branko confirmation.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,60
FLT-CUST-01,C29566,https://shopview.testrail.io/index.php?/cases/view/29566,cases-B-people-asset-filters.json,Customer Filter,Customer chip opens a dropdown with a 'Search customer' field and a scrollable customer list,KEEP,"The searchable multi-select dropdown's open state (search field, list, 'Clear selection'); survivor of MG5 (gains the Technician/Advisor twins as repeat checks).",MG5-DROPDOWN-OPEN,FLT-CUST-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,92
FLT-CUST-02,C29567,https://shopview.testrail.io/index.php?/cases/view/29567,cases-B-people-asset-filters.json,Customer Filter,Typing in the customer search narrows the list to matching names,KEEP,Type-ahead narrowing of the shared people list; survivor of MG6 (gains the Technician/Advisor repeat checks).,MG6-TYPEAHEAD,FLT-CUST-02,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,64
FLT-CUST-03,C29568,https://shopview.testrail.io/index.php?/cases/view/29568,cases-B-people-asset-filters.json,Customer Filter,Selecting customers adds removable tags in the dropdown input area and checkmarks in the list,KEEP,Tag/checkmark multi-select contract incl. ellipsis and the no-limit decision; survivor of MG7 (gains the remove-one-tag half).,MG7-TAG-SELECT,FLT-CUST-03,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,93
FLT-CUST-04,C29569,https://shopview.testrail.io/index.php?/cases/view/29569,cases-B-people-asset-filters.json,Customer Filter,Clicking the x on a customer tag removes just that customer from the selection,MERGE,Absorbed into FLT-CUST-03 (C29568): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG7-TAG-SELECT,FLT-CUST-03,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,78
FLT-CUST-05,C29570,https://shopview.testrail.io/index.php?/cases/view/29570,cases-B-people-asset-filters.json,Customer Filter,The table shows only work orders belonging to any of the selected customers,KEEP,"Customer-ACCOUNT filtering semantics (not the contact person, per engineering G3) — a wrong-field bug here misfilters every customer's list.",,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,75
FLT-CUST-06,C29571,https://shopview.testrail.io/index.php?/cases/view/29571,cases-B-people-asset-filters.json,Customer Filter,Clear selection in the Customer dropdown removes all selected customers,MERGE,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG1-CLEAR-SELECTION,FLT-CHIP-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,71
FLT-CUST-07,C29572,https://shopview.testrail.io/index.php?/cases/view/29572,cases-B-people-asset-filters.json,Customer Filter,Clicking outside the Customer dropdown closes it and the selections remain,MERGE,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG2-CLICK-OUTSIDE,FLT-STAT-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,74
FLT-CUST-08,C29573,https://shopview.testrail.io/index.php?/cases/view/29573,cases-B-people-asset-filters.json,Customer Filter,Customer search with no matching name shows a no-results message in the list,KEEP,"In-dropdown no-results message — correctly authored ONCE for the shared search list, not per filter.",,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,76
FLT-CUST-09,C29574,https://shopview.testrail.io/index.php?/cases/view/29574,cases-B-people-asset-filters.json,Customer Filter,A customer with no open work orders is still listed; filtering by them returns an empty result,KEEP,"Customers with no work orders must still be offered in the list (S3-E1) — a real selectable-options bug, plus the empty-result leg.",,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,94
FLT-TECH-01,C29575,https://shopview.testrail.io/index.php?/cases/view/29575,cases-B-people-asset-filters.json,Lead Technician Filter,Lead Technician chip opens a dropdown with a 'Search technician' field and a technician list,MERGE,Absorbed into FLT-CUST-01 (C29566): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG5-DROPDOWN-OPEN,FLT-CUST-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,92
FLT-TECH-02,C29576,https://shopview.testrail.io/index.php?/cases/view/29576,cases-B-people-asset-filters.json,Lead Technician Filter,Typing in the technician search narrows the list to matching names,MERGE,Absorbed into FLT-CUST-02 (C29567): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG6-TYPEAHEAD,FLT-CUST-02,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,66
FLT-TECH-03,C29577,https://shopview.testrail.io/index.php?/cases/view/29577,cases-B-people-asset-filters.json,Lead Technician Filter,Selecting technicians shows only work orders where they are the lead technician,KEEP,Lead-only matching — the one semantic that distinguishes this filter from 'any assigned technician'; a classic wrong-field bug.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,79
FLT-TECH-04,C29578,https://shopview.testrail.io/index.php?/cases/view/29578,cases-B-people-asset-filters.json,Lead Technician Filter,Clear selection in the Lead Technician dropdown removes all selected technicians,MERGE,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG1-CLEAR-SELECTION,FLT-CHIP-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,80
FLT-TECH-05,C29579,https://shopview.testrail.io/index.php?/cases/view/29579,cases-B-people-asset-filters.json,Lead Technician Filter,Clicking outside the Lead Technician dropdown closes it,MERGE,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG2-CLICK-OUTSIDE,FLT-STAT-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,55
FLT-TECH-06,C29580,https://shopview.testrail.io/index.php?/cases/view/29580,cases-B-people-asset-filters.json,Lead Technician Filter,Selecting a technician who leads no work orders shows the empty state,MERGE,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG3-EMPTY-STATE,FLT-EMPTY-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,69
FLT-TECH-07,C29581,https://shopview.testrail.io/index.php?/cases/view/29581,cases-B-people-asset-filters.json,Lead Technician Filter,A deactivated technician does not appear in the Lead Technician filter list,KEEP,Deactivated staff excluded from the filter list (activeOnly per engineering G5); survivor of MG8 (gains the Advisor twin).,MG8-DEACTIVATED-STAFF,FLT-TECH-07,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,75
FLT-ADV-01,C29582,https://shopview.testrail.io/index.php?/cases/view/29582,cases-B-people-asset-filters.json,Service Advisor Filter,Service Advisor chip opens a dropdown with a 'Search advisor' field and an advisor list,MERGE,Absorbed into FLT-CUST-01 (C29566): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG5-DROPDOWN-OPEN,FLT-CUST-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,87
FLT-ADV-02,C29583,https://shopview.testrail.io/index.php?/cases/view/29583,cases-B-people-asset-filters.json,Service Advisor Filter,Typing in the advisor search narrows the list to matching names,MERGE,Absorbed into FLT-CUST-02 (C29567): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG6-TYPEAHEAD,FLT-CUST-02,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,63
FLT-ADV-03,C29584,https://shopview.testrail.io/index.php?/cases/view/29584,cases-B-people-asset-filters.json,Service Advisor Filter,Selecting advisors shows only work orders assigned to those advisors,KEEP,Advisor-assignment filtering semantics on its own backing field; wrong-field bugs are per-filter distinct.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,68
FLT-ADV-04,C29585,https://shopview.testrail.io/index.php?/cases/view/29585,cases-B-people-asset-filters.json,Service Advisor Filter,Clear selection in the Service Advisor dropdown removes all selected advisors,MERGE,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG1-CLEAR-SELECTION,FLT-CHIP-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,77
FLT-ADV-05,C29586,https://shopview.testrail.io/index.php?/cases/view/29586,cases-B-people-asset-filters.json,Service Advisor Filter,Clicking outside the Service Advisor dropdown closes it,MERGE,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG2-CLICK-OUTSIDE,FLT-STAT-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,55
FLT-ADV-06,C29587,https://shopview.testrail.io/index.php?/cases/view/29587,cases-B-people-asset-filters.json,Service Advisor Filter,Selecting an advisor with no assigned work orders shows the empty state,MERGE,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG3-EMPTY-STATE,FLT-EMPTY-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,71
FLT-ADV-07,C29588,https://shopview.testrail.io/index.php?/cases/view/29588,cases-B-people-asset-filters.json,Service Advisor Filter,A deactivated advisor does not appear in the Service Advisor filter list,MERGE,Absorbed into FLT-TECH-07 (C29581): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG8-DEACTIVATED-STAFF,FLT-TECH-07,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,72
FLT-ASSET-01,C29589,https://shopview.testrail.io/index.php?/cases/view/29589,cases-B-people-asset-filters.json,Asset on Site Filter,"Asset on site chip opens a dropdown with exactly two options, Yes and No, plus Clear selection",KEEP,Yes/No dropdown composition — dropdown-not-toggle was an explicit product decision (spec §4).,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,94
FLT-ASSET-02,C29590,https://shopview.testrail.io/index.php?/cases/view/29590,cases-B-people-asset-filters.json,Asset on Site Filter,Choosing Yes shows only work orders whose asset is on site,KEEP,On-site = Yes filtering against the real on-site data field (data source flagged OQ-6).,,,T1,FIX-WORDING,Expected 3 (the No direction) is broader than the steps drive (steps only choose Yes) and is FLT-ASSET-07's subject — drop expected 3.,yes,58
FLT-ASSET-03,C29591,https://shopview.testrail.io/index.php?/cases/view/29591,cases-B-people-asset-filters.json,Asset on Site Filter,Asset on site is single-select: choosing the other option replaces the first,KEEP,Single-select replacement semantics — this chip alone replaces rather than accumulates selections.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,76
FLT-ASSET-04,C29592,https://shopview.testrail.io/index.php?/cases/view/29592,cases-B-people-asset-filters.json,Asset on Site Filter,Clear selection in the Asset on site dropdown removes the filter,MERGE,Absorbed into FLT-CHIP-05 (C29599): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG1-CLEAR-SELECTION,FLT-CHIP-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,64
FLT-ASSET-05,C29593,https://shopview.testrail.io/index.php?/cases/view/29593,cases-B-people-asset-filters.json,Asset on Site Filter,Clicking outside the Asset on site dropdown closes it,MERGE,Absorbed into FLT-STAT-05 (C29564): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG2-CLICK-OUTSIDE,FLT-STAT-05,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,53
FLT-ASSET-06,C29594,https://shopview.testrail.io/index.php?/cases/view/29594,cases-B-people-asset-filters.json,Asset on Site Filter,An Asset on site choice that matches no work orders shows the empty state,MERGE,Absorbed into FLT-EMPTY-01 (C29606): same behaviour/component re-authored per entity — runs in one sitting on the same screen; the survivor gains this case's checks.,MG3-EMPTY-STATE,FLT-EMPTY-01,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,73
FLT-ASSET-07,C38878,https://shopview.testrail.io/index.php?/cases/view/38878,cases-B-people-asset-filters.json,Asset on Site Filter,Choosing No shows only work orders whose asset is not on site,KEEP,The brand-new 'No' backend path engineering explicitly flags for functional verification (tech plan G4/4-1.6) — regression-watch.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,61
FLT-CHIP-01,C29595,https://shopview.testrail.io/index.php?/cases/view/29595,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,A chip with a selected value turns into the active blue state and shows the value,KEEP,Active-chip state contract — chip turns blue and displays the selected value; the at-a-glance feedback the whole bar is for.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,81
FLT-CHIP-02,C29596,https://shopview.testrail.io/index.php?/cases/view/29596,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,A chip with several values shows the first values and shortens the rest with an ellipsis,KEEP,"Multi-value chip label composition (list+ellipsis vs count — spec-vs-design flagged, to pin at VIU).",,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,88
FLT-CHIP-03,C29597,https://shopview.testrail.io/index.php?/cases/view/29597,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,'Clear filters' appears to the right of the chips only when at least one filter is active,KEEP,'Clear filters' appears only when at least one filter is active — presence/absence both asserted in one case.,,,T2,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,89
FLT-CHIP-04,C29598,https://shopview.testrail.io/index.php?/cases/view/29598,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,'Clear filters' removes every active filter at once and all chips return to default,KEEP,One-click clear-all contract across every active filter.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,83
FLT-CHIP-05,C29599,https://shopview.testrail.io/index.php?/cases/view/29599,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,'Clear selection' inside one dropdown clears only that filter and leaves the others active,KEEP,Per-dropdown 'Clear selection' clears ONLY its own filter; survivor of MG1 (gains the five per-chip twins as a check table).,MG1-CLEAR-SELECTION,FLT-CHIP-05,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,90
FLT-CHIP-06,C29600,https://shopview.testrail.io/index.php?/cases/view/29600,cases-C-chips-tabs-persistence-url.json,Active Filter Chips and Clear Filters,Several different filters combine: only work orders matching every active filter remain,KEEP,AND-across-filters combination semantics — the load-bearing multi-criteria contract of the whole feature.,,,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,87
FLT-EMPTY-01,C29606,https://shopview.testrail.io/index.php?/cases/view/29606,cases-C-chips-tabs-persistence-url.json,Empty State,A filter combination with no matching work orders shows a no-results empty state instead of a blank table,KEEP,"The filtered empty state (message, no error, not a bare grid); survivor of MG3 (gains the single-filter empty legs).",MG3-EMPTY-STATE,FLT-EMPTY-01,T1,SENSIBLE,"Cold-read PASS: preconditions reachable (seeding stated where needed), steps executable in order, expected follows, no contradiction, controls spec/design-traceable (unpinned behaviour explicitly hedged — the honest pattern), pass/fail observable.",yes,105
