cid,report,category,container_expected,expected_renders,container_preconds,container_steps,atmstatus,automated,current_pin,intended_pin,pin_token_present,live_token_already_present,expected_top_level_blocks,literal_tags_visible,visible_entities,updated_on,error
C30354,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787127464,
C30365,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787213744,
C30366,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787213795,
C30368,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,4,,,1787087428,
C30369,PV,impacted-hold,markdown,NO,markdown,markdown,1,NO,10,11,True,False,1,,,1787087430,
C30370,PV,impacted-hold,markdown,NO,markdown,markdown,1,NO,10,11,True,False,1,,,1787087432,
C30371,PV,impacted-hold,markdown,NO,markdown,markdown,1,NO,10,11,True,False,1,,,1787087434,
C30375,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787127434,
C30377,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787127445,
C30381,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787206069,
C30382,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787206077,
C30390,PV,automated,markdown,NO,markdown,markdown,3,YES,10,11,True,False,1,,,1787058524,
C30451,WIP,automated,markdown fr-view,YES,markdown fr-view,markdown fr-view,3,YES,22,28,True,False,1,,,1787127715,
C30452,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1787059024,
C30455,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787214867,
C30459,WIP,impacted-hold,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787093959,
C30460,WIP,automated,markdown fr-view,YES,markdown fr-view,markdown fr-view,3,YES,21,28,True,False,1,,,1786998005,
C30462,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1786998007,
C30464,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,3,,,1787241084,
C30475,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093854,
C30476,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093856,
C30477,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093858,
C30478,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093860,
C30479,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093965,
C30480,WIP,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,4,,,1787093862,
C30485,WIP,impacted-hold,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787093892,
C30498,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1787026712,
C30501,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787215114,
C30502,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787215165,
C30506,WIP,automated,markdown fr-view,YES,markdown fr-view,markdown fr-view,3,YES,22,28,True,False,1,,,1787127725,
C30507,WIP,automated,markdown,NO,markdown,markdown,3,YES,22,28,True,False,1,,,1787127732,
C30508,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1786997991,
C30510,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1787059101,
C30511,WIP,automated,markdown,NO,markdown,markdown,3,YES,22,28,True,False,1,,,1787127708,
C30515,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1787059113,
C30526,WIP,no-anchor,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,1,,,1787093941,
C30527,WIP,automated,markdown,NO,markdown,markdown,3,YES,21,28,True,False,1,,,1787059161,
C30528,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787158888,
C30530,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787215238,
C30531,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787215290,
C30533,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,24,28,True,False,1,,,1787215341,
C38894,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,4,,,1787085054,
C38913,SBR,multi-block-cleared,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,24,True,False,5,,,1787084980,
C38916,WIP,impacted-hold,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787094069,
C38918,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,1,,,1787216128,
C38924,PV,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787216179,
C43547,PV,no-anchor,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,10,11,True,False,1,,,1787216382,
C43551,WIP,impacted-hold,markdown fr-view,YES,markdown fr-view,markdown fr-view,1,NO,22,28,True,False,1,,,1787216536,
C43592,WIP,no-anchor,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787093946,
C43593,WIP,no-anchor,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787093947,
C43594,WIP,no-anchor,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787093949,
C43821,WIP,no-anchor,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787094008,
C43836,WIP,impacted-hold,markdown,NO,markdown,markdown,1,NO,22,28,True,False,1,,,1787094011,
C43839,SBR,no-anchor,markdown,NO,markdown,markdown,1,NO,22,24,True,False,1,,,1787084994,
