internal_id,testrail_case_id,testrail_link,report,section,title,verdict,reason,merge_group,merge_survivor,sense_verdict,sense_reason,contradiction_group,contradiction_counterparts,contradiction_resolution,genuine_refs_ok,layman_runnable,layman_note,status_ledger,status_note,type,api_related
IV-EXP-09,C30595,https://shopview.testrail.io/index.php?/cases/view/30595,IV,IV — Exports,Download notifications: verbatim success and failure texts per format,KEEP,"Verbatim success and failure notification strings for both formats, including the deliberate case difference.",,,SENSIBLE,Precondition 3 gives a concrete way to force the failure (disconnect the network).,,,,Y,OK,,DEVIATION,,Negative,False
IV-EXP-10,C43548,https://shopview.testrail.io/index.php?/cases/view/43548,IV,IV — Exports,A large Inventory Value PDF fails instead of being refused politely,KEEP,Only case covering the ~30 s PDF timeout; distinct from IV-EXP-07 (cap message) and IV-EXP-09 (notification strings).,,,FIX-WORDING,"The expected result makes the DEFECT the pass condition: ""On the whole list the PDF does not download. After roughly half a minute a plain error appears"". On a fixed build a tester must mark this FAILED for correct behaviour. Restate the expected as the correct behaviour (a PDF, or the polite cap message) and carry the observed failure as a known-defect note citing the ticket.",,,,Y,OK,,DEVIATION,"The build fails to produce a large PDF (roughly 30 s timeout, HTTP 500). NOTE: the case text makes that failure the PASS condition, so as written it would read PASS - see the FIX-WORDING recommendation.",Functional,False
IV-FLT-01,C30569,https://shopview.testrail.io/index.php?/cases/view/30569,IV,IV — Filters & Part Search,Category and Vendor multi-selects reload the report to matching parts only,KEEP,The two multi-select filters and their server-side narrowing.,,,SENSIBLE,Labels verbatim; three steps.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-FLT-02,C30570,https://shopview.testrail.io/index.php?/cases/view/30570,IV,IV — Filters & Part Search,"Category, Vendor and part search are server-side; each change returns page 1",KEEP,Server-side scope plus the return-to-first-page contract on every change.,,,FIX-WORDING,"Step 1 and expected 1 assume pages (""where the list starts""); the build has no page controls and loads on scroll (its own sibling IV-NAV-05 says so). Reword to ""the list jumps back to the top of the new set"".",,,,Y,OK,,DEVIATION,,Functional,False
IV-FLT-03,C30571,https://shopview.testrail.io/index.php?/cases/view/30571,IV,IV — Filters & Part Search,With no category or vendor selected all parts show,WEAK-KEEP,"The cleared-filter reset is real but is the null case of IV-FLT-01/IV-FLT-04; kept because ""clear"" is where filter bugs hide.",,,SENSIBLE,Three clear steps.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-FLT-04,C30572,https://shopview.testrail.io/index.php?/cases/view/30572,IV,IV — Filters & Part Search,Part search matches part number or description on the server; case-insensitive,KEEP,"Search semantics contract: page-local field, part-number OR description, case-insensitive, server-side, no-match state.",,,SENSIBLE,Step 1 explicitly distinguishes the report toolbar from the global search bar.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-FLT-05,C30573,https://shopview.testrail.io/index.php?/cases/view/30573,IV,IV — Filters & Part Search,"Date range, Location, Category, Vendor, and the part search combine with AND",KEEP,AND-combination contract across five filters plus the totals tracking.,,,SENSIBLE,Incremental steps with a check after each.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-LOC-01,C30574,https://shopview.testrail.io/index.php?/cases/view/30574,IV,IV — Location Filter,The Location filter is a rightmost multi-select with an All locations toggle,KEEP,"Location control contract (label, position, multi-select, All locations toggle, first-visit default, per-row identification).",,,SENSIBLE,Item 3 is honestly hedged as build-confirmed rather than inventing a label.,,,,Y,OK,,DEVIATION,,Functional,False
IV-LOC-02,C30575,https://shopview.testrail.io/index.php?/cases/view/30575,IV,IV — Location Filter,"Selecting one, several, or all locations reloads the report scoped to that set",KEEP,Rescoping behaviour plus the on-screen scope indicator Chris Ward added 2026-07-29.,,,SENSIBLE,"Item 3 hedged. The build refutes item 3; ours follows the newest PO source, so the case stands and the build is the deviation (Rule 33).",,,,Y,OK,,DEVIATION,,Functional,False
IV-LOC-03,C30576,https://shopview.testrail.io/index.php?/cases/view/30576,IV,IV — Location Filter,Scoping never includes an inaccessible location,KEEP,Negative: an inaccessible location can never enter scope - a tenant-safety contract.,,,SENSIBLE,"Two steps, concrete.",,,,Y,OK,,VIU-Observed-PASS,,Negative,False
IV-LOC-04,C30577,https://shopview.testrail.io/index.php?/cases/view/30577,IV,IV — Location Filter,Inventory Value: the Location filter is hidden for a one-location user,KEEP,"PO-ruled hidden-filter behaviour for a one-location user; the build refutes it, so this case is earning its keep right now.",,,SENSIBLE,Precondition 1 tells the tester to create the single-location user and clean up.,,,,Y,OK,,DEVIATION,,Functional,False
IV-LOC-06,C38917,https://shopview.testrail.io/index.php?/cases/view/38917,IV,IV — Location Filter,The Location column sits after Vendor and never reads Multiple,KEEP,"Location column position, the never-Multiple invariant, and the export surface of the same requirement (Rule 40).",,,FIX-WORDING,"Expected 4 (""its visibility follows that toggle, not the location selection"") is the same mechanism claim the build refutes as IV-COL-01 expected 4; align both together. Expected 6 (filter keeps the same width) is cosmetic filler inside an otherwise load-bearing case - drop or split it.",,,,Y,OK,,DEVIATION,,Functional,False
IV-NAV-01,C30534,https://shopview.testrail.io/index.php?/cases/view/30534,IV,IV — Access & Display,Inventory Value appears in the reports navigation under the Parts group,KEEP,Navigation placement and the single-permission gate.,,,SENSIBLE,Three steps; group label hedged as VIU-confirm.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-NAV-02,C30535,https://shopview.testrail.io/index.php?/cases/view/30535,IV,IV — Access & Display,One row per in-stock part at the selected locations valued at the resolved date,KEEP,The row model (one row per in-stock part per selected location) valued at the resolved date.,,,SENSIBLE,Clear.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-NAV-03,C30536,https://shopview.testrail.io/index.php?/cases/view/30536,IV,IV — Access & Display,First visit defaults to the current calendar month and the active location,KEEP,First-visit defaults for date and location; the build breaks the location half.,,,SENSIBLE,Three steps on a fresh profile.,,,,Y,OK,,DEVIATION,,Functional,False
IV-NAV-05,C30538,https://shopview.testrail.io/index.php?/cases/view/30538,IV,IV — Access & Display,The report is server-paginated: one page of rows at a time,KEEP,Server pagination plus the return-to-first-page contract.,,,CONTRADICTION,"Intra-case: expected 1 says ""the user moves through pages with the reports suite's standard pagination control"" while expected 3 says ""on this build there are no numbered page controls - the rows load as you scroll"". Both cannot be true of the same build. Group CG-IV-PAGINATION. Winner: our live observation (Rule 33 tier 3) - no pagination control. Repair: state scroll-loading as the behaviour and carry the spec's pagination requirement as the recorded deviation, rather than asserting both.",CG-IV-PAGINATION,see sense_reason,aligned to the precedence winner (see sense_reason),Y,OK,,DEVIATION,,Functional,False
IV-NAV-06,C30539,https://shopview.testrail.io/index.php?/cases/view/30539,IV,IV — Access & Display,"No qualifying parts, day or location: the no-data message shows and no totals",KEEP,"The empty state across three independent causes, with the verbatim message and the no-totals assertion.",,,SENSIBLE,Precondition 2 enumerates the three producible causes.,,,,Y,OK,,VIU-Observed-PASS,,Negative,False
IV-PERM-01,C30603,https://shopview.testrail.io/index.php?/cases/view/30603,IV,IV — Permissions,A user with ordinary reports access can open Inventory Value,KEEP,"Permission allow side plus the explicit ""no report-specific permission"" assertion.",,,SENSIBLE,Expected 3 tells the tester what to do if the build disagrees - do not change the test.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-PERM-02,C30604,https://shopview.testrail.io/index.php?/cases/view/30604,IV,IV — Permissions,Without reports access Inventory Value is absent from the navigation,KEEP,"Permission block side, verified as the role.",,,SENSIBLE,Two steps.,,,,Y,OK,,VIU-Observed-PASS,,Negative,False
IV-PERS-01,C30579,https://shopview.testrail.io/index.php?/cases/view/30579,IV,IV — Column Selection & Persistence,Column Selection toggles columns; Total Cost cannot be turned off,KEEP,Column-selection contract plus the Total Cost cannot-be-hidden invariant.,,,SENSIBLE,Verbatim tooltip; three steps.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-PERS-02,C30580,https://shopview.testrail.io/index.php?/cases/view/30580,IV,IV — Column Selection & Persistence,Toggling columns never reorders them,WEAK-KEEP,Order-stability under toggling is a real invariant but largely re-asserts IV-COL-01's fixed order; kept because toggle-reorder bugs are common.,,,FIX-WORDING,"Same Location-mechanism phrase as IV-COL-01/IV-COL-04 (""when it is turned on in the column-selection control"") - align all three at once.",,,,Y,OK,,DEVIATION,,Functional,False
IV-PERS-03,C30581,https://shopview.testrail.io/index.php?/cases/view/30581,IV,IV — Column Selection & Persistence,The report remembers all filters; columns and sort per browser,KEEP,Persistence contract across seven settings plus the per-browser (not per-account) scope.,,,SENSIBLE,"Four steps; the cross-browser step is marked ""if practical"".",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-PERS-04,C30582,https://shopview.testrail.io/index.php?/cases/view/30582,IV,IV — Column Selection & Persistence,Defensive restore: a stale saved category or vendor is dropped on load,KEEP,Defensive restore: a stale saved selection must not break the view.,,,SENSIBLE,The 2026-07-28 repair already narrowed the expected to the path the steps drive.,,,,Y,OK,,VIU-Observed-PASS,,Negative,False
IV-SCOPE-01,C30540,https://shopview.testrail.io/index.php?/cases/view/30540,IV,IV — Row Scope,A part appears only if not a core charge and on-hand quantity is above zero,KEEP,"Row-scope contract on both conditions (non-core, qty above zero) including the totals exclusion.",,,SENSIBLE,"Preconditions seed all four part shapes; the negative one is hedged ""if producible"".",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-SCOPE-02,C30541,https://shopview.testrail.io/index.php?/cases/view/30541,IV,IV — Row Scope,A part stocked at two selected locations shows as two rows; never merged,KEEP,"One row per part per location, never merged - the documented v1 boundary.",,,SENSIBLE,Two steps.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-SORT-01,C30583,https://shopview.testrail.io/index.php?/cases/view/30583,IV,IV — Sorting,Rows are sorted by Total Cost highest first on load and after any reload,KEEP,Default sort contract and its persistence across pages over the full server-side set.,,,SENSIBLE,"Two steps, values readable top-down.",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-SORT-02,C30584,https://shopview.testrail.io/index.php?/cases/view/30584,IV,IV — Sorting,Header clicks sort ascending then descending; no third state; page 1 returns,KEEP,"Sort toggle semantics: ascending then descending, no third state, one column at a time, page-1 return.",,,SENSIBLE,Four steps including the third-click probe.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-SORT-03,C30585,https://shopview.testrail.io/index.php?/cases/view/30585,IV,IV — Sorting,Money and numeric columns sort by value; text columns sort as text,KEEP,"Sort-by-value vs sort-as-text contract - the classic ""1,100 sorts below 900"" bug.",,,SENSIBLE,"Concrete worked comparison ($900 vs $1,100).",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-TOT-01,C30556,https://shopview.testrail.io/index.php?/cases/view/30556,IV,IV — Totals Row,"Totals row: Totals label, blank identity/per-unit cells, pinned bold Total Cost",KEEP,"Totals-row anatomy: label, deliberately blank cells, pinned bold Total Cost, sticky on scroll.",,,CONTRADICTION,"Intra-case: expected 1 requires the label ""Totals"" while the case's own note says ""On screen the label is \""Total\"" (S4-R1) while the DOWNLOADED totals row is labeled \""Totals\"""". Group CG-IV-TOTALS-LABEL. The build shows ""Totals"". Resolution: assert the spec value S4-R1 (""Total"") in the expected so the observed ""Totals"" reads as the deviation it is, or get Chris to ratify ""Totals"" - currently the case cannot fail a build that breaks S4-R1.",CG-IV-TOTALS-LABEL,see sense_reason,aligned to the precedence winner (see sense_reason),Y,OK,,DEVIATION,,Functional,False
IV-TOT-02,C30557,https://shopview.testrail.io/index.php?/cases/view/30557,IV,IV — Totals Row,"Totals row sums the FULL filtered set on the server, not just the visible page",KEEP,Full-filtered-set server totals with a hand-summed cross-check - a money contract.,,,SENSIBLE,Step 3 gives the tester a hand-checkable subset.,,,,Y,OK,,DEVIATION,,Functional,False
IV-TOT-03,C30558,https://shopview.testrail.io/index.php?/cases/view/30558,IV,IV — Totals Row,Totals-row Margin % is recomputed from the totals; not an average of rows,KEEP,Recomputed-from-totals vs average-of-rows - a real and common aggregation bug.,,,SENSIBLE,"Step 3 explicitly makes the tester compute the wrong answer too, so the distinction is unmissable.",,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-VIS-01,C30596,https://shopview.testrail.io/index.php?/cases/view/30596,IV,IV — Visual & Accessibility,All-white table with no row shading on the standard report backdrop,WEAK-KEEP,"Pure styling (white cells, no zebra striping); a failure is cosmetic only.",,,SENSIBLE,Three observation steps.,,,,Y,OK,,DEVIATION,,Functional,False
IV-VIS-02,C30597,https://shopview.testrail.io/index.php?/cases/view/30597,IV,IV — Visual & Accessibility,Toolbar layout: menu leftmost then Column Selection; then the 5 filters,WEAK-KEEP,"Toolbar control ordering - cosmetic, though it did catch a real ordering difference in the build.",,,SENSIBLE,Two reading steps.,,,,Y,OK,,DEVIATION,,Functional,False
IV-VIS-04,C30599,https://shopview.testrail.io/index.php?/cases/view/30599,IV,IV — Visual & Accessibility,Long Description; Category and Vendor truncate on hover; Part # never does,WEAK-KEEP,"Truncation and hover-reveal; cosmetic, and the Part #-never-truncates half is the only part with data consequence.",,,SENSIBLE,Step 1 tells the tester how to force the overflow.,,,,Y,OK,,VIU-Observed-PASS,,Functional,False
IV-VIS-05,C30600,https://shopview.testrail.io/index.php?/cases/view/30600,IV,IV — Visual & Accessibility,"In dark mode the page background, toolbar, cells; the ""—"" glyph remain legible",WEAK-KEEP,Dark-mode legibility; cosmetic and subjective.,,,FIX-WORDING,"Expected 2 ""all use dark-mode-legible colors"" has no pass criterion a tester can apply (F6). Name the concrete check instead - e.g. the em-dash glyph is visible against the dark cell background and the toolbar text is readable.",,,,Y,OK,,VIU-Observed-PASS,,Accessibility,False
IV-VIS-06,C30601,https://shopview.testrail.io/index.php?/cases/view/30601,IV,IV — Visual & Accessibility,Each sortable header exposes its sort state and shows the direction,WEAK-KEEP,Accessibility sort-state exposure; real but low-value for a manual pass.,,,SENSIBLE,Precondition 2 names the tool needed.,,,,Y,TOOL,"Needs a screen reader or the browser accessibility inspector, and the case sits in a non-API section - acceptable for an Accessibility-typed case but not layman-runnable.",VIU-Observed-PASS,,Accessibility,False
IV-VIS-07,C30602,https://shopview.testrail.io/index.php?/cases/view/30602,IV,IV — Visual & Accessibility,The icon-only download and Column Selection buttons carry accessible names,WEAK-KEEP,"Accessible names on the two icon-only buttons; low value, though it did pin the two real aria labels.",,,SENSIBLE,Two steps.,,,,Y,TOOL,Needs a screen reader or accessibility inspector.,VIU-Observed-PASS,,Accessibility,False
PV-API-01,C30388,https://shopview.testrail.io/index.php?/cases/view/30388,PV,PV — API,The report is server-paginated - the backend returns one page of rows at a time,KEEP,Server-pagination contract at scale (50-60k parts per org).,,,SENSIBLE,Precondition 2 names the devtools network tab.,,,,Y,TECHNICAL,"Needs the devtools network tab; correctly in a ""PV - API"" section (Rule 4).",VIU-Observed-PASS,,Functional,True
PV-API-02,C30389,https://shopview.testrail.io/index.php?/cases/view/30389,PV,PV — API,Each filter or search change re-queries the server and returns page one,KEEP,Every filter/search change re-queries the server and returns page one - the no-client-side-narrowing contract.,,,SENSIBLE,Seven controls enumerated in one step.,,,,Y,TECHNICAL,Devtools; API section.,VIU-Observed-PASS,,Functional,True
PV-API-03,C30390,https://shopview.testrail.io/index.php?/cases/view/30390,PV,PV — API,Header-click sorting re-queries the server; nulls first asc and last desc,KEEP,Server-side sort plus the null-placement semantic that must match screen and export.,,,SENSIBLE,Three steps.,,,,Y,TECHNICAL,Devtools; API section.,VIU-Observed-PASS,,Functional,True
PV-API-04,C30391,https://shopview.testrail.io/index.php?/cases/view/30391,PV,PV — API,The back end serves report data and export on ordinary reports access,KEEP,API-layer proof that the single reports permission is the only gate and any extra permission is inert.,,,SENSIBLE,Expected 4 tells the tester exactly what to do if the build disagrees.,,,,Y,TECHNICAL,Devtools; API section.,VIU-Observed-PASS,,Negative,True
