"Date Range: Dec 31, 2025 - Aug 10, 2026"
"Locations: 3rd Loc, 4th Loc, QB Location, Staging Heavy Duty - 9919, Staging Lethbridge - 4310"
"WO #",Status,Customer,Unit,Branch,Advisor,"Days Open",Earned,Remaining,Total
S3-16442,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$641.78,$641.78
S3-16439,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$200.00,$200.00
S3-16438,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$275.00,$275.00
S3-16436,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$350.00,$350.00
S3-16434,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$200.00,$200.00
S3-16433,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$700.00,$700.00
S3-16432,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$600.00,$600.00
S3-16431,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$600.00,$600.00
S3-16430,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,"$1,200.00","$1,200.00"
S3-16429,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$700.00,$700.00
S3-16428,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$550.00,$550.00
S3-16420,Estimate,"E2E PO Required Customer",,"3rd Loc","Admin ShopView","0 days",$0.00,$275.00,$275.00
S3-16419,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$325.00,$325.00
S3-16417,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$215.00,$215.00
S3-16416,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$641.78,$641.78
S3-16413,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$200.00,$200.00
S3-16412,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$275.00,$275.00
S3-16410,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$350.00,$350.00
S3-16408,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$200.00,$200.00
S3-16407,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$700.00,$700.00
S3-16406,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$600.00,$600.00
S3-16405,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$600.00,$600.00
S3-16404,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,"$1,200.00","$1,200.00"
S3-16403,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$700.00,$700.00
S3-16402,Estimate,TestVT1,,"3rd Loc","Admin ShopView","0 days",$0.00,$550.00,$550.00
S8582-16294,Estimate,"E2E PO Required Customer",,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$220.00,$220.00
S8582-16293,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$270.00,$270.00
S8582-16291,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$160.00,$160.00
S8582-16290,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$586.78,$586.78
S8582-16287,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$145.00,$145.00
S8582-16286,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$220.00,$220.00
S8582-16284,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$295.00,$295.00
S8582-16282,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$145.00,$145.00
S8582-16281,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$590.00,$590.00
S8582-16279,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$435.00,$435.00
S8582-16280,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$545.00,$545.00
S8582-16278,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,"$1,145.00","$1,145.00"
S8582-16277,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$645.00,$645.00
S8582-16276,Estimate,TestVT1,,"Staging Heavy Duty - 9919","Admin ShopView","0 days",$0.00,$440.00,$440.00
S8582-15884,Estimate,"Roriver Hauling","L16 / 461132","Staging Lethbridge - 4310","Jennifer Johnston","58 days",$0.00,$0.00,$0.00
S8582-15881,Estimate,"Ieport Mining",,"Staging Lethbridge - 4310","Jennifer Johnston","58 days",$0.00,"$1,419.35","$1,419.35"
S8582-15866,Estimate,"Enhall Electrical",,"Staging Heavy Duty - 9919","Bonnie Jones","59 days",$0.00,"$4,265.92","$4,265.92"
S8582-15861,Estimate,"Enmill Design",ST-10,"Staging Lethbridge - 4310","Taylor Kelley","59 days",$0.00,$0.00,$0.00
S8582-15848,Estimate,"Aocrest Management",,"Staging Lethbridge - 4310",,"59 days",$0.00,$39.99,$39.99
S8582-15846,Estimate,"Pumoor Landscaping",MOTORHOME,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days",$0.00,"$1,212.85","$1,212.85"
S8582-15841,Estimate,"Bowick Retail",901084,"Staging Lethbridge - 4310","Jennifer Johnston","59 days",$0.00,"$3,117.52","$3,117.52"
S8582-15838,Estimate,"Roriver Hauling","L08 / 460422","Staging Lethbridge - 4310","Jennifer Johnston","60 days",$0.00,$993.13,$993.13
S8582-15803,Estimate,"Soton Technology",,"Staging Heavy Duty - 9919","Kimberly Barnes","61 days",$0.00,"$22,586.85","$22,586.85"
S8582-15782,Estimate,"Vuchester Retail",21-OCT-2013,"Staging Heavy Duty - 9919",,"61 days",$0.00,$859.59,$859.59
S8582-15740,Estimate,"Brabay Maintenance",H23023,"Staging Heavy Duty - 9919","Kimberly Barnes","63 days",$0.00,$145.00,$145.00
S8582-15739,Estimate,"Yashore Paving","UNIT 20","Staging Heavy Duty - 9919","Bonnie Jones","63 days",$0.00,"$1,074.83","$1,074.83"
S8582-15691,Estimate,"Vuchester Retail",10156494,"Staging Heavy Duty - 9919",,"66 days",$0.00,$188.50,$188.50
S8582-15680,Estimate,"Vuchester Retail",,"Staging Heavy Duty - 9919",,"66 days",$0.00,$150.00,$150.00
S8582-15675,Estimate,"Zipark Oilfield Services",,"Staging Lethbridge - 4310","Jennifer Johnston","66 days",$0.00,"$3,406.98","$3,406.98"
S8582-15668,Estimate,"Auline Consulting",4,"Staging Heavy Duty - 9919","Kimberly Barnes","66 days",$0.00,$329.90,$329.90
S8582-15631,Estimate,"Queplains Hauling",,"Staging Heavy Duty - 9919","Kimberly Barnes","67 days",$0.00,$624.92,$624.92
S8582-15601,Estimate,"Brabay Maintenance",E12019,"Staging Heavy Duty - 9919",,"68 days",$0.00,$0.00,$0.00
S8582-15572,Estimate,"Uashore Partners",616232,"Staging Heavy Duty - 9919",,"69 days",$0.00,$455.89,$455.89
S8582-15567,Estimate,"Dohampton Ventures",FR301,"Staging Lethbridge - 4310","Jennifer Johnston","69 days",$0.00,$250.21,$250.21
S8582-15540,Estimate,"Oside Holdings",,"Staging Heavy Duty - 9919","Kimberly Barnes","70 days",$0.00,"$1,629.60","$1,629.60"
S8582-15536,Estimate,"Brabay Maintenance",E12019,"Staging Heavy Duty - 9919",,"70 days",$0.00,$290.00,$290.00
S8582-15523,Estimate,"Liisland Partners",,"Staging Heavy Duty - 9919",,"70 days",$0.00,"$1,159.09","$1,159.09"
S8582-15501,Estimate,"Zelake Paving",308,"Staging Heavy Duty - 9919","Bonnie Jones","72 days",$0.00,"$12,718.61","$12,718.61"
S8582-15443,Estimate,"Uoview Design",,"Staging Lethbridge - 4310",,"74 days",$0.00,$559.82,$559.82
S8582-15428,Estimate,"Domont Media",,"Staging Lethbridge - 4310","Jennifer Johnston","74 days",$0.00,"$4,437.65","$4,437.65"
S8582-15417,Estimate,"Kabridge Enterprises",B104,"Staging Lethbridge - 4310","Jennifer Johnston","75 days",$0.00,"$4,539.95","$4,539.95"
S8582-15410,Estimate,"Peton Hauling",,"Staging Lethbridge - 4310",,"75 days",$0.00,"$2,287.95","$2,287.95"
S8582-15408,Estimate,"Daland Builders",,"Staging Heavy Duty - 9919","Bonnie Jones","75 days",$0.00,"$1,755.16","$1,755.16"
S8582-15378,Estimate,"Necrest Beverages",,"Staging Lethbridge - 4310",,"76 days",$0.00,$820.90,$820.90
S8582-15365,Estimate,"Aawood Management",,"Staging Heavy Duty - 9919","Kimberly Barnes","76 days",$0.00,"$5,998.00","$5,998.00"
S8582-15345,Estimate,"Xamont Holdings",70050147,"Staging Heavy Duty - 9919",,"79 days",$0.00,"$6,898.50","$6,898.50"
S8582-15324,Estimate,"Qohaven Mining",,"Staging Lethbridge - 4310","Jennifer Johnston","80 days",$0.00,"$1,562.50","$1,562.50"
S8582-15292,Estimate,"Zipark Oilfield Services",,"Staging Lethbridge - 4310",,"81 days",$0.00,"$3,114.53","$3,114.53"
S8582-15290,Estimate,"Fuline Enterprises","DAEWOO FORKLIFT","Staging Heavy Duty - 9919","Lauren Knight","81 days",$0.00,$342.21,$342.21
S8582-15289,Estimate,"Fuline Enterprises","BIG RED","Staging Heavy Duty - 9919","Lauren Knight","81 days",$0.00,$0.00,$0.00
S8582-15235,Estimate,"Piview Apparel",,"Staging Heavy Duty - 9919","Kimberly Barnes","82 days",$0.00,$299.90,$299.90
S8582-15224,Estimate,"Neford Concrete",,"Staging Lethbridge - 4310","Taylor Kelley","83 days",$0.00,"$1,553.34","$1,553.34"
S8582-15161,Estimate,"Creplains Ventures","trash compactor","Staging Lethbridge - 4310",,"88 days",$0.00,$0.00,$0.00
S8582-15152,Estimate,"Liisland Partners",,"Staging Heavy Duty - 9919","Kimberly Barnes","88 days",$0.00,"$5,998.00","$5,998.00"
S8582-15151,Estimate,"Damont Ventures",9049,"Staging Lethbridge - 4310","Taylor Kelley","88 days",$0.00,"$4,195.90","$4,195.90"
S8582-15133,Estimate,"Iowell Works",4,"Staging Heavy Duty - 9919","Bonnie Jones","88 days",$0.00,$0.00,$0.00
S8582-15119,Estimate,"Leview Builders",,"Staging Heavy Duty - 9919",,"89 days",$0.00,"$3,463.10","$3,463.10"
S8582-15099,Estimate,"Iacrest Consulting",2101,"Staging Lethbridge - 4310",,"89 days",$0.00,"$2,683.02","$2,683.02"
S8582-15097,Estimate,"Duside Transport",101,"Staging Heavy Duty - 9919","Bonnie Jones","89 days",$0.00,$898.38,$898.38
S8582-15092,Estimate,"Wopoint Builders",12,"Staging Lethbridge - 4310",,"89 days",$0.00,"$1,865.85","$1,865.85"
S8582-15091,Estimate,"Wuriver Ventures",,"Staging Heavy Duty - 9919","Kimberly Barnes","89 days",$0.00,$978.29,$978.29
S8582-15089,Estimate,"Kashore Supply",,"Staging Lethbridge - 4310","Jennifer Johnston","89 days",$0.00,"$10,000.00","$10,000.00"
S8582-15082,Estimate,"Kashore Supply",,"Staging Lethbridge - 4310","Jennifer Johnston","90 days",$0.00,$945.00,$945.00
S8582-15017,Estimate,"Aagate Landscaping",E203,"Staging Heavy Duty - 9919",,"93 days",$0.00,"$3,552.79","$3,552.79"
S8582-15015,Estimate,"Eiridge Rentals",V00162,"Staging Heavy Duty - 9919",,"93 days",$0.00,"$2,540.20","$2,540.20"
S8582-15003,Estimate,"Sacastle Hauling",,"Staging Lethbridge - 4310",,"93 days",$0.00,"$1,981.65","$1,981.65"
S8582-14987,Estimate,"Dispring Retail",,"Staging Heavy Duty - 9919","Bonnie Jones","94 days",$0.00,"$2,082.35","$2,082.35"
S8582-14985,Estimate,"Vuchester Retail",185-9,"Staging Heavy Duty - 9919","Kimberly Barnes","94 days",$0.00,"$1,199.60","$1,199.60"
S8582-14971,Estimate,"Aocrest Management",,"Staging Lethbridge - 4310",,"94 days",$0.00,$721.99,$721.99
S8582-14874,Estimate,"Vuchester Retail",,"Staging Heavy Duty - 9919","Kimberly Barnes","97 days",$0.00,$375.00,$375.00
S8582-14846,Estimate,"Aagate Landscaping",189,"Staging Heavy Duty - 9919","Kimberly Barnes","100 days",$0.00,"$1,419.28","$1,419.28"
S8582-14837,Estimate,"Givale Commercial",5542,"Staging Lethbridge - 4310",,"100 days",$0.00,$194.52,$194.52
S8582-14797,Estimate,"Viborough Farms",77,"Staging Heavy Duty - 9919",,"101 days",$0.00,$849.75,$849.75
S8582-14781,Estimate,"Joshore Farms",,"Staging Heavy Duty - 9919",,"102 days",$0.00,$291.71,$291.71
S8582-14695,Estimate,"Gaburg Technology",1-1,"Staging Lethbridge - 4310","Jennifer Johnston","105 days",$0.00,$0.00,$0.00
S8582-14605,Estimate,"Vuchester Retail",10126730,"Staging Heavy Duty - 9919",,"110 days",$0.00,"$3,609.23","$3,609.23"
S8582-14586,Estimate,"Xiriver Apparel",17875,"Staging Heavy Duty - 9919",,"110 days",$0.00,"$9,722.28","$9,722.28"
S8582-14562,Estimate,"Mastone Distributors",11840348,"Staging Heavy Duty - 9919","Kimberly Barnes","111 days",$0.00,$24.94,$24.94
S8582-14522,Estimate,"Cuborough Commercial",28,"Staging Heavy Duty - 9919","Bonnie Jones","112 days",$0.00,"$1,074.80","$1,074.80"
S8582-14501,Estimate,"Qoriver Landscaping","PERSONAL ","Staging Lethbridge - 4310","Alexander Cohen","114 days",$0.00,$601.47,$601.47
S8582-14483,Estimate,"Viwood Maintenance",,"Staging Heavy Duty - 9919",,"115 days",$0.00,"$3,536.66","$3,536.66"
S8582-14393,Estimate,"Enmill Design","LT 17 - SUITOR","Staging Lethbridge - 4310","Alexander Cohen","118 days",$0.00,"$4,230.01","$4,230.01"
S8582-14390,Estimate,"Damill Retail","LOOSE TURBO","Staging Lethbridge - 4310","Jennifer Johnston","118 days",$0.00,"$3,144.30","$3,144.30"
S8582-14388,Estimate,"Quilake Mining",,"Staging Lethbridge - 4310","Jennifer Johnston","118 days",$0.00,"$1,898.35","$1,898.35"
S8582-14348,Estimate,"Wamarket Plumbing",,"Staging Heavy Duty - 9919",,"119 days",$0.00,"$1,756.58","$1,756.58"
S8582-14338,Estimate,"Naburg Retail",,"Staging Heavy Duty - 9919","Bonnie Jones","121 days",$0.00,"$6,928.18","$6,928.18"
S8582-14334,Estimate,"Wovale Systems",21,"Staging Heavy Duty - 9919",,"121 days",$0.00,$0.00,$0.00
S8582-14311,Estimate,"Oepark Mechanical",,"Staging Lethbridge - 4310","Jennifer Johnston","122 days",$0.00,"$1,372.24","$1,372.24"
S8582-14260,Estimate,"Qispring Rentals",,"Staging Heavy Duty - 9919",,"124 days",$0.00,$0.00,$0.00
S8582-14161,Estimate,"Kastone Solutions",130,"Staging Heavy Duty - 9919",,"130 days",$0.00,$224.92,$224.92
S8582-14072,Estimate,"Tifalls Fabrication",,"Staging Lethbridge - 4310","Taylor Kelley","136 days",$0.00,"$3,626.60","$3,626.60"
S8582-14030,Estimate,"Suman Solutions",80,"Staging Heavy Duty - 9919",,"138 days",$0.00,"$9,142.76","$9,142.76"
S8582-13992,Estimate,"Womarket Concrete",202731,"Staging Heavy Duty - 9919","Lauren Knight","139 days",$0.00,$0.00,$0.00
S8582-13984,Estimate,"Naburg Retail",RFL-012,"Staging Heavy Duty - 9919","Kimberly Barnes","139 days",$0.00,$0.00,$0.00
S8582-13930,Estimate,"Beriver Works",,"Staging Heavy Duty - 9919","Kimberly Barnes","143 days",$0.00,"$1,090.09","$1,090.09"
S8582-13915,Estimate,"Quaspring Transport",TBD,"Staging Heavy Duty - 9919","Bonnie Jones","144 days",$0.00,"$13,650.21","$13,650.21"
S8582-13879,Estimate,"Roriver Hauling",,"Staging Lethbridge - 4310","Hannah Avila","145 days",$0.00,$441.68,$441.68
S8582-13823,Estimate,"Xamont Holdings",70059645,"Staging Heavy Duty - 9919",,"149 days",$0.00,"$8,842.00","$8,842.00"
S8582-13806,Estimate,"Braside Design",10915496,"Staging Heavy Duty - 9919",,"149 days",$0.00,"$2,125.62","$2,125.62"
S8582-13801,Estimate,"Bewick Enterprises",,"Staging Lethbridge - 4310","Hannah Avila","149 days",$0.00,"$1,328.60","$1,328.60"
S8582-13750,Estimate,"Westone Beverages",FRANZ,"Staging Heavy Duty - 9919",,"151 days",$0.00,"$1,386.58","$1,386.58"
S8582-13741,Estimate,"Yuwick Maintenance",,"Staging Lethbridge - 4310","Jennifer Johnston","151 days",$0.00,"$3,195.07","$3,195.07"
S8582-13725,Estimate,"Qoriver Landscaping",,"Staging Lethbridge - 4310","Hannah Avila","152 days",$0.00,$396.50,$396.50
S8582-13665,Estimate,"Aoboro Works",19877,"Staging Heavy Duty - 9919",,"156 days",$0.00,"$7,022.47","$7,022.47"
S8582-13649,Estimate,"Xovale Rentals",,"Staging Lethbridge - 4310",,"157 days",$0.00,"$1,032.76","$1,032.76"
S8582-13625,Estimate,"Xamont Holdings",70024862,"Staging Heavy Duty - 9919","Lauren Knight","158 days",$0.00,"$49,631.26","$49,631.26"
S8582-13537,Estimate,"Momarket Oilfield Services",24,"Staging Lethbridge - 4310",,"160 days",$0.00,"$2,849.37","$2,849.37"
S8582-13445,Estimate,"Qoriver Landscaping",,"Staging Lethbridge - 4310",,"165 days",$0.00,"$5,667.68","$5,667.68"
S8582-13435,Estimate,"Fuline Enterprises",,"Staging Heavy Duty - 9919","Kimberly Barnes","165 days",$0.00,$0.00,$0.00
S8582-13306,Estimate,"Zahampton Electrical",,"Staging Heavy Duty - 9919",,"171 days",$0.00,"$1,288.39","$1,288.39"
S8582-13251,Estimate,"Tegrove Maintenance",Attic,"Staging Heavy Duty - 9919",,"172 days",$0.00,"$4,813.68","$4,813.68"
S8582-13228,Estimate,"Tegrove Maintenance",Attic,"Staging Heavy Duty - 9919","Kimberly Barnes","173 days",$0.00,"$4,999.50","$4,999.50"
S8582-13214,Estimate,"Zuline Builders",22792,"Staging Heavy Duty - 9919",,"174 days",$0.00,"$19,141.04","$19,141.04"
S8582-13145,Estimate,"Aagate Landscaping",P1061,"Staging Heavy Duty - 9919",,"179 days",$0.00,"$6,886.90","$6,886.90"
S8582-13122,Estimate,"Wumill Distributors",427,"Staging Heavy Duty - 9919","Lauren Knight","180 days",$0.00,"$1,183.78","$1,183.78"
S8582-13084,Estimate,"Braside Design",11249312,"Staging Heavy Duty - 9919",,"181 days",$0.00,"$2,911.16","$2,911.16"
S8582-12898,Estimate,"Vuchester Retail",,"Staging Heavy Duty - 9919","Lauren Knight","192 days",$0.00,$586.70,$586.70
S8582-12888,Estimate,"Aagate Landscaping",E203,"Staging Heavy Duty - 9919",,"192 days",$0.00,$899.70,$899.70
S8582-12834,Estimate,"Dochester Equipment",,"Staging Heavy Duty - 9919","Lauren Knight","194 days",$0.00,"$32,967.16","$32,967.16"
S8582-12833,Estimate,"Pidale Partners",1055,"Staging Heavy Duty - 9919",,"194 days",$0.00,"$15,639.30","$15,639.30"
S8582-12744,Estimate,"Vaspring Consulting",TR1605,"Staging Heavy Duty - 9919",,"199 days",$0.00,$130.61,$130.61
S8582-12740,Estimate,"Uashore Partners",614197,"Staging Heavy Duty - 9919","Lauren Knight","199 days",$0.00,$479.85,$479.85
S8582-12734,Estimate,"Dochester Equipment",,"Staging Heavy Duty - 9919","Kimberly Barnes","200 days",$0.00,"$10,565.31","$10,565.31"
S8582-12692,Estimate,"Quamarket Builders",LH06C,"Staging Lethbridge - 4310","Taylor Kelley","201 days",$0.00,"$2,724.05","$2,724.05"
S8582-12623,Estimate,"Euwood Paving",854,"Staging Heavy Duty - 9919","Lauren Knight","206 days",$0.00,"$2,709.21","$2,709.21"
S8582-12615,Estimate,"Uhaven Excavating",0605,"Staging Heavy Duty - 9919",,"206 days",$0.00,"$2,122.78","$2,122.78"
S8582-12472,Estimate,"Uhaven Excavating",0605,"Staging Heavy Duty - 9919",,"213 days",$0.00,"$9,796.17","$9,796.17"
S8582-12434,Estimate,"Uhaven Excavating",,"Staging Heavy Duty - 9919","Lauren Knight","214 days",$0.00,"$70,696.49","$70,696.49"
S8582-12423,Estimate,"Xamont Holdings","10365847 Equipment Dev.","Staging Heavy Duty - 9919",,"215 days",$0.00,"$1,245.66","$1,245.66"
S8582-12402,Estimate,"Rashore Solutions",42-828,"Staging Heavy Duty - 9919","Lauren Knight","216 days",$0.00,$290.00,$290.00
S8582-12322,Estimate,"Eemarket Hauling",,"Staging Heavy Duty - 9919","Paul Sanchez","220 days",$0.00,$826.60,$826.60
Totals,,,,,,,$0.00,"$519,783.45","$519,783.45"
