group,foreign_case,author,section,case_verdict,unit_where,unit_verdict,strength,signature,missing_token,our_cases,why,assertion
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,step1.content,COVERED-BY,STRONG,scope single location,,C30352 C38914,"all of ['scope', 'single', 'location'] co-occur in a case of ours",Open PV at the default single-location scope
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,step2.content,CANDIDATE GAP,STRONG,refetch server location,server,,"no case of ours contains 'server' together with ['refetch', 'location']",Turn on All Locations and wait for the server refetch
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,step3.content,COVERED-BY,STRONG,merged special search,,C30342,"all of ['merged', 'special', 'search'] co-occur in a case of ours",Set Type = Special Order and search the merged part number
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,step4.content,COVERED-BY,STRONG,search type number,,C30333,"all of ['search', 'type', 'number'] co-occur in a case of ours",Set Type = Inventory and search the seeded inventory part number
4281,C38920,Vladimir Tomovic,Reports Suite > Parts Velocity Report > PV — Row Model,CONTRADICTS-OURS,step5.content,CONTRADICTS-OURS,STRONG,menu selection column,menu,C30328 C30352 C30358 C38914,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'menu' - read both before ruling",Open the Column Selection menu
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,logged,logged,,no case of ours contains 'logged' together with [],Owner/admin logged in with TU access (reports project storage state)
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,custom_preconds,CONTRADICTS-OURS,STRONG,calendar clock est,calendar,C30401 C30420,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'calendar' - read both before ruling","A technician with a 3h WO clock and a 1h internal clock exists in the current calendar month (seeded via API), so the report is non-empty and Est."
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,custom_preconds,COVERED-BY,STRONG,lost non zero,,C30401,"all of ['lost', 'non', 'zero'] co-occur in a case of ours",Lost Labor is non-zero
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,STRONG,five metric apply,five,,"no case of ours contains 'five' together with ['metric', 'apply']","No saved TU view in this browser context, so the default five visible metric columns apply"
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step1.expected,CANDIDATE GAP,STRONG,nav performance entry,performance,,"no case of ours contains 'performance' together with ['nav', 'entry']",Performance nav entry
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step2.content,COVERED-BY,STRONG,menu selection column,,C30434 C30447 C38859,"all of ['menu', 'selection', 'column'] co-occur in a case of ours",Open the Column Selection menu
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step3.content,COVERED-BY,STRONG,lost off labor,,C30405 C38859,"all of ['lost', 'off', 'labor'] co-occur in a case of ours",Lost Labor OFF (and only that one column)
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step5.content,CONTRADICTS-OURS,STRONG,menu export summary,export,C30434,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'export' - read both before ruling",Download Summary (CSV) from the export menu
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step6.content,CANDIDATE GAP,STRONG,est selector,est,,no case of ours contains 'est' together with ['selector'],Re-open the selector and toggle Est.
4281,C38919,Vladimir Tomovic,Reports Suite > Technician Utilization > TU — Visual & Accessibility,CONTRADICTS-OURS,step6.content,COVERED-BY,STRONG,lost back labor,,C30411 C38859,"all of ['lost', 'back', 'labor'] co-occur in a case of ours",Lost Labor back ON
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,custom_preconds,COVERED-BY,STRONG,wip,,C30456 C30515,all of ['wip'] co-occur in a case of ours,Owner/admin with WIP access (reports project storage state)
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,workplac,workplac,,no case of ours contains 'workplac' together with [],The org has at least two accessible workplaces
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,STRONG,vehicle week vin,week,,"no case of ours contains 'week' together with ['vehicle', 'vin']","One approved WO with clocked time on a unique-VIN vehicle exists in the default (This Week) range, so it lands in the default ""Approved"
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,custom_preconds,COVERED-BY,STRONG,completed partially tab,,C30452 C30462 C30464 C30488 C30490,"all of ['completed', 'partially', 'tab'] co-occur in a case of ours","partially completed"" tab (seeded via API)"
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,custom_preconds,CONTRADICTS-OURS,STRONG,wip hidden saved,wip,C30467,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'wip' - read both before ruling","The browser context carries NO saved WIP view, so Location starts default-hidden"
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,step1.content,CANDIDATE GAP,STRONG,nav wip performance,wip,,"no case of ours contains 'wip' together with ['nav', 'performance']","Open WIP from the Performance nav, isolate to the unique VIN via the asset filter, and download the CSV"
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,step2.content,CANDIDATE GAP,STRONG,refetch location,location,,no case of ours contains 'location' together with ['refetch'],"Turn on All Locations, wait for the refetch, and download again"
4281,C38922,Vladimir Tomovic,Reports Suite > Work In Progress > WIP — Exports,CONTRADICTS-OURS,step3.content,CONTRADICTS-OURS,STRONG,menu selection location,menu,C30459 C30467 C30504 C30507 C30508 C30509,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'menu' - read both before ruling",Toggle Location ON in the Column Selection menu and download again
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,PHRASING,workplac,workplac,,no case of ours contains 'workplac' together with [],Owner/admin with IV access and at least two accessible workplaces
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,custom_preconds,CANDIDATE GAP,STRONG,workplace core valued,core,,"no case of ours contains 'core' together with ['workplace', 'valued']","One in-stock, non-core, fixed-price part valued at the active workplace (seeded via API)"
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,step1.content,CONTRADICTS-OURS,STRONG,search scope single,search,C30551 C30554 C38917,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'search' - read both before ruling",Open the report at the default scope and search the seeded part number so the export is a single known row
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,step2.content,CONTRADICTS-OURS,STRONG,menu export csv,menu,C30589 C30592 C30593 C30595,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'menu' - read both before ruling",Download the CSV from the export menu
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,step3.content,CANDIDATE GAP,STRONG,refetch location,location,,no case of ours contains 'location' together with ['refetch'],"Turn on All Locations, wait for the refetch, and download again"
4281,C38921,Vladimir Tomovic,Reports Suite > Inventory Value > IV — Exports,CONTRADICTS-OURS,step4.content,CONTRADICTS-OURS,STRONG,cell location data,cell,C30536 C30539 C30570 C30575 C30593 C30607,"our case(s) share this topic AND carry a closed-list/negation marker, while never mentioning 'cell' - read both before ruling",Inspect the data row's Location cell
