"Locations: Staging Heavy Duty - 9919"
"WO #",Status,Customer,Unit,VIN,Branch,Advisor,"Days Open","Last Activity","Labor Earned","Labor Remaining","Parts Earned","Parts Remaining",Earned,Remaining,Total
S2-15318,Approved,"Tistone Beverages",,1HTGSSNT8GH006022,"Staging Heavy Duty - 9919","Bonnie Jones","74 days","51d ago","$3,216.53",$742.28,"$10,510.84",$0.00,"$13,727.37",$742.28,"$14,469.65"
S2-15299,Approved,"Xiriver Apparel",24069,3HSDZAPT9KN042164,"Staging Heavy Duty - 9919","Bonnie Jones","74 days","51d ago","$2,044.47","$1,236.09","$3,445.89",$0.00,"$5,490.36","$1,236.09","$6,726.45"
S2-15273,Approved,"Helake Retail",88,1FD0W5HY6HEE75247,"Staging Heavy Duty - 9919","Kimberly Barnes","75 days","60d ago",$811.23,$238.42,$0.00,"$3,185.78",$811.23,"$3,424.20","$4,235.43"
S2-15113,Approved,"Vuchester Retail",,KMTPC192J54A10126,"Staging Heavy Duty - 9919","Kimberly Barnes","82 days","66d ago",$4.35,$140.65,$0.00,$267.86,$4.35,$408.51,$412.86
S2-15043,Approved,"Helake Retail",97,1FTBW2YM8KKA53899,"Staging Heavy Duty - 9919","Kimberly Barnes","84 days","63d ago","$4,571.98",$115.46,"$1,712.87",$224.82,"$6,284.85",$340.28,"$6,625.13"
S2-14972,Approved,"Ceview Builders",10,1FVPG3DV5MHMX2577,"Staging Heavy Duty - 9919","Bonnie Jones","87 days","87d ago",$328.39,$271.41,$0.00,$0.00,$328.39,$271.41,$599.80
S2-14638,Approved,"Fuline Enterprises",ST-20,1FD0X5HT6PED27440,"Staging Heavy Duty - 9919","Frank Pierce","102 days","62d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-14531,Approved,"Wuwick Apparel",,2NKMHZ8X57M931136,"Staging Heavy Duty - 9919","Kimberly Barnes","105 days","52d ago","$11,560.96",$716.98,"$5,502.25","$3,232.65","$17,063.21","$3,949.63","$21,012.84"
S2-14527,Approved,"Qispring Rentals",,GHL0V400E00151254,"Staging Heavy Duty - 9919","Bonnie Jones","105 days","51d ago","$5,980.00",$64.48,"$1,133.79",$0.00,"$7,113.79",$64.48,"$7,178.27"
S2-14512,Approved,"Xamont Holdings",70010312,3FRPF7FC6FV680089,"Staging Heavy Duty - 9919","Kimberly Barnes","107 days","51d ago","$3,112.97","$1,291.07","$8,097.72",$0.00,"$11,210.69","$1,291.07","$12,501.76"
S2-14294,Approved,"Zuline Builders",22791,1NPCL40X5JD489071,"Staging Heavy Duty - 9919",,"116 days",,$70.48,$79.47,$578.22,$0.00,$648.70,$79.47,$728.17
S2-14209,Approved,"Kastone Solutions",HE2-001,EZW02957,"Staging Heavy Duty - 9919","Bonnie Jones","119 days","52d ago","$3,372.38","$1,523.49","$5,944.38","$1,645.58","$9,316.76","$3,169.07","$12,485.83"
S2-14158,Approved,"Brabay Maintenance",,C44ECN300699,"Staging Heavy Duty - 9919","Kimberly Barnes","124 days","51d ago","$8,615.90","$1,206.40","$15,631.93",$532.72,"$24,247.83","$1,739.12","$25,986.95"
S2-13556,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919",,"153 days",,$0.00,$412.38,$87.44,$5.28,$87.44,$417.66,$505.10
S2-13163,Approved,"Xamont Holdings",70061328,2NKHLJ9X6LM965595,"Staging Heavy Duty - 9919","Kimberly Barnes","172 days",,$0.00,$869.70,$59.97,$0.00,$59.97,$869.70,$929.67
S2-13053,Approved,"Goport Energy",,10BAZ6215TF0A6047,"Staging Heavy Duty - 9919","Kimberly Barnes","178 days","59d ago",$278.45,$11.50,$0.00,$0.00,$278.45,$11.50,$289.95
S2-13014,Approved,"Fuline Enterprises",G30,12-06696,"Staging Heavy Duty - 9919","Bonnie Jones","179 days","55d ago",$494.85,$0.00,$308.87,$0.00,$803.72,$0.00,$803.72
S2-12876,Approved,"Pamill Paving",713," 3HAEUMMP1NL291283","Staging Heavy Duty - 9919",,"186 days",,$0.00,$149.95,$137.45,$0.00,$137.45,$149.95,$287.40
Totals,,,,,,,,,"$81,468.60","$59,417.79","$103,102.97","$31,374.98","$184,571.57","$90,792.77","$275,364.34"
