"Locations: All locations"
"WO #",Status,Customer,Unit,VIN,Branch,Advisor,"Days Open","Last Activity","Labor Earned","Labor Remaining","Parts Earned","Parts Remaining",Earned,Remaining,Total
S3-15830,Approved,"Roriver Hauling",L07,1FTBR3U86RKA66814,"Staging Lethbridge - 4310","Jennifer Johnston","53 days","52d ago",$27.60,$32.40,$0.00,$0.00,$27.60,$32.40,$60.00
S3-15829,Approved,"Roriver Hauling","L01 / 460673",1FTBR3U88RKA69164,"Staging Lethbridge - 4310","Jennifer Johnston","53 days","51d ago",$30.00,$0.00,$0.00,$0.00,$30.00,$0.00,$30.00
S2-15824,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","53d ago",$0.00,$299.90,$550.00,$0.00,$550.00,$299.90,$849.90
S2-15823,Approved,"Quebridge Forestry",,NEEDVINGAS,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","52d ago",$352.99,$0.00,$0.97,$0.00,$353.96,$0.00,$353.96
S2-15818,Approved,"Xuside Supply",929,1HTMMAAP0DH195762,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago",$328.25,$249.07,$290.94,$186.24,$619.19,$435.31,"$1,054.50"
S2-15815,Approved,"Uospring Construction",,1XKAD49X7EJ965766,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago",$885.78,$684.55,$889.60,$0.00,"$1,775.38",$684.55,"$2,459.93"
S2-15811,Approved,"Brabay Maintenance",,1NPAXBEX56D885856,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","51d ago","$1,168.70",$580.00,$37.99,$0.00,"$1,206.69",$580.00,"$1,786.69"
S2-15807,Approved,"Euwood Distributors",Chevy,1GC1YNE79NF180261,"Staging Heavy Duty - 9919","Kimberly Barnes","54 days","52d ago",$0.00,$224.92,$149.19,$0.00,$149.19,$224.92,$374.11
S2-15787,Approved,"Ceview Builders",4,1NKDX4TX0CR955991,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$727.26,$97.47,$374.72,$241.40,"$1,101.98",$338.87,"$1,440.85"
S3-15785,Review,"Qiharbor Logistics",104,2FZACGBS58AZ07719,"Staging Lethbridge - 4310","Jennifer Johnston","55 days","52d ago",$263.91,$35.99,$61.87,$0.00,$325.78,$35.99,$361.77
S2-15777,Approved,"Iuborough Retail",,XUGB055UCPKA01650,"Staging Heavy Duty - 9919","Lauren Knight","55 days","51d ago","$1,124.92",$300.00,$205.62,$0.00,"$1,330.54",$300.00,"$1,630.54"
S2-15775,Approved,"Iuborough Retail",,XUGB055UEPKA01646,"Staging Heavy Duty - 9919","Lauren Knight","55 days","52d ago",$600.00,"$1,800.00",$23.00,$9.60,$623.00,"$1,809.60","$2,432.60"
S3-15769,Review,"Ragate Consulting",120,3ALPG3FMXRDUV4609,"Staging Lethbridge - 4310","Jennifer Johnston","55 days","54d ago",$435.44,$42.31,$0.00,$0.00,$435.44,$42.31,$477.75
S2-15767,Approved,"Oeport Landscaping","UNIT 1",1FVACYDT1GHGW9072,"Staging Heavy Duty - 9919","Kimberly Barnes","55 days","51d ago",$392.86,$71.98,$459.48,$0.00,$852.34,$71.98,$924.32
S2-15765,Approved,"Vishore Excavating",,1T0310SKADE247413,"Staging Heavy Duty - 9919","Lauren Knight","55 days","53d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-15762,Review,"Qodale Consulting",180,2M5121281R1226832,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$499.88,$0.00,$0.00,$0.00,$499.88,$0.00,$499.88
S2-15761,Approved,"Qodale Consulting",605,5KJJALD11KPKU6221,"Staging Heavy Duty - 9919","Bonnie Jones","55 days","51d ago",$868.87,"$3,356.40","$2,062.30",$0.00,"$2,931.17","$3,356.40","$6,287.57"
S2-15748,Approved,"Vuchester Retail",,79789048,"Staging Heavy Duty - 9919","Kimberly Barnes","56 days","53d ago",$0.00,$974.68,"$2,100.74",$0.00,"$2,100.74",$974.68,"$3,075.42"
S2-15743,Approved,"Euwood Paving",854,5SHFE4730MB001604,"Staging Heavy Duty - 9919","Bonnie Jones","56 days","51d ago",$164.95,"$1,402.08",$297.48,$91.92,$462.43,"$1,494.00","$1,956.43"
S2-15742,Approved,"Euwood Paving",854,1HTKTSWK4RH442544,"Staging Heavy Duty - 9919","Bonnie Jones","56 days","51d ago","$1,172.79",$287.01,"$1,579.16",$0.00,"$2,751.95",$287.01,"$3,038.96"
S2-15727,Approved,"Vuchester Retail",,80632,"Staging Heavy Duty - 9919",,"58 days","58d ago",$0.00,$978.75,$903.92,$0.00,$903.92,$978.75,"$1,882.67"
S2-15716,Approved,"Ceview Builders",8,1FVPG3DV6HHHM1551,"Staging Heavy Duty - 9919","Bonnie Jones","59 days","51d ago","$1,328.27","$1,175.91",$549.40,$888.21,"$1,877.67","$2,064.12","$3,941.79"
S3-15710,Approved,"Leview Builders",AB08,3AKJHHDR8LSLW0346,"Staging Lethbridge - 4310","Jennifer Johnston","59 days","59d ago",$59.97,$33.74,$0.00,$0.00,$59.97,$33.74,$93.71
S3-15703,Approved,"Enmill Design",SHUNT,2HSCEAER82C030796,"Staging Lethbridge - 4310","Jennifer Johnston","59 days","58d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-15699,Approved,"Vuchester Retail",,JCB5CH7GEM2994450,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","54d ago",$787.35,$82.65,$857.25,"$1,551.21","$1,644.60","$1,633.86","$3,278.46"
S2-15683,Approved,"Vuchester Retail",,1A9CT7438FA427014,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","53d ago",$0.00,"$2,652.50",$97.23,$0.00,$97.23,"$2,652.50","$2,749.73"
S2-15681,Approved,"Vuchester Retail",,1A9BR5018FC427006,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","51d ago","$5,299.30","$9,579.60","$3,420.88",$80.32,"$8,720.18","$9,659.92","$18,380.10"
S2-15678,Approved,"Vuchester Retail",,1A9BC5813FC427002,"Staging Heavy Duty - 9919","Kimberly Barnes","59 days","51d ago",$437.55,"$4,824.95",$0.00,$0.00,$437.55,"$4,824.95","$5,262.50"
S2-15676,Approved,"Depark Paving",708,1NPTX4TX3GD295115,"Staging Heavy Duty - 9919","Bonnie Jones","59 days","51d ago","$2,934.45","$1,916.65","$3,382.02",$261.08,"$6,316.47","$2,177.73","$8,494.20"
S2-15673,Approved,"Cogate Electrical",,SHOP,"Staging Heavy Duty - 9919","Frank Pierce","59 days","51d ago",$0.00,$0.00,$118.08,$633.54,$118.08,$633.54,$751.62
S3-15670,Approved,"Heharbor Mechanical",M-000141,XUG26T52EPDB00022,"Staging Lethbridge - 4310","Stephanie Cain","60 days","53d ago",$862.13,$177.55,$0.00,$67.27,$862.13,$244.82,"$1,106.95"
S3-15664,Approved,"Ragate Consulting",127,1XKDD40X7KJ999101,"Staging Lethbridge - 4310","Jennifer Johnston","60 days","59d ago",$178.82,$503.68,"$1,509.66",$0.00,"$1,688.48",$503.68,"$2,192.16"
S3-15660,Approved,"Heharbor Mechanical",M-000001,XUGH035UPSKA06549,"Staging Lethbridge - 4310","Stephanie Cain","60 days","59d ago",$868.53,$171.15,$0.00,$0.00,$868.53,$171.15,"$1,039.68"
S2-15658,Approved,"Vuchester Retail",10159470,1T0324GMCSJ474438,"Staging Heavy Duty - 9919","Bonnie Jones","60 days","60d ago",$0.00,$290.00,$192.69,$0.00,$192.69,$290.00,$482.69
S3-15650,Approved,"Enmill Design",Suga,1FT8W3BT2FEB27094,"Staging Lethbridge - 4310","Taylor Kelley","60 days","51d ago",$0.00,$0.00,$131.04,$16.00,$131.04,$16.00,$147.04
S3-15641,Approved,"Enmill Design","DUMP TRAILER","DUMPTRAILER ","Staging Lethbridge - 4310","Taylor Kelley","60 days","60d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-15625,Approved,"Guland Excavating",,VF0001121,"Staging Heavy Duty - 9919","Kimberly Barnes","61 days","51d ago",$0.00,"$1,631.51",$884.06,"$1,292.80",$884.06,"$2,924.31","$3,808.37"
S2-15621,Approved,"Wovale Systems",A5103R,1FVPG3DV2FHGC4381,"Staging Heavy Duty - 9919","Bonnie Jones","61 days","51d ago","$4,368.03","$3,594.30","$6,704.23","$6,272.31","$11,072.26","$9,866.61","$20,938.87"
S3-15607,Approved,"Iacrest Consulting",2109,,"Staging Lethbridge - 4310","Jennifer Johnston","61 days","55d ago",$299.90,$112.46,$127.89,$0.00,$427.79,$112.46,$540.25
S2-15603,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919","Bonnie Jones","61 days","53d ago",$0.00,$0.00,$530.46,$0.00,$530.46,$0.00,$530.46
S2-15599,Approved,"Wovale Systems",20,1FVPGNDVXBDBB4602,"Staging Heavy Duty - 9919",,"61 days","61d ago",$209.93,$14.99,$0.00,$81.86,$209.93,$96.85,$306.78
S2-15593,Approved,"Xamont Holdings",,"WINCH ASSEMBLY ","Staging Heavy Duty - 9919","Bonnie Jones","62 days","52d ago",$599.80,$299.90,$0.00,$0.00,$599.80,$299.90,$899.70
S3-15588,Approved,"Viboro Technology",6362,1FDSE3EL6EDA10431,"Staging Lethbridge - 4310","Jennifer Johnston","62 days","58d ago",$0.00,$0.00,$21.92,$0.00,$21.92,$0.00,$21.92
S2-15586,Approved,"Buspring Holdings",78,1GDL7F1356F426157,"Staging Heavy Duty - 9919","Bonnie Jones","62 days","51d ago","$1,601.46","$3,871.72","$9,095.08","$9,028.36","$10,696.54","$12,900.08","$23,596.62"
S2-15574,Approved,"Fuline Enterprises","ST-24 TERRY",1FD0X5HT2PEE00545,"Staging Heavy Duty - 9919","Kimberly Barnes","62 days","53d ago",$344.88,$0.00,$20.37,$137.10,$365.25,$137.10,$502.35
S2-15544,Approved,"Auline Consulting",1,54DC4W1B9ES801599,"Staging Heavy Duty - 9919","Lauren Knight","63 days","52d ago",$0.00,$0.00,$333.91,$0.00,$333.91,$0.00,$333.91
S3-15534,Approved,"Roriver Hauling",RHAY-08,1FTBF8X80SKA79436,"Staging Lethbridge - 4310","Jennifer Johnston","63 days","52d ago",$60.00,$75.00,$484.84,$0.00,$544.84,$75.00,$619.84
S2-15526,Approved,"Zehampton Distributors",,2AUYT82J1N3000050,"Staging Heavy Duty - 9919","Lauren Knight","63 days","63d ago",$0.00,$0.00,$115.39,$0.00,$115.39,$0.00,$115.39
S2-15520,Approved,"Quahaven Mining",,DAMAGED,"Staging Heavy Duty - 9919",,"64 days","51d ago",$0.00,$0.00,"$1,382.00",$0.00,"$1,382.00",$0.00,"$1,382.00"
S2-15519,Approved,"Fuline Enterprises",ST-25,1FD0X5HT5PEE01396,"Staging Heavy Duty - 9919",,"64 days","64d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S3-15513,Approved,"Aosquare Forestry",80,1XKWDR9X2WJ949172,"Staging Lethbridge - 4310","Taylor Kelley","65 days","63d ago",$0.00,$749.75,$386.34,$0.00,$386.34,$749.75,"$1,136.09"
S2-15496,Approved,"Vuchester Retail",10151626,3GTNUAEK7NG672103,"Staging Heavy Duty - 9919","Bonnie Jones","66 days","55d ago",$0.00,$0.00,$0.00,$62.28,$0.00,$62.28,$62.28
S2-15493,Approved,"Vuchester Retail",10145309,3GTN9AEH9KG209011,"Staging Heavy Duty - 9919","Bonnie Jones","66 days","52d ago",$0.00,"$1,232.50","$1,398.65",$0.00,"$1,398.65","$1,232.50","$2,631.15"
S3-15491,Approved,"Robay Builders",,1FVABTAK43HK53543,"Staging Lethbridge - 4310","Jennifer Johnston","66 days","54d ago",$199.43,$212.93,"$1,506.08",$0.00,"$1,705.51",$212.93,"$1,918.44"
S3-15421,Approved,"Ragate Consulting",128,3ALPG3DV8TDWF7030,"Staging Lethbridge - 4310","Jennifer Johnston","68 days","52d ago","$1,165.72",$656.56,"$2,643.69","$1,267.68","$3,809.41","$1,924.24","$5,733.65"
S2-15412,Approved,"Wamarket Plumbing",,1XPXD49X5RD669444,"Staging Heavy Duty - 9919","Kimberly Barnes","68 days","65d ago",$0.00,$224.92,$198.00,$0.00,$198.00,$224.92,$422.92
S3-15411,Approved,"Peton Hauling",,4UZAARFD0MCML0224,"Staging Lethbridge - 4310",,"68 days","68d ago",$159.95,$0.00,$40.56,$0.00,$200.51,$0.00,$200.51
S2-15400,Approved,"Vuchester Retail",10151175,1T0324GKVMJ411763,"Staging Heavy Duty - 9919","Bonnie Jones","68 days","51d ago","$5,433.15","$4,601.55","$5,215.47",$260.45,"$10,648.62","$4,862.00","$15,510.62"
S2-15382,Approved,"Kubridge Design",,1HA3GSCG8HN008497,"Staging Heavy Duty - 9919","Bonnie Jones","69 days","55d ago","$3,897.20",$20.99,"$3,046.05",$0.00,"$6,943.25",$20.99,"$6,964.24"
S3-15375,Approved,"Roriver Hauling",L35,1FTBR3U82NKA27471,"Staging Lethbridge - 4310","Jennifer Johnston","69 days","61d ago",$267.54,$212.34,$739.11,$375.00,"$1,006.65",$587.34,"$1,593.99"
S3-15363,Review,"Xaview Holdings",8804-003,345287,"Staging Lethbridge - 4310","Jennifer Johnston","70 days","67d ago",$94.40,$65.60,$0.00,$0.00,$94.40,$65.60,$160.00
S2-15342,Approved,"Wuwick Apparel",,2NKMHZ8X57M931136,"Staging Heavy Duty - 9919","Kimberly Barnes","72 days","59d ago",$244.13,"$1,075.47","$1,720.44",$0.00,"$1,964.57","$1,075.47","$3,040.04"
S2-15318,Approved,"Tistone Beverages",,1HTGSSNT8GH006022,"Staging Heavy Duty - 9919","Bonnie Jones","74 days","51d ago","$3,216.53",$742.28,"$10,510.84",$0.00,"$13,727.37",$742.28,"$14,469.65"
S3-15309,Approved,"Dugrove Media",,4U3J05334ML019572,"Staging Lethbridge - 4310","Taylor Kelley","74 days","74d ago",$49.58,$110.37,$0.00,$0.00,$49.58,$110.37,$159.95
S2-15299,Approved,"Xiriver Apparel",24069,3HSDZAPT9KN042164,"Staging Heavy Duty - 9919","Bonnie Jones","74 days","51d ago","$2,044.47","$1,236.09","$3,445.89",$0.00,"$5,490.36","$1,236.09","$6,726.45"
S2-15273,Approved,"Helake Retail",88,1FD0W5HY6HEE75247,"Staging Heavy Duty - 9919","Kimberly Barnes","75 days","60d ago",$811.23,$238.42,$0.00,"$3,185.78",$811.23,"$3,424.20","$4,235.43"
S3-15251,Approved,"Oiwell Hauling",,3VWE57BU4MM017738,"Staging Lethbridge - 4310","Taylor Kelley","75 days","75d ago",$0.00,$239.92,$414.06,$0.00,$414.06,$239.92,$653.98
S3-15203,Approved,"Geview Towing",,1XPBDP9X7KD260041,"Staging Lethbridge - 4310","Jennifer Johnston","80 days","51d ago",$840.00,$0.00,$157.14,$0.00,$997.14,$0.00,$997.14
S3-15162,Approved,"Creplains Ventures","trash compactor","TRASH COMPACTOR","Staging Lethbridge - 4310","Ryan Brown","81 days","53d ago",$0.00,$0.00,$603.07,$0.00,$603.07,$0.00,$603.07
S3-15143,Approved,"Enmill Design",AMMON,,"Staging Lethbridge - 4310","Jennifer Johnston","81 days","81d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S3-15141,Approved,"Gaburg Technology","UNIT 2",1XKDD40X6DJ960115,"Staging Lethbridge - 4310","Jennifer Johnston","81 days","51d ago","$1,385.17","$2,163.82","$3,968.31",$128.64,"$5,353.48","$2,292.46","$7,645.94"
S2-15113,Approved,"Vuchester Retail",,KMTPC192J54A10126,"Staging Heavy Duty - 9919","Kimberly Barnes","82 days","66d ago",$4.35,$140.65,$0.00,$267.86,$4.35,$408.51,$412.86
S2-15043,Approved,"Helake Retail",97,1FTBW2YM8KKA53899,"Staging Heavy Duty - 9919","Kimberly Barnes","84 days","63d ago","$4,571.98",$115.46,"$1,712.87",$224.82,"$6,284.85",$340.28,"$6,625.13"
S3-14988,Approved,"Sacastle Hauling",,3C6RR7KT2GG289621,"Staging Lethbridge - 4310","Taylor Kelley","87 days","59d ago",$134.95,$294.90,"$1,139.94",$0.00,"$1,274.89",$294.90,"$1,569.79"
S2-14972,Approved,"Ceview Builders",10,1FVPG3DV5MHMX2577,"Staging Heavy Duty - 9919","Bonnie Jones","87 days","87d ago",$328.39,$271.41,$0.00,$0.00,$328.39,$271.41,$599.80
S3-14693,Review,"Heharbor Mechanical",M-000037,XUG0SV12ESCB07135,"Staging Lethbridge - 4310","Stephanie Cain","98 days","96d ago",$79.98,$0.00,$0.00,$0.00,$79.98,$0.00,$79.98
S3-14692,Review,"Heharbor Mechanical",M-000032,XUG0TV12VSCB07112,"Staging Lethbridge - 4310","Stephanie Cain","98 days","96d ago",$79.98,$0.00,$0.00,$0.00,$79.98,$0.00,$79.98
S3-14691,Review,"Heharbor Mechanical",M-000020,XUGB0805JRKA00475,"Staging Lethbridge - 4310","Stephanie Cain","98 days","76d ago",$217.53,$6.40,$0.00,$0.00,$217.53,$6.40,$223.93
S3-14690,Review,"Heharbor Mechanical",M-000002,XUGH035UVSKA06671,"Staging Lethbridge - 4310","Stephanie Cain","98 days","59d ago",$79.98,$0.00,$0.00,$0.00,$79.98,$0.00,$79.98
S2-14638,Approved,"Fuline Enterprises",ST-20,1FD0X5HT6PED27440,"Staging Heavy Duty - 9919","Frank Pierce","102 days","62d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S3-14591,Approved,"Heharbor Mechanical",M-000098,XUGA300BVPKA00079,"Staging Lethbridge - 4310","Stephanie Cain","103 days","69d ago","$1,773.83",$510.44,"$1,671.76",$0.00,"$3,445.59",$510.44,"$3,956.03"
S3-14548,Review,"Heharbor Mechanical",M-000098,XUGA300BVPKA00079,"Staging Lethbridge - 4310","Stephanie Cain","104 days","97d ago",$138.46,$16.50,$0.00,$0.00,$138.46,$16.50,$154.96
S3-14543,Review,"Heharbor Mechanical",M-000017,XUGB055UHNKA00797,"Staging Lethbridge - 4310","Stephanie Cain","105 days","97d ago",$159.96,$0.00,$0.00,$0.00,$159.96,$0.00,$159.96
S2-14531,Approved,"Wuwick Apparel",,2NKMHZ8X57M931136,"Staging Heavy Duty - 9919","Kimberly Barnes","105 days","52d ago","$11,560.96",$716.98,"$5,502.25","$3,232.65","$17,063.21","$3,949.63","$21,012.84"
S2-14527,Approved,"Qispring Rentals",,GHL0V400E00151254,"Staging Heavy Duty - 9919","Bonnie Jones","105 days","51d ago","$5,980.00",$64.48,"$1,133.79",$0.00,"$7,113.79",$64.48,"$7,178.27"
S2-14512,Approved,"Xamont Holdings",70010312,3FRPF7FC6FV680089,"Staging Heavy Duty - 9919","Kimberly Barnes","107 days","51d ago","$3,112.97","$1,291.07","$8,097.72",$0.00,"$11,210.69","$1,291.07","$12,501.76"
S3-14462,Approved,"Tupoint Enterprises",977272,1HA37TCG9HN000043,"Staging Lethbridge - 4310","Jennifer Johnston","109 days","73d ago",$0.00,"$1,199.60","$2,547.00",$0.00,"$2,547.00","$1,199.60","$3,746.60"
S3-14362,Approved,"Auton Rentals",,1GDL7C1C21J503507,"Staging Lethbridge - 4310",,"112 days","52d ago","$3,573.33",$520.34,"$1,237.25",$434.15,"$4,810.58",$954.49,"$5,765.07"
S3-14333,Approved,"Mustone Beverages","IM DADDY","DADDYS MONEY","Staging Lethbridge - 4310","Ryan Brown","115 days","54d ago",$0.00,$0.00,"$1,935.50",$0.00,"$1,935.50",$0.00,"$1,935.50"
S2-14294,Approved,"Zuline Builders",22791,1NPCL40X5JD489071,"Staging Heavy Duty - 9919",,"116 days",,$70.48,$79.47,$578.22,$0.00,$648.70,$79.47,$728.17
S3-14242,Approved,"Roridge Holdings",C46,C46,"Staging Lethbridge - 4310","Jennifer Johnston","118 days","105d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S2-14209,Approved,"Kastone Solutions",HE2-001,EZW02957,"Staging Heavy Duty - 9919","Bonnie Jones","119 days","52d ago","$3,372.38","$1,523.49","$5,944.38","$1,645.58","$9,316.76","$3,169.07","$12,485.83"
S2-14158,Approved,"Brabay Maintenance",,C44ECN300699,"Staging Heavy Duty - 9919","Kimberly Barnes","124 days","51d ago","$8,615.90","$1,206.40","$15,631.93",$532.72,"$24,247.83","$1,739.12","$25,986.95"
S3-14083,Approved,"Euland Maintenance",,NONE4,"Staging Lethbridge - 4310","Ryan Brown","129 days","91d ago",$0.00,$0.00,$194.57,$0.00,$194.57,$0.00,$194.57
S3-13966,Approved,"Quariver Works",,BLDG,"Staging Lethbridge - 4310","Ryan Brown","135 days","55d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S3-13772,Approved,"Weview Landscaping",,12342,"Staging Lethbridge - 4310","Ryan Brown","143 days","62d ago",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
S3-13655,Approved,"Eoson Solutions",86,,"Staging Lethbridge - 4310","Jennifer Johnston","150 days",,$28.79,$11.20,$10.20,$0.00,$38.99,$11.20,$50.19
S2-13556,Approved,"Uemill Excavating",,0300106435,"Staging Heavy Duty - 9919",,"153 days",,$0.00,$412.38,$87.44,$5.28,$87.44,$417.66,$505.10
S2-13163,Approved,"Xamont Holdings",70061328,2NKHLJ9X6LM965595,"Staging Heavy Duty - 9919","Kimberly Barnes","172 days",,$0.00,$869.70,$59.97,$0.00,$59.97,$869.70,$929.67
S2-13053,Approved,"Goport Energy",,10BAZ6215TF0A6047,"Staging Heavy Duty - 9919","Kimberly Barnes","178 days","59d ago",$278.45,$11.50,$0.00,$0.00,$278.45,$11.50,$289.95
S2-13014,Approved,"Fuline Enterprises",G30,12-06696,"Staging Heavy Duty - 9919","Bonnie Jones","179 days","55d ago",$494.85,$0.00,$308.87,$0.00,$803.72,$0.00,$803.72
S2-12876,Approved,"Pamill Paving",713," 3HAEUMMP1NL291283","Staging Heavy Duty - 9919",,"186 days",,$0.00,$149.95,$137.45,$0.00,$137.45,$149.95,$287.40
S3-12856,Approved,"Niburg Fabrication",,"BULK PARTS1","Staging Lethbridge - 4310","Alexander Cohen","187 days","89d ago",$0.00,$0.00,"$1,688.74",$0.00,"$1,688.74",$0.00,"$1,688.74"
Totals,,,,,,,,,"$95,529.18","$67,766.94","$126,459.77","$33,663.72","$221,988.95","$101,430.66","$323,419.61"
