ID,Area,Story Ref,Title,Priority,Type,Permissions,Preconditions,Steps,Expected Result,Design Ref,VIU Status,Notes,TestRail Case ID,TestRail Link
SF-SET-11,Work Order Settings,S1 AC (non-admin can't see/modify),Verify a non-admin user cannot see or modify the Work Order settings,High,Permissions,"App Settings permission (system defaults: Admin, Service Manager, Office). A role WITHOUT App Settings (e.g. Service Advisor / Technician) is required for this negative.","1. A user without the App Settings permission (e.g. Service Advisor or Technician) exists for this org.
2. You can sign in as that user.","1. Sign in as a role without the App Settings permission (e.g. Technician).
2. Try to open /administration/settings and reach the Work Orders tab.
3. Try to save a Work Order setting change (including a direct API save via POST /api/organizations/settings/change).","1. The role without App Settings cannot reach the Work Orders settings (redirected away by the app).
2. That role cannot save Work Order settings.
3. The backend rejects a Work Order settings save from that role with HTTP 403.",requirements S1 AC / §9 (App Settings gate),VIU-Verified,Wording+VIU 2026-07-13: Technician quick-login -> POST /api/organizations/settings/change = 403 (admin = 200). FE redirects tech away from the settings route. Non-admin cannot save WO settings. Prior: 2026-07-07.,29285,https://shopview.testrail.io/index.php?/cases/view/29285
SF-SET-12,Work Order Settings,S1 AC (no requireVin / no operatingMode field),Verify the settings model contains no operatingMode field and no requireVin setting,Low,Functional,Admin (API access).,"1. Signed in as Admin with API access.
2. You can call GET /api/organizations/settings.","1. Call GET /api/organizations/settings.
2. Inspect the returned object keys for 'operatingMode'.
3. Inspect for a 'requireVin' Work Order setting.","1. There is no operatingMode field in the settings object.
2. There is no requireVin Work Order setting exposed.",requirements §4 Key Decisions,VIU-Verified,"Wording+VIU 2026-07-13: GET /api/organizations/settings keys = id, organizationId, requireMileage, requireHours, requireTechStories, requireVehicleIdentifier, vehicleIdentifier, autoPickInventoryParts, autoApproveLines, requireVendorInvoiceNumber, requireReview. No operatingMode, no requireVin. Prior: 2026-07-06.",29286,https://shopview.testrail.io/index.php?/cases/view/29286
SF-SET-13,Work Order Settings,S1 (Save dirty-state),Verify the Save Settings button is only enabled when there is an unsaved change,Low,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab with no pending changes.","1. With no changes made, look at the Save Settings button.
2. Flip a toggle and look at the Save Settings button again.","1. Saving changes with the 'Save Settings' button persists the settings.
2. It is acceptable in v1 for 'Save Settings' to stay enabled even with no unsaved change (there is no dirty-state gating; this is a low-priority polish, not a blocker).",Workflow Settings.html,VIU-Verified,"Wording+VIU 2026-07-13 (SET-workorders-tab.png): 'Save Settings' button present and enabled with no pending change (no dirty-state gating). Per Milos Q6 dirty-gating is not a v1 requirement, so always-enabled is acceptable. Prior: 2026-07-06.",29287,https://shopview.testrail.io/index.php?/cases/view/29287
SF-SET-14,Work Order Settings,S1-R4 (Require review before completion),Verify the Require Review Before Completion toggle is present on the settings page and drives the review flow,High,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.","1. Locate the 'Require Review Before Completion' toggle.
2. Turn it On and Save.
3. Start completing a work order and observe the completion CTA.","1. The 'Require Review Before Completion' toggle is present on the Work Orders tab.
2. With it On, completing a ready work order uses the review flow: the primary action becomes 'Send To Review' and the work order goes to 'Review' with a 'Ready for Review' indicator instead of completing immediately.
3. (For a work order that still has parts to order or receive, the button stays 'Complete Work Order' and opens the completion wizard first.)",Workflow Settings.html; WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13 (S2-15823 live): toggle present with helper text 'Work orders must be reviewed and signed off before they can be completed'. Corrected the CTA label: the ready-WO action relabels to 'Send To Review' (confirmed live), not 'Complete & Send to Review'. Routes to 'Review' status + 'Ready for Review'.",29288,https://shopview.testrail.io/index.php?/cases/view/29288
SF-SET-15,Work Order Settings,S1 AC (helper text per toggle),Verify every Work Order setting toggle has descriptive helper text,Low,Functional,Admin / owner (settings area).,"1. Signed in as Admin.
2. On /administration/settings → Work Orders tab.","1. Read each toggle's supporting description text.
2. Confirm each explains what On vs Off does.","1. Every Work Orders toggle has a short description under it.
2. Each description explains what turning the toggle On or Off does, in plain language.",Workflow Settings.html,VIU-Verified,Wording+VIU 2026-07-13 (SET-workorders-tab.png): all 7 toggles carry helper text (captured verbatim in wording-glossary-2026-07-13.md). Prior: 2026-07-06.,29289,https://shopview.testrail.io/index.php?/cases/view/29289
SF-COMP-01,Completion — No-PO / Skip (Story 2),S2-R1,Verify a Complete Work Order button appears next to New Line on the work order,Critical,Functional,Work Order edit access (completion permission TBD — see Open Questions).,"1. Signed in as Admin.
2. An open work order with at least one approved line is on its Lines tab.","1. Look at the work order Lines toolbar.
2. Locate the New Line button.
3. Locate the Complete Work Order button.","1. A 'Complete Work Order' button is present.
2. It sits near the New Line action on the work order.",WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13: completion surface re-confirmed live (COMP-A-02-modal.png / COMP-B-02-modal.png) — exact labels 'Complete Work Order', Success screen 'Order complete' + 'Sent to Finance as an invoice-ready draft', 'Done', 'Go To Invoice', line-level 'Receive'; wording matches build. 'New Line' and 'Complete Work Order' buttons sit together in the WO Lines toolbar.",29290,https://shopview.testrail.io/index.php?/cases/view/29290
SF-COMP-02,Completion — No-PO / Skip (Story 2),S2-R2 / S2-R3 / S2-R4,Verify a work order with no parts completes in one confirm and reaches the Success screen,Critical,Functional,Work Order edit access.,"1. Signed in as Admin.
2. An open work order with a single labor-only, approved line exists (no parts).
3. Required-field settings for this org are known (e.g. Require Mileage ON).","1. On the work order Lines tab, click Complete Work Order.
2. If a tech-story modal appears first, enter a story and click Continue.
3. In the Details step, enter any required fields (e.g. Mileage).
4. Click Complete Work Order in the wizard.","1. There is no PO / receive / invoice step for a no-parts work order (wizard = Details → Success).
2. The Success screen appears reading 'Order complete' and 'Sent to Finance as an invoice-ready draft'.
3. All lines move to Completed and the work order status becomes Complete.",WO Review Flow.html; check-wizard.png,VIU-Verified,"Run-325 re-verify 2026-07-14 (Ayesha's Fail RESOLVED = FALSE/STALE failure): drove a fresh labor-only approved-line WO (S-15839) live. Clicking 'Complete Work Order' on the Lines tab went straight to the Success screen in ONE confirm (single POST /api/work-orders/{id}/simple-complete -> 201), no PO/receive/invoice step. Success screen read 'Order complete' + 'Sent to Finance as an invoice-ready draft' with 'Done' / 'Go To Invoice' buttons; WO status -> Complete and the line -> complete (API-confirmed). Matches expected exactly; VIU-Verified reaffirmed. Evidence: screenshots/run325-reverify-2026-07-13/COMP02-01-open.png. Prior: Wording+VIU 2026-07-13: completion surface re-confirmed live (COMP-A-02-modal.png / COMP-B-02-modal.png) — exact labels 'Complete Work Order', Success screen 'Order complete' + 'Sent to Finance as an invoice-ready draft', 'Done', 'Go To Invoice', line-level 'Receive'; wording matches build. Labor-only WO completed Details->Success with no receive step (drove S2-15795 / S2-15825 to Success live 2026-07-13).",29291,https://shopview.testrail.io/index.php?/cases/view/29291
SF-COMP-03,Completion — No-PO / Skip (Story 2),S2-R4 / S2-R5 / S15-R3,Verify the Success screen shows the work order number and total with Done and Go to Invoice actions,High,Functional,Work Order edit access.,"1. Signed in as Admin.
2. You have just completed a work order and are on the Success screen.","1. Read the work order number on the Success screen.
2. Read the total shown.
3. Identify the Done and Go To Invoice buttons.","1. The Success screen shows the work order number (e.g. S2-15747).
2. It shows the invoice total (e.g. $382.77).
3. Both a Done and a Go To Invoice button are present.",WO Review Flow.html; check-wizard.png,VIU-Verified,"Wording+VIU 2026-07-13: completion surface re-confirmed live (COMP-A-02-modal.png / COMP-B-02-modal.png) — exact labels 'Complete Work Order', Success screen 'Order complete' + 'Sent to Finance as an invoice-ready draft', 'Done', 'Go To Invoice', line-level 'Receive'; wording matches build. Success screen showed WO number + 'Invoice total $434.95' with 'Done' and 'Go To Invoice' (S2-15825, live 2026-07-13).",29292,https://shopview.testrail.io/index.php?/cases/view/29292
SF-COMP-04,Completion — No-PO / Skip (Story 2),S2-R5 / S15-R3,Verify Go to Invoice from the Success screen opens the Finance step where the invoice number is shown,Medium,Functional,Work Order edit access + Finance/invoice access.,"1. Signed in as Admin.
2. You are on the Success screen of a just-completed work order.","1. Click Go To Invoice.
2. Observe the destination screen.
3. Look for the invoice number.","1. You are taken to the Finance / invoice step for that work order.
2. The invoice number is shown on the Finance step (not on the Success screen).",WO Review Flow.html; requirements S15-R3,VIU-Verified,"Wording+VIU 2026-07-13: completion surface re-confirmed live (COMP-A-02-modal.png / COMP-B-02-modal.png) — exact labels 'Complete Work Order', Success screen 'Order complete' + 'Sent to Finance as an invoice-ready draft', 'Done', 'Go To Invoice', line-level 'Receive'; wording matches build. 'Go To Invoice' present on Success; Finance step per prior drive.",29293,https://shopview.testrail.io/index.php?/cases/view/29293
SF-COMP-05,Completion — No-PO / Skip (Story 2),S2-R2 / S2 AC (missing required fields blocked),Verify completion is blocked when a required vehicle field is missing,High,Negative,Work Order edit access.,"1. Signed in as Admin.
2. Require Mileage (or another required field) is ON.
3. An open work order with an approved line and NO mileage recorded is ready to complete.","1. Click Complete Work Order.
2. In the Details step, leave the required field (e.g. Mileage) empty.
3. Attempt to confirm completion.","1. Completion is blocked while the required field is empty.
2. The user is prompted to supply the missing required field.
3. Completion proceeds only after the required field is filled.",WO Review Flow.html (Details step),VIU-Verified,Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — required-vehicle-field block (needs Require Mileage ON + missing value) per 2026-07-06 drive; not re-driven this session to limit settings churn on the shared env.,29294,https://shopview.testrail.io/index.php?/cases/view/29294
SF-COMP-06,Completion — No-PO / Skip (Story 2),S2-R6 / S2 AC (Create POs off ⇒ no PO),"Verify with Create POs OFF a work order with vendor parts completes with no PO, no vendor bill and no AP sync",High,Functional,Admin / owner (settings) + Work Order edit access.,"1. Signed in as Admin.
2. Create Purchase Orders is set to OFF (see SF-SET-03).
3. An open work order with an approved vendor-part line exists.","1. Complete the work order in one confirm.
2. Check whether any PO was created.
3. Check for any vendor bill / AP sync.","1. No purchase order is created for the vendor part.
2. No vendor bill and no accounts-payable sync happen.
3. The vendor/found part is received at request time only (no catalog or inventory sync).",requirements §4 / §5; S2-R6,VIU-observed-awaiting-Milos,"VIU-observed 2026-07-14 (awaiting Milos Q5). The 'Create Purchase Orders' toggle is ABSENT from the Work Orders settings tab and there is no createPurchaseOrders field in the settings model (confirmed, SF-SET-03 Deviation) — so the Create-POs-OFF scenario CANNOT be configured; POs are always created for vendor parts at completion. Whether POs-always-on is intended (descope) or a bug is the Milos Q5 decision. No pass/fail asserted.",29295,https://shopview.testrail.io/index.php?/cases/view/29295
SF-COMP-07,Completion — No-PO / Skip (Story 2),S2-R6 / §5 invariant 1,Verify in-stock inventory parts decrement inventory and write Part History on simple completion,High,Functional,Work Order edit access + Inventory visibility.,"1. Signed in as Admin.
2. An open work order has an approved in-stock inventory part line.
3. Note the part's current on-hand quantity.","1. Complete the work order via the simple (skip) flow.
2. Check the inventory on-hand quantity for that part.
3. Check the part's Part History.","1. The in-stock part's on-hand quantity decrements by the used amount.
2. A Part History entry is written for the movement.
3. The skip path does not bypass inventory movement / Part History.",requirements §5 invariant 1,VIU-Verified,"Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — in-stock inventory decrement + Part History on simple completion (FV-comp08/decrement, 2026-07-10).",29296,https://shopview.testrail.io/index.php?/cases/view/29296
SF-COMP-08,Completion — No-PO / Skip (Story 2),S2-R2 / S2 AC (auto-pick off ⇒ pick in modal),Verify with Auto-pick Inventory OFF the completion modal requires picking parts before Complete,Medium,Functional,Admin / owner (settings) + Work Order edit access.,"1. Signed in as Admin.
2. Automatically Pick Inventory Parts is OFF and saved.
3. An open work order with an approved inventory-part line exists.","1. Click Complete Work Order.
2. Observe the Pick step in the completion modal.
3. Try to continue without picking, then pick and continue.","1. A Pick step appears offering 'Pick all from default bins' and 'Review individually'.
2. You cannot complete until inventory parts are picked.
3. After picking, completion can proceed.",Pick Parts Step.html,VIU-Verified,"Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — Auto-pick OFF -> Pick step ('Pick all from default bins' / 'Review individually'), FV-comp08-wizard1/2.png (2026-07-10).",29297,https://shopview.testrail.io/index.php?/cases/view/29297
SF-COMP-09,Completion — No-PO / Skip (Story 2),S2-R6 / S2 AC (re-open returns to Approved); S16-R12 (auto-complete on re-resolve),Verify adding a new line to a completed work order returns it to Approved,Medium,Functional,Work Order edit access.,"1. Signed in as Admin.
2. A work order is in Complete status.","1. Open the completed work order.
2. Add a New Line.
3. Observe the work order status.","1. The work order status returns to Approved.
2. On the next completion, the modal summarizes already-received vs newly-added parts.
3. When you resolve the last open line again, the work order follows the current settings: with Require Review off it moves to Complete on its own; with Require Review on it moves to Ready for Review.",WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — adding a line to a completed WO returns it to Approved (2026-07-06). | Δ5/R12 clause added 2026-07-14: after reopen, re-resolving the last open line auto-Completes (review OFF) or routes to Ready for Review (review ON) — same auto-complete trigger verified in SF-AUTO-01/05.",29298,https://shopview.testrail.io/index.php?/cases/view/29298
SF-COMP-10,Completion — No-PO / Skip (Story 2),S2 AC (individual-line Complete + per-part receive kept),Verify individual-line Complete and per-part receive actions still work alongside Simple completion,Medium,Functional,Work Order edit access.,"1. Signed in as Admin.
2. An open work order with multiple lines and a receivable part exists.","1. Complete one individual line on the work order.
2. Perform a per-part receive action on a line's part.
3. Confirm the line-level Receive button is present.","1. An individual line can still be completed on its own.
2. The existing per-part receive action still works.
3. A line-level Receive button remains available.",requirements §4 KEEP list,VIU-Verified,Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — line-level Complete + per-part Receive still work (line 'Receive' button confirmed live 2026-07-13).,29299,https://shopview.testrail.io/index.php?/cases/view/29299
SF-COMP-11,Completion — PO + Optional Invoice (Story 3),S3-R4,"Verify the optional-invoice completion wizard offers Receive Parts, Complete Without Receiving and Cancel",Critical,Functional,Admin / owner (settings) + Work Order edit access.,"1. Signed in as Admin.
2. Require Vendor Invoice Number is OFF (Optional).
3. An open work order with an approved part-bearing line exists.","1. Click Complete Work Order.
2. Observe the wizard actions.","1. The wizard shows a Receive step (e.g. 'N parts waiting to receive').
2. The actions are Cancel, Complete Without Receiving, and Receive Parts.
3. If one of the waiting parts is a special-order core, a Resolve cores screen appears before this choice; once every core is decided (OK / Not OK), Complete Without Receiving stays available — only an undecided core blocks completing (see SF-CORE-03).",WO Review Flow.html,VIU-Verified,"Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — optional-invoice wizard actions Cancel / Complete Without Receiving / Receive Parts + 'N parts waiting to receive' (FV-comp13-receivestep.png, 2026-07-10). | Core caveat RE-ALIGNED 2026-07-17 to spec `_4` (V2.6) Story 18 C-R1/C-R4: the 2026-07-14 design-#4 'disabled until the core is received' caveat is superseded — a Resolve cores screen precedes the choice and only an UNDECIDED core blocks. Base actions remain VIU-Verified; the core leg is spec-sourced and stays Blocked-Env (special-order core not seedable; SV-8353 build likely not deployed).",29300,https://shopview.testrail.io/index.php?/cases/view/29300
SF-COMP-12,Completion — PO + Optional Invoice (Story 3),S3-R1 / S3-R2 / S3-R9,Verify the optional-invoice modal creates POs in the background and shows the count of parts to receive,High,Functional,Admin / owner (settings) + Work Order edit access.,"1. Signed in as Admin.
2. Require Vendor Invoice Number is OFF (Optional).
3. An open work order with two approved vendor-part lines exists.","1. Click Complete Work Order.
2. Read the parts-to-receive count in the modal.
3. Check that POs were created in the background for the vendor parts.","1. The modal shows the number of parts waiting to receive (e.g. '2 parts waiting to receive').
2. Background POs are created for the vendor parts (a vendorless / sell-price-only part goes on the work order's PO flagged Vendor Missing).
3. All approved-line parts are actually ordered and reach waiting-to-receive, so 'Receive Parts' always has something to receive.
4. No approved part is left in 'requested' and routed to an empty receive screen.
5. Inventory-pick status is reflected in the modal.",WO Review Flow.html,VIU-Verified,Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — background POs created + parts-to-receive count; vendorless part goes on WO PO flagged Vendor Missing (2026-07-08/10).,29301,https://shopview.testrail.io/index.php?/cases/view/29301
SF-COMP-13,Completion — PO + Optional Invoice (Story 3),S3-R5,Verify Receive Parts opens the shared Accept Delivery page to receive all vendors at once,High,Functional,Work Order edit access + receive access.,"1. Signed in as Admin.
2. You are in the optional-invoice completion wizard for a multi-vendor part work order.","1. Click Receive Parts.
2. Observe the destination screen.
3. Confirm all vendors' parts appear together.","1. The shared Accept Delivery page opens.
2. Parts from all vendors are shown for receiving at once.",Receive Vendor Parts - v2.html,VIU-Verified,"Wording+VIU 2026-07-13: surface labels re-confirmed live this run; behavior verified in documented prior VIU drives — 'Receive Parts' opens the shared Accept Delivery page for all vendors (FV-comp13, 2026-07-10).",29302,https://shopview.testrail.io/index.php?/cases/view/29302
