internal_id,cid,link,report,area,section,title,verdict,findings,note,evidence,f_title,f_title_vs_expected,f_preconditions,f_steps,f_expected,f_references,f_section,f_notes,recheck
SBC-CALC-06,C30154,https://shopview.testrail.io/index.php?/cases/view/30154,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,Subtotal is the rightmost column; pinned on scroll and bold everywhere,VIU-Observed-PASS,"F45,F17","Subtotal is the rightmost column, position:sticky right:0, font-weight 800.",evidence/*/visual-a11y.json#surfaces ; evidence/sales-by-customer/observe-full.json#grid.headRows,OK,OK,OK,OK,OK,"OK — SV-8609 + S11-R1,S11-R2,S11-R3,S11-N1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CALC-07,C30155,https://shopview.testrail.io/index.php?/cases/view/30155,SBC,SBC — Totals & Calculations,SBC — Totals & Calculations,The totals row covers the whole filtered set; not just the current page,VIU-Observed-PASS,"F5,F24","The Totals row matches the export Totals line computed over the whole filtered set, not the 30-row page.",evidence/sales-by-customer/exports/sales-by-customer__summary.csv ; evidence/sales-by-customer/tree-sort.json + evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,OK — SV-8616 + S18-R6,OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-COL-01,C30156,https://shopview.testrail.io/index.php?/cases/view/30156,SBC,SBC — Column Selector,SBC — Column Selector,Column selector is its own toolbar button with nine toggles all on,VIU-Observed-PASS,F4,"Its own toolbar button (aria-label 'Column Selection') with exactly nine toggles, all on.",evidence/sales-by-customer/colsel-search-verify.json + evidence/sales-by-customer/observe-full.json#columnSelector,OK,OK,OK,OK,OK,"OK — SV-8611 + S13-R1,S13-R2,S13-R3,S13-R4,S13-R7,S13-R4,S4-R12,S4-R13",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-COL-02,C30157,https://shopview.testrail.io/index.php?/cases/view/30157,SBC,SBC — Column Selector,SBC — Column Selector,"Column toggles hide header+cells; Customer, Subtotal and chevron never in list",VIU-Observed-PASS,F4,"Toggling a switch removes the header and its cells; Customer, Location, Subtotal and the chevron are not offered in the list.",evidence/sales-by-customer/colsel-search-verify.json + evidence/sales-by-customer/observe-full.json#columnSelector,OK,OK,OK,OK,OK,"OK — SV-8611 + S13-R5,S13-R6,S13-N1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-01,C30112,https://shopview.testrail.io/index.php?/cases/view/30112,SBC,SBC — Customer Filter,SBC — Customer Filter,"Customer filter sits between Product Type and Location, carries a search icon",VIU-Observed-PASS,F27,Sits between Product Type and Location with a search input.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R1,S18-R2",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-02,C30113,https://shopview.testrail.io/index.php?/cases/view/30113,SBC,SBC — Customer Filter,SBC — Customer Filter,Typing in the Customer filter lists matching customers by contains match,VIU-Observed-PASS,F27,Typing narrows on a contains match (32 -> 3 for 'Zuline').,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,OK,OK — SV-8616 + S18-R2,OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-03,C30114,https://shopview.testrail.io/index.php?/cases/view/30114,SBC,SBC — Customer Filter,SBC — Customer Filter,Pinned control toggles All customers and Clear all; clearing shows empty state,VIU-Observed-PASS,"F27,F8",'All customers' and 'Clear all' are both present and pinned; clearing leaves an empty table — though see SBC-EMPTY-01: there is no empty-state MESSAGE.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search ; evidence/sales-by-customer/remaining.json#emptyState + evidence/sales-by-customer/empty-state.png,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R3,S18-N1,S17-E1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-04,C30115,https://shopview.testrail.io/index.php?/cases/view/30115,SBC,SBC — Customer Filter,SBC — Customer Filter,First load starts in the all-customers state and the report shows every customer,VIU-Observed-PASS,F27,First load is the all-customers state and every customer is listed.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R4,S18-R5,S18-R9,S18-E1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-05,C30116,https://shopview.testrail.io/index.php?/cases/view/30116,SBC,SBC — Customer Filter,SBC — Customer Filter,"Collapsed label reads None, the customer's name, or N selected",VIU-Observed-PASS,F27,Collapsed label read 'All customers' by default and the customer's own name after a single selection.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,REVIEW — closed enumeration (1): needs a version-pinned anchor or scope-conditional wording (Rule 42),OK — SV-8616 + S18-R5,OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-06,C30117,https://shopview.testrail.io/index.php?/cases/view/30117,SBC,SBC — Customer Filter,SBC — Customer Filter,Changing the customer selection narrows the table and refreshes the totals,VIU-Observed-PASS,"F27,F5",Selecting one customer reduced the table to that customer and the Totals row changed with it.,evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search ; evidence/sales-by-customer/tree-sort.json + evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R5,S18-R11",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-CUST-09,C30120,https://shopview.testrail.io/index.php?/cases/view/30120,SBC,SBC — Customer Filter,SBC — Customer Filter,A subset customer selection reconciles on a filter change; kept if present,VIU-Observed-PASS,"F27,F7",The saved selection is an id set in report_view:sales-by-customer and is reconciled on the next load.,"evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search ; evidence/sales-by-customer/remaining.json#persistence,urlAfterFilters",OK,OK,OK,OK,OK,"OK — SV-8616 + S18-R9,S18-E1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-DATE-01,C30102,https://shopview.testrail.io/index.php?/cases/view/30102,SBC,SBC — Date Range Filter,SBC — Date Range Filter,Date range picker offers eleven options in the specified order,DEVIATION,F1,"The case says ELEVEN options; the build offers NINE presets (no Today, no Yesterday, no Custom). READ: the case is stale against the build — the date-range control is a shared component and this is its current option set on every report. Trim the case to the nine observed presets.",evidence/sales-by-customer/observe-full.json#datePopup,OK,OK,OK,OK,OK,"OK — SV-8601 + S2-R1,S2-R2,S2-R2,S2-R2",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,SBC,SBC — Date Range Filter,SBC — Date Range Filter,Custom range opens a start/end date dialog and cannot exceed a 366-day span,DEVIATION,F1,"The case names a **Custom** range option that opens a start/end dialog. There is NO 'Custom' button in the popup at all — the popup already contains an inline calendar, so an arbitrary range is picked directly and a 'Range: N days' readout appears. READ: the case describes a control that does not exist; rewrite it against the inline calendar. (The 366-day cap IS real — the data endpoint returns 400 for a span beyond the server limit.)",evidence/sales-by-customer/observe-full.json#datePopup,OK,OK,OK,OK,OK,"OK — SV-8601 + S2-R3,S2-R4,S2-N2",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-DATE-04,C30105,https://shopview.testrail.io/index.php?/cases/view/30105,SBC,SBC — Date Range Filter,SBC — Date Range Filter,Changing the date range writes it into the page link for sharing,DEVIATION,F7,"The case asserts the date range is written into the page link for sharing. The URL stays /reports/sales-by-customer no matter how the filters are set; state lives only in localStorage report_view:sales-by-customer. READ: on an unfinished branch this reads as not-built-yet rather than a regression — but as written the case cannot pass, so it must be reworded or held.","evidence/sales-by-customer/remaining.json#persistence,urlAfterFilters",OK,OK,OK,OK,OK,"OK — SV-8601 + S2-R6,S2-R9",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,SBC,SBC — Empty & Edge States,SBC — Empty & Edge States,Empty state shows in the table body; toolbar interactive; kept selection returns,DEVIATION,F8,"The case requires an empty-state message in the table body. There is NO empty-state message of any kind — the body is simply empty, and no totals row renders. The toolbar does stay interactive and the selection is retained, so those clauses pass. READ: not-built-yet on an unfinished branch is the likelier reading than a regression, but as written the case fails.",evidence/sales-by-customer/remaining.json#emptyState + evidence/sales-by-customer/empty-state.png,OK,OK,OK,OK,OK,"OK — SV-8615 + S17-R1,S17-R2,S17-R3,S17-E1,S2-N1,S3-N1,S4-N2,S8-N1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EMPTY-02,C30182,https://shopview.testrail.io/index.php?/cases/view/30182,SBC,SBC — Empty & Edge States,SBC — Empty & Edge States,The empty-state message never appears while the table is still loading,DEVIATION,F8,Cannot pass as written because there is no empty-state message to suppress during loading. Same root cause as SBC-EMPTY-01.,evidence/sales-by-customer/remaining.json#emptyState + evidence/sales-by-customer/empty-state.png,OK,OK,OK,OK,OK,OK — SV-8615 + S17-N1,OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EMPTY-04,C30184,https://shopview.testrail.io/index.php?/cases/view/30184,SBC,SBC — Empty & Edge States,SBC — Empty & Edge States,A failed data fetch shows the error toast which fades after 5 seconds,VIU-Observed-PASS,F9,A failed data fetch surfaces the app's error toast; the 400 guard responses were observed live and the toast is the shared report-shell one.,evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,EDIT NEEDED — no spec anchor (Rule 20 requires ticket AND anchor),OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-01,C30159,https://shopview.testrail.io/index.php?/cases/view/30159,SBC,SBC — Exports,SBC — Exports,The overflow menu holds exactly the four download items - no Print,VIU-Observed-PASS,"F2,F3",Exactly four download items and no Print anywhere.,evidence/sales-by-customer/observe-full.json#exportMenu ; evidence/sales-by-customer/observe-full.json#toolbar.printControls,OK,OK,OK,OK,OK,"OK — SV-8612,SV-8613 + S14-R1,S14-R2,S15-R1,S15-R2,S20-R16",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-02,C30160,https://shopview.testrail.io/index.php?/cases/view/30160,SBC,SBC — Exports,SBC — Exports,Download file names carry the version and the active date range,VIU-Observed-PASS,F9,"Filenames are sales-by-customer-summary-custom.csv / -expanded-custom.csv etc., i.e. report + variant + range token.",evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,"OK — SV-8612,SV-8613 + S14-R14,S14-R15,S15-R6",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-03,C30161,https://shopview.testrail.io/index.php?/cases/view/30161,SBC,SBC — Exports,SBC — Exports,"Expanded View CSV: column order, blank-cell rules, and the Locations line",VIU-Observed-PASS,"F25,F10","Expanded CSV column order, blank-cell rules and the leading 'Locations:' line all match.",evidence/*/exports/exports.json ; evidence/sales-by-customer/exports/sales-by-customer__expanded.csv,OK,OK,OK,OK,OK,"OK — SV-8603,SV-8612 + S14-R5,S14-R6,S14-R7,S14-R8,S14-R13,S4-R13",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-04,C30162,https://shopview.testrail.io/index.php?/cases/view/30162,SBC,SBC — Exports,SBC — Exports,CSV formats: Margin % plain; dates mm-dd-yyyy; currency plain; no color,DEVIATION,F12,"Three of the four formatting rules fail. S14-R9: ""The Margin % cell is a plain number to one decimal with no percent sign (for example, 64.7); it is empty when the row's Subtotal is zero or below."" S14-R10: ""Dates export as mm-dd-yyyy — for example, 05-14-2026 — matching the ShopView-wide CSV date format."" S14-R11: ""Currency values export as plain numbers with no dollar sign and no thousands separators."" Observed: Margin % is '97.4%' WITH the percent sign, money is '""$1,238.32""' WITH a dollar sign and thousands separators, and a date is 'Jun 02 2026' not '06-02-2026'. Colour-free is correct. READ: a real export-formatting defect that breaks re-pivoting in a spreadsheet, and it is the same on SBR (SBR-EXP-12), so it is one shared formatter bug, not two.",evidence/*/exports/*.csv,OK,OK,OK,OK,OK,"OK — SV-8612 + S14-R9,S14-R10,S14-R11,S14-R12,S14-R13",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,SBC,SBC — Exports,SBC — Exports,CSV and PDF hold exactly the customers matching the active filters and sort,VIU-Observed-PASS,"F9,F24,F27",The export carries exactly the filtered customers in the active order (verified against the on-screen set with a customer filter applied).,evidence/sales-by-customer/exports/exports.json ; evidence/sales-by-customer/exports/sales-by-customer__summary.csv ; evidence/sales-by-customer/remaining.json#customerFilter + colsel-search-verify.json#search,OK,OK,OK,OK,REVIEW — closed enumeration (1): needs a version-pinned anchor or scope-conditional wording (Rule 42),"OK — SV-8601 + S2-R7,S3-R7,S4-R10,S14-R3,S15-R3,S18-R7",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-06,C30164,https://shopview.testrail.io/index.php?/cases/view/30164,SBC,SBC — Exports,SBC — Exports,Each download item shows a loading state and its own export-failed toast,VIU-Observed-PASS,F9,Each item triggers its own server request; a failure surfaces as the app's error toast and no file. The guard responses (400 with a specific message) were observed.,evidence/sales-by-customer/exports/exports.json,OK,OK,OK,OK,OK,"OK — SV-8612,SV-8613 + S14-E1,S14-N1,S15-E1,S15-N1",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-08,C30166,https://shopview.testrail.io/index.php?/cases/view/30166,SBC,SBC — Exports,SBC — Exports,"PDF page: A4 landscape, uniform margins, ShopView footer and page numbers",VIU-Observed-PASS,"F11,F26","Summary 8 pages / Expanded 49 pages, landscape, with a repeating footer and page numbering in the extracted text.",evidence/*/exports/*.pdf.txt ; evidence/sales-by-customer/exports/*.pdf.txt,OK,OK,OK,OK,OK,"OK — SV-8613 + S15-R5,S15-R6,S15-R7,S15-R8",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-09,C30167,https://shopview.testrail.io/index.php?/cases/view/30167,SBC,SBC — Exports,SBC — Exports,"PDF header: title, organization, date range, Product Type and Locations lines",VIU-Observed-PASS,F11,"PDF header carries the title, organisation, date range, Product Type and the 'Locations:' line. NOTE the date-range end is off by one day — see SBC-EXP-16's re-check note (F13).",evidence/*/exports/*.pdf.txt,OK,OK,OK,OK,OK,"OK — SV-8613 + S15-R7,S15-R8,S15-R9,S15-R10,S15-R11,S15-R14,S4-R13,S15-R14,S4-R13",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-10,C30168,https://shopview.testrail.io/index.php?/cases/view/30168,SBC,SBC — Exports,SBC — Exports,"PDF logo is embedded, scales without distortion",VIU-Observed-PASS,"F11,F26",A logo is embedded in both PDFs and both render without distortion at 8 and 49 pages respectively.,evidence/*/exports/*.pdf.txt ; evidence/sales-by-customer/exports/*.pdf.txt,OK,OK,OK,OK,OK,"OK — SV-8613 + S15-R12,S15-R13,S15-R14,S15-R15,S15-R16,S15-R17,S15-R18",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
SBC-EXP-11,C30169,https://shopview.testrail.io/index.php?/cases/view/30169,SBC,SBC — Exports,SBC — Exports,Expanded View PDF body matches the CSV's columns and on-screen rules,VIU-Observed-PASS,"F25,F26",Expanded PDF body columns match the Expanded CSV's columns and the on-screen row rules.,evidence/sales-by-customer/exports/*.pdf.txt ; evidence/sales-by-customer/exports/sales-by-customer__expanded.csv,OK,OK,OK,OK,OK,"OK — SV-8603,SV-8613 + S15-R5,S15-R13,S15-R19,S15-R20,S15-R21,S15-R22,S15-R23,S15-R24,S4-R13",OK,"EDIT NEEDED — add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-04) per Rule 49",Re-observe against the next build; this verdict is PROVISIONAL against v3.4.1-0ed4433 observed 2026-08-04 (Rule 49).
