Case ID,Sub-section,Title,What Was Checked,Actual UI Observation (Verbatim),Screenshot Reference,Match (Yes/No/Partial),If No/Partial — What the UI Says Instead
C26330,Create Custom Role,Create Custom Role page exposes Basic Details section with Role name and Description fields,Skip template -> Create Role page: Basic Details header + Role name & Description field labels + required markers/placeholders.,"After 'Skip', navigates to /administration/roles-permissions/new (page title 'Create Role'). Section header 'Basic Details' with helper text 'Add basic information about the role you are creating'. First field label is 'Role Name*' (trailing asterisk is the required marker); the input has no placeholder. Second field label 'Description' (a textarea, not required, no placeholder).",build/viu-testrail/screenshots/C26330.png,Yes,
C26331,Create Custom Role,Permissions section exposes all CRUD area cards in correct order,Permissions section exposes all CRUD area cards in correct order + count.,"Section header 'Permissions' with helper 'Set permissions that determine what users in this role can see and do.' CRUD area cards appear in this order: 1) Work orders (columns View / Create & Edit / Delete; also contains a 'View mode' Full View/Tech view selector and sub-items Review work orders, Pick parts, Order parts); 2) Work order lines (columns Create & Edit / Delete — no View column); 3) Schedule (View / Create & Edit / Delete); 4) Customers (View / Create & Edit / Delete); 5) Invoicing & payments (View / Create & Edit / Delete / Reverse); 6) Timesheets (View / Create & Edit — no Delete); 7) Parts Department (parent card; when ON exposes children Part sales, Catalog and Inventory, Vendor and order management). That is 7 CRUD-area cards. Below these are two non-CRUD sections: 'Page Access' (Reports, Customer portal, Settings, Billing Portal) and 'Cross-Cutting Toggles' (See Financial Data, View and Manage AP/AR Data, View History Logs).",build/viu-testrail/screenshots/C26330.png,Partial,"7 CRUD-area cards (Work orders, Work order lines, Schedule, Customers, Invoicing & payments, Timesheets, Parts Department), not a uniform set — CRUD columns differ per card (e.g. Work order lines has no View; Timesheets has no Delete; Invoicing uses 'Delete / Reverse'). Page Access and Cross-Cutting Toggles are separate non-CRUD sections."
C26333,Create Custom Role,Role name is required: blank submission shows inline validation,Role name required: blank submission shows inline validation.,With Role Name blank the 'Create' button is disabled (cannot submit). Entering text then clearing the field (touched state) surfaces an inline validation message directly under the label: 'Role name is a required field'. The Create button remains disabled while the name is empty.,build/viu-testrail/screenshots/C26333.png,Yes,"Inline message 'Role name is a required field'. Note: submission is also prevented by the Create button being disabled, not by an on-click error."
C26335,Create Custom Role,Save with no permissions enabled is blocked with validation message,Save with no permissions enabled is blocked with validation message; is Save disabled?,"With a valid Role Name entered but zero permissions enabled, the 'Create' button is DISABLED (isDisabled=true). No separate inline/toast validation message is shown for the zero-permission state; the block is enforced solely by keeping the Create button disabled. Enabling one permission flips Create to enabled.",build/viu-testrail/screenshots/C26335.png,Partial,No validation text is displayed; the save is blocked only by the 'Create' button being disabled until at least one permission is enabled.
C26336,Create Custom Role,Successful Create returns to Roles list with success toast and the role appears,Successful Create returns to Roles list with success toast and the role appears.,"Created role 'ZZAUTOTEST Create 539285' with 1 permission enabled. On Create, a success toast appeared: 'Role created successfully.' (green check_circle icon, with a 'Close' action). The app returned to the roles list at /administration/roles-permissions and the new role 'ZZAUTOTEST Create 539285' is present in the list (Role Type 'Custom', Users 0).",build/viu-testrail/screenshots/C26336.png,Yes,
C26337,Create Custom Role,Failed save shows error toast and preserves editor state,Failed save shows error toast and preserves editor state.,"Could not trigger a hard error toast. Attempted a duplicate save by re-creating a role with the SAME name AND identical permissions as an existing role ('ZZAUTOTEST Create 539285'). Instead of an error toast, a confirmation dialog appeared titled 'Similar role already exists' with body 'A role ""ZZAUTOTEST Create 539285"" with identical permissions already exists.' and 'You can reuse the existing role or create a new one anyway.', buttons 'Cancel' and 'Create Anyway'. The editor state (Role Name and selections) was fully preserved. The POST /api/check-existing-roles (200) drives this. No genuine failed-save error toast was surfaced by this path (creation is not blocked — the user may proceed via 'Create Anyway').",build/viu-testrail/screenshots/C26337.png,No,No error toast. Duplicate name+permissions shows a non-error confirmation modal 'Similar role already exists' (Cancel / Create Anyway); editor state is preserved. Could not trigger a real failed-save error toast.
C26338,Create Custom Role,Enabling every permission and toggle shows the Admin-equivalent warning banner,Enabling every permission and toggle shows the Admin-equivalent warning banner (verbatim).,"Applying the 'Admin' template (which pre-fills every permission/toggle) displays a warning banner at the top of the editor with a 'warning' icon, title 'Full administrative access', and body: 'This role has every permission enabled, giving it full administrative access. Make sure this is intended before saving.'",build/viu-testrail/screenshots/C26338.png,Yes,
C26343,Edit Role,Modifications save successfully with update toast,Edit modifications save successfully with update toast.,"Edited 'ZZAUTOTEST Create 539285', changed permissions, clicked 'Save'. An intermediate dialog 'Confirm Permission Updates' appeared: 'Review the changes below before confirming. Some permissions will be removed, and new ones will be added.' with 'Added permissions' / 'Removed permissions' lists, a 'Don't show this dialog again' option, and Cancel / Confirm buttons. After 'Confirm' (PUT /api/roles/{id} -> 200), a success toast appeared: 'Role updated successfully.' (check_circle, Close) and the app returned to the roles list.",build/viu-testrail/screenshots/C26343.png,Yes,Update toast is 'Role updated successfully.'; note an extra 'Confirm Permission Updates' confirmation dialog is shown before the save completes.
C26348,Edit Role,Edit validation: Role name cannot be cleared,Edit validation: Role name cannot be cleared.,"In the role editor, clearing the Role Name field surfaces the inline validation 'Role name is a required field' directly under the 'Role Name*' label (Basic Details helper text in edit mode reads 'Add basic information about the role you are editing'). Attempting to Save with the name cleared did not persist/navigate (stayed on the .../edit URL); the name cannot be saved blank.",build/viu-testrail/screenshots/C26348.png,Yes,"Inline message 'Role name is a required field'; save is blocked (unlike Create, the Save button is not disabled but the save is rejected/blocked with the inline error)."
C26351,Delete Role,Custom role with 1+ users shows Cannot Delete modal with disabled confirm,Custom role with 1+ users shows Cannot Delete modal with disabled confirm.,"Created 'ZZAUTOTEST WithUsers' and assigned it to the Tech user (Tech ShopView, tech@shopview.com, staff_id 6fb22c1b...); the role's Users column then showed 1. There is NO 'Cannot Delete' modal. Deletion is prevented two ways: (1) The row three-dot (more_vert) menu for a custom role WITH users shows ONLY 'View Permissions' — the 'Delete' item is absent (a zero-user custom role's three-dot menu shows both 'View Permissions' and 'Delete'). (2) In the role editor, the 'Delete Role' button (data-test-id=delete_role_edit) is DISABLED (aria-disabled=true); hovering it shows a tooltip: 'This role is assigned to 1 user(s). Reassign them to another role before deleting.' No modal and therefore no confirm button appears.",build/viu-testrail/screenshots/C26351-tooltip.png,No,No 'Cannot Delete' modal exists. A role with users cannot be deleted because the list three-dot menu hides the Delete option (only 'View Permissions' shown) and the editor 'Delete Role' button is disabled with tooltip 'This role is assigned to 1 user(s). Reassign them to another role before deleting.'
C26354,Delete Role,Cannot Delete modal count accurately reflects current user assignments,Cannot Delete modal count accurately reflects current user assignments; cross-check vs actual assigned users.,"No modal exists, so no modal user-count wording is present. The user count instead appears in the disabled 'Delete Role' button tooltip: 'This role is assigned to 1 user(s). Reassign them to another role before deleting.' This count is accurate: exactly 1 user (Tech ShopView) was assigned to 'ZZAUTOTEST WithUsers', and the roles-list Users column for the role also read '1'. Wording uses the literal 'user(s)' (no singular/plural resolution) and the numeral reflects the true assignment count.",build/viu-testrail/screenshots/C26351-tooltip.png,Partial,"Count is accurate (1 = actual assigned users) but is presented in the disabled Delete Role button tooltip ('assigned to 1 user(s)'), not in a Cannot-Delete modal. Uses non-pluralized 'user(s)'."
C26370,CRUD Cascade Rules,Work Order lines card has no View column (inherited from Work orders),"In the blank Create Custom Role editor, compare the CRUD column headers of the 'Work order lines' card vs the 'Work orders' card; does 'Work order lines' have a View column?","'Work orders' card CRUD columns (verbatim): View, Create & Edit, Delete. 'Work order lines' card (description: 'Add, edit, and remove the individual labor and part lines on a work order.') CRUD columns (verbatim): Create & Edit, Delete. The 'Work order lines' card has NO View column.",build/viu-testrail/screenshots/C26370.png,Yes,
C26406,Parts Department Permissions,Parts Department parent ON exposes 3 child CRUD cards in the role editor,Toggle 'Parts Department' (Page Access) ON and capture the child CRUD cards it exposes (names + count; claim: 3).,"Toggling 'Parts Department' (description: 'Manage parts inventory, catalog, sales, and vendor operations.') ON exposes exactly 3 child CRUD cards (verbatim): 1) 'Part sales' - 'Manage part sales, returns and related transactions.' (View, Create & Edit, Delete); 2) 'Catalog and Inventory' - 'Manage the parts catalog and inventory levels.' (View, Create & Edit, Delete); 3) 'Vendor and order management' - 'Manage vendors, purchase orders, deliveries and part returns.' (View, Create & Edit, Delete). Count = 3.",build/viu-testrail/screenshots/C26406.png,Yes,
C26441,Settings Access,Settings parent ON reveals 6 indented sub-toggles in Page Access card,Toggle 'Settings' (Page Access) ON and capture the indented sub-toggles it reveals (labels + count; claim: 6).,"Toggling 'Settings' (description: 'Application configuration and administration.') ON reveals exactly 6 indented sub-toggles, each preceded by a 'subdirectory_arrow_right' indent icon (verbatim labels, in order): 1) App Settings, 2) Service, 3) Parts, 4) Finance, 5) Data Import, 6) View/Manage Wages. Count = 6.",build/viu-testrail/screenshots/C26441.png,Yes,
C26452,View Mode,View mode selector inside Work orders card has 'Full View' and 'Tech view' pills,"Inside the 'Work orders' card, capture the view-mode selector pill labels (claim: 'Full View' and 'Tech view').","Inside the 'Work orders' card there is a 'View mode' section (subtitle verbatim: 'Controls interface complexity, not access controls.') with two segmented pill buttons (verbatim): 'Full View' (data-test-id=wosetting_view_mode_full) and 'Tech view' (data-test-id=wosetting_view_mode_tech).",build/viu-testrail/screenshots/C26452.png,Yes,
C26453,View Mode,Selecting Full View shows the Full View info panel,Select 'Full View' and capture the exact info-panel text.,"'Full View' is the default selection. The info panel (with an 'info' icon) titled 'Full View' shows verbatim: 'Complete interface with all fields visible and editable (subject to CRUD permissions). The estimate column shows the actual estimate value. Full parts request form with all fields. All workflow actions available (approve, review, split etc...).'",build/viu-testrail/screenshots/C26453.png,Yes,
C26454,View Mode,Selecting Tech view changes the info panel text,Select 'Tech view' and capture the exact info-panel text (should differ from Full View).,"The 'Tech view' pill is DISABLED in a blank editor until a Work orders CRUD permission is enabled (button rendered with the disabled attribute). After enabling the Work orders 'View' checkbox, the 'Tech view' pill became enabled; selecting it changed the info panel title to 'Tech view' with verbatim body: 'Simplified interface focused on the technician workflow. Non-essential fields are hidden to reduce clutter, and only the actions a technician needs day-to-day are shown.' This differs from the Full View panel text.",build/viu-testrail/screenshots/C26454.png,Yes,Tech view pill is disabled until at least one Work orders CRUD permission is enabled; it is not immediately selectable in a blank editor.
C26471,See Financial Data,Financial Data Confirmation Modal fires when enabling Part sales while See Financial is OFF,"With 'See Financial Data' OFF, enable a 'Part sales' permission checkbox and capture the Financial Data Confirmation modal (title + body + buttons) verbatim.","With 'See Financial Data' OFF, enabling the Part sales 'View' checkbox toggled on WITHOUT any modal. Enabling the Part sales 'Create & Edit' checkbox fired a confirmation modal (data-test-id=cancel_financial_data_confirm). Modal verbatim -- Title: 'Enable See Financial Data?'; Body: 'Part Sales requires See Financial Data. Enable it to grant this permission?'; Buttons: 'close' (X icon), 'Cancel', 'Enable'. Cancelled without saving.",build/viu-testrail/screenshots/C26471.png,Partial,Modal title is 'Enable See Financial Data?' (not literally 'Financial Data Confirmation'). Modal fires on the 'Create & Edit' checkbox; the 'View' checkbox toggled on without any confirmation modal.
C26474,See Financial Data,Same confirmation modal fires for Invoicing and Payments checkboxes,"With 'See Financial Data' OFF, enable an 'Invoicing & payments' checkbox and capture whether the SAME confirmation modal fires + its exact text.","With 'See Financial Data' OFF, enabling the 'Invoicing & payments' 'Create & Edit' checkbox fired the SAME confirmation modal (same title, styling, and data-test-id=cancel_financial_data_confirm). Modal verbatim -- Title: 'Enable See Financial Data?'; Body: 'Invoicing & Payments requires See Financial Data. Enable it to grant this permission?'; Buttons: 'close' (X icon), 'Cancel', 'Enable'. Only the resource name in the body differs from the Part sales modal. Cancelled without saving.",build/viu-testrail/screenshots/C26474.png,Yes,"Same modal as C26471; only the leading resource name in the body differs ('Invoicing & Payments' vs 'Part Sales'). Modal title is 'Enable See Financial Data?', not 'Financial Data Confirmation'."
C26493,Staff Page Role Assignment,Failed role change shows error toast and preserves previous role,Attempt to force a FAILED role change for the Tech user and capture the exact error toast wording AND whether the previous role is preserved.,"A failed role change was triggered by intercepting and aborting the network request POST /api/.../staff/6fb22c1b-d6c3-40eb-9cac-5cb9c61e36aa/change while changing Tech's role from 'ZZAUTOTEST Feedback' to 'Time Clock'. On Save, an error toast appeared verbatim: 'Network Error' rendered with a red/warning style (warning triangle icon) and a 'Close' action. PREVIOUS ROLE PRESERVED: after the failure, the Staff list row for Tech ShopView (tech@shopview.com) still showed Role = 'ZZAUTOTEST Feedback' (the change did not persist). Note: this is a client-side network-failure error path, so the toast is the generic transport-layer message 'Network Error' rather than a domain-specific server error string; a genuine server-side 4xx/5xx error toast could not be triggered on demand. On the SUCCESS path the previous role is simply replaced (no preservation needed).",build/viu-testrail/screenshots/C26493.png,Partial,"Error toast wording on a failed (aborted) request is the generic 'Network Error' (warning style, 'Close' action), not a domain-specific message. Previous role IS preserved (row still read 'ZZAUTOTEST Feedback')."
C26525,Migration,Forced re-authentication on first post-migration login (server-side Redis session destruction),"Observe migration/forced re-authentication: with an active Tech session, then (as admin) change Tech's role, check whether Tech's existing session is invalidated / forced to re-authenticate. Record only observable effects (Redis session destruction is a server mechanism, not directly visible).","The app authenticates via Google SSO (OIDC to accounts.google.com / auth.staging.shopview.com) backed by server-side session cookies (PHPSESSID + sv_sso_session). Two directly-observable effects were recorded: (1) SESSION INVALIDATION ON IDENTITY SWITCH — performing the DEV MODE 'Tech' quick-login on a context that shared the same PHPSESSID as the active admin session rebound/destroyed the prior admin session server-side: immediately afterward, admin API calls (GET /api/roles, GET /api/roles/{id}) began returning HTTP 403 and the admin roles-permissions page failed to load, requiring re-authentication (re-clicking the 'Admin' quick-login restored access). (2) NO ISOLATED SECOND SESSION WITHOUT SSO — attempting to establish an independent Tech session in a separate cookie jar (cf_clearance only, no shared sv_sso_session) caused the 'Tech' quick-login to redirect to the real Google sign-in page (accounts.google.com), which is out of scope (no Google SSO automation). Consequently a clean concurrent two-session test (a live independent Tech session + a separate admin role change) could NOT be completed in-browser. The server-side Redis session destruction itself is not visible in the UI; only the above HTTP-403 invalidation and the SSO redirect were observable.",build/viu-testrail/screenshots/C26525.png,Partial,"Observable server-side session invalidation exists (prior session -> HTTP 403 after an identity switch, forcing re-auth), consistent with the described mechanism, but the specific 'admin changes Tech's role -> Tech's live session forced to re-auth' scenario could not be isolated in-browser because a second independent login requires Google SSO (out of scope). No toast is involved (as the case notes)."
C26532,User Feedback Strings,Custom role create — success toast shows exact spec string,"Create a custom role ('ZZAUTOTEST Feedback', 1 permission enabled) via Roles & Permissions > Create Custom Role > Skip template > enter name + enable one permission > Create; capture the exact CREATE success toast verbatim.","On clicking 'Create' (POST /api/roles -> 201 Created), a success toast appeared verbatim: 'Role created successfully.' rendered with a green 'check_circle' icon and a 'Close' action. The app then returned to the roles list at /administration/roles-permissions and the new role 'ZZAUTOTEST Feedback' appeared (Role Type 'Custom', Users 0).",build/viu-testrail/screenshots/C26532.png,Yes,
C26533,User Feedback Strings,Custom role update — success toast shows exact spec string,"Edit the just-created role ('ZZAUTOTEST Feedback'), toggle a permission change, Save; capture the exact UPDATE success toast verbatim.","After changing a permission and clicking 'Save', an intermediate dialog titled 'Confirm Permission Updates' appeared ('Review the changes below before confirming. Some permissions will be removed, and new ones will be added.') with an 'add_circle Added permissions' list (e.g. 'Work Order Lines — Create & Edit'). After clicking 'Confirm' (PUT /api/roles/{id} -> 200), a success toast appeared verbatim: 'Role updated successfully.' (green 'check_circle' icon, 'Close' action). App returned to the roles list.",build/viu-testrail/screenshots/C26533.png,Yes,
C26539,User Feedback Strings,Reassign-user toast after moving a user from a custom role to another role,"On the Staff page, change the Tech user's role (exact tech@shopview.com / staff_id 6fb22c1b...) from one role to another (Time Clock <-> ZZAUTOTEST Feedback) and capture the exact REASSIGN/role-change success toast verbatim.","The role reassign SUCCESS path shows NO success toast. Flow: Staff row for Tech ShopView (tech@shopview.com) > 'edit_note' opens the 'Edit Staff Member' modal (email field verified === 'tech@shopview.com'); the modal exposes a 'Role' select and, directly beneath it, an inline orange info banner (info icon) reading verbatim: 'Role changes may impact billing.'; buttons are 'Deactivate Account', 'Delete', 'Save & Close'. Selecting a new role and clicking 'Save & Close' fires POST /api/.../staff/6fb22c1b-d6c3-40eb-9cac-5cb9c61e36aa/change -> 201; the modal then closes and the Staff list row reflects the new Role, but NO q-notification/toast is emitted (verified across multiple attempts and both directions Time Clock->Feedback and Feedback->Time Clock; the same q-notification selector DID capture the error toast in C26493, confirming the selector works). The only role-change UI copy is the inline modal note 'Role changes may impact billing.'",build/viu-testrail/screenshots/C26539.png,No,No success toast is shown on a successful staff role reassign; the modal simply closes and the row updates. The only related copy is an inline modal note: 'Role changes may impact billing.' (This contrasts with role Create/Update which DO show 'Role created/updated successfully.' toasts.)
C26549,Cross-Permission Combinations,AP/AR toggle OFF hides sensitive customer fields with the EXACT labels listed in the AP/AR subtitle,Capture the AP/AR toggle's EXACT label + subtitle (including the exact list of sensitive customer field labels it names) in the role editor; THEN as Tech with seeApArData OFF open a Customer detail / Edit Customer modal and record which named fields are actually hidden vs shown.,"ROLE EDITOR (verbatim): toggle label = 'View and Manage AP/AR Data'; subtitle = 'Controls visibility of unpaid invoices, payments and credits tabs on customer and vendor pages. Without this setting the following fields are hidden on the Edit Customer modal: Credit terms, Credit limit, Default Labor rate, Default Shop Supplies, Min and Max, Taxes, PO is required.' Named sensitive fields (7): Credit terms, Credit limit, Default Labor rate, Default Shop Supplies, Min and Max, Taxes, PO is required. TECH BEHAVIOR (logged in as Tech ShopView with AP/AR toggle OFF, role granted Customers View+Create&Edit only): (a) EDIT CUSTOMER MODAL — opening customer 'A 2 Company' > 'edit_note' opens the 'Edit Customer' modal which shows ONLY: Name*, Phone, Address 1, Address 2, City, ZIP/Postal Code, State/Province, Country, Sales Representative, Notes, Website, IBS, 'Pin notes?', Save. ALL 7 named AP/AR fields are ABSENT (hidden) from the Edit Customer modal — consistent with the subtitle claim. (b) CUSTOMER DETAIL PAGE — however, the customer detail left-info panel STILL shows two of the named fields to Tech with AP/AR OFF: 'Credit term: DOR' and 'Credit limit: $NaN'. So the AP/AR gate hides the 7 fields on the Edit Customer modal (as claimed) but does NOT hide Credit term/Credit limit on the customer detail page — the gate is not comprehensive across all customer surfaces (front-end gating limited to the Edit modal).",build/viu-testrail/screenshots/C26549.png,Partial,"On the Edit Customer modal all 7 named fields ARE hidden (subtitle accurate). BUT the AP/AR toggle's claim is scoped only to the Edit Customer modal: the customer DETAIL page left panel still exposes 'Credit term' (DOR) and 'Credit limit' ($NaN) to a user with AP/AR OFF — i.e. the gate does not hide those fields everywhere. See screenshots/C26549-techmodal.png (modal, all 7 hidden) and screenshots/C26549-detail.png (detail page leaking Credit term + Credit limit)."
