Test ID,Title,Section/Area,Priority,Status,Step #,Step (Action Followed),Expected Behavior (this step),Actual / Current Behavior,Failing Point / Block Reason,References
SP-PS-005,Part Sales Delete grants delete sales and reverse part-sale invoices,Part Sales → Delete (partSales),Medium,BLOCKED,6,Delete a part sale and reverse a part-sale invoice.,Part sale is deleted and the part-sale invoice is reversed.,"Tech role [partSalesView,partSalesCreateAndEdit,partSalesDelete]+financial: create affordance present ('New part sale'); part-sale delete/reverse control not surfaced on list or opened part-sale detail via automated scan. Part Sales Delete permission confirmed in role editor.",Delete/reverse affordance not located via automated scan; permission exists in editor. Not executed.,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,2,"Enable Parts Department, then Catalog & Inventory Delete.",Catalog Delete auto-enables Edit and View.,Performed as expected.,,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Parts Department ON; Catalog & Inventory Delete ON (Edit+View auto); all else OFF.,Performed as expected.,,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-CAT-004,Catalog & Inventory Delete grants delete parts from catalog,Catalog & Inventory → Delete (catalogInventory),Medium,BLOCKED,6,Delete a part from the catalog.,Catalog part is deleted.,"Tech role [catalogInventoryView,CreateAndEdit,Delete]: create affordance present ('New catalog part'); catalog-part delete control not surfaced on list row menu or opened catalog detail via automated scan. Catalog Delete permission confirmed in role editor.",Delete affordance not located via automated scan; permission exists in editor. Not executed.,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,2,"Enable Parts Department, then Vendor & Order Management Delete.",Vendor Delete auto-enables Edit and View.,Performed as expected.,,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Parts Department ON; Vendor & Order Management Delete ON (Edit+View auto); all else OFF.,Performed as expected.,,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-VEND-004,Vendor & Order Mgmt Delete grants delete vendors and POs,Vendor & Order Management → Delete (vendorOrderManagement),Medium,BLOCKED,6,Delete a vendor and delete a PO.,Vendor and PO are deleted.,"Tech role [vendorOrderManagementView,CreateAndEdit,Delete]: create affordance present ('New vendor'); vendor/PO delete control not surfaced on list or opened vendor detail sub-tab via automated scan. Vendor Delete permission confirmed in role editor.",Delete affordance not located via automated scan; permission exists in editor. Not executed.,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,2,"Enable See Financial Data, View and Manage AP/AR Data, Work Orders View, then Invoicing Delete.",Invoicing Delete auto-enables Edit and View; no gate blocks since Financial + View and Manage AP/AR Data are ON.,Performed as expected.,,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: See Financial Data ON; View and Manage AP/AR Data ON; Work Orders View ON; Invoicing & Payments Delete ON (Edit+View auto); all else OFF.,Performed as expected.,,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,6,Delete a payment (incl. a customer payment) and void a transaction.,Payment (incl. customer payment) is deleted and transaction is voided.,"Tech role [...invoicingPaymentsDelete]+financial+AP/AR: WO Finance tab rendered but the available WO was an estimate with no invoice/payments, so delete-payment/void controls had nothing to act on and were not surfaced. Invoicing Delete permission confirmed in role editor.",Delete-payment/void affordance requires an invoiced WO with payments (not available among test WOs); not executed per safety.,SV-7388
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Invoicing & Payments → Delete (invoicingPayments),High,BLOCKED,7,Delete a part-sale return.,"Part-sale return is deleted, confirming Invoicing Delete grants these actions.",Not reached.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,2,Enable Customer Management Delete; keep all Invoicing OFF.,Customer Delete ON (Edit+View auto); Invoicing all OFF.,Performed as expected.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.",Role saves successfully with only the intended toggles: Customer Management Delete ON (Edit+View auto); Invoicing & Payments all OFF; all else OFF.,Performed as expected.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete,High,BLOCKED,6,Open the customer and attempt to delete the recorded customer payment.,Deleting the customer payment is blocked/unavailable because it requires Invoicing Delete.,"Cross-dependency (Customer Delete alone cannot delete a customer payment; Invoicing Delete required). Confirming requires attempting a real customer-payment deletion, which is a destructive action that must not be executed.",Not verifiable without executing a prohibited destructive delete; affordance-absence alone cannot prove the dependency.,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,1,"As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)",Create Custom Role dialog opens from a blank/no-access template with all permissions OFF.,Performed as expected.,,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,2,"Enable See Financial Data, Work Orders View (Delete OFF), Invoicing Edit.",Invoicing Edit ON (View auto); WO Delete OFF.,Performed as expected.,,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,3,"Set the toggles exactly as specified in role_setup, then Create.","Role saves successfully with only the intended toggles: See Financial Data ON; Work Orders View ON, Delete OFF; Invoicing & Payments Edit ON (View auto); all else OFF.",Performed as expected.,,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,4,Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.,Role is assigned; test user is logged out and must re-authenticate.,Performed as expected.,,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,5,Log in as the test user in a separate browser/incognito window.,Test user session starts with the custom role applied.,Performed as expected.,,SV-7388
SP-INV-008,Cross-dep: reversing an invoice needs WO Delete even with Invoicing Edit,Invoicing & Payments → Edit (invoicingPayments) vs Work Orders Delete,High,BLOCKED,6,Open WO #WO-2002 and attempt to reverse the invoice.,"Invoice reversal is blocked/unavailable because it requires WO Delete, even though Invoicing Edit is ON.","Cross-dependency (invoice reversal requires WO Delete even with Invoicing Edit). Confirming requires attempting a real invoice reversal, which is a destructive action that must not be executed.",Not verifiable without executing a prohibited destructive reversal.,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Review Work Orders ON, WO Edit OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,5,Open Work Order WO-REV-001 and locate the Review action.,The Review option is visible and usable on the work order.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Review GRANT perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-001,Review Work Orders GRANT — Review option available with WO View + Review,Review Work Orders (woReviewWorkOrders),High,BLOCKED,6,Use the Review option per spec workflow.,User can perform the Review action; review/approve actions gated by Review permission are permitted.,Not reached.,,SV-7388
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Review Work Orders (woReviewWorkOrders),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Review Work Orders (woReviewWorkOrders),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Review Work Orders OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Review Work Orders (woReviewWorkOrders),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Review Work Orders (woReviewWorkOrders),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-002,Review Work Orders WITHHOLD — Review option absent when toggle OFF,Review Work Orders (woReviewWorkOrders),High,BLOCKED,5,Open Work Order WO-REV-002 and look for the Review action.,No Review option is available on the work order.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Review WITHHOLD perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Pick Parts (woPickParts),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Pick Parts (woPickParts),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Pick Parts ON, WO Edit OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Pick Parts (woPickParts),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Pick Parts (woPickParts),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-004,Pick Parts GRANT — can pick parts from inventory onto WO line,Pick Parts (woPickParts),High,BLOCKED,5,Open Work Order WO-PICK-001 and use the pick-parts action to pick the part from inventory onto the WO line.,User can pick parts from inventory onto the WO line successfully.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Pick GRANT perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Pick Parts (woPickParts),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Pick Parts (woPickParts),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Pick Parts OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Pick Parts (woPickParts),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Pick Parts (woPickParts),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-005,Pick Parts WITHHOLD — pick action blocked/absent when toggle OFF,Pick Parts (woPickParts),High,BLOCKED,5,Open Work Order WO-PICK-002 and attempt to pick parts from inventory onto the WO line.,The pick-parts action is absent or blocked; user cannot pick parts onto the WO line.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Pick WITHHOLD perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Order Parts ON, WO Edit OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,5,Open Work Order WO-ORD-001 and place a PO for the part on the WO line.,A PO is created and linked to the WO.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Order GRANT perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-007,Order Parts GRANT — place PO for parts on WO and receive deliveries,Order Parts (woOrderParts),High,BLOCKED,6,Receive the parts delivery onto the WO.,User can receive the parts delivery onto the WO successfully.,Not reached.,,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,1,Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.),Create Custom Role editor opens with all toggles OFF (blank baseline).,Performed as expected.,,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,2,"Set exactly these toggles: Work Orders View ON, Order Parts OFF. Click Save.",Role saves successfully and appears in the Roles and Permissions list.,Performed as expected.,,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,3,Go to Administration > Staff. Assign the custom role to the test user.,Role is assigned; a role change forces logout of the test user.,Performed as expected.,,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,4,"In a separate browser, log in as the test user.",Test user session starts with the newly assigned role in effect.,Performed as expected.,,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,5,Open Work Order WO-ORD-002 and attempt to place a PO for the part on the WO line.,The order-parts / create-PO action is absent or blocked.,"Role PUT+assign+fe-permissions hydration succeeded with the exact Order WITHHOLD perm set; WO detail rendered, but the Review/Pick/Order/Return actions live inside per-WO-line kebab menus and depend on WO/part workflow state, so the action-level affordance was not statically observable within run budget.",Permission set correctly applied & hydrated; deep line-level action not automatable non-destructively here.,SV-7388
SP-WOSUB-008,Order Parts WITHHOLD — cannot place PO or receive parts when OFF,Order Parts (woOrderParts),High,BLOCKED,6,Attempt to receive a parts delivery onto the WO.,The receive-parts action onto the WO is absent or blocked.,Not reached.,,SV-7388
