Test ID,Title,Feature/Area,Priority,Preconditions,Steps to Reproduce (Manual),Expected Result,Actual Result (Observed),Reason / Root Cause,Severity/Status,References (Jira),Spec / Requirement Reference
TE-SM-005,"Service Manager: ADD Timesheets Delete, rest intact",Template Edit > Service Manager,Low,Logged in as an Administrator. Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) is reachable. A test staff user exists with no custom role assigned.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Select the 'Service Manager' system template.
3. Change: enable Timesheets > Delete (template had V/E).
4. Click Create to create the custom role.
5. Go to Administration > Staff and assign the new custom role to the test user.
6. In a separate browser, log in as the test user.
7. Verify the delta: attempt to delete a timesheet as the user.
8. Verify the rest of the template is intact: all other Service Manager access is unchanged.",User gains Timesheets Delete only; rest of template preserved.,"No timesheetsDelete permission exists in the fe-permissions catalog (42 perms enumerated live: timesheetsView, timesheetsCreateAndEdit only). Service Manager template cannot enable a Timesheets>Delete toggle that does not exist.",feature/permission not present in this build (no timesheetsDelete),N/A,SV-7501,SV-7501 · Timesheets > Delete
SP-APAR-001,"Manage AP/AR GRANT — Unpaid/Payments/Credits tabs, aging reports, bulk payments",Single Permission > Manage AP/AR,High,"Customers/vendors with unpaid invoices, payments, and credits exist; aging data exists.","1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View and Manage AP/AR Data ON; Reports ON; Customer/Vendor View ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open the Customer and Vendor detail pages.
6. Open Reports and locate AR Aging (Summary/Detail/Collection) and AP Aging (Summary/Detail, AP Unpaid Invoices).
7. From the Unpaid Invoices tab, initiate a bulk payment.","With View and Manage AP/AR Data ON, the Unpaid/Payments/Credits tabs, AP/AR aging reports, and bulk payments are all available.","seeApArData verified as a front-end-only gate: as Tech, AP/AR data endpoints (e.g. customer-account/payment-methods) returned HTTP 200 with seeApArData both ON and OFF (no 403); the AP/AR list endpoints returned identical results. The Unpaid/Payments/Credits tab & aging-report visibility is front-end only; not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; AP/AR surface visibility not backend-enforced (needs rendered UI),High · BLOCKED,SV-7388,"SV-7388 · View and Manage AP/AR Data (seeApArData) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-APAR-002,"Manage AP/AR WITHHOLD — tabs, aging reports, and bulk payments hidden when OFF",Single Permission > Manage AP/AR,High,Customers/vendors with unpaid invoices/payments/credits exist.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: View and Manage AP/AR Data OFF; Reports ON; Customer/Vendor View ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open the Customer and Vendor detail pages.
6. Open Reports and look for AR/AP aging reports.","With View and Manage AP/AR Data OFF, the AP/AR tabs, aging reports, and bulk payments are all hidden.","seeApArData verified as a front-end-only gate: as Tech, AP/AR data endpoints (e.g. customer-account/payment-methods) returned HTTP 200 with seeApArData both ON and OFF (no 403); the AP/AR list endpoints returned identical results. The Unpaid/Payments/Credits tab & aging-report visibility is front-end only; not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; AP/AR surface visibility not backend-enforced (needs rendered UI),High · BLOCKED,SV-7388,"SV-7388 · View and Manage AP/AR Data (seeApArData) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-APAR-003,Manage AP/AR sensitive customer fields — Edit Customer modal + Customer Overview panel,Single Permission > Manage AP/AR,High,A customer with credit terms/limit and rate defaults exists.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. Create role A: View and Manage AP/AR Data ON, Customer View+Edit ON. Save. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Create role B: View and Manage AP/AR Data OFF, Customer View+Edit ON. Save. Assign roles to users A and B.
3. As user A, open the Edit Customer modal and Customer Overview panel for CUST-APAR-SENS.
4. As user B, open the Edit Customer modal and Customer Overview panel for CUST-APAR-SENS.","View and Manage AP/AR Data gates the sensitive customer fields on the Edit Customer modal and Customer Overview panel; hidden when OFF, shown when ON.","seeApArData verified as a front-end-only gate: as Tech, AP/AR data endpoints (e.g. customer-account/payment-methods) returned HTTP 200 with seeApArData both ON and OFF (no 403); the AP/AR list endpoints returned identical results. The Unpaid/Payments/Credits tab & aging-report visibility is front-end only; not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; AP/AR surface visibility not backend-enforced (needs rendered UI),High · BLOCKED,SV-7388,"SV-7388 · View and Manage AP/AR Data (seeApArData) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-APAR-005,"Manage AP/AR does NOT gate CRUD, but Invoicing Delete additionally requires it",Single Permission > Manage AP/AR,High,An invoice exists that could be deleted; Invoicing CRUD (incl Delete) is granted.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: See Financial Data ON; Invoicing View+Edit+Delete ON; View and Manage AP/AR Data OFF. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open Invoice INV-APAR-DEL-001 and confirm non-delete invoicing operations work (AP/AR does not gate general CRUD).
6. Attempt to delete the invoice.","View and Manage AP/AR Data does not gate general CRUD, but Invoicing Delete additionally requires it and is blocked when AP/AR is OFF.","seeApArData verified as a front-end-only gate: as Tech, AP/AR data endpoints (e.g. customer-account/payment-methods) returned HTTP 200 with seeApArData both ON and OFF (no 403); the AP/AR list endpoints returned identical results. The Unpaid/Payments/Credits tab & aging-report visibility is front-end only; not observable via API. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; AP/AR surface visibility not backend-enforced (needs rendered UI),High · BLOCKED,SV-7388,"SV-7388 · View and Manage AP/AR Data (seeApArData) — gates Invoicing Delete · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-CUST-006,"Sensitive customer fields gated by Manage AP/AR, not Customer permission",Single Permission > Customer Management,Medium,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set the toggles exactly as specified in role_setup, then Create.
3. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
4. Log in as the test user in a separate browser/incognito window.
5. Open 'Acme Fleet' and inspect sensitive customer fields.",Sensitive customer fields remain gated by View and Manage AP/AR Data regardless of Customer View.,"seeApArData (Manage AP/AR) is a front-end-only gate: as Tech with customersView, the customers/view API returned IDENTICAL customer fields (incl. credit_term, credit_limit) with seeApArData ON vs OFF. Sensitive-field hiding is therefore a rendered-form concern, not observable at the API layer. KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.",front-end-only display gate; sensitive-field hiding not observable via API (needs rendered form DOM),Medium · BLOCKED,SV-7388,"SV-7388 · Customer Management → View (customers) vs View and Manage AP/AR Data · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-FIN-004,Financial gate — enabling Part Sales CRUD while Financial OFF triggers confirm modal,Single Permission > See Financial Data,Critical,Admin is in the Create Custom Role editor.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. Confirm See Financial Data is OFF. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Part Sales CRUD (e.g. Part Sales create/edit).
3. Confirm the modal to enable See Financial Data.",Enabling Part Sales CRUD while See Financial Data is OFF triggers the financial confirm modal; confirming enables See Financial Data.,"The See-Financial-Data confirm modal is a role-EDITOR front-end UX shown when enabling Part Sales CRUD with financial data OFF. Roles set via API bypass the editor modal entirely, so the modal cannot be triggered/observed via API; it requires the rendered role editor (virtualized toggle grid).",role-editor confirm-modal is front-end UX; not triggerable/observable via API,Critical · BLOCKED,SV-7388,"SV-7388 · See Financial Data (seeFinancialData) — gates Part Sales · VIU-11: Trigger on enabling Part Sales/Invoicing CRUD while See Financial Data OFF; text '[Area] requires ""See Financial Data"" to be enabled. Enable it?';… · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-FIN-005,Financial gate — enabling Invoicing CRUD while Financial OFF triggers confirm modal,Single Permission > See Financial Data,Critical,Admin is in the Create Custom Role editor.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. Confirm See Financial Data is OFF. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Invoicing CRUD.
3. Dismiss/cancel the modal.",Invoicing requires See Financial Data; enabling its CRUD while Financial OFF triggers the financial confirm modal.,"The See-Financial-Data confirm modal is a role-EDITOR front-end UX shown when enabling Invoicing CRUD with financial data OFF. Roles set via API bypass the editor modal entirely, so the modal cannot be triggered/observed via API; it requires the rendered role editor (virtualized toggle grid).",role-editor confirm-modal is front-end UX; not triggerable/observable via API,Critical · BLOCKED,SV-7388,"SV-7388 · See Financial Data (seeFinancialData) — gates Invoicing · VIU-11: Trigger on enabling Part Sales/Invoicing CRUD while See Financial Data OFF; text '[Area] requires ""See Financial Data"" to be enabled. Enable it?';… · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-FIN-006,Security — no financial leak in Receive Part modal when Financial OFF (SV-7973),Single Permission > See Financial Data,Critical,A part order can be received via the Receive Part modal.,"1. Go to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) > Create Custom Role > start from minimal/blank baseline. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Set exactly these toggles: See Financial Data OFF; WO View ON; Order Parts ON. Click Save.
3. Go to Administration > Staff. Assign the custom role to the test user.
4. In a separate browser, log in as the test user.
5. Open the Receive Part modal for the WO part delivery.","With See Financial Data OFF, the Receive Part modal exposes no financial data (regression guard for SV-7973).",Regression check that the Receive-Part modal shows no financial data with seeFinancialData OFF is a rendered-modal UI concern; it requires opening the Receive-Part modal on a WO part in the DOM. seeFinancialData is front-end-only (backend returns financial fields regardless). KEY FINDING this run: in this build the backend enforces only resource-level View/Edit permissions; granular sub-permissions and cross-toggles are FRONT-END-only display gates.,front-end-only display gate; Receive-Part modal needs rendered DOM,Critical · BLOCKED,SV-7973,"SV-7973 · See Financial Data (seeFinancialData) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-INV-006,"Invoicing Delete grants delete payments, void transactions, delete part-sale return",Single Permission > Invoicing & Payments,High,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable See Financial Data, View and Manage AP/AR Data, Work Orders View, then Invoicing Delete.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Delete a payment (incl. a customer payment) and void a transaction.
7. Delete a part-sale return.","User can delete payments (incl. customer payments), void transactions and delete a part-sale return.","Requires a throwaway fully-invoiced WO plus a customer payment to delete/void. Could not provision via API this run: customer-account/create-customer-payment returned HTTP 500 and WO invoicing needs the full UI payload. Per safety, no pre-existing invoice/payment was touched.",could not provision throwaway invoiced+paid WO via API; pre-existing invoices not touched,High · BLOCKED,SV-7388,"SV-7388 · Invoicing & Payments → Delete (invoicingPayments) · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
SP-INV-007,Cross-dep: deleting a customer payment needs Invoicing Delete (Customer Delete alone insufficient),Single Permission > Invoicing & Payments,High,Admin account with access to Settings > Roles & Permissions (avatar menu → Settings → Roles & Permissions; URL /administration/roles-permissions) and Administration > Staff. A test staff user exists to receive the custom role. Sample records exist in the environment as described in test_data.,"1. As admin, follow the admin flow to create the custom role. (Step 1 is a 'Choose a template' dialog with Skip / Apply; the footer save button on the Create Role page is labelled 'Create'.)
2. Enable Customer Management Delete; keep all Invoicing OFF.
3. Set the toggles exactly as specified in role_setup, then Create.
4. Administration > Staff: assign the new role to the test user and confirm the forced-logout notice.
5. Log in as the test user in a separate browser/incognito window.
6. Open the customer and attempt to delete the recorded customer payment.",Customer Delete alone cannot delete a customer payment; Invoicing Delete is required.,"Cross-dependency (customer-payment delete needs Invoicing Delete) requires a throwaway customer payment. Could not create one via API this run (customer-account/create-customer-payment returned HTTP 500; the payment flow needs payment-method + applied-transaction scaffolding). Per safety, no pre-existing payment was touched.",could not provision a throwaway customer payment via API; pre-existing payments not touched,High · BLOCKED,SV-7388,"SV-7388 · Invoicing & Payments → Delete (invoicingPayments) vs Customer Delete · VIU-38: backend enforces only resource-level View/Edit; this granular sub-permission / cross-toggle / view_mode is a FRONT-END-only display gate, not server-enforced (restriction observable only in the rendered DOM, not via the API)"
