report,spec_prefix,story,story_title,requirement_id,kind,assertion_index,assertion_count,requirement_text_verbatim,assertion_text_verbatim,surfaces,verdict,verdict_reason,evidence_basis,covering_internal_ids,covering_c_ids,covering_links,quote_from_c_id,quote_from_internal_id,covering_expected_quote_verbatim,overlap_score,anchor_mapping
Sales By Customer,SBC,2,Filter by date range,S2-R5,requirement,1,1,"S2-R5: The picker defaults to ""This Month"" when the report is opened with no saved date range and no date range in the page link.","The picker defaults to ""This Month"" when the report is opened with no saved date range and no date range in the page link.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.556; not individually read,machine-substantiated,SBC-PERS-05,C30178,https://shopview.testrail.io/index.php?/cases/view/30178,C30178,SBC-PERS-05,Date range = This Month (nothing saved and no range in the page link).,0.556,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R6,requirement,1,1,"S2-R6: When the user changes the date range, the chosen value is written to the page link so the report can be shared or bookmarked at that range.","When the user changes the date range, the chosen value is written to the page link so the report can be shared or bookmarked at that range.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.5; not individually read,machine-substantiated,SBC-DATE-04,C30105,https://shopview.testrail.io/index.php?/cases/view/30105,C30105,SBC-DATE-04,The chosen date range value is written into the page link.,0.5,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R7,requirement,1,2,S2-R7: The chosen date range is reflected in the CSV and PDF exports.,The chosen date range is reflected in the CSV and PDF exports.,CSV export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.714; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.714,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R7,requirement,2,2,S2-R7: The chosen date range is reflected in the CSV and PDF exports.,The chosen date range is reflected in the CSV and PDF exports.,PDF export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.714; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.714,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R8,requirement,1,1,S2-R8: Changing the date range is remembered between visits — see Story 6.,Changing the date range is remembered between visits — see Story 6.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-PERS-01,C30174,https://shopview.testrail.io/index.php?/cases/view/30174,C30174,SBC-PERS-01,"the date range, the Product Type, the location selection, the Customer filter selection, the sort column and direction, and the visible columns.",0.4,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-R9,requirement,1,1,"S2-R9: When the report is opened with both a saved view and a date range in the page link, the saved view is applied and the link value is ignored.","When the report is opened with both a saved view and a date range in the page link, the saved view is applied and the link value is ignored.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.556; not individually read,machine-substantiated,SBC-DATE-04 SBC-PERS-06,C30105 C30179,https://shopview.testrail.io/index.php?/cases/view/30105 https://shopview.testrail.io/index.php?/cases/view/30179,C30179,SBC-PERS-06,The saved view is applied (Last Month) and the link value is ignored.,0.556,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-N1,negative,1,1,"S2-N1: If the chosen date range contains no matching invoices, the table shows the empty-state message (see Story 17).","If the chosen date range contains no matching invoices, the table shows the empty-state message (see Story 17).",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"The table body shows the message ""No sales data found for the selected filters."" where customer rows would appear — not in the toolbar, the totals row, or a modal.",0.222,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-N2,negative,1,2,"S2-N2: A Custom range wider than 366 days cannot be applied. If the user picks a start and end date more than 366 days apart, the report prevents the selection rather than loading the wider range.",A Custom range wider than 366 days cannot be applied.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.714; not individually read,machine-substantiated,SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,C30104,SBC-DATE-03,A range wider than 366 days cannot be applied — the report prevents the selection rather than loading the wider range.,0.714,DIRECT
Sales By Customer,SBC,2,Filter by date range,S2-N2,negative,2,2,"S2-N2: A Custom range wider than 366 days cannot be applied. If the user picks a start and end date more than 366 days apart, the report prevents the selection rather than loading the wider range.","If the user picks a start and end date more than 366 days apart, the report prevents the selection rather than loading the wider range.",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-DATE-03,C30104,https://shopview.testrail.io/index.php?/cases/view/30104,C30104,SBC-DATE-03,A range wider than 366 days cannot be applied — the report prevents the selection rather than loading the wider range.,0.615,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R1,requirement,1,1,"S3-R1: A ""Product Type"" dropdown is visible in the report toolbar.","A ""Product Type"" dropdown is visible in the report toolbar.",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"The dropdown offers exactly three options, in this order:",0.2,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R2,requirement,1,1,"S3-R2: The dropdown offers exactly three options, in this order: ""Parts & Service,"" ""Parts only,"" ""Service only.""","The dropdown offers exactly three options, in this order: ""Parts & Service,"" ""Parts only,"" ""Service only.""",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.875; not individually read,machine-substantiated,SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"The dropdown offers exactly three options, in this order: ""Parts & Service,"" ""Parts only,"" ""Service only"" — with ""Parts & Service"" selected by default on first load.",0.875,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R3,requirement,1,1,"S3-R3: ""Parts & Service"" is the default selection on first load.","""Parts & Service"" is the default selection on first load.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.833; not individually read,machine-substantiated,SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"""Parts & Service,"" ""Parts only,"" ""Service only"" — with ""Parts & Service"" selected by default on first load.",0.833,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R4,requirement,1,1,"S3-R4: When ""Parts & Service"" is selected, no product-type filter is applied.","When ""Parts & Service"" is selected, no product-type filter is applied.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.833; not individually read,machine-substantiated,SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"With ""Parts & Service"" selected, no product-type filter is applied — both S and P invoices are included and counts/totals cover both.",0.833,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R5,requirement,1,1,"S3-R5: When ""Service only"" is selected, the report includes only invoices whose number starts with S.","When ""Service only"" is selected, the report includes only invoices whose number starts with S.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.429; not individually read,machine-substantiated,SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"With ""Parts & Service"" selected, no product-type filter is applied — both S and P invoices are included and counts/totals cover both.",0.429,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R6,requirement,1,1,"S3-R6: When ""Parts only"" is selected, the report includes only invoices whose number starts with P.","When ""Parts only"" is selected, the report includes only invoices whose number starts with P.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.429; not individually read,machine-substantiated,SBC-TYPE-02,C30107,https://shopview.testrail.io/index.php?/cases/view/30107,C30107,SBC-TYPE-02,"With ""Parts & Service"" selected, no product-type filter is applied — both S and P invoices are included and counts/totals cover both.",0.429,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R7,requirement,1,2,"S3-R7: The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line.","The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line.",CSV export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.4,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R7,requirement,2,2,"S3-R7: The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line.","The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line.",PDF export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.4,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-R8,requirement,1,1,S3-R8: Changing the Product Type is remembered between visits — see Story 6.,Changing the Product Type is remembered between visits — see Story 6.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-PERS-01,C30174,https://shopview.testrail.io/index.php?/cases/view/30174,C30174,SBC-PERS-01,"the date range, the Product Type, the location selection, the Customer filter selection, the sort column and direction, and the visible columns.",0.4,DIRECT
Sales By Customer,SBC,3,Filter by product type,S3-N1,negative,1,1,"S3-N1: If the selection produces no matching invoices, the table shows the empty-state message (see Story 17).","If the selection produces no matching invoices, the table shows the empty-state message (see Story 17).",,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,C30181,SBC-EMPTY-01,"The table body shows the message ""No sales data found for the selected filters."" where customer rows would appear — not in the toolbar, the totals row, or a modal.",0.286,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R1,requirement,1,1,"S4-R1: A location filter is visible in the report toolbar, as the rightmost filter.","A location filter is visible in the report toolbar, as the rightmost filter.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.5; not individually read,machine-substantiated,SBC-LOC-01,C30109,https://shopview.testrail.io/index.php?/cases/view/30109,C30109,SBC-LOC-01,The location filter is the rightmost filter in the toolbar.,0.5,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R2,requirement,1,1,S4-R2: The filter lists the locations the signed-in user has access to.,The filter lists the locations the signed-in user has access to.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.833; not individually read,machine-substantiated,SBC-LOC-01,C30109,https://shopview.testrail.io/index.php?/cases/view/30109,C30109,SBC-LOC-01,It lists the locations the signed-in user has access to.,0.833,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R3,requirement,1,1,"S4-R3: The filter also offers an ""All locations"" option, pinned to the top, that selects or clears every listed location at once.","The filter also offers an ""All locations"" option, pinned to the top, that selects or clears every listed location at once.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.545; not individually read,machine-substantiated,SBC-LOC-01,C30109,https://shopview.testrail.io/index.php?/cases/view/30109,C30109,SBC-LOC-01,"Activating ""All locations"" selects every listed location at once; activating it again clears them all at once.",0.545,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R4,requirement,1,1,"S4-R4: On first load, the filter defaults to the location the user is currently working in (their active location) — a single location.","On first load, the filter defaults to the location the user is currently working in (their active location) — a single location.",,COVERED-HUMAN-READ,"flagged by the polarity sweep and read by hand; the covering case asserts the same thing, not its opposite",hand-read this run (polarity-flag set),SBC-PERS-05,C30178,https://shopview.testrail.io/index.php?/cases/view/30178,C30178,SBC-PERS-05,Location = the single location you are currently working in (your active location) — not all locations.,0.5,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R5,requirement,1,1,"S4-R5: When the user selects one or more locations, the report includes only data from those locations.","When the user selects one or more locations, the report includes only data from those locations.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.8; not individually read,machine-substantiated,SBC-LOC-03,C30111,https://shopview.testrail.io/index.php?/cases/view/30111,C30111,SBC-LOC-03,"With one or more locations selected, the report includes only data from those locations.",0.8,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R6,requirement,1,1,"S4-R6: When the user selects ""All locations,"" the report includes data from every location the user has access to.","When the user selects ""All locations,"" the report includes data from every location the user has access to.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.857; not individually read,machine-substantiated,SBC-LOC-03,C30111,https://shopview.testrail.io/index.php?/cases/view/30111,C30111,SBC-LOC-03,"With ""All locations,"" the report includes data from every location the user has access to.",0.857,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R7,requirement,1,1,S4-R7: An administrator has access to every location in the organization.,An administrator has access to every location in the organization.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.75; not individually read,machine-substantiated,SBC-PERM-04,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,C30101,SBC-PERM-04,The administrator's filter lists every location in the organization.,0.75,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R8,requirement,1,1,S4-R8: A non-administrator has access to the locations assigned to them.,A non-administrator has access to the locations assigned to them.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.8; not individually read,machine-substantiated,SBC-PERM-04,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,C30101,SBC-PERM-04,The non-administrator's filter lists only the locations assigned to them.,0.8,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R9,requirement,1,1,"S4-R9: The report never includes data from a location the user does not have access to, regardless of what is requested.","The report never includes data from a location the user does not have access to, regardless of what is requested.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.714; not individually read,machine-substantiated,SBC-PERM-04,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,C30101,SBC-PERM-04,The report data never includes invoices from a location the user does not have access to.,0.714,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R10,requirement,1,2,S4-R10: The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.,The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.,CSV export | On screen,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.25,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R10,requirement,2,2,S4-R10: The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.,The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.,PDF export | On screen,COVERED-HUMAN-READ,read end to end this run against the current spec; the overlap score is low only because the assertion is short or cross-reference-heavy,hand-read this run (weak/unsubstantiated set),SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,C30163,SBC-EXP-05,The chosen date range and Product Type are reflected in both exports.,0.25,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R11,requirement,1,1,S4-R11: Changing the location selection is remembered between visits — see Story 6.,Changing the location selection is remembered between visits — see Story 6.,,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.4; not individually read,machine-substantiated,SBC-PERS-01,C30174,https://shopview.testrail.io/index.php?/cases/view/30174,C30174,SBC-PERS-01,"the date range, the Product Type, the location selection, the Customer filter selection, the sort column and direction, and the visible columns.",0.4,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R12,requirement,1,1,"S4-R12: When more than one location is in scope, the report shows a per-row Location column; the column is hidden when a single location is in scope.","When more than one location is in scope, the report shows a per-row Location column; the column is hidden when a single location is in scope.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.714; not individually read,machine-substantiated,SBC-CALC-01 SBC-COL-01 SBC-LOC-04,C30149 C30156 C38912,https://shopview.testrail.io/index.php?/cases/view/30149 https://shopview.testrail.io/index.php?/cases/view/30156 https://shopview.testrail.io/index.php?/cases/view/38912,C38912,SBC-LOC-04,With a single location in scope the Location column is hidden and the surrounding columns close up with no gap.,0.714,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R12a,requirement,1,1,"S4-R12a: In the Location column, a customer or asset row whose invoices are all at one location shows that location's name; a customer or asset row that aggregates invoices from more than one location shows ""Multiple""; an invoice detail row always shows its exact location.","In the Location column, a customer or asset row whose invoices are all at one location shows that location's name; a customer or asset row that aggregates invoices from more than one location shows ""Multiple""; an invoice detail row always shows its exact location.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.538; not individually read,machine-substantiated,SBC-LOC-04,C38912,https://shopview.testrail.io/index.php?/cases/view/38912,C38912,SBC-LOC-04,"Every one of the four downloads also contains the Location column, in the same position it holds on screen, showing the same values you just read: a location name on a row whose invoices are all at one location, ""Multiple"" on a row that aggregates more than one, and the invoice's own location on an invoice row.",0.538,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R13,requirement,1,3,"S4-R13: Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected. When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column.","Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected.",CSV export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.429; not individually read,machine-substantiated,SBC-COL-01 SBC-EXP-03 SBC-EXP-09 SBC-EXP-11 SBC-EXP-16 SBC-LOC-04,C30156 C30161 C30167 C30169 C38856 C38912,https://shopview.testrail.io/index.php?/cases/view/30156 https://shopview.testrail.io/index.php?/cases/view/30161 https://shopview.testrail.io/index.php?/cases/view/30167 https://shopview.testrail.io/index.php?/cases/view/30169 https://shopview.testrail.io/index.php?/cases/view/38856 https://shopview.testrail.io/index.php?/cases/view/38912,C30161,SBC-EXP-03,"The file carries a ""Locations:"" line naming the location or locations the report was scoped to, or ""All locations"" when every location you can access is selected — as a leading line above the column headers.",0.429,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R13,requirement,2,3,"S4-R13: Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected. When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column.","Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected.",PDF export,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.429; not individually read,machine-substantiated,SBC-COL-01 SBC-EXP-03 SBC-EXP-09 SBC-EXP-11 SBC-EXP-16 SBC-LOC-04,C30156 C30161 C30167 C30169 C38856 C38912,https://shopview.testrail.io/index.php?/cases/view/30156 https://shopview.testrail.io/index.php?/cases/view/30161 https://shopview.testrail.io/index.php?/cases/view/30167 https://shopview.testrail.io/index.php?/cases/view/30169 https://shopview.testrail.io/index.php?/cases/view/38856 https://shopview.testrail.io/index.php?/cases/view/38912,C30161,SBC-EXP-03,"The file carries a ""Locations:"" line naming the location or locations the report was scoped to, or ""All locations"" when every location you can access is selected — as a leading line above the column headers.",0.429,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-R13,requirement,3,3,"S4-R13: Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected. When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column.","When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column.",Export (unspecified format) | On screen,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.5; not individually read,machine-substantiated,SBC-COL-01 SBC-EXP-03 SBC-EXP-09 SBC-EXP-11 SBC-EXP-16 SBC-LOC-04,C30156 C30161 C30167 C30169 C38856 C38912,https://shopview.testrail.io/index.php?/cases/view/30156 https://shopview.testrail.io/index.php?/cases/view/30161 https://shopview.testrail.io/index.php?/cases/view/30167 https://shopview.testrail.io/index.php?/cases/view/30169 https://shopview.testrail.io/index.php?/cases/view/38856 https://shopview.testrail.io/index.php?/cases/view/38912,C38912,SBC-LOC-04,"With more than one location in scope a Location column is shown, positioned immediately after the Date column.",0.5,DIRECT
Sales By Customer,SBC,4,Filter by location,S4-N1,negative,1,1,"S4-N1: If the user requests a location they do not have access to, that location is ignored; the report does not widen to the whole organization.","If the user requests a location they do not have access to, that location is ignored; the report does not widen to the whole organization.",,COVERED-MACHINE,anchor cited and a quoted expected sentence overlaps the assertion at 0.75; not individually read,machine-substantiated,SBC-PERM-04,C30101,https://shopview.testrail.io/index.php?/cases/view/30101,C30101,SBC-PERM-04,A requested location the user does not have access to is ignored — the report does NOT widen to the whole organization.,0.75,DIRECT
