case_id,class_full,severity,project,section,field,history_evidence,damaged_by,damaged_on,field_format,title,url
C22380,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Split WO keeps deposits on original WO,https://shopview.testrail.io/index.php?/cases/view/22380
C22381,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Change Customer disabled when WO has deposit,https://shopview.testrail.io/index.php?/cases/view/22381
C22382,LEGACY-TERSE (not damage),,Other / unlisted,"D. Delete, Reverse, Split Deposits",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Change Customer enabled after all deposits deleted,https://shopview.testrail.io/index.php?/cases/view/22382
C22383,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit syncs to QBO as unapplied payment when consent given,https://shopview.testrail.io/index.php?/cases/view/22383
C22384,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit sync creates customer in QBO if missing,https://shopview.testrail.io/index.php?/cases/view/22384
C22385,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit sync skipped without consent,https://shopview.testrail.io/index.php?/cases/view/22385
C22386,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit sync failure creates Unexported report entry,https://shopview.testrail.io/index.php?/cases/view/22386
C22387,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO invoice applies unapplied payment when invoice created,https://shopview.testrail.io/index.php?/cases/view/22387
C22388,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO deposit exceeds invoice total leaves remaining unapplied balance,https://shopview.testrail.io/index.php?/cases/view/22388
C22389,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO apply-payment failure logs Unexported item,https://shopview.testrail.io/index.php?/cases/view/22389
C22390,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit removes corresponding unapplied payment in QBO,https://shopview.testrail.io/index.php?/cases/view/22390
C22391,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete applied deposit unapplies then deletes in QBO,https://shopview.testrail.io/index.php?/cases/view/22391
C22394,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Generic QBO delete failure follows existing sync error behavior,https://shopview.testrail.io/index.php?/cases/view/22394
C22395,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Reverse invoice deletes QBO invoice and returns payments to unapplied,https://shopview.testrail.io/index.php?/cases/view/22395
C22396,LEGACY-TERSE (not damage),,Other / unlisted,E. QuickBooks Integration,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Reverse invoice QBO failure logs Unexported item,https://shopview.testrail.io/index.php?/cases/view/22396
C22397,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Network/System Failures,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit submit network dropped during request,https://shopview.testrail.io/index.php?/cases/view/22397
C22398,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Network/System Failures,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit network dropped during request,https://shopview.testrail.io/index.php?/cases/view/22398
C22399,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Network/System Failures,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,QBO service outage during active use,https://shopview.testrail.io/index.php?/cases/view/22399
C22400,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Concurrency & Race Conditions,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Two users delete same deposit simultaneously,https://shopview.testrail.io/index.php?/cases/view/22400
C22401,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Concurrency & Race Conditions,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit submitted after another user invoices same WO,https://shopview.testrail.io/index.php?/cases/view/22401
C22402,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Concurrency & Race Conditions,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Rapid double-click Submit Deposit,https://shopview.testrail.io/index.php?/cases/view/22402
C22403,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Permissions Mid-Session,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Permission revoked before deposit submit,https://shopview.testrail.io/index.php?/cases/view/22403
C22404,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Permissions Mid-Session,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete permission revoked mid-session,https://shopview.testrail.io/index.php?/cases/view/22404
C22405,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Feature Flag Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Feature flag turned off after deposits exist,https://shopview.testrail.io/index.php?/cases/view/22405
C22406,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount negative input,https://shopview.testrail.io/index.php?/cases/view/22406
C22407,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount pasted with currency text,https://shopview.testrail.io/index.php?/cases/view/22407
C22408,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount three decimal places,https://shopview.testrail.io/index.php?/cases/view/22408
C22409,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Required deposit fields empty,https://shopview.testrail.io/index.php?/cases/view/22409
C22410,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Memo very long input,https://shopview.testrail.io/index.php?/cases/view/22410
C22411,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Memo XSS/special characters escaped,https://shopview.testrail.io/index.php?/cases/view/22411
C22412,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Reference Number special chars escaped,https://shopview.testrail.io/index.php?/cases/view/22412
C22414,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposit Amount scientific notation or invalid numeric,https://shopview.testrail.io/index.php?/cases/view/22414
C22416,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Input Validation Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Backdated deposit uses selected date,https://shopview.testrail.io/index.php?/cases/view/22416
C22413,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - Ambiguous & Edge States,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete deposit applied to paid invoice,https://shopview.testrail.io/index.php?/cases/view/22413
C22415,LEGACY-TERSE (not damage),,Other / unlisted,F. Negative & Error Paths - QBO Consent Edge Cases,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Deposits before QBO consent do not unexpectedly sync,https://shopview.testrail.io/index.php?/cases/view/22415
C22418,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Regression",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Delete regular payment still works,https://shopview.testrail.io/index.php?/cases/view/22418
C22420,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Regression",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,First-payment flow on Invoiced WO still works,https://shopview.testrail.io/index.php?/cases/view/22420
C22421,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Regression",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Historical payment rows show dates,https://shopview.testrail.io/index.php?/cases/view/22421
C22422,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Cross-browser",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Full deposit happy path on Chrome,https://shopview.testrail.io/index.php?/cases/view/22422
C22423,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Cross-browser",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Full deposit happy path on Firefox,https://shopview.testrail.io/index.php?/cases/view/22423
C22424,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Cross-browser",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Full deposit happy path on Safari,https://shopview.testrail.io/index.php?/cases/view/22424
C22425,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Cross-browser",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Full deposit happy path on Edge,https://shopview.testrail.io/index.php?/cases/view/22425
C22426,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Responsive",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Add Deposit modal tablet viewport,https://shopview.testrail.io/index.php?/cases/view/22426
C22427,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Responsive",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Customer Payments table narrow window,https://shopview.testrail.io/index.php?/cases/view/22427
C22428,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Accessibility",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Add Deposit modal keyboard navigation,https://shopview.testrail.io/index.php?/cases/view/22428
C22429,LEGACY-TERSE (not damage),,Other / unlisted,"G. Regression, Cross-browser, Responsive, Accessibility - Accessibility",Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,Add Deposit modal screen-reader labels,https://shopview.testrail.io/index.php?/cases/view/22429
C22431,LEGACY-TERSE (not damage),,Other / unlisted,H. API Contract Validation,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,POST deposit missing required fields returns 400,https://shopview.testrail.io/index.php?/cases/view/22431
C22432,LEGACY-TERSE (not damage),,Other / unlisted,H. API Contract Validation,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,POST deposit amount 0 or less returns validation,https://shopview.testrail.io/index.php?/cases/view/22432
C22435,LEGACY-TERSE (not damage),,Other / unlisted,H. API Contract Validation,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,POST duplicate deposit requests behavior documented,https://shopview.testrail.io/index.php?/cases/view/22435
C22440,LEGACY-TERSE (not damage),,Other / unlisted,H. API Contract Validation,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,DELETE reconciled QBO deposit returns error,https://shopview.testrail.io/index.php?/cases/view/22440
C22443,LEGACY-TERSE (not damage),,Other / unlisted,H. API Contract Validation,Steps,FIELD-NEVER-EDITED,n/a (body as originally authored),,,POST invoice auto-applies deposits,https://shopview.testrail.io/index.php?/cases/view/22443
C45088,SUSPECT-LOW,LOW,Other / unlisted,Printer Friendly Work Orders - Print Option in More Menu,Preconditions,SEPARATORS-LOST,Viktoria Videnovic (FOREIGN),2026-08-26,markdown,Print option is available on every work order status,https://shopview.testrail.io/index.php?/cases/view/45088
C29930,SUSPECT-LOW,LOW,Schedule,Navigation and Layout,Steps,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-05,markdown,No Tech/Dept toggle - department grouping is the only grid grouping,https://shopview.testrail.io/index.php?/cases/view/29930
C29946,FLATTENED,,Schedule,Sidebar - Work Order Filters,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,'Clear all' resets every applied sidebar filter in one click,https://shopview.testrail.io/index.php?/cases/view/29946
C29948,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,"Work order card opens the line drill-down in place, with header and back control",https://shopview.testrail.io/index.php?/cases/view/29948
C29950,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Only approved work order lines appear in the drill-down,https://shopview.testrail.io/index.php?/cases/view/29950
C29951,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,"Line row shows title, hours, the technician roster and a drag handle",https://shopview.testrail.io/index.php?/cases/view/29951
C29952,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Lines with no technician assigned show a 'Needs techs' badge,https://shopview.testrail.io/index.php?/cases/view/29952
C29953,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,'Search lines' matches the line title/name only,https://shopview.testrail.io/index.php?/cases/view/29953
C29954,FLATTENED,,Schedule,Sidebar - Line Drill-Down,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,'All / Unscheduled' filter chips show counts and filter the line list,https://shopview.testrail.io/index.php?/cases/view/29954
C29955,FLATTENED,,Schedule,Drag-and-Drop Scheduling,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Dropping a single-line work order creates a shift with no scope picker,https://shopview.testrail.io/index.php?/cases/view/29955
C29963,FLATTENED,,Schedule,Scope Picker,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Scope picker contents: the pinned whole-order row and the line rows,https://shopview.testrail.io/index.php?/cases/view/29963
C29969,SUSPECT-HIGH,HIGH,Schedule,Shift Start Times and Unassigned Shifts,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,A shift's start time uses the technician's own working hours when set,https://shopview.testrail.io/index.php?/cases/view/29969
C29991,SUSPECT-LOW,LOW,Schedule,Shift Block Anatomy,Steps,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-05,markdown,"A single-line shift block shows customer, unit number and line name",https://shopview.testrail.io/index.php?/cases/view/29991
C30008,FLATTENED,,Schedule,Shift Detail Modal,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,"Clicking a shift opens its detail modal, with VIN always visible",https://shopview.testrail.io/index.php?/cases/view/30008
C30016,FLATTENED,,Schedule,Events,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Create an event via left-click 'Create Event' on empty grid space,https://shopview.testrail.io/index.php?/cases/view/30016
C30034,FLATTENED,,Schedule,Hover Tooltips,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,Shift hover tooltip shows the full shift summary incl. up to 3 line names,https://shopview.testrail.io/index.php?/cases/view/30034
C30052,FLATTENED,,Schedule,Reassignment and Context Menu,Expected,SEPARATORS-LOST,Bilal Muzamil (US),2026-08-20,markdown,"Dragging a shift to another technician row reassigns it, with a confirm modal",https://shopview.testrail.io/index.php?/cases/view/30052
