internal_id,testrail_case_id,testrail_link,title,title_len,area,useful_verdict,sense_verdict,genuine_layman,refs,viu_status,reason
SCH-REAS-03,C30054,https://shopview.testrail.io/index.php?/cases/view/30054,Left-click empty grid space opens a menu: Create Event and New Work Order,73,Reassignment and Context Menu,KEEP,SENSIBLE (was CONTRADICTION X3 - RESOLVED),PASS,"SV-8700 (§7 (left-click menu on empty grid space; View Day and New Shift removed), §14.1 (creation via the cell menu))",VIU-Pending,"The cell-menu contract (exactly two items, two removed items). E5 replaced: the old browser-menu assertion was unreachable under left-click."
SCH-EVT-03,C30018,https://shopview.testrail.io/index.php?/cases/view/30018,Event modal fields all save; the all-day toggle creates an all-day event,72,Events,KEEP,SENSIBLE,PASS,"SV-8696 (§4.10 (Event modal), §8.1 (Event allDay field))",VIU-Pending,Event modal field persistence + all-day toggle. Precondition path corrected to left-click.
SCH-PERM-02,C30075,https://shopview.testrail.io/index.php?/cases/view/30075,View-only: every editing affordance is hidden or disabled,57,Permissions,KEEP,SENSIBLE (was CONTRADICTION X3 - RESOLVED),PASS,SV-8685 (§14.1 (Schedule: View - editing affordances hidden or disabled)),VIU-Pending,View-only negative - permission gating is named load-bearing coverage. Step/expected corrected to left-click.
SCH-PERM-04,C30077,https://shopview.testrail.io/index.php?/cases/view/30077,Schedule: Edit unlocks all creation and modification interactions,65,Permissions,KEEP,SENSIBLE (was CONTRADICTION X3/X6 - RESOLVED),PASS,SV-8685 (§14.1 (Schedule: Edit)),VIU-Pending,Edit-tier positive. Corrected to left-click and aligned with EVT-02 on the day-view entry point.
SCH-REAS-06,C38855,https://shopview.testrail.io/index.php?/cases/view/38855,'New Work Order' in the cell menu points the user to the Work Orders tab,72,Reassignment and Context Menu,WEAK-KEEP,SENSIBLE,PASS,SV-8700 (§7 / §4.10 New Work Order cell-menu shortcut),VIU-Pending,"Kept but flagged: the item exists per the PO, yet what it DOES is still unresolved (design toast vs plan opens-the-window, question A5). Pass bar written to survive either. Re-score once ruled."
SCH-CONF-03,C30025,https://shopview.testrail.io/index.php?/cases/view/30025,Before-hours and after-hours shifts are flagged against the tech's hours,72,Conflict Detection,KEEP,SENSIBLE (was CONTRADICTION X5 - RESOLVED),PASS,"SV-8697 (§4.11 (Before hours, After hours), §4.2 (working-hours hierarchy; 7:00 AM to 7:00 PM default))",VIU-Pending,Before/after-hours conflict against configured hours. Prototype 8:00/5:00 numbers removed; 7-7 default folded into E3.
SCH-TIP-01,C30034,https://shopview.testrail.io/index.php?/cases/view/30034,"Shift hover tooltip shows customer, unit/vehicle/VIN, date and time, technician, scope, up to 3 line names, and a progress bar",126,Hover Tooltips,KEEP,SENSIBLE,PASS,SV-8695 (§4.13 (Shift tooltip)),VIU-Pending,"Tooltip content contract, incl. the VIN rule the PO has now ratified. Notes-only."
SCH-VIEW-04,C30045,https://shopview.testrail.io/index.php?/cases/view/30045,'VIN Number' toggle gates the block VIN only - tooltip and modal always show it,79,Filter and Display and View Options,KEEP,SENSIBLE,PASS,"SV-8700 (§9 (VIN), §4.4); SV-8690 (§4.4, §9 (VIN option)); SV-8694 (§4.8 (Lane height with VIN))",VIU-Pending,The VIN-toggle scope rule (block only). PO-ratified. Notes-only.
SCH-SER-01,C29987,https://shopview.testrail.io/index.php?/cases/view/29987,"Month view: series banner wraps across weeks, labeled once, then 'continues'",76,Linked Series and Banners,KEEP,SENSIBLE (was CONTRADICTION X1/X2 - RESOLVED),PASS,SV-8692 (§4.6 (Month view)),VIU-Pending,Month series banner. E4 asserted a clause v22 DELETED; E3 made conditional; step 3 residue also repaired. Title trimmed 137->76.
SCH-SER-02,C29988,https://shopview.testrail.io/index.php?/cases/view/29988,"Week view: series banner spans the week, with chevrons and 'week N of M'",72,Linked Series and Banners,KEEP,SENSIBLE (was CONTRADICTION X1 - RESOLVED),PASS,SV-8692 (§4.6 (Week view)),VIU-Pending,Week series banner. E4 asserted a deleted clause - removed. Title trimmed 117->72.
SCH-DAY-06,C30006,https://shopview.testrail.io/index.php?/cases/view/30006,"A now line marks the current time on today's day view, with a label on hover",76,Day View Timeline,WEAK-KEEP,SENSIBLE,PASS,SV-8694 (§4.8 (Now line)),VIU-Pending,"Now-line rendering - build-acceptance rather than per-cycle regression, so WEAK-KEEP (unchanged rating from the 2026-07-31 audit). Wording aligned to v23."
SCH-EDGE-08,C38866,https://shopview.testrail.io/index.php?/cases/view/38866,Schedule and all its dialogs display correctly in dark mode,59,Edge Cases and Responsiveness,KEEP,SENSIBLE,PASS,"SV-8685 (§11 (Dark theme - user-selectable Light / Dark, persisted per user))",VIU-Pending,"Dark-mode readability sweep, now spec-backed (v23 section 11) rather than tech-plan-only. refs upgraded per Rule 20."
SCH-EXP-01,C38853,https://shopview.testrail.io/index.php?/cases/view/38853,Week Export opens a printable Department-by-Technician week grid,64,Week Export and Printing,CUT,SENSIBLE,PASS,SV-8685 (design Week Export - V1 scope pending Branko),VIU-Pending,"CUT recommended: the PO says Week Export is not in V1 and not in the backlog, so the case tests something that will not exist. HELD for user authorization - NOT deleted."
SCH-VIEW-05,C30046,https://shopview.testrail.io/index.php?/cases/view/30046,'View Options': six toggles with defaults; Capacity Bars and Events flip,72,Filter and Display and View Options,KEEP,SENSIBLE,PASS,"SV-8700 (§6, §9 (View Options popover, Capacity Bars, Events), §4.12)",VIU-Pending,View-Options toggle defaults + effects. Notes-only: records the new spec-silent interaction between the Events toggle and capacity totals (question A7) without asserting either outcome.
