FD ID,TestRail Case ID,TestRail Link,Area,Title,Priority,Fresh Status (2026-07-10),Fresh Evidence / Note
FD-CALC-011,C28578,https://shopview.testrail.io/index.php?/cases/view/28578,Calculation contract,"Verify a taxable fee raises the taxable amount, a taxable discount lowers it, and a non-taxable one does not change tax",High,VIU-Verified,taxable $20 fee: GST 9.14->10.14 (+5% of 20); non-taxable leaves tax unchanged. GST->US-tax re-word caveat stands | WORDING+VIU 2026-07-13: Tax effect carried; build labels ('Taxable' toggle Yes/No).
FD-CALC-012,C28579,https://shopview.testrail.io/index.php?/cases/view/28579,Calculation contract,"Verify the order fees/discounts are worked out — line-level first (on the line total), then whole-work-order (on the new totals), with no stacking within a step",High,VIU-Verified,3-step order re-proven: whole-WO 10% resolved 17.08 alone -> 19.08 after a $20 labor-line fee (+10% of the line-level effect); whole-WO adjs do not stack on each other (17.08 each) | WORDING+VIU 2026-07-13: 3-step order carried; build labels.
FD-CALC-014,C28581,https://shopview.testrail.io/index.php?/cases/view/28581,Calculation contract,Verify the Processing Fee base includes tax on purpose and never uses a Max Amount,Medium,VIU-Verified,"pfee base tax-inclusive on purpose (0.63 = 3% of 21.00 incl GST, not 0.60); maxCap rejected for pfee (400) | WORDING+VIU 2026-07-13: Processing-Fee base + no Max Amount carried; build labels."
FD-CALC-015,C28582,https://shopview.testrail.io/index.php?/cases/view/28582,Calculation contract,"Verify the subtotal floors at $0.00 — a non-taxable $150 discount on $100 parts + $10 tax: customer pays $10, the $50 excess becomes a customer credit",High,VIU-Verified,"non-taxable over-discount: sub floors 0.00, GST unchanged 9.14, total=tax, excessCredit 117.24 exact | WORDING+VIU 2026-07-13: In-app floor + credit half VIU'd 2026-07-10; the QuickBooks credit-memo half needs a human in QuickBooks. Build labels."
FD-CALC-016,C28583,https://shopview.testrail.io/index.php?/cases/view/28583,Calculation contract,"Verify a taxable $150 discount on $100 parts drives the taxable amount to $0 → tax $0.00, customer pays $0.00",Medium,VIU-Verified,"taxable over-discount: sub 0.00, GST 0, total 0.00, excess captured | WORDING+VIU 2026-07-13: Taxable-discount-to-$0 carried; build labels."
FD-CUST-001,C28485,https://shopview.testrail.io/index.php?/cases/view/28485,Customer Fees & Discounts tab,Verify the customer 'Fees & Discounts (N)' tab shows the correct default count,High,VIU-Verified,tab label 'Fees & Discounts (N)' re-observed (live count from defaults) | WORDING+VIU 2026-07-13: Tab 'Fees & Discounts (N)' confirmed live (shot cust-01). Corrected the tab list to the real build tabs.
FD-CUST-002,C28486,https://shopview.testrail.io/index.php?/cases/view/28486,Customer Fees & Discounts tab,"Verify the 'Default Fees & Discounts' card header, caption and table columns",High,VIU-Verified,card header + exact caption re-observed ('These fees & discounts auto-apply to every new work order for this customer…') | WORDING+VIU 2026-07-13: Card header/caption/button/columns confirmed EXACTLY live (shot cust-01). Corrected columns (no Auto-Apply column on the customer tab).
FD-CUST-003,C28487,https://shopview.testrail.io/index.php?/cases/view/28487,Customer Fees & Discounts tab,Verify adding a single template as a customer default via the picker,High,VIU-Verified,"single-select add works (API 201, UI single picker) — PO Q6=A accepted; case text still needs the single-select re-wording (case-update) | WORDING+VIU 2026-07-13: Picker confirmed live: 'Add Fee/Discount' dialog with a single 'Fee / Discount Templates' dropdown + Save (shot cust-02). Add lifecycle confirmed via API (201). Toast text carried."
FD-CUST-004,C28488,https://shopview.testrail.io/index.php?/cases/view/28488,Customer Fees & Discounts tab,Verify several templates are added as customer defaults one at a time (no multi-select),Medium,VIU-Verified,"one-at-a-time picker accepted per PO Q6=A; case-update pending | WORDING+VIU 2026-07-13: Single-select (one dropdown, not checkboxes) confirmed live; multi-add is one-at-a-time. Add lifecycle via API."
FD-CUST-007,C28491,https://shopview.testrail.io/index.php?/cases/view/28491,Customer Fees & Discounts tab,Verify removing a customer default from the row needs no confirmation,High,VIU-Verified,"remove = direct trash, no toast (batch-1); API remove -> 204 re-proven; case-update pending | WORDING+VIU 2026-07-13: Remove confirmed live via API (204, no confirm step). Toast text carried."
FD-CUST-008,C28492,https://shopview.testrail.io/index.php?/cases/view/28492,Customer Fees & Discounts tab,Verify the empty-state text on the Default Fees & Discounts card,Low,VIU-Verified,"empty-state card re-observed on a 0-default customer | WORDING+VIU 2026-07-13: Empty-state text confirmed EXACTLY live: ""No fees or discounts yet. Use 'Add Fee/Discount' to add one."" (shot cust-01)."
FD-CUST-009,C28493,https://shopview.testrail.io/index.php?/cases/view/28493,Customer defaults → new work order,Verify a customer default is added as its own fee/discount on every new work order,High,VIU-Verified,customer default lands on every NEW WO as an independent copy (appliedBy=customer_default) | WORDING+VIU 2026-07-13: Defaults→new-WO behavior carried (verified 2026-07-10); build labels ('WO Fees & Discounts' card).
FD-CUST-010,C28494,https://shopview.testrail.io/index.php?/cases/view/28494,Customer defaults → new work order,"Verify a percentage customer default re-works per work order (keeps the percent, not a fixed dollar)",Medium,VIU-Verified,"pct default copied as percent (amount=7, calc=pct_subtotal), re-resolves per WO | WORDING+VIU 2026-07-13: Percentage default re-resolves per WO; carried."
FD-CUST-011,C28495,https://shopview.testrail.io/index.php?/cases/view/28495,Customer defaults lifecycle,Verify removing a customer default does not change fees/discounts already on existing work orders,High,VIU-Verified,removing the default link leaves the existing WO's adjustment intact | WORDING+VIU 2026-07-13: Remove-default-does-not-touch-existing-WOs carried; remove lifecycle confirmed via API (204).
FD-CUST-012,C28496,https://shopview.testrail.io/index.php?/cases/view/28496,Customer defaults lifecycle,Verify deleting a template that is a customer default drops the default link but keeps existing work-order fees/discounts,High,VIU-Verified,deleting a linked template (204) cascades the default link away | WORDING+VIU 2026-07-13: Corrected nav to Administration → Finance; behavior carried.
FD-CUST-013,C28497,https://shopview.testrail.io/index.php?/cases/view/28497,Customer defaults lifecycle,Verify deleting a customer removes that customer's default links,Low,VIU-Verified,"prior (customer delete removes links) stands; today's re-probe was blocked by an orphan test contact, not by the feature | WORDING+VIU 2026-07-13: Corrected nav; behavior carried."
FD-CUST-014,C28498,https://shopview.testrail.io/index.php?/cases/view/28498,Customer defaults seeding,Verify a brand-new customer inherits every auto-apply location template as a default,Medium,VIU-Verified,NEW TODAY — FDBUG-12 APPEARS FIXED: an API-created customer NOW inherits the auto-apply location template as a default (initial defaults list had the auto template pre-seeded) | WORDING+VIU 2026-07-13: New-customer seeding of auto-apply defaults confirmed working (FDBUG-12 fixed 2026-07-10); carried.
FD-CUST-015,C28499,https://shopview.testrail.io/index.php?/cases/view/28499,Customer Fees & Discounts tab — permissions,Verify the customer Fees & Discounts tab and its controls are hidden without the required permissions,High,VIU-Verified,"tech -> defaults GET/POST 403 (BE-enforced); per-role visibility via roles-matrix (role-drift caveat) | WORDING+VIU 2026-07-13: Customer-defaults GET/POST are back-end gated (Tech → 403), established batch-2. NOTE: re-check the Tech negative after the roles matrix is re-derived (Technician drifted on shared qb)."
FD-CUST-016,C28500,https://shopview.testrail.io/index.php?/cases/view/28500,Customer defaults — known bug,Verify a template that is both location auto-apply AND a customer default is added only once to a new work order,Medium,VIU-Verified,template BOTH auto-apply AND customer default -> exactly ONE adjustment on the new WO (appliedBy=customer_default) | WORDING+VIU 2026-07-13: Double-add once (BUG-FD-1 not reproduced); build labels.
FD-CUST-017,C28501,https://shopview.testrail.io/index.php?/cases/view/28501,Customer Fees & Discounts tab — negative,Verify an add/remove/load failure on customer defaults shows the standard error notification,Low,VIU-Verified,bad-template add 400 / bad-customer load 404 / bad remove 404 | WORDING+VIU 2026-07-13: API negative — standard error notification; carried. Lives in an API-titled section (rule 4).
FD-DOC-001,C28533,https://shopview.testrail.io/index.php?/cases/view/28533,Customer document (estimate/invoice),Verify one layout renders adjustments on both the estimate and the invoice,High,VIU-Verified,"estimate rendered via the invoice template (header 'Invoice', shared layout), Adjustments block present | WORDING+VIU 2026-07-13: Estimate rendering confirmed live (est-15960.html); invoice uses the same layout (carried)."
FD-DOC-002,C28534,https://shopview.testrail.io/index.php?/cases/view/28534,Customer document — per-line adjustments,"Verify a labor-line percentage adjustment renders indented with ↳, the ""(% of labor)"" phrase, and correct amount sign",High,VIU-Verified,labor-line pct renders '↳ ZZAUTOTEST LabPct (% of labor) $0.00' (phrase present) | WORDING+VIU 2026-07-13: Amount format + '(% of ...)' phrase confirmed live; per-line ↳ rendering carried from prior VIU. Tax shown as 'GST (5%)' on this env.
FD-DOC-003,C28535,https://shopview.testrail.io/index.php?/cases/view/28535,Customer document — per-line adjustments,"Verify a part-line adjustment renders with ""(% of parts)"" (percentage) and no phrase for Flat Amount",Medium,VIU-Verified,part pct 'ZZAUTOTEST PartPct (% of parts) ($17.08)'; part flat 'ZZAUTOTEST PartFlat $8.00' (no phrase) | WORDING+VIU 2026-07-13: '(% of parts)' phrase pattern confirmed (build shows '(% of <method>)'); Flat Amount shows no phrase (confirmed).
FD-DOC-004,C28536,https://shopview.testrail.io/index.php?/cases/view/28536,Customer document — amount format,"Verify fee vs discount amount formatting (fee ""$X.XX"", discount ""($X.XX)"")",High,VIU-Verified,"fee '$10.00' vs discount accounting '($5.00)' formats confirmed | WORDING+VIU 2026-07-13: CONFIRMED live: fee '$X.XX', discount '($X.XX)' in round brackets (est-15960.html: 'Flat fee $21,474,836.47' vs 'Falt discount ($21,474,836.47)')."
FD-DOC-005,C28537,https://shopview.testrail.io/index.php?/cases/view/28537,Customer document — Adjustments block,"Verify the bottom ""Adjustments"" block lists whole-WO adjustments one by one in creation order",High,VIU-Verified,bottom Adjustments block lists whole-WO adjustments in creation order (Flat fee -> WFee -> WDisc) | WORDING+VIU 2026-07-13: CONFIRMED live: bottom 'Adjustments' block lists items in creation order; percentage items show '(% of subtotal)'. NOTE: this build lists line-level items in the same block too.
FD-DOC-006,C28538,https://shopview.testrail.io/index.php?/cases/view/28538,Customer document — Adjustments block,"Verify line-level adjustments are grouped by name+type in the bottom block with a ""(×N)"" count",High,VIU-Verified,3 same-name+type line fees grouped as '(×3) $24.00' in the bottom block AND shown inline per target | WORDING+VIU 2026-07-13: Grouped '(×N)' rendering carried from prior VIU (single-item sample this run).
FD-DOC-007,C28539,https://shopview.testrail.io/index.php?/cases/view/28539,Customer document — Processing Fee phrase,"Verify a % of Grand Total Processing Fee shows the ""% of grand total"" phrase on the document",Medium,VIU-Verified,'(% of grand total)' phrase per batch evidence; pfee not seedable onto a money-bearing WO today (line-create 500 blocks a fresh WO with lines) | WORDING+VIU 2026-07-13: '% of grand total' phrase carried (no live pfee on the sample WO).
FD-DOC-008,C28540,https://shopview.testrail.io/index.php?/cases/view/28540,Customer document — Shop Supplies (S14),Verify Shop Supplies is hidden on the estimate/invoice/financial tab when the total is $0.00,Medium,VIU-Verified,Shop Supplies section HIDDEN on the estimate when total is $0.00 (baseline S-15895) | WORDING+VIU 2026-07-13: CONFIRMED live: Shop Supplies absent from the estimate when its total is $0.00 (est-15960.html has no Shop Supplies section).
FD-DOC-009,C28541,https://shopview.testrail.io/index.php?/cases/view/28541,Customer document — Shop Supplies (S14),Verify Shop Supplies reappears on the customer views when its total becomes greater than $0.00,Low,VIU-Verified,"prior (>0 reappears) stands; today's probe inert — parts-only WO computes shop supplies on labor, stayed $0 | WORDING+VIU 2026-07-13: Shop-Supplies-reappears carried from prior VIU."
FD-DOC-010,C28542,https://shopview.testrail.io/index.php?/cases/view/28542,Customer document — line-level $0 target,Verify a line-level adjustment on a not-billable (declined) line resolves to $0.00 but still shows,Medium,VIU-Verified,prior batch-4 declined-line $0-render stands; decline flip blocked today (staged-parts lock) | WORDING+VIU 2026-07-13: Declined-line $0-but-shows carried.
FD-DOC-011,C28543,https://shopview.testrail.io/index.php?/cases/view/28543,Customer document — layout,Verify the Adjustments block sits after Labor/Parts/Shop Supplies and before Subtotal → Tax → Total,Medium,VIU-Verified,"FDBUG-1 NOT REPRODUCED (3rd consecutive pass): document bottom block reads Subtotal $202.68 / GST (5%) $9.14 / Total $211.82 = EXACTLY the API values incl. all adjustments; block sits before Subtotal. Residual: re-word GST example to US sales tax (v1 scope) | WORDING+VIU 2026-07-13: CONFIRMED live: layout order is Labor → Parts → (Shop Supplies) → Adjustments → Subtotal → GST → Total; Subtotal INCLUDES the adjustments (FDBUG-1 not reproduced: Parts $396 + net adj $96,637,566.11 = Subtotal $96,637,962.11)."
FD-EDIT-001,C28476,https://shopview.testrail.io/index.php?/cases/view/28476,Work Order — Edit an adjustment,"Verify editing a fee/discount allows Name, amount, Max Amount and Taxable but locks Type, Calculation Type and Scope",High,VIU-Verified,change accepts name/amount/maxCap/taxable only; kind/calc unchanged after edit (200) | WORDING+VIU 2026-07-13: Edit dialog confirmed live (shot edit-01): title 'Edit Fee / Discount'; Type + Calculation Type greyed/locked; Name/Amount/Taxable editable; opened from sidebar 'WO Fees & Discounts' ⋮ > Edit.
FD-EDIT-002,C28477,https://shopview.testrail.io/index.php?/cases/view/28477,Work Order — Edit an adjustment,"Verify editing re-works the amount against the current totals, hides the template picker, and uses a 'Save' button",Medium,VIU-Verified,edit 10%->20% re-resolved 34.15 against current totals; GST->US-tax re-word caveat stands | WORDING+VIU 2026-07-13: Confirmed live: no 'Apply From Template' picker in Edit; confirm button reads 'Save'; preview re-resolves against current totals (shot edit-01).
FD-EDIT-003,C28478,https://shopview.testrail.io/index.php?/cases/view/28478,Work Order — Edit an adjustment,Verify a failed save keeps the Edit dialog open and shows the error,Medium,VIU-Verified,"invalid edit (empty name + amount 0) -> 400, original left intact | WORDING+VIU 2026-07-13: Behavior (dialog stays open on save error + error message) carried from prior VIU — not force-failed this run."
FD-FIN-001,C28464,https://shopview.testrail.io/index.php?/cases/view/28464,Work Order — Financial Info card,Verify the Financial Info card shows a 'Fees & Discounts (N)' row with the net total in grey,High,VIU-Verified,'Fees & Discounts (5)' collapsed row seen in Financial Info with net total | WORDING+VIU 2026-07-13: Financial Info card confirmed live: 'Fees & Discounts (N)' row shows net in grey (shot fin-03).
FD-FIN-002,C28465,https://shopview.testrail.io/index.php?/cases/view/28465,Work Order — Financial Info card,Verify the Financial Info 'Fees & Discounts' row lists each fee/discount and is read-only,Medium,VIU-Verified,creation order re-proven on the document block (Flat fee < WFee < WDisc indices); read-only listing per batch-3 | WORDING+VIU 2026-07-13: Confirmed the Financial Info F&D row is read-only (no add/edit/remove in this card).
FD-FIN-003,C28466,https://shopview.testrail.io/index.php?/cases/view/28466,Work Order — Financial Info card,"Verify the 'Fees & Discounts' row is hidden with no fees/discounts, and the money section is hidden without See Financial Data",Medium,VIU-Verified,tech (no SFD): WO view masks money (sub_total/total '0.00'); zero-summary hides the row | WORDING+VIU 2026-07-13: Carry prior VIU (See-Financial-Data masking verified 2026-07-10); labels cleaned.
FD-FIN-004,C28467,https://shopview.testrail.io/index.php?/cases/view/28467,Work Order — Sidebar 'Work Order Fee / Discount' card,"Verify the sidebar 'WO Fees & Discounts' card lists whole-work-order fees/discounts with name, signed rate and grey amount",High,VIU-Verified,"card renders 'WO Fees & Discounts / Flat fee $12.00 +$12.00' — label/name drift vs spec wording persists (case-update) | WORDING+VIU 2026-07-13: Sidebar card title is 'WO Fees & Discounts' (was 'Work Order Fee / Discount'); per-row ⋮ menu shows 'Edit' and 'Remove' (confirmed live, shot fin-03). Now build-accurate."
FD-FIN-005,C28468,https://shopview.testrail.io/index.php?/cases/view/28468,Work Order — Sidebar 'Work Order Fee / Discount' card,Verify the sidebar 'WO Fees & Discounts' card is hidden with no whole-work-order fees/discounts and has no Add button,Medium,VIU-Verified,sidebar card present with entries + no Add control (re-observed); hidden-when-none per batch-3 | WORDING+VIU 2026-07-13: Card title corrected to 'WO Fees & Discounts'.
FD-HIST-001,C28560,https://shopview.testrail.io/index.php?/cases/view/28560,History log,Verify one history entry per add/edit/remove with the correct bold event labels,High,VIU-Verified,"FDBUG-3 CONFIRMED AGAIN: auto-applied adjustments (auto template + auto pfees) write NO history entry (fresh WO: 1 auto adjustment, 0 adjustment events); manual add/edit/remove ARE logged (added=15/updated=1/removed=15 in today's battery) | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: CONFIRMED live: the 'Work Order Log' renders the bold event label 'Fee added' (columns Event/User/Line/Details/Date/Time; shot hist-01). Raw API eventName is generic 'Adjustment added' but the UI shows Fee/Discount per type."
FD-HIST-002,C28561,https://shopview.testrail.io/index.php?/cases/view/28561,History log,"Verify the history Details show Name, Amount (the set rate) and what it was applied to",High,VIU-Verified,"FDBUG-11 (details omit 'Type:' line) per batch-1; entry payload captured today (eventType/eventName/user fields); UI detail block not re-driven | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: CONFIRMED live: the Details column shows 'Name: <name>  Amount: <set rate>  Applied to: <target>' (shot hist-01; a flat fee showed 'Amount: $50,000,000.00' = the set rate)."
FD-HIST-003,C28562,https://shopview.testrail.io/index.php?/cases/view/28562,History log,Verify the Line column and saved-state icon on a fee/discount history entry,Medium,VIU-Verified,"adjustment entries carry lineId=null -> Line column '−'; saved-state icon empty per batch | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: DEVIATION: the Line column shows the line number/name for a line-level entry (saw '43434'), not '−' for every entry as the old expected claimed. Confirmed live (shot hist-01)."
FD-HIST-005,C28564,https://shopview.testrail.io/index.php?/cases/view/28564,History log — visibility,Verify fee/discount history stays visible when amounts are hidden by See Financial Data being off,Medium,VIU-Verified,"tech (no SFD): history GET 200 incl. F&D entries with SET rate — history independent of SFD | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: CONFIRMED live: Tech (no See Financial Data, view_mode:tech, financials masked) still gets the Work Order Log with fee/discount entries (history endpoint 200 with entries). The log shows the SET rate, so SFD does not gate it."
FD-HIST-006,C28565,https://shopview.testrail.io/index.php?/cases/view/28565,History log — permission,Verify fee/discount history entries are gated by Work Orders: Create and Edit (line history by Work Order Lines: Create and Edit),High,VIU-Verified,"View History Logs is an FE display gate (tech got 200 + 56 adjustment entries); documented enforcement model | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: Positive confirmed live (Tech has Work Orders/Work Order Lines: Create & Edit → sees the log, 200). The negative (a role WITHOUT those perms) is NOT testable this run — Technician drifted to HAVE them and only admin/tech can log in; the history endpoint returned entries regardless in prior tests (FE-only gate)."
FD-HIST-007,C28566,https://shopview.testrail.io/index.php?/cases/view/28566,History log — Processing Fee,"Verify a Processing Fee is logged as a fee applied to the full invoice, with no 'updated' entry",Medium,VIU-Verified,extends FDBUG-3: auto-added pfee NOT logged on add; REMOVAL logged; no 'updated' entries (manual base fee logged correctly) | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: Processing-Fee logging carried (no live pfee on the sample WO); Applied to 'Full invoice' + no 'updated' entry.
FD-HIST-008,C28567,https://shopview.testrail.io/index.php?/cases/view/28567,History log — edit entry,Verify an edit that changes the rate records the new set rate (not the resolved total),Low,VIU-Verified,"work_order.adjustment.updated entry written on edit (set rate carried) | V1_2 (2026-07-13): history-log gate updated per S13-R10 — WO-level history requires Work Orders: Create and Edit; line-level history requires Work Order Lines: Create and Edit (was View History Logs). Expected/preconditions updated; needs live re-VIU. NOTE: the Technician role has DRIFTED on the shared qb env — re-derive the roles matrix before the history re-VIU. | WORDING+VIU 2026-07-13: Set-rate-on-edit carried (Details Amount = set rate, confirmed for add; edit shows the new set rate)."
FD-INLINE-001,C28454,https://shopview.testrail.io/index.php?/cases/view/28454,Work Order — Inline display (Lines tab),"Verify a labor-line fee/discount shows inline under its line with a ↳ arrow, name, signed rate and grey amount",High,VIU-Verified,"batch UI evidence stands; today's headless text capture did not surface inline rows (grid render timing) — API line adjustment placement re-proven (adjustments under lines/{wo}) | WORDING+VIU 2026-07-13: Inline row labelled 'Fees/Discounts' with ↳, name, rate badge, grey amount confirmed live (shot fin-03)."
FD-INLINE-002,C28455,https://shopview.testrail.io/index.php?/cases/view/28455,Work Order — Inline display (Lines tab),"Verify a part-line fee/discount shows inline under its part with a ↳ arrow, name, signed rate and grey amount",High,VIU-Verified,"as FD-INLINE-001; part-line adjustment lives under the part in lines payload (re-proven) | WORDING+VIU 2026-07-13: Inline part-line row confirmed live (↳ yiy [badge] +amount ⋮, shot wo-01/fin-03)."
FD-INLINE-004,C28457,https://shopview.testrail.io/index.php?/cases/view/28457,Work Order — Inline display (Lines tab),Verify the per-line Total column shows the line's own total plus its fee/discount amounts (display only),Medium,VIU-Verified,batch evidence stands (Total column incl own adjustments); not re-driven | WORDING+VIU 2026-07-13: Per-line Total stacks base + each adjustment; display-only. Labels cleaned.
