FD ID,TestRail Case ID,TestRail Link,Area,Title,Priority,Fresh Status (2026-07-10),What needs to be done (plain),Fresh Evidence / Note
FD-CALC-011,C28578,https://shopview.testrail.io/index.php?/cases/view/28578,Calculation contract,"Verify a taxable fee raises the taxable amount, a taxable discount lowers it, and a non-taxable one does not change tax",High,VIU-Verified,No action needed — passed.,"taxable $20 fee: GST 9.14->10.14 (+5% of 20); non-taxable leaves tax unchanged. GST->US-tax re-word caveat stands | WORDING+VIU 2026-07-13: Tax effect carried; build labels ('Taxable' toggle Yes/No). | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-CALC-012,C28579,https://shopview.testrail.io/index.php?/cases/view/28579,Calculation contract,"Verify the order fees/discounts are worked out — line-level first (on the line total), then whole-work-order (on the new totals), with no stacking within a step",High,VIU-Verified,No action needed — passed.,3-step order re-proven: whole-WO 10% resolved 17.08 alone -> 19.08 after a $20 labor-line fee (+10% of the line-level effect); whole-WO adjs do not stack on each other (17.08 each) | WORDING+VIU 2026-07-13: 3-step order carried; build labels.
FD-CALC-014,C28581,https://shopview.testrail.io/index.php?/cases/view/28581,Calculation contract,Verify the Processing Fee base includes tax on purpose and never uses a Max Amount,Medium,VIU-Verified,No action needed — passed.,"pfee base tax-inclusive on purpose (0.63 = 3% of 21.00 incl GST, not 0.60); maxCap rejected for pfee (400) | WORDING+VIU 2026-07-13: Processing-Fee base + no Max Amount carried; build labels. | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-CALC-015,C28582,https://shopview.testrail.io/index.php?/cases/view/28582,Calculation contract,"Verify the subtotal floors at $0.00 — a non-taxable $150 discount on $100 parts + $10 tax: customer pays $10, the $50 excess becomes a customer credit",High,VIU-Verified,No action needed — passed.,"non-taxable over-discount: sub floors 0.00, GST unchanged 9.14, total=tax, excessCredit 117.24 exact | WORDING+VIU 2026-07-13: In-app floor + credit half VIU'd 2026-07-10; the QuickBooks credit-memo half needs a human in QuickBooks. Build labels. | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-CALC-016,C28583,https://shopview.testrail.io/index.php?/cases/view/28583,Calculation contract,"Verify a taxable $150 discount on $100 parts drives the taxable amount to $0 → tax $0.00, customer pays $0.00",Medium,VIU-Verified,No action needed — passed.,"taxable over-discount: sub 0.00, GST 0, total 0.00, excess captured | WORDING+VIU 2026-07-13: Taxable-discount-to-$0 carried; build labels. | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-CALC-018,C30629,https://shopview.testrail.io/index.php?/cases/view/30629,Calculation contract,Verify a work order line total adds the line's own fees to Labor and Parts (Labor $250 + fee +$50.00 + Part $20.00 + fee +$2.20 → line total $322.20),High,VIU-Verified,No action needed — passed.,"= $392.40 = 290 + labor fee ttt +20% ($58.00) + 40 + part fee test +11% ($4.40); NOT gross $330. Rows render PLAIN TEXT bare '20%'/'11%' (no plus sign, no colored badge; HTML span text-grey-7). Ev: 018-lines-collapsed-full.png, 018-lines-expanded-full.png, api-FD-CALC-018-024-total_cost-392.40.json."
FD-CALC-019,C30630,https://shopview.testrail.io/index.php?/cases/view/30630,Calculation contract,"Verify a discount on a line subtracts from the line total while a fee adds (fees add, discounts subtract in the line total)",High,VIU-Verified,No action needed — passed.,"acted -> collapsed line Total = $384.00 = 290 + 58 + 40 - 4.00 (fee adds, discount subtracts). Discount rate renders '-10%' (en-dash minus) plain text, resolved -$4.00; fee rate renders bare '20%'. Ev: 019-lines-collapsed-full.png, 019-lines-expanded-full.png, api-FD-CALC-019-total_cost-384.00.json."
FD-CALC-020,C30631,https://shopview.testrail.io/index.php?/cases/view/30631,Calculation contract,Verify a line with no fees or discounts shows a line total of Labor + Parts only (unchanged by the fix),Medium,VIU-Verified,No action needed — passed.,"tal (no change from the fix). | LIVE STAGING VIU 2026-07-22: VIU-VERIFIED. A ZZAUTOTEST line with no fees/discounts (Labor $290 + Parts $40) shows collapsed line Total = $330.00 = gross Labor + Parts only, no Fees/Discounts rows. Ev: 020-lines-nofee-line.png, api-baseline-nofees-total_cost-330.json."
FD-CALC-021,C30632,https://shopview.testrail.io/index.php?/cases/view/30632,Calculation contract,"Verify the Estimate document is unchanged — labor prints gross, each fee prints its own row, and the grand total is not double-counted",Medium,VIU-Verified,No action needed — passed.,"0'; the document Line Total = $330.00 (gross Labor+Parts, fee NOT folded in); every fee/discount (incl. line-level ttt +$58.00 and pdisc ($4.00)) listed once in the Fees & Discounts breakdown -> no double-count. Confirms the fix is Lines-tab display-only; estimate unchanged. Ev: 021-finance-tab.png."
FD-CALC-022,C30633,https://shopview.testrail.io/index.php?/cases/view/30633,Calculation contract,"Verify the Invoice document is unchanged — labor prints gross, each fee prints its own row, and the grand total is not double-counted",Medium,VIU-Verified,No action needed — passed.,"Invoice document (Finance tab toggle, INV-S3-25836): renders identically to the estimate — Labor gross $290.00, the line fee prints as its own row '↳ ttt (% of labor) $58.00', document Line Total = $330.00 (gross, fee not folded in), each fee listed once -> no double-count. Ev: 022-invoice-view.png."
FD-CALC-024,C30635,https://shopview.testrail.io/index.php?/cases/view/30635,Calculation contract,Verify the backend per-line total includes the line's signed fee/discount amounts (Labor $250 + $50.00 + Part $20.00 + $2.20 → total_cost 322.20),High,VIU-Verified,No action needed — passed.,"Stored line amounts unchanged (labour_rate 145, total_labour_cost 290, part sell_price 40); the fee/discount amounts live separately under line.adjustments[] and part_requests[].adjustments[] (resolvedAmount 58 / 4.40) — computed total is display-only. Ev: api-FD-CALC-018-024-total_cost-392.40.json."
FD-CUST-001,C28485,https://shopview.testrail.io/index.php?/cases/view/28485,Customer Fees & Discounts tab,Verify the customer 'Fees & Discounts (N)' tab shows the correct default count,High,VIU-Verified,No action needed — passed.,tab label 'Fees & Discounts (N)' re-observed (live count from defaults) | WORDING+VIU 2026-07-13: Tab 'Fees & Discounts (N)' confirmed live (shot cust-01). Corrected the tab list to the real build tabs.
FD-CUST-002,C28486,https://shopview.testrail.io/index.php?/cases/view/28486,Customer Fees & Discounts tab,"Verify the 'Default Fees & Discounts' card header, caption and table columns",High,VIU-Verified,No action needed — passed.,card header + exact caption re-observed ('These fees & discounts auto-apply to every new work order for this customer…') | WORDING+VIU 2026-07-13: Card header/caption/button/columns confirmed EXACTLY live (shot cust-01). Corrected columns (no Auto-Apply column on the customer tab).
FD-CUST-003,C28487,https://shopview.testrail.io/index.php?/cases/view/28487,Customer Fees & Discounts tab,Verify adding a single template as a customer default via the picker,High,VIU-Verified,No action needed — passed.,"single-select add works (API 201, UI single picker) — PO Q6=A accepted; case text still needs the single-select re-wording (case-update) | WORDING+VIU 2026-07-13: Picker confirmed live: 'Add Fee/Discount' dialog with a single 'Fee / Discount Templates' dropdown + Save (shot cust-02). Add lifecycle confirmed via API (201). Toast text carried."
FD-CUST-004,C28488,https://shopview.testrail.io/index.php?/cases/view/28488,Customer Fees & Discounts tab,Verify several templates are added as customer defaults one at a time (no multi-select),Medium,VIU-Verified,No action needed — passed.,"one-at-a-time picker accepted per PO Q6=A; case-update pending | WORDING+VIU 2026-07-13: Single-select (one dropdown, not checkboxes) confirmed live; multi-add is one-at-a-time. Add lifecycle via API."
FD-CUST-007,C28491,https://shopview.testrail.io/index.php?/cases/view/28491,Customer Fees & Discounts tab,Verify removing a customer default from the row needs no confirmation,High,VIU-Verified,No action needed — passed.,"remove = direct trash, no toast (batch-1); API remove -> 204 re-proven; case-update pending | WORDING+VIU 2026-07-13: Remove confirmed live via API (204, no confirm step). Toast text carried."
FD-CUST-008,C28492,https://shopview.testrail.io/index.php?/cases/view/28492,Customer Fees & Discounts tab,Verify the empty-state text on the Default Fees & Discounts card,Low,VIU-Verified,No action needed — passed.,"empty-state card re-observed on a 0-default customer | WORDING+VIU 2026-07-13: Empty-state text confirmed EXACTLY live: ""No fees or discounts yet. Use 'Add Fee/Discount' to add one."" (shot cust-01)."
FD-CUST-009,C28493,https://shopview.testrail.io/index.php?/cases/view/28493,Customer defaults → new work order,Verify a customer default is added as its own fee/discount on every new work order,High,VIU-Verified,No action needed — passed.,"customer default lands on every NEW WO as an independent copy (appliedBy=customer_default) | WORDING+VIU 2026-07-13: Defaults→new-WO behavior carried (verified 2026-07-10); build labels ('WO Fees & Discounts' card). | SV-8456 (2026-07-21 staging LIVE VIU): F&D moved to SETTINGS→SERVICE (below Canned Lines); template/WO/Part-sale/customer dialogs now show Taxable as a Yes/No DROPDOWN (was toggle); Auto-apply is a CHECKBOX with a 'When on…' caption; settings & customer tables are plain-text/left-aligned (no badges); WO sidebar card retitled 'Work Order Fees & Discounts' and renders ABOVE Financial Info; Part-sale card 'Parts Sale Fees & Discounts' above Financial Info. Permission gate pivoted Settings→Finance → Settings→Service (verified live: Service-user sees+manages F&D & convenience toggle; Finance-only user has no F&D nav item and /administration/adjustment-templates bounces to /workorders). Frontend-only; functionality + calc INTACT. | RE-VIU 2026-07-22 LIVE (Batch 4, SV-8456 re-verify): access-check quick-login {admin} HTTP 200. Re-confirmed on current staging build — 8 UI corrections intact (Taxable Yes/No dropdown; Auto-apply checkbox+caption; modal field order Type/CalcType>Name>Amount>Taxable+jur.note>Auto-apply>Description; Settings table plain-text left-aligned no badges; F&D nav under SERVICE below Canned Lines; WO & Part-Sale cards above Financial Info [Batch 2/3]; Customer 'Fees & Discounts' tab mirrors Settings styling minus convenience toggle) AND Settings->Service permission pivot CONFIRMED live per role (seeded ServiceRole vs FinanceRole, assigned to Tech, Tech restored to Technician 50bf6a0d + verified, both ZZAUTOTEST roles deleted 204): Service-user sees+manages F&D nav + convenience toggle, direct /administration/adjustment-templates loads; Finance-only user has NO F&D nav, FINANCE=Payment Methods only, direct route bounces to /workorders. viu_status VIU-Verified re-confirmed. Ev build/fees-discounts/viu-sv8456-2026-07-22/ (01-settings-landing, 02-new-dialog, 03-customer-fd-tab, SVC-*, FIN-*)."
FD-CUST-010,C28494,https://shopview.testrail.io/index.php?/cases/view/28494,Customer defaults → new work order,"Verify a percentage customer default re-works per work order (keeps the percent, not a fixed dollar)",Medium,VIU-Verified,No action needed — passed.,"pct default copied as percent (amount=7, calc=pct_subtotal), re-resolves per WO | WORDING+VIU 2026-07-13: Percentage default re-resolves per WO; carried."
