"Date Range: Aug 1, 2026 - Aug 31, 2026"
"As of: 2026-08-06"
"Locations: Staging Heavy Duty - 9919"
"Part #",Description,Category,Vendor,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
SHL550045128P,"15W40 ROTELLA T4, 18.9L [PAIL]",HD-Fluids,"Xistone Consulting",42.50,$79.13,$113.05,"$3,363.03","$4,804.63","$1,441.60",30.0%
HDEO13,"10W30 Bulk- Mobil 1 Delvac HDEO",HD-Fluids,"Hibridge Supply",792.00,$3.76,$6.84,"$2,977.92","$5,417.28","$2,439.36",45.0%
BRAKECLEAN,"Brake & Parts Cleaner",HD-Fluids,—,618.00,$4.79,$7.99,"$2,960.22","$4,937.82","$1,977.60",40.1%
KL-TF4090,"SAE 50 SYNTHETIC TRANSMISSION FLUID BULK (122205) (PER LITER)",HD-Fluids,"Faspring Maintenance",259.00,$11.31,$17.40,"$2,929.29","$4,506.60","$1,577.31",35.0%
MDS79DD,"75W90 Bulk- Mobil Delvac 1 Gear Oil",HD-Fluids,"Faspring Maintenance",296.00,$9.55,$15.66,"$2,826.80","$4,635.36","$1,808.56",39.0%
3719022R,"Outrigger leg hiab 144","HD-Equipment & Hydraulics",—,1.00,"$2,800.00","$3,544.24","$2,800.00","$3,544.24",$744.24,21.0%
550045513,"Shell Tallus S2 VX32, AW46 Hydraulic Oil, 18.9L Pail",HD-Fluids,"Xistone Consulting",24.00,$114.99,$164.27,"$2,759.76","$3,942.48","$1,182.72",30.0%
257002-448,"5W40 Synthetic, Chevron Delo 400 XSP, /L",HD-Fluids,"Nevale Foods",363.00,$7.55,$12.38,"$2,740.65","$4,493.94","$1,753.29",39.0%
550045506,"Shell Tellus VX32, AW32 Hydraulic Oil, 18.9L",HD-Fluids,"Xistone Consulting",20.50,$112.25,$160.36,"$2,301.13","$3,287.38",$986.25,30.0%
1809395,"DRIVER SIDE GLASS","HD-Body Exterior","Botown Retail",1.00,"$2,229.62","$2,933.73","$2,229.62","$2,933.73",$704.11,24.0%
5013920A,"Thermo Top Evo Heater Kit with SmarTemp 3.0 Bluetooth","HD-Cooling & HVAC","Enson Forestry",2.00,"$1,024.76","$1,530.10","$2,049.52","$3,060.20","$1,010.68",33.0%
C10892525AM,"EverTough Manual Adjust Clutch Assembly 15.5""","HD-Drive Train",—,2.00,$971.45,"$1,330.79","$1,942.90","$2,661.58",$718.68,27.0%
W4715QP,"Brake Shoe Kit w/ Hardware, 16.5x6, Coreless","HD-Heavy Duty Shoes","Qucastle Excavating",48.00,$39.90,$122.51,"$1,915.20","$5,880.48","$3,965.28",67.4%
KL-TF7490,"TDTO-4 ARCTIC FULL SYNTHETIC",HD-Fluids,—,203.00,$8.85,$14.51,"$1,796.55","$2,945.53","$1,148.98",39.0%
ASL46,"SYN COMPRESSOR LUBRICANT","HD-Equipment & Hydraulics",—,4.00,$435.00,$639.71,"$1,740.00","$2,558.84",$818.84,32.0%
C0125-SA,"DPF Kit, Cummins ISC/ISL",HD-Emissions,"Uview Equipment",1.00,"$1,713.20","$2,224.93","$1,713.20","$2,224.93",$511.73,23.0%
S31S-950,"Group 31 Battery- Stud Post 950CCA",HD-Batteries,"Enson Forestry",17.00,$92.00,$141.54,"$1,564.00","$2,406.18",$842.18,35.0%
HCG200FRN8Z,"PALL SUPRALON FILTER (GLASS FIBER 7 MICRON)",HD-Filters,"Quspring Concrete",8.00,$194.34,$277.63,"$1,554.72","$2,221.04",$666.32,30.0%
5566893,"EGR Cooler Kit, ISB","HD-Engine Comp",—,1.00,"$1,530.57","$1,987.75","$1,530.57","$1,987.75",$457.18,23.0%
KEG24711QP,"Brake Shoe Kit, New, Coreless","HD-Heavy Duty Shoes",—,15.00,$99.98,$162.57,"$1,499.70","$2,438.55",$938.85,38.5%
266037-01R,"Maxon Liftgate Cylinder, Reman","HD-Equipment & Hydraulics","Oubay Excavating",3.00,$474.00,$879.99,"$1,422.00","$2,639.97","$1,217.97",46.1%
ARW-9835857,"TWIN HOSE ASSY","HD-Equipment & Hydraulics","Iuboro Transport",2.00,$698.26,$983.50,"$1,396.52","$1,967.00",$570.48,29.0%
2431069,"HARNESS, ECM TO VALVE COVER FRONT AND REAR","HD-Lighting & Electrical",—,1.00,"$1,320.20","$1,784.12","$1,320.20","$1,784.12",$463.92,26.0%
339-255,"PIVOT KIT","HD-Steering & Suspension",—,2.00,$644.42,$920.62,"$1,288.84","$1,841.24",$552.40,30.0%
KL-IO5180,"ISO 46 SYN COMPRESSOR OIL, 18.9L [PAIL]",HD-Fluids,—,6.00,$210.00,$300.01,"$1,260.00","$1,800.06",$540.06,30.0%
W3687AX,"Brake Drum, 16.5x6","HD-Heavy Duty Drums","Qucastle Excavating",20.00,$62.85,$292.00,"$1,257.00","$5,840.00","$4,583.00",78.5%
556-1302,SHAFT,"HD-Equipment & Hydraulics","Iuboro Transport",2.00,$616.90,$868.90,"$1,233.80","$1,737.80",$504.00,29.0%
GP-ISW2000,"2000W INVERTER","HD-Truck Accessories","Braman Consulting",1.00,"$1,152.27","$1,557.18","$1,152.27","$1,557.18",$404.91,26.0%
CWB4709E2K,"4709 BRAKE SHOE KIT W/ HARDWARE (CORELESS)","HD-Heavy Duty Shoes","Ruridge Mining",23.00,$49.99,$92.58,"$1,149.77","$2,129.34",$979.57,46.0%
1842196C96,"VALVE COVER GASKET W/HARNESS","HD-Engine Comp","Xistone Consulting",1.00,"$1,078.36","$1,437.78","$1,078.36","$1,437.78",$359.42,25.0%
DTE24UD,"Hydraulic Oil Bulk- AW32 ",HD-Fluids,"Hibridge Supply",189.60,$5.56,$9.59,"$1,054.18","$1,818.26",$764.08,42.0%
ARW-500-900-01,"POLAR 2100B MODULE","HD-Equipment & Hydraulics","Iuboro Transport",1.00,"$1,047.44","$1,396.55","$1,047.44","$1,396.55",$349.11,25.0%
59-450,"TAPER LEAF SPRING, KENWORTH (HK48110-2200)","HD-Steering & Suspension","Wuboro Farms",2.00,$521.20,$755.38,"$1,042.40","$1,510.76",$468.36,31.0%
WEB5013913A,"AIRTOP 2000STC W/BLUETOOTH","HD-Cooling & HVAC","Xistone Consulting",1.00,"$1,039.70","$1,405.05","$1,039.70","$1,405.05",$365.35,26.0%
893.106,"HHS2000 SPRAY LUBE",HD-Fluids,—,37.00,$26.97,$38.53,$997.89,"$1,425.61",$427.72,30.0%
101571,"MOBIL N32 HYDRAULIC OIL, 18.9L [PAIL]",HD-Fluids,"Hibridge Supply",9.00,$109.02,$155.75,$981.18,"$1,401.75",$420.57,30.0%
FLTPRO4702QP23K,"BRAKE SHOE","HD-Heavy Duty Shoes",—,14.00,$69.98,$155.51,$979.72,"$2,177.14","$1,197.42",55.0%
334-2162,"SERVICE KIT, RIDEWELL","HD-Steering & Suspension",—,2.00,$474.59,$697.93,$949.18,"$1,395.86",$446.68,32.0%
CE1000,"20LB FIRE EXTINGUISHER CABINET","HD-Truck Accessories","Lalake Design",2.00,$470.78,$692.33,$941.56,"$1,384.66",$443.10,32.0%
SHL55057739,"Shell Red Coolant- 50/50 Antifreeze 4L",HD-Fluids,"Xistone Consulting",115.00,$7.95,$13.03,$914.25,"$1,498.45",$584.20,39.0%
43-1851,"LEAF SPRING, FORD F250/F350/F450 (BC3Z5560H/BC345560P)","HD-Steering & Suspension","Wuboro Farms",2.00,$451.98,$664.68,$903.96,"$1,329.36",$425.40,32.0%
22-831,"LEAF SPRING, GMC/CHEV/ISUZU (15641028)","HD-Steering & Suspension","Wuboro Farms",2.00,$449.52,$670.91,$899.04,"$1,341.82",$442.78,33.0%
55-1219,"LEAF SPRING, NAVISTAR/INTERNATIONAL, 18-20 GMC/CHEV 4500HD-6500HD","HD-Steering & Suspension","Wuboro Farms",2.00,$443.82,$662.40,$887.64,"$1,324.80",$437.16,33.0%
GC3636CW,"GOLD SEAL 3636 BRAKE CHAMBER","HD-Air Brakes & Air Suspension","Ruridge Mining",4.00,$219.58,$348.54,$878.32,"$1,394.16",$515.84,37.0%
SSD6907,"Brake Drum, 16.5x8.62","HD-Heavy Duty Drums","Zoburg Maintenance",6.00,$146.00,$208.58,$876.00,"$1,251.48",$375.48,30.0%
269526-VNR,"VANAIR AIR/OIL SEPERATOR ELEMENT",HD-Filters,"Deline Mining",3.00,$289.41,$401.96,$868.23,"$1,205.88",$337.65,28.0%
284-3517,DUCT,"HD-Engine Comp",—,1.00,$866.22,"$1,178.49",$866.22,"$1,178.49",$312.27,26.5%
571.LD40W20,"Back-Up Light, 20-Diode, LED 4"" Round","HD-Lighting & Electrical","Iview Commercial",46.00,$18.82,$35.51,$865.72,"$1,633.46",$767.74,47.0%
CP.PIN,"MACHINED PIN (CP RAIL SPECIFIC)","HD-Equipment & Hydraulics",—,4.00,$212.50,$332.03,$850.00,"$1,328.12",$478.12,36.0%
ARW-600-500-01,"MOTOR MODULE POLAR 2100B","HD-Equipment & Hydraulics","Iuboro Transport",1.00,$841.74,"$1,153.10",$841.74,"$1,153.10",$311.36,27.0%
55-1211,"LEAF SPRING, NAVISTAR/INTERNATIONAL, 18-20 GMC/CHEV 4500HD-6500HD (3534534C91)","HD-Steering & Suspension","Wuboro Farms",2.00,$414.44,$618.55,$828.88,"$1,237.10",$408.22,33.0%
ATFMVDD,"ATF Bulk- Mobil 1 Multi Vehicle ",HD-Fluids,"Hibridge Supply",128.55,$6.36,$10.97,$817.58,"$1,410.19",$592.61,42.0%
CL1110,"Cummins 14.5"" V-Band Clamp",HD-Exhaust,"Eagate Mechanical",9.00,$87.81,$141.63,$790.29,"$1,274.67",$484.38,38.0%
AT-PB46-26268,"Urethane Spring Pin Bushing ","HD-Steering & Suspension","Wuboro Farms",8.00,$98.69,$159.18,$789.52,"$1,273.44",$483.92,38.0%
WWF,"Windshield Washer Fluid 4L",HD-Fluids,—,200.00,$3.91,$7.11,$782.00,"$1,422.00",$640.00,45.0%
NL329-10,"#10 SAE100R16 HYD HOSE 4000 PS","HD-Hose & Fittings","Humoor Energy",258.00,$3.00,$6.00,$774.00,"$1,548.00",$774.00,50.0%
SH550046217,"Engine Oil, Shell Rotella T6 5W40, Pail",HD-Fluids,—,4.50,$170.01,$242.88,$765.05,"$1,092.96",$327.91,30.0%
4923187,"Cylinder Head Bolt, L10/M11/ISM","HD-Engine Comp","Xistone Consulting",29.00,$26.37,$43.95,$764.73,"$1,274.55",$509.82,40.0%
05-28963-002,"COOLANT HOSE, WESTERN STAR","HD-Cooling & HVAC","Ruridge Mining",6.00,$127.34,$210.48,$764.04,"$1,262.88",$498.84,39.5%
43-1289HD,"LEAF SPRING, FORD F250/F350/F450/F550/F600/E550 (F81Z5560BB/F81A5560BD)","HD-Steering & Suspension","Wuboro Farms",2.00,$381.46,$577.99,$762.92,"$1,155.98",$393.06,34.0%
SP46-11023,"POLY RUBBER BUSHING (RB-263)","HD-Steering & Suspension","Wuboro Farms",6.00,$126.48,$209.06,$758.88,"$1,254.36",$495.48,39.5%
GH781-24,"1 1/2"" HYD HOSE - SAE100R16","HD-Hose & Fittings",—,21.00,$35.85,$61.81,$752.85,"$1,298.01",$545.16,42.0%
2520315C1,"ECM CONNECTOR TERMINALS, FEMALE 20-18 GA","HD-Lighting & Electrical","Xistone Consulting",134.00,$5.60,$10.98,$750.40,"$1,471.32",$720.92,49.0%
EB9030SSUL,"TOOLBOX HANDLE EBERHARD DRING LEFT ROTATION","HD-Body Exterior",—,11.00,$67.42,$116.24,$741.62,"$1,278.64",$537.02,42.0%
KL-TF6290,"SAE 30 TDTO-4 TRANS/DRVTRN FLD",HD-Fluids,—,148.00,$4.87,$8.85,$720.76,"$1,309.80",$589.04,45.0%
ASSY-HY12-H5012C,"HOSE ASSY 12FBSP X 12FBSP 45DE","HD-Hose & Fittings",—,4.00,$179.51,$271.99,$718.04,"$1,087.96",$369.92,34.0%
55-1262,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (3540852C91)","HD-Steering & Suspension","Wuboro Farms",2.00,$358.01,$542.46,$716.02,"$1,084.92",$368.90,34.0%
34-1465,"LEAF SPRING, DODGE 2500/3500 (52113320AF)","HD-Steering & Suspension","Wuboro Farms",2.00,$357.61,$541.85,$715.22,"$1,083.70",$368.48,34.0%
P573107,"Hydraulic Cartridge Filter, Caterpillar",HD-Filters,"Cimill Landscaping",2.00,$356.41,$495.02,$712.82,$990.04,$277.22,28.0%
18BH50M,"MAGNET CORD (2) PRONG/MALE","HD-Lighting & Electrical","Zeport Commercial",3.00,$237.47,$354.42,$712.41,"$1,063.26",$350.85,33.0%
6127666C1,"Shock Absorber, Rear, Navistar","HD-Steering & Suspension",—,8.00,$88.17,$142.21,$705.36,"$1,137.68",$432.32,38.0%
CYL-RED-REMAN,"REBUILT HYD CYLINDER","HD-Equipment & Hydraulics",—,1.00,$700.00,$985.95,$700.00,$985.95,$285.95,29.0%
BAT-2/0-RD,"2/0 BATTERY CABLE, RED","HD-Lighting & Electrical","Cuview Management",83.00,$8.38,$16.43,$695.54,"$1,363.69",$668.15,49.0%
RTHI-12-TEFLON,"#12 STEEL BRAIDED TEFLON HOSE, 1250 PSI","HD-Hose & Fittings","Uivale Consulting",37.00,$18.74,$35.36,$693.38,"$1,308.32",$614.94,47.0%
178.3092,"CABLE BOOSTER DUAL 2 GA 20FT","HD-Lighting & Electrical","Iview Commercial",1.00,$692.95,$949.27,$692.95,$949.27,$256.32,27.0%
22-1289HD,"LEAF SPRING, GMC/CHEV","HD-Steering & Suspension","Wuboro Farms",2.00,$345.94,$532.23,$691.88,"$1,064.46",$372.58,35.0%
W3030T,"3030 Standard Brake Chamber, 13.25"" Rod ","HD-Heavy Duty Brake Comp","Qucastle Excavating",24.00,$28.67,$83.84,$688.08,"$2,012.16","$1,324.08",65.8%
43-1339,"LEAF SPRING, FORD E450 (YC2Z5560AA/YC255560AA)","HD-Steering & Suspension","Wuboro Farms",2.00,$335.40,$516.01,$670.80,"$1,032.02",$361.22,35.0%
EB9030SSUR32,"TOOLBOX HANDLE EBERHARD DRING RIGHT ROTATION","HD-Body Exterior",—,11.00,$60.96,$105.10,$670.56,"$1,156.10",$485.54,42.0%
980530G,"HYDRAULIC ROTOR (8 STUD) - HINO, REAR","HD-Light Duty Brake Comp","Toshore Electrical",4.00,$165.00,$270.48,$660.00,"$1,081.92",$421.92,39.0%
43-1705,"LEAF SPRING, FORD F250/F350/F450 (7C3Z5560DB/7C345A975DF)","HD-Steering & Suspension","Wuboro Farms",2.00,$329.03,$506.21,$658.06,"$1,012.42",$354.36,35.0%
4407253,"FLOW CONCY","HD-Equipment & Hydraulics",—,1.00,$645.51,$909.20,$645.51,$909.20,$263.69,29.0%
7078360C1,"TENSIONER, BELT TENSIONER BRACKET","HD-Belts, Pulleys & Tensioners",—,1.00,$640.10,$914.45,$640.10,$914.45,$274.35,30.0%
D6178AM,"Hydraulic Disc Brake Rotor, Drive","HD-Heavy Duty Brake Comp","Toshore Electrical",2.00,$319.90,$492.17,$639.80,$984.34,$344.54,35.0%
TG8S-U6807-A1KX-R,"Muncie TG Series PTO, Reman","HD-Equipment & Hydraulics","Deline Mining",1.00,$633.39,$892.13,$633.39,$892.13,$258.74,29.0%
339-300,"RIDEWELL BUSHING KIT","HD-Steering & Suspension",—,1.00,$627.83,$896.92,$627.83,$896.92,$269.09,30.0%
893.240,"ROST OFF ICE 400ML",HD-Fluids,"Wuboro Farms",23.00,$26.92,$38.46,$619.16,$884.58,$265.42,30.0%
382-8036,"STEMCO GRIT-GUARD 2PC WHEEL SEAL (35066/35058, 370001A/380001A, 308-0836, 383-0136, 10045885)","HD-Wheel Comp","Wuboro Farms",12.00,$51.17,$86.73,$614.04,"$1,040.76",$426.72,41.0%
43-1085HD,"LEAF SPRING,  92-21 FORD E-SERIES VANS, EXCEPT 92-06 E150","HD-Steering & Suspension","Wuboro Farms",2.00,$306.66,$471.80,$613.32,$943.60,$330.28,35.0%
571.LD40W12MV-K,"Back-Up Light Kit, 12-Diode LED, 4"" Round, 10v-30v","HD-Lighting & Electrical","Iview Commercial",33.00,$18.35,$34.62,$605.55,"$1,142.46",$536.91,47.0%
08-02794,"AIR TANK BRACKETS","HD-Equipment & Hydraulics",—,4.00,$150.09,$238.24,$600.36,$952.96,$352.60,37.0%
55-1242,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (353198C91)","HD-Steering & Suspension","Wuboro Farms",2.00,$299.58,$468.09,$599.16,$936.18,$337.02,36.0%
3560701,"FINNING/CAT CABLE ASSEMBLY",Uncategorized,"Figrove Apparel",1.00,$587.27,$962.71,$587.27,$962.71,$375.44,39.0%
P165675,"Spin-On Hydraulic Filter, Flush Loop",HD-Filters,"Niplains Towing",4.00,$146.81,$212.77,$587.24,$851.08,$263.84,31.0%
3747417,"SEAL KIT 16","HD-Equipment & Hydraulics","Iuboro Transport",3.00,$193.83,$307.67,$581.49,$923.01,$341.52,37.0%
ARW-3832708,"LOWER CONTROL CABLE HIAB 144","HD-Equipment & Hydraulics","Iuboro Transport",1.00,$574.92,$821.33,$574.92,$821.33,$246.41,30.0%
18BH50F,"MAGNET CORD (2) PRONG/FEMALE","HD-Lighting & Electrical","Zeport Commercial",3.00,$190.00,$287.89,$570.00,$863.67,$293.67,34.0%
55-1216,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL","HD-Steering & Suspension","Wuboro Farms",2.00,$284.82,$445.03,$569.64,$890.06,$320.42,36.0%
55-1240,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (3533197C91)","HD-Steering & Suspension","Wuboro Farms",2.00,$284.82,$445.03,$569.64,$890.06,$320.42,36.0%
1889332C92,"SEAL KIT TURBOCHARGER SEALS","HD-Engine Comp",—,2.00,$283.25,$410.51,$566.50,$821.02,$254.52,31.0%
N65032-12-12,"#12 R5  FIELD ATTACHABLE","HD-Hose & Fittings","Humoor Energy",13.00,$43.43,$74.88,$564.59,$973.44,$408.85,42.0%
BRRF*234,"ROTOR ASSY.","HD-Heavy Duty Brake Comp",—,2.00,$278.70,$435.47,$557.40,$870.94,$313.54,36.0%
FLT3030SCB20,"30/30 STANDARD/REGULAR STROKE BRAKE CHAMBER (SB3030S2500)","HD-Air Brakes & Air Suspension","Xistone Consulting",14.00,$39.71,$70.91,$555.94,$992.74,$436.80,44.0%
C-AGN1252665,"THRUST BEARING",Uncategorized,—,3.00,$183.75,$334.09,$551.25,"$1,002.27",$451.02,45.0%
FLT21060000,"DRIVE FAN","HD-Cooling & HVAC",—,1.00,$540.34,$783.11,$540.34,$783.11,$242.77,31.0%
43-1681,"LEAF SPRING, FORD F250/F350/F450 (7C3Z5560FD/7C345560FG)","HD-Steering & Suspension","Wuboro Farms",2.00,$269.58,$421.22,$539.16,$842.44,$303.28,36.0%
MSD-5800,"IGNITION COIL","HD-Misc / Other",—,1.00,$539.04,$781.23,$539.04,$781.23,$242.19,31.0%
1889325C95,"VALVE KIT IPR VALVE","HD-Engine Comp",—,1.00,$536.04,$749.71,$536.04,$749.71,$213.67,28.5%
34-1451HD,"5 LEAF HD SPRING 4/1","HD-Steering & Suspension","Wuboro Farms",2.00,$265.25,$414.45,$530.50,$828.90,$298.40,36.0%
SP-559541-KP,"DRIVE AXLE SUSPENSION AIRBAGS (68357, W01-358-9541, C81-1005, 452-9541, 1R11268)","HD-Air Brakes & Air Suspension",—,5.00,$105.48,$164.81,$527.40,$824.05,$296.65,36.0%
F50-1186-1025,"A/C HOSE ASSEMBLY - TXV DISCHARGE","HD-Cooling & HVAC",—,2.00,$258.06,$403.22,$516.12,$806.44,$290.32,36.0%
334-658,"HNDRCKSN TF-II BUSHING KIT","HD-Steering & Suspension","Wuboro Farms",4.00,$127.69,$211.06,$510.76,$844.24,$333.48,39.5%
"OIL SAMPLE","ENGINE OIL SAMPLE",HD-Fluids,"Chiburg Excavating",17.00,$30.00,$50.00,$510.00,$850.00,$340.00,40.0%
A0000905051,"Fuel/Water Separator Cartridge Kit, Freightliner/Western Star, OEM, 2019-Current ",HD-Filters,"Enson Forestry",4.00,$126.58,$183.45,$506.32,$733.80,$227.48,31.0%
CR1691,"HUB CAP (180.CR1691)","HD-Wheel Comp","Enson Forestry",12.00,$42.17,$72.71,$506.04,$872.52,$366.48,42.0%
HP10628,"12V HP625 Series Heavy Duty Air Compressor Kit - Horizontal Pump Head","HD-Truck Accessories",—,1.00,$503.25,$729.36,$503.25,$729.36,$226.11,31.0%
FLT3030SB28,"30/30 STANDARD PIGGY BACK KIT, BRAKE CHAMBER","HD-Air Brakes & Air Suspension","Xistone Consulting",15.00,$33.39,$59.62,$500.85,$894.30,$393.45,44.0%
373-0113,"VOYAGER 1PC WHEEL SEAL (40136/40129, 370036A, 372-7098)","HD-Wheel Comp","Wuboro Farms",11.00,$45.43,$77.00,$499.73,$847.00,$347.27,41.0%
22-77890-500,"BRKT MIRROR","HD-Body Exterior",—,1.00,$496.79,$730.58,$496.79,$730.58,$233.79,32.0%
BAT-2/0-BK,"2/0 BATTERY CABLE, BLACK","HD-Lighting & Electrical","Cuview Management",65.00,$7.56,$14.82,$491.40,$963.30,$471.90,49.0%
RAY580263R,"BRAKE ROTOR","HD-Heavy Duty Brake Comp",—,2.00,$245.03,$388.94,$490.06,$777.88,$287.82,37.0%
ARW-3850579,"CYL ROD 3848744","HD-Equipment & Hydraulics","Iuboro Transport",1.00,$488.34,$707.75,$488.34,$707.75,$219.41,31.0%
43-1261HD,"LEAF SPRING, FORD F250/F350","HD-Steering & Suspension","Wuboro Farms",2.00,$243.23,$386.08,$486.46,$772.16,$285.70,37.0%
15656597,"TORQUE ROD","HD-Steering & Suspension","Baview Ventures",1.00,$486.09,$714.84,$486.09,$714.84,$228.75,32.0%
890.200004,"ROST OFF PLUS 400ML",HD-Fluids,—,25.00,$19.21,$29.55,$480.25,$738.75,$258.50,35.0%
GP3000HD,"POWER INVERTER,3000W","HD-Lighting & Electrical",—,1.00,$479.00,$684.30,$479.00,$684.30,$205.30,30.0%
3546535C1,"FAN ENGINE","HD-Engine Comp",—,1.00,$476.36,$675.67,$476.36,$675.67,$199.31,29.5%
N2120SSMK,MTKIT,"HD-Body Exterior",—,1.00,$474.31,$697.52,$474.31,$697.52,$223.21,32.0%
SSD6510,"Brake Drum, Navistar 16.5x5","HD-Heavy Duty Drums","Zoburg Maintenance",2.00,$235.95,$327.71,$471.90,$655.42,$183.52,28.0%
ARW-9830901,"SPOOL SEAL","HD-Equipment & Hydraulics","Iuboro Transport",11.00,$42.42,$75.75,$466.62,$833.25,$366.63,44.0%
TP-8-430-05,"9-10K HUB DRUM ASSY 2 PC","HD-Trailer Comp",—,1.00,$465.19,$684.11,$465.19,$684.11,$218.92,32.0%
CPA1/4,"CHECKER PLATE ALUMINUM 1/4""","HD-Fabrication & Building",—,29.00,$16.00,$30.19,$464.00,$875.51,$411.51,47.0%
1841139C93,"SEAL KIT REAR MAIN SEAL","HD-Engine Comp",—,1.00,$463.31,$657.16,$463.31,$657.16,$193.85,29.5%
34-1451,"LEAF SPRING, DODGE 1500 (52113141AI)","HD-Steering & Suspension","Wuboro Farms",2.00,$231.50,$367.46,$463.00,$734.92,$271.92,37.0%
22-1649,"LEAF SPRING, GMC/CHEV (20909354)","HD-Steering & Suspension","Wuboro Farms",2.00,$229.82,$364.79,$459.64,$729.58,$269.94,37.0%
P640017,"Paccar Powercore Engine Air Filter",HD-Filters,"Keman Electrical",2.00,$228.70,$326.72,$457.40,$653.44,$196.04,30.0%
"16-18023-000 (RB-263)","BUSHING W/PIN 105 x 57.05","HD-Steering & Suspension","Wuboro Farms",2.00,$224.79,$356.81,$449.58,$713.62,$264.04,37.0%
179.3025.15,"AIRPOWER 3 IN 1 LINE (13A1501, 302170)","HD-Air Brakes & Air Suspension","Iview Commercial",3.00,$149.44,$247.01,$448.32,$741.03,$292.71,39.5%
8-98220126-0,"WHEEL SPEED SENSOR","HD-ABS Comp","Meton Forestry",1.00,$447.87,$668.45,$447.87,$668.45,$220.58,33.0%
DDE-RA0101532328,"NOX SENSOR , ONE BOX OUTLET, GHG14",HD-Emissions,—,1.00,$446.94,$633.94,$446.94,$633.94,$187.00,29.5%
345-211,"TORQUE ROD ","HD-Steering & Suspension","Wuboro Farms",2.00,$222.61,$353.35,$445.22,$706.70,$261.48,37.0%
2--N66-HYD004,"#04 - #16 STEEL JIC JUMP SIZE HYD ADAPTER KIT","HD-Hose & Fittings","Humoor Energy",190.00,$2.34,$4.98,$444.60,$946.20,$501.60,53.0%
8-98219354-0,"WHEEL SPEED SENSOR","HD-ABS Comp","Meton Forestry",1.00,$444.48,$663.39,$444.48,$663.39,$218.91,33.0%
22-1567HD,"LEAF SPRING, GMC/CHEV","HD-Steering & Suspension","Wuboro Farms",2.00,$221.62,$351.78,$443.24,$703.56,$260.32,37.0%
N65032-10-10,"#10 R5  FIELD ATTACHABLE","HD-Hose & Fittings","Humoor Energy",12.00,$36.61,$63.12,$439.32,$757.44,$318.12,42.0%
85311,"Shock Absorber, Rear, Air Trac","HD-Steering & Suspension","Iview Commercial",8.00,$54.76,$94.41,$438.08,$755.28,$317.20,42.0%
