InvoiceNo,Customer,InvoiceDate,DueDate,Terms,Location,Memo,Item(Product/Service),ItemDescription,ItemQuantity,ItemRate,ItemAmount,ItemTaxCode,ItemTaxAmount,"ShopView Products and Services"
S8815-15949,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY4 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15949,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 PAY4 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15950,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15950; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E1 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15950,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E1 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15950,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E1 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15951,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15951; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E2 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15951,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E2 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15951,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E2 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15952,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15952; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E3 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15952,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E3 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15952,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E3 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15953,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15953; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E1 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15953,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E1 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15953,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E1 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15954,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15954; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E2 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15954,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E2 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15954,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E2 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15955,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15955; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 E3 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15955,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E3 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15955,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 E3 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15956,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15956; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 AH_line_by_line 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15956,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 AH_line_by_line 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15956,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 AH_line_by_line 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15956,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Supplies,"Shop supplies",1,2.92,2.92,"ZZ8815 9.75pct",0.28,"Shop Supplies"
S8815-15957,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15957; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 AH_total_rounded 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15957,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 AH_total_rounded 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.9,Labor
S8815-15957,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 AH_total_rounded 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",9.27,1.00,9.27,"ZZ8815 9.75pct",0.91,Labor
S8815-15957,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Supplies,"Shop supplies",1,2.92,2.92,"ZZ8815 9.75pct",0.28,"Shop Supplies"
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15965; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 C1_line_by_line 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 13;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",231.88,1.00,231.88,GST,11.59,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 7;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",687.50,1.00,687.50,GST,34.38,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 12;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",429.68,1.00,429.68,GST,21.48,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",125.00,1.00,125.00,GST,6.25,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 10;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.88,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 6;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 5;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",250.00,1.00,250.00,GST,12.5,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 9;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.88,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 11;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check","2,081.59",1.00,"2,081.59",GST,104.08,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 4;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",375.00,1.00,375.00,GST,18.75,Labor
S8815-15965,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_line_by_line 8;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.88,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919","WO S8815-15966; Unit: ;Unit Type: ; VIN: 86J8FAC1VALJ43SJY Year/Make/Model: 2020 Ford Transit; 123456 miles; 0 Hours;",Labour,"What are you doing?: ZZ8815 C1_total_rounded 1;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 13;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",231.88,1.00,231.88,GST,11.59,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 12;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",429.68,1.00,429.68,GST,21.48,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 6;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 8;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.88,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 9;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.88,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 3;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",187.50,1.00,187.50,GST,9.38,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 5;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",250.00,1.00,250.00,GST,12.5,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 10;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",437.50,1.00,437.50,GST,21.87,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 2;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",125.00,1.00,125.00,GST,6.25,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 11;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check","2,081.59",1.00,"2,081.59",GST,104.07,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 7;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",687.50,1.00,687.50,GST,34.37,Labor
S8815-15966,"Aaborough Works",08-19-2026,08-19-2026,COD,"Staging Heavy Duty - 9919",,Labour,"What are you doing?: ZZ8815 C1_total_rounded 4;Why are you doing it?: ;Tech Story: ZZ8815 tax rounding check",375.00,1.00,375.00,GST,18.75,Labor
