internal_id,case_id,link,surface,recheck_outcome,note,evidence,build,date,provenance_restamped
SBC-NAV-01,C30096,https://shopview.testrail.io/index.php?/cases/view/30096,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-04,C30115,https://shopview.testrail.io/index.php?/cases/view/30115,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-05,C30116,https://shopview.testrail.io/index.php?/cases/view/30116,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-06,C30117,https://shopview.testrail.io/index.php?/cases/view/30117,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CUST-09,C30120,https://shopview.testrail.io/index.php?/cases/view/30120,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-01,C30121,https://shopview.testrail.io/index.php?/cases/view/30121,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-02,C30122,https://shopview.testrail.io/index.php?/cases/view/30122,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-03,C30123,https://shopview.testrail.io/index.php?/cases/view/30123,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-04,C30124,https://shopview.testrail.io/index.php?/cases/view/30124,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-05,C30125,https://shopview.testrail.io/index.php?/cases/view/30125,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-06,C30126,https://shopview.testrail.io/index.php?/cases/view/30126,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-08,C30128,https://shopview.testrail.io/index.php?/cases/view/30128,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-09,C30129,https://shopview.testrail.io/index.php?/cases/view/30129,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-10,C30130,https://shopview.testrail.io/index.php?/cases/view/30130,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-11,C30131,https://shopview.testrail.io/index.php?/cases/view/30131,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-12,C30132,https://shopview.testrail.io/index.php?/cases/view/30132,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-TREE-13,C30133,https://shopview.testrail.io/index.php?/cases/view/30133,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-LBL-01,C30134,https://shopview.testrail.io/index.php?/cases/view/30134,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-LBL-04,C30137,https://shopview.testrail.io/index.php?/cases/view/30137,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-LINK-01,C30138,https://shopview.testrail.io/index.php?/cases/view/30138,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-LINK-02,C30139,https://shopview.testrail.io/index.php?/cases/view/30139,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-LINK-03,C30140,https://shopview.testrail.io/index.php?/cases/view/30140,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-LINK-04,C30141,https://shopview.testrail.io/index.php?/cases/view/30141,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-SORT-01,C30142,https://shopview.testrail.io/index.php?/cases/view/30142,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-SORT-02,C30143,https://shopview.testrail.io/index.php?/cases/view/30143,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-SORT-03,C30144,https://shopview.testrail.io/index.php?/cases/view/30144,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-SORT-04,C30145,https://shopview.testrail.io/index.php?/cases/view/30145,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-01,C30149,https://shopview.testrail.io/index.php?/cases/view/30149,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-02,C30150,https://shopview.testrail.io/index.php?/cases/view/30150,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-03,C30151,https://shopview.testrail.io/index.php?/cases/view/30151,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-04,C30152,https://shopview.testrail.io/index.php?/cases/view/30152,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-05,C30153,https://shopview.testrail.io/index.php?/cases/view/30153,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-06,C30154,https://shopview.testrail.io/index.php?/cases/view/30154,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-CALC-07,C30155,https://shopview.testrail.io/index.php?/cases/view/30155,CALCULATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/b30-wip-contract.json + evidence/ruling3/money-and-crosscheck.json,v3.4.1-3d03023,2026-08-04,yes
SBC-COL-01,C30156,https://shopview.testrail.io/index.php?/cases/view/30156,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-COL-02,C30157,https://shopview.testrail.io/index.php?/cases/view/30157,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-01,C30159,https://shopview.testrail.io/index.php?/cases/view/30159,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-02,C30160,https://shopview.testrail.io/index.php?/cases/view/30160,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-03,C30161,https://shopview.testrail.io/index.php?/cases/view/30161,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-04,C30162,https://shopview.testrail.io/index.php?/cases/view/30162,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-05,C30163,https://shopview.testrail.io/index.php?/cases/view/30163,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-06,C30164,https://shopview.testrail.io/index.php?/cases/view/30164,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-08,C30166,https://shopview.testrail.io/index.php?/cases/view/30166,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-09,C30167,https://shopview.testrail.io/index.php?/cases/view/30167,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-10,C30168,https://shopview.testrail.io/index.php?/cases/view/30168,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-11,C30169,https://shopview.testrail.io/index.php?/cases/view/30169,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-14,C30172,https://shopview.testrail.io/index.php?/cases/view/30172,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-EXP-15,C30173,https://shopview.testrail.io/index.php?/cases/view/30173,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-01,C30174,https://shopview.testrail.io/index.php?/cases/view/30174,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-02,C30175,https://shopview.testrail.io/index.php?/cases/view/30175,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-03,C30176,https://shopview.testrail.io/index.php?/cases/view/30176,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-04,C30177,https://shopview.testrail.io/index.php?/cases/view/30177,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-05,C30178,https://shopview.testrail.io/index.php?/cases/view/30178,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-06,C30179,https://shopview.testrail.io/index.php?/cases/view/30179,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-PERS-07,C30180,https://shopview.testrail.io/index.php?/cases/view/30180,COLUMNS/SELECTOR,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/colsel-and-singleloc.json + screen-columns.json,v3.4.1-3d03023,2026-08-04,yes
SBC-EMPTY-01,C30181,https://shopview.testrail.io/index.php?/cases/view/30181,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBC-EMPTY-04,C30184,https://shopview.testrail.io/index.php?/cases/view/30184,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-VIS-01,C30185,https://shopview.testrail.io/index.php?/cases/view/30185,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-VIS-02,C30186,https://shopview.testrail.io/index.php?/cases/view/30186,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-VIS-03,C30187,https://shopview.testrail.io/index.php?/cases/view/30187,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBC-MOB-01,C30188,https://shopview.testrail.io/index.php?/cases/view/30188,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-MOB-02,C30189,https://shopview.testrail.io/index.php?/cases/view/30189,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBC-API-01,C30190,https://shopview.testrail.io/index.php?/cases/view/30190,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-API-02,C30191,https://shopview.testrail.io/index.php?/cases/view/30191,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-API-03,C30192,https://shopview.testrail.io/index.php?/cases/view/30192,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-API-04,C30193,https://shopview.testrail.io/index.php?/cases/view/30193,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBC-API-05,C30194,https://shopview.testrail.io/index.php?/cases/view/30194,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBR-NAV-01,C30195,https://shopview.testrail.io/index.php?/cases/view/30195,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-NAV-03,C30197,https://shopview.testrail.io/index.php?/cases/view/30197,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-PERM-01,C30198,https://shopview.testrail.io/index.php?/cases/view/30198,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-PERM-02,C30199,https://shopview.testrail.io/index.php?/cases/view/30199,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBR-PERM-03,C30200,https://shopview.testrail.io/index.php?/cases/view/30200,NAV/PERMISSION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json (nav headings) + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-DATE-01,C30201,https://shopview.testrail.io/index.php?/cases/view/30201,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBR-DATE-02,C30202,https://shopview.testrail.io/index.php?/cases/view/30202,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-DATE-04,C30204,https://shopview.testrail.io/index.php?/cases/view/30204,EXPORT FILE,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json (36/36 surfaces re-captured),v3.4.1-3d03023,2026-08-04,yes
SBR-TYPE-02,C30206,https://shopview.testrail.io/index.php?/cases/view/30206,FILTERS/DATES,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + env-validation-calc-recheck.json,v3.4.1-3d03023,2026-08-04,yes
SBR-STAT-01,C30208,https://shopview.testrail.io/index.php?/cases/view/30208,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-STAT-02,C30209,https://shopview.testrail.io/index.php?/cases/view/30209,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-STAT-04,C30211,https://shopview.testrail.io/index.php?/cases/view/30211,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-STAT-05,C30212,https://shopview.testrail.io/index.php?/cases/view/30212,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-LOC-01,C30213,https://shopview.testrail.io/index.php?/cases/view/30213,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBR-LOC-03,C30215,https://shopview.testrail.io/index.php?/cases/view/30215,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
SBR-LOC-04,C30216,https://shopview.testrail.io/index.php?/cases/view/30216,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBR-ROW-01,C30217,https://shopview.testrail.io/index.php?/cases/view/30217,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-ROW-02,C30218,https://shopview.testrail.io/index.php?/cases/view/30218,API,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/env-validation-calc-recheck.json (validation + payload shape re-probed),v3.4.1-3d03023,2026-08-04,yes
SBR-ROW-03,C30219,https://shopview.testrail.io/index.php?/cases/view/30219,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-TREE-05,C30221,https://shopview.testrail.io/index.php?/cases/view/30221,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-TREE-06,C30222,https://shopview.testrail.io/index.php?/cases/view/30222,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-TREE-07,C30223,https://shopview.testrail.io/index.php?/cases/view/30223,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-TREE-08,C30224,https://shopview.testrail.io/index.php?/cases/view/30224,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-TREE-09,C30225,https://shopview.testrail.io/index.php?/cases/view/30225,SCREEN,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/screen/screen-columns.json + per-report screenshots,v3.4.1-3d03023,2026-08-04,yes
SBR-BADGE-01,C30226,https://shopview.testrail.io/index.php?/cases/view/30226,LOCATION,CONFIRMED,surface re-observed live on v3.4.1-3d03023; unchanged,evidence/location-and-metadata-matrix.json + screen/singleloc-*.png,v3.4.1-3d03023,2026-08-04,yes
