C-ID,Link,Project,How it entered scope,Title,D1 USEFUL,D2 MAKES SENSE,D3 GENUINE+LAYMAN,Automation marker,Reason (blank = no exception found)
C29619,https://shopview.testrail.io/index.php?/cases/view/29619,Filters,CHANGED today,A URL with a deleted filter value loads and ignores that value,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8832),
C29620,https://shopview.testrail.io/index.php?/cases/view/29620,Filters,CHANGED today,A broken filter URL loads the page with no filters and no error,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8832),
C29621,https://shopview.testrail.io/index.php?/cases/view/29621,Filters,CHANGED today,"Mobile: chips sit in a scrollable row below the tabs, starting All Filters",KEEP,SENSIBLE,PASS,READY,
C29622,https://shopview.testrail.io/index.php?/cases/view/29622,Filters,CHANGED today,Mobile: All Filters opens a sheet of expandable rows with Apply filters,KEEP,SENSIBLE,PASS,READY,
C29623,https://shopview.testrail.io/index.php?/cases/view/29623,Filters,CHANGED today,Mobile: tapping Apply filters applies the statuses and updates the count,KEEP,SENSIBLE,PASS,READY,
C29624,https://shopview.testrail.io/index.php?/cases/view/29624,Filters,CHANGED today,Mobile: one chip opens its own sheet and applies only on Apply filters,KEEP,SENSIBLE,FIX-WORDING,READY - EXPECT FAIL (SV-8875),"refs carries the superseded 4 Aug position (""single-filter sheet applies instantly with no Apply button"") which its own expected result contradicts. The expected result is the correct side (Branko 5 Aug, SV-8825). Metadata only - a tester never sees refs. Same stale note appended to C29621/23/25/26/27/28."
C29625,https://shopview.testrail.io/index.php?/cases/view/29625,Filters,CHANGED today,"Mobile Customer filter has search, multi-select and removable tags",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8875),
C29626,https://shopview.testrail.io/index.php?/cases/view/29626,Filters,CHANGED today,Mobile Lead Technician and Service Advisor filters offer their search lists,KEEP,SENSIBLE,PASS,READY,
C29627,https://shopview.testrail.io/index.php?/cases/view/29627,Filters,CHANGED today,The mobile Asset on Site filter offers Yes/No with Clear Selection in the sheet,KEEP,SENSIBLE,PASS,READY,
C29628,https://shopview.testrail.io/index.php?/cases/view/29628,Filters,CHANGED today,Active chips and Clear Filters behave on mobile the same way as on desktop,KEEP,SENSIBLE,PASS,READY,
C29629,https://shopview.testrail.io/index.php?/cases/view/29629,Filters,CHANGED today,Mobile has no collapse toggle: the filter chip row is always visible,KEEP,SENSIBLE,PASS,READY,
C29632,https://shopview.testrail.io/index.php?/cases/view/29632,Filters,CHANGED today,A combined multi-filter request returns only work orders matching all filters,KEEP,SENSIBLE,PASS,READY,
C29634,https://shopview.testrail.io/index.php?/cases/view/29634,Filters,CHANGED today,A list request with malformed filter parameters does not produce a server error,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8832),
C38877,https://shopview.testrail.io/index.php?/cases/view/38877,Filters,CHANGED today,Imported works alone: picking it greys out the other filters,KEEP,SENSIBLE,PASS,READY,
C38879,https://shopview.testrail.io/index.php?/cases/view/38879,Filters,CHANGED today,Opening a shared link does not change your own saved filters,KEEP,SENSIBLE,PASS,READY,
C38882,https://shopview.testrail.io/index.php?/cases/view/38882,Filters,CHANGED today,Date range filter offers ready-made periods and a custom start/end range,KEEP,SENSIBLE,FIX-WORDING,HOLD - waiting on Branko's Parts and Reports product write-up - the date range filter is built but no source states the periods it must offer,"Provenance dates Confluence version 19 to ""the afternoon of 4 August""; 108 sibling cases and the cached Confluence metadata say 6 August. 4 August afternoon is v18, and v18 is what carried the date-filter change this case describes."
C38889,https://shopview.testrail.io/index.php?/cases/view/38889,Filters,CHANGED today,On mobile the search expands in the toolbar and buttons make room,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8912),
C38896,https://shopview.testrail.io/index.php?/cases/view/38896,Filters,CHANGED today,'Back to my view' is not shown when you are on your own view,KEEP,SENSIBLE,PASS,READY,
C38897,https://shopview.testrail.io/index.php?/cases/view/38897,Filters,CHANGED today,"When filters and a search find nothing, each can be cleared on its own",KEEP,SENSIBLE,PASS,READY,
C43562,https://shopview.testrail.io/index.php?/cases/view/43562,Filters,CHANGED today,"Parts and Reports filters collapse, share and work on a phone as Work Orders do",KEEP,SENSIBLE,PASS,"HOLD - the new filter bar has reached only some Parts views and one report tab, so most of this cannot be run yet",
C43563,https://shopview.testrail.io/index.php?/cases/view/43563,Filters,CHANGED today,"On a phone, picking Imported works alone and disables the other filters",KEEP,SENSIBLE,PASS,READY,
C43590,https://shopview.testrail.io/index.php?/cases/view/43590,Filters,CREATED today,One filter on a page: no collapse control and the filter bar stays shown,KEEP,SENSIBLE,PASS,READY,
C29927,https://shopview.testrail.io/index.php?/cases/view/29927,Schedule,CHANGED today,Day / Week / Month segmented control switches the grid between the three views,KEEP,SENSIBLE,PASS,READY,
C29929,https://shopview.testrail.io/index.php?/cases/view/29929,Schedule,CHANGED today,Collapsing a department header hides its technician rows,KEEP,SENSIBLE,PASS,READY,
C29930,https://shopview.testrail.io/index.php?/cases/view/29930,Schedule,CHANGED today,No Tech/Dept toggle - department grouping is the only grid grouping,KEEP,SENSIBLE,PASS,READY,
C29933,https://shopview.testrail.io/index.php?/cases/view/29933,Schedule,CHANGED today,Mini calendar month/year picker has month buttons and year arrows,KEEP,SENSIBLE,PASS,READY,
C29934,https://shopview.testrail.io/index.php?/cases/view/29934,Schedule,CHANGED today,A chevron toggle collapses and expands the mini calendar grid,KEEP,SENSIBLE,PASS,READY,
C29935,https://shopview.testrail.io/index.php?/cases/view/29935,Schedule,CHANGED today,"Mini calendar highlights the selected date, today, and the hovered week",KEEP,SENSIBLE,PASS,READY,
C29937,https://shopview.testrail.io/index.php?/cases/view/29937,Schedule,CHANGED today,"Work order card anatomy, incl. the status-colored left border",KEEP,SENSIBLE,PASS,READY,
C29939,https://shopview.testrail.io/index.php?/cases/view/29939,Schedule,CHANGED today,"'Search work orders' matches work order number, customer, unit, and technician",KEEP,SENSIBLE,PASS,READY,
C29940,https://shopview.testrail.io/index.php?/cases/view/29940,Schedule,CHANGED today,Sidebar search filters the card list in real time as you type,KEEP,SENSIBLE,PASS,READY,
C29941,https://shopview.testrail.io/index.php?/cases/view/29941,Schedule,CHANGED today,Sidebar search with no matching work orders shows an empty list,KEEP,SENSIBLE,PASS,READY,
C29943,https://shopview.testrail.io/index.php?/cases/view/29943,Schedule,CHANGED today,Assignment filter narrows the list to Assigned or Unassigned work orders,KEEP,SENSIBLE,PASS,READY,
C29944,https://shopview.testrail.io/index.php?/cases/view/29944,Schedule,CHANGED today,Status filter narrows the list to work orders in the chosen status(es),KEEP,SENSIBLE,PASS,READY,
C29945,https://shopview.testrail.io/index.php?/cases/view/29945,Schedule,CHANGED today,"Priority filter offers High, Medium, Low and narrows the list accordingly",KEEP,NONSENSE,PASS,READY,"F1 precondition unreachable: ""Work orders exist with different priorities (High and Low at minimum)"". C38871 records that the work-order form has NO Priority field, and the 4 Aug live check recorded all three priority counts at 0. No BLOCKED path given."
C29946,https://shopview.testrail.io/index.php?/cases/view/29946,Schedule,CHANGED today,'Clear all' resets every applied sidebar filter in one click,KEEP,SENSIBLE,PASS,READY,
C29947,https://shopview.testrail.io/index.php?/cases/view/29947,Schedule,CHANGED today,Search and filter work together - both can be active at the same time,KEEP,SENSIBLE,PASS,READY,
C29950,https://shopview.testrail.io/index.php?/cases/view/29950,Schedule,CHANGED today,Only approved work order lines appear in the drill-down,KEEP,SENSIBLE,PASS,READY,
C29951,https://shopview.testrail.io/index.php?/cases/view/29951,Schedule,CHANGED today,"Line row shows title, hours, the technician roster and a drag handle",KEEP,SENSIBLE,PASS,READY,
C29952,https://shopview.testrail.io/index.php?/cases/view/29952,Schedule,CHANGED today,Lines with no technician assigned show a 'Needs techs' badge,KEEP,SENSIBLE,PASS,READY,
C29953,https://shopview.testrail.io/index.php?/cases/view/29953,Schedule,CHANGED today,'Search lines' matches the line title/name only,KEEP,SENSIBLE,PASS,READY,
C29954,https://shopview.testrail.io/index.php?/cases/view/29954,Schedule,CHANGED today,'All / Unscheduled' filter chips show counts and filter the line list,KEEP,SENSIBLE,PASS,READY,
C29960,https://shopview.testrail.io/index.php?/cases/view/29960,Schedule,CHANGED today,"While dragging, target cells highlight and a ghost block follows",KEEP,SENSIBLE,PASS,READY,
C29962,https://shopview.testrail.io/index.php?/cases/view/29962,Schedule,CHANGED today,A click-to-arm alternative exists for scheduling without dragging,KEEP,FIX-WORDING,PASS,READY,"Click-to-arm regression re-confirmed live on 11 Aug (SV-8957: ""no arm test-id, no aria-label containing by click, no arm markup anywhere"") - the case says nothing about it and carries plain READY."
C29975,https://shopview.testrail.io/index.php?/cases/view/29975,Schedule,CHANGED today,Dragging an unassigned shift onto a technician row assigns it,KEEP,SENSIBLE,PASS,READY,
C29978,https://shopview.testrail.io/index.php?/cases/view/29978,Schedule,CHANGED today,Spread step header shows the scope; 'Change scope' returns to the picker,KEEP,SENSIBLE,PASS,READY,
C29987,https://shopview.testrail.io/index.php?/cases/view/29987,Schedule,CHANGED today,"Month view: series banner wraps across weeks, labeled once, then 'continues'",KEEP,SENSIBLE,PASS,READY,
C29998,https://shopview.testrail.io/index.php?/cases/view/29998,Schedule,CHANGED today,Visible lanes cap at 3; extra overlapping shifts collapse into '+N more',KEEP,SENSIBLE,PASS,READY,
C30001,https://shopview.testrail.io/index.php?/cases/view/30001,Schedule,CHANGED today,Day view auto-scrolls to the working-day start; manual scrolling stands,KEEP,SENSIBLE,PASS,READY,
C30009,https://shopview.testrail.io/index.php?/cases/view/30009,Schedule,CHANGED today,Scheduled date and start/end time pickers work in 15-minute increments,KEEP,SENSIBLE,PASS,READY,
C30010,https://shopview.testrail.io/index.php?/cases/view/30010,Schedule,CHANGED today,The modal shows the technician and time logged vs estimate progress,KEEP,SENSIBLE,PASS,READY,
C30014,https://shopview.testrail.io/index.php?/cases/view/30014,Schedule,CHANGED today,A conflicted shift's modal shows a conflict banner with an 'Adjust' action,KEEP,SENSIBLE,PASS,READY,
C30015,https://shopview.testrail.io/index.php?/cases/view/30015,Schedule,CHANGED today,Shift modal offers Delete only - there is no Reassign action,KEEP,SENSIBLE,PASS,READY,
C30025,https://shopview.testrail.io/index.php?/cases/view/30025,Schedule,CHANGED today,Before-hours and after-hours shifts are flagged against the tech's hours,KEEP,SENSIBLE,PASS,READY,
C30033,https://shopview.testrail.io/index.php?/cases/view/30033,Schedule,CHANGED today,Hovering a capacity bar shows a per-technician breakdown,KEEP,SENSIBLE,PASS,READY,
C30035,https://shopview.testrail.io/index.php?/cases/view/30035,Schedule,CHANGED today,A conflicted shift's tooltip shows the icon and reason in amber,KEEP,SENSIBLE,PASS,READY,
C30036,https://shopview.testrail.io/index.php?/cases/view/30036,Schedule,CHANGED today,"Event hover tooltip shows name, grey category dot, time range and tech",KEEP,SENSIBLE,PASS,READY,
C30041,https://shopview.testrail.io/index.php?/cases/view/30041,Schedule,CHANGED today,"Toolbar search matches customer, work order, unit, technician and line names",KEEP,SENSIBLE,PASS,READY,
C30042,https://shopview.testrail.io/index.php?/cases/view/30042,Schedule,CHANGED today,"'Filter & display' dropdown: department toggles, 'My Shifts' and 'VIN Number'",KEEP,SENSIBLE,PASS,READY,
C30043,https://shopview.testrail.io/index.php?/cases/view/30043,Schedule,CHANGED today,Department toggles show or hide individual department groups in the grid,KEEP,SENSIBLE,PASS,READY,
C30044,https://shopview.testrail.io/index.php?/cases/view/30044,Schedule,CHANGED today,'My Shifts' filters the grid to only the current user's shifts,KEEP,SENSIBLE,PASS,HOLD - needs a second sign-in as a user with no staff record of their own,
C30045,https://shopview.testrail.io/index.php?/cases/view/30045,Schedule,CHANGED today,'VIN Number' toggle gates the block VIN only - tooltip and modal always show it,KEEP,SENSIBLE,PASS,READY,
C30046,https://shopview.testrail.io/index.php?/cases/view/30046,Schedule,CHANGED today,'View options': six toggles with defaults; Capacity Planning and Events flip,KEEP,SENSIBLE,PASS,READY,
C30047,https://shopview.testrail.io/index.php?/cases/view/30047,Schedule,CHANGED today,Business Hours toggle shades non-working hours in day view,KEEP,SENSIBLE,PASS,READY,
C30050,https://shopview.testrail.io/index.php?/cases/view/30050,Schedule,CHANGED today,Tech Hours toggle displays each technician's working hours next to their name,KEEP,SENSIBLE,PASS,READY,
C30051,https://shopview.testrail.io/index.php?/cases/view/30051,Schedule,CHANGED today,'Show Saturday' and 'Show Sunday' include or exclude the weekend columns,KEEP,SENSIBLE,PASS,READY,
C30082,https://shopview.testrail.io/index.php?/cases/view/30082,Schedule,CHANGED today,No own-only restriction: a View user sees ALL technicians' shifts,KEEP,SENSIBLE,PASS,HOLD - needs a second sign-in as a view-only technician,
C30086,https://shopview.testrail.io/index.php?/cases/view/30086,Schedule,CHANGED today,Below 960px the grid scrolls sideways and the sidebar collapses,KEEP,SENSIBLE,PASS,READY,
C30087,https://shopview.testrail.io/index.php?/cases/view/30087,Schedule,CHANGED today,The sidebar work order list and line drill-down stay smooth with 50+ items,KEEP,SENSIBLE,PASS,READY,
C38865,https://shopview.testrail.io/index.php?/cases/view/38865,Schedule,CHANGED today,A multi-week series keeps the same local start time across the clock change,KEEP,SENSIBLE,PASS,READY,
C43554,https://shopview.testrail.io/index.php?/cases/view/43554,Schedule,CHANGED today,Schedule opens on Day view the first time you open it from the navigation,KEEP,SENSIBLE,PASS,READY,
C43555,https://shopview.testrail.io/index.php?/cases/view/43555,Schedule,CHANGED today,Month view: dragging a work order onto a day creates a shift for that day,KEEP,FIX-WORDING,PASS,"HOLD - waiting on the product owner's answer, and the question has not been sent yet","Body says ""The question has been put to the product owner on SV-8870"" while the marker says ""the question has not been sent yet"". Reads as self-contradictory even though both can be true (ticket exists; question sheet unsent)."
C43556,https://shopview.testrail.io/index.php?/cases/view/43556,Schedule,CHANGED today,Week view: a shift that is part of a repeating series can be reassigned,KEEP,SENSIBLE,PASS,READY,
C43582,https://shopview.testrail.io/index.php?/cases/view/43582,Schedule,CREATED today,Panel button sits left of Today and its tooltip names what it will do,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43583,https://shopview.testrail.io/index.php?/cases/view/43583,Schedule,CREATED today,Panel button hides the left panel and the grid widens into the space,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43584,https://shopview.testrail.io/index.php?/cases/view/43584,Schedule,CREATED today,What you had set up in the left panel survives hiding and showing it,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43585,https://shopview.testrail.io/index.php?/cases/view/43585,Schedule,CREATED today,On a narrow window the panel button still works and your choice holds,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43586,https://shopview.testrail.io/index.php?/cases/view/43586,Schedule,CREATED today,Menus and pop-up windows reposition when the left panel is hidden,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43587,https://shopview.testrail.io/index.php?/cases/view/43587,Schedule,CREATED today,Hiding the panel lasts for the rest of your sign-in but is not saved,KEEP,SENSIBLE,FIX-WORDING,READY,"Marked AUTOMATION: READY for a feature the case itself records as absent from the build. The same suite uses ""HOLD - <feature> does not exist in the build"" for exactly this (C38868, C38869, C38871). Tester is safe - the body says plainly to mark it failed - so the cost falls on the automation worklist, not on tomorrow's run."
C43588,https://shopview.testrail.io/index.php?/cases/view/43588,Schedule,CREATED today,Dark mode is chosen from the user menu and is remembered for you,KEEP,SENSIBLE,PASS,READY,
C43589,https://shopview.testrail.io/index.php?/cases/view/43589,Schedule,CREATED today,In dark mode pop-up windows still look raised above the page,KEEP,SENSIBLE,PASS,READY,
C30096,https://shopview.testrail.io/index.php?/cases/view/30096,ReportSuite,CHANGED today,"Sales By Customer listed under Performance, below existing links; titles correct",KEEP,SENSIBLE,PASS,READY,
C30102,https://shopview.testrail.io/index.php?/cases/view/30102,ReportSuite,CHANGED today,"Date range picker offers nine periods in the specified order, no All Time",KEEP,NONSENSE,FIX-WORDING,READY,"Expected result is numbered 1, 3, 3 - item 2 is missing. The title promises ""nine periods in the specified order"" and no item enumerates them. PREDATES today; three sibling cases (IV-DATE-01, PV-FILT-03, WIP-FLT-04) carry the full sentence."
C30105,https://shopview.testrail.io/index.php?/cases/view/30105,ReportSuite,CHANGED today,Changing the date range writes it into the page link for sharing,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8955),
C30107,https://shopview.testrail.io/index.php?/cases/view/30107,ReportSuite,CHANGED today,Product Type multi-select: both toggles on by default; S/P prefix filtering,KEEP,SENSIBLE,PASS,READY,
C30112,https://shopview.testrail.io/index.php?/cases/view/30112,ReportSuite,CHANGED today,"Customer filter sits between Product Type and Location, carries a search icon",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8962),
C30114,https://shopview.testrail.io/index.php?/cases/view/30114,ReportSuite,CHANGED today,Pinned control toggles All customers and Clear all; clearing shows empty state,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8991),
C30116,https://shopview.testrail.io/index.php?/cases/view/30116,ReportSuite,CHANGED today,"Collapsed label reads None, the customer's name, or N selected",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8962),
C30142,https://shopview.testrail.io/index.php?/cases/view/30142,ReportSuite,CHANGED today,"All columns sortable except chevron; text alphabetical, numbers by value",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8963),
C30144,https://shopview.testrail.io/index.php?/cases/view/30144,ReportSuite,CHANGED today,Missing values sort to the bottom ascending and to the top descending,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8963),
C30160,https://shopview.testrail.io/index.php?/cases/view/30160,ReportSuite,CHANGED today,Download file names carry the version and the active date range,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8956),
C30161,https://shopview.testrail.io/index.php?/cases/view/30161,ReportSuite,CHANGED today,"Expanded View CSV: column order, blank-cell rules, and the Locations line",KEEP,SENSIBLE,PASS,READY,
C30162,https://shopview.testrail.io/index.php?/cases/view/30162,ReportSuite,CHANGED today,CSV formats: Margin % plain; dates mm-dd-yyyy; currency plain; no color,KEEP,FIX-WORDING,PASS,READY - EXPECT FAIL (SV-8823),REPAIRED THIS PASS. Carried an Inventory Value symptom block on a Sales By Customer case. Introduced today; absent from the baseline.
C30166,https://shopview.testrail.io/index.php?/cases/view/30166,ReportSuite,CHANGED today,"PDF page: A4 landscape, uniform margins, ShopView footer and page numbers",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8964),
C30167,https://shopview.testrail.io/index.php?/cases/view/30167,ReportSuite,CHANGED today,"PDF header: title, organization, date range, Product Type and Locations lines",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8937),
C30169,https://shopview.testrail.io/index.php?/cases/view/30169,ReportSuite,CHANGED today,"Expanded CSV body: column set and order, Customer/Asset/Invoice tree, blanks",KEEP,SENSIBLE,PASS,READY,
C30172,https://shopview.testrail.io/index.php?/cases/view/30172,ReportSuite,CHANGED today,"An export over 10,000 data rows is refused with the too-large toast",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30173,https://shopview.testrail.io/index.php?/cases/view/30173,ReportSuite,CHANGED today,A no-match export still downloads headers and a zero totals row,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8991),
C30176,https://shopview.testrail.io/index.php?/cases/view/30176,ReportSuite,CHANGED today,A saved value that is no longer valid is dropped and falls back to default,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8966),
C30185,https://shopview.testrail.io/index.php?/cases/view/30185,ReportSuite,CHANGED today,Page and toolbar match the suite theme in padding; surface and alignment,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8965),
C30186,https://shopview.testrail.io/index.php?/cases/view/30186,ReportSuite,CHANGED today,Row surfaces alternate by tree level; header and totals rows stay white,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8965),
C30194,https://shopview.testrail.io/index.php?/cases/view/30194,ReportSuite,CHANGED today,"Exports are server-generated and the 10,000-row cap is counted first",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8818),
C30218,https://shopview.testrail.io/index.php?/cases/view/30218,ReportSuite,CHANGED today,"Row layout: 12 columns in order, blanks in position, bold summary rows",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-9001),
C30225,https://shopview.testrail.io/index.php?/cases/view/30225,ReportSuite,CHANGED today,Detail rows run newest first with a numeric invoice-number tie-break,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8974),
C30226,https://shopview.testrail.io/index.php?/cases/view/30226,ReportSuite,CHANGED today,Status badge between Customer and Inv. Hrs; every detail row shows mapped text,KEEP,SENSIBLE,PASS,READY,
C30229,https://shopview.testrail.io/index.php?/cases/view/30229,ReportSuite,CHANGED today,Inv. Hrs is hours invoiced minus hours worked; half-up to one decimal,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8999),
C30230,https://shopview.testrail.io/index.php?/cases/view/30230,ReportSuite,CHANGED today,"Inv. Hrs: +green, -red, 0.0 default on every row; rollups from unrounded deltas",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8999),
C30231,https://shopview.testrail.io/index.php?/cases/view/30231,ReportSuite,CHANGED today,No-labor-no-time invoices show 0.0; clocked-unbilled work shows negative,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8999),
C30237,https://shopview.testrail.io/index.php?/cases/view/30237,ReportSuite,CHANGED today,"Subtotal: rightmost, pinned right, bold everywhere; header row sticky on scroll",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8977),
C30238,https://shopview.testrail.io/index.php?/cases/view/30238,ReportSuite,CHANGED today,Desktop Totals row merges the identifier columns and sticks to the bottom,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8977),
C30239,https://shopview.testrail.io/index.php?/cases/view/30239,ReportSuite,CHANGED today,Mobile shows a simplified totals bar below the table; Subtotal at right,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8978),
C30273,https://shopview.testrail.io/index.php?/cases/view/30273,ReportSuite,CHANGED today,A stale saved value falls back to its default and never errors,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8976),
C30277,https://shopview.testrail.io/index.php?/cases/view/30277,ReportSuite,CHANGED today,"All four downloads respect filters, full result set, and active order",KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8925),
C30278,https://shopview.testrail.io/index.php?/cases/view/30278,ReportSuite,CHANGED today,Summary PDF: one rolled-up row per rep with a recomputed grand totals row,KEEP,SENSIBLE,PASS,READY,
C30279,https://shopview.testrail.io/index.php?/cases/view/30279,ReportSuite,CHANGED today,Expanded View PDF: one page-block per rep with its own totals; no grand,KEEP,SENSIBLE,PASS,READY - EXPECT FAIL (SV-8981),
