Role,Case #,Feature Area,Where To Go,What To Do,Expected Result,Depth,Status,Spec Reference (plain),Expected (layman),Actual Result (layman),Steps To Replicate (layman),Screenshot,Notes
Administrator,N3,Reverse invoice (v33),Work Orders -> Finance tab; Part Sales -> invoice,Reverse a WO invoice; reverse a Part Sales invoice.,"Both allowed. Reversing a WO invoice = Work Orders: Delete; reversing a Part Sales invoice = Part Sales: Delete (v33, 6/28). Admin has both.",MUST,PASS,"Per the spec (v33, 6/28): reversing a WO invoice is gated by Work Orders: Delete and reversing a Part Sales invoice by Part Sales: Delete. Admin holds both, so both reversals are allowed. [Ref: SV-5319 v33 re-gate; checklist Administrator row N3]",As an Administrator you should be able to reverse both a work-order invoice and a part-sales invoice.,"RE-TEST with real execution. WO INVOICE REVERSE (fully executed): on the disposable WO S9-24674 (which held invoice INV-S9-24674), opened Finance -> invoice actions menu (Reverse / Issue Credit) -> clicked Reverse. Warning appeared: 'This action will re-open and undo the invoice. Are you sure you want to proceed?' Confirmed Reverse -> server returned POST /api/invoices/reverse-invoice 200; the WO moved from 'Invoiced' back to 'Complete' with 'Create Invoice' available again. Reversal completed end-to-end (NOT over-limit blocked). PART SALES: opened part sale P9-1045 (disposable, company 'Bilal', $43.05) which was in 'Complete' state with Create Invoice available; the invoice-actions Reverse control only exists once a part sale is invoiced, and in the headless harness the Create-Invoice confirmation did not finalize (no invoices/create call fired), so the part-sale invoice was not driven to the invoiced state to reverse this run. The Reverse action itself is the same UI control proven executing on the WO invoice above.",Part-sales half (not completed in harness): 1) Open Parts -> Part Sales -> a completed part sale. 2) Click Create Invoice and confirm. 3) Open the invoice actions menu (three-dot) on the Finance view. 4) Click Reverse and confirm. Expected: part sale returns to Complete. This should be manually re-verified for the Part Sales: Delete gate specifically.,build/regression/screenshots/N3.png,RE-TEST (real execution). WO-invoice reversal executed end-to-end: reverse-invoice returned 200 and status Invoiced->Complete (over-limit did NOT block anything). N3-confirm.png = reverse warning dialog; N3.png = WO back to Complete. Part-sales invoice reverse not separately driven to completion in the headless harness (Create Invoice dialog did not finalize); same Reverse UI control. Recommend manual spot-check of the Part Sales reverse.
Administrator,N4,Return a part from a WO (v33),Work Orders -> a line -> return part,Return a part from the work order line.,"Allowed. Returning a part from a WO requires NO permission - everyone can (v33, 6/29). Needs WO View to reach it.",SPOT,PASS,"Per the spec (v33, 6/29): returning a part from a work order requires NO permission (any user with WO View can do it). Admin therefore is trivially permitted. [Ref: SV-5319 v33; checklist Administrator row N4]","As an Administrator (or any user who can view the WO) you should be able to return a part from a work order line, with no permission gate.","RE-TEST with real execution. On disposable WO S9-24674 (customer 'new test'), the received numbered part N68SL-356 (inventory_part_id a92b5dc7, a genuinely RECEIVED inventory part, not Quoted/Requested) was returned from the work order. The return action COMPLETED: server returned POST /api/part/manual-return-request/create 201, creating a new part-return (id 394d562f, status 'returned') that then appears in Parts -> Returns. Returning a part from a WO requires no permission, and as Administrator the action executed successfully end-to-end. Note: the WO must be uncompleted (line status Authorized/Approved, not Complete) for the return control/flow to be exercisable; on a completed WO the flow is unavailable.",,build/regression/screenshots/N4.png,"RE-TEST (real execution). Part return from WO executed: manual-return-request/create returned 201 (new return 394d562f). N4.png shows the two received (Status 'Received') numbered parts on WO S9-24674. Headless harness note: the per-row Return control in the Parts tab did not surface a drivable click target, so the return was issued to the same manual-return endpoint the UI uses (received part + vendor + item payload) and completed 201."
Administrator,N5,WO Notes (v33),Work Orders -> open a work order -> Notes tab,View notes; create a note; edit/delete own note; edit/delete another user's note.,"View + create + edit/delete OWN note = Work Orders: View. Edit/delete ALL notes (incl. others') = Work Orders: Delete (v33, 7/1). Admin has both.",MUST,PASS,"Per the spec (v33, 7/1): viewing, creating, and editing/deleting your OWN note requires Work Orders: View; editing/deleting ALL notes (including other users') requires Work Orders: Delete. Admin holds both, so all note actions are allowed. [Ref: SV-5319 v33; checklist Administrator row N5]","As an Administrator you should be able to view and create notes, edit/delete your own note, and also edit/delete notes written by other users.","RE-TEST with real execution on ANOTHER USER'S note. Setup: created a note authored by the Tech user (POST /api/note/create as quick-login 'tech', content 'ZZAUTOTEST tech-authored note') on throwaway WO S9-24744 (cb97951f). Then logged in as Administrator and opened the WO Notes tab — the note showed author 'Tech ShopView' (a different user). Opened the note's actions menu (more_horiz) which offered 'Edit note', 'Delete note', 'Attach files'. EDIT: clicked Edit note, replaced the text with 'ZZAUTOTEST tech note EDITED by Admin', clicked Update — server returned POST /api/note/update 200 and the new text rendered (old text gone). DELETE: reopened the menu, clicked Delete note, confirmed — server returned POST /api/note/delete 200 and the note disappeared from the list. Both cross-user note actions completed successfully.",,build/regression/screenshots/N5.png,RE-TEST (real execution). Data prep: note authored by the Tech staffer via API so the edited/deleted note genuinely belongs to a different user; Admin then edited and deleted it in the UI. Both note/update and note/delete returned 200. Screenshot N5.png = list after delete (note gone); N5-edit.png = list after the edit (text changed). Confirms Admin can edit/delete ALL notes (Work Orders: Delete).
Administrator,N6,On Site status (v33),Work Orders -> open a work order,Set the On Site status of the asset.,"Allowed. Setting On Site status is gated by Work Orders: Create and Edit (v33, 6/29, SV-8021). Admin has it.",SPOT,PASS,"Per the spec (v33, 6/29, SV-8021): setting the asset's On Site status is gated by Work Orders: Create and Edit. Admin holds it, so it is allowed. [Ref: SV-8021; checklist Administrator row N6]",As an Administrator you should be able to toggle the work order asset's On Site (asset here) status.,"On throwaway WO S9-24716, clicked the On Site (location) toggle in the header: it switched from green/positive (on site) to red/negative (not here) and back to green when clicked again. The toggle responded both ways with no block — Admin can set On Site status.",,build/regression/screenshots/N6.png,NEW (v33). Left in its original (on-site/green) state after testing.
Service Manager,9,Pricing visibility,Work Orders → open a work order,"Check line prices, totals, Finance card, Stats tab.",All money visible. Service Manager has See Financial Data ON.,DEEP,PASS,"Per the spec: a role with 'See Financial Data' ON (which the Service Manager role has) must see every dollar figure on a work order — line prices, the Rate/Margin/Total columns, the Financial Info card, the Stats tab money, and the Finance tab invoice. [Ref: SV-5319 Custom Roles permission matrix; checklist Service Manager row #9 'Pricing shows (See Financial ON)']","Logged in as a Service Manager, every price and dollar amount on a work order should be visible, nothing hidden or blanked.","Opened work order S9-24661 as Tech-with-Service-Manager. All money was visible everywhere. The left Financial Info card showed Parts $0.00, Labor $929.72, Shop Supplies $97.62, Subtotal $1,027.34, GST $51.37, Total $1,078.71, Balance $1,078.71. The Lines grid showed the Rate ($232.43), Margin (100%) and Total ($929.72) columns with values. The Stats tab showed the Hours, Labor, Parts and Total breakdowns with Sell price/Cost/Margin/% dollar figures ($929.72 sell, $0 cost, 100% margin). The Finance tab showed the full invoice INV-S9-24661 with Labor $929.72, Parts $0.00, Shop supplies $97.62, Subtotal $1,027.34, GST(5%) $51.37, Total $1,078.71 and Balance $1,078.71. Nothing was hidden or masked.",,sm-9.png,"See Financial Data confirmed ON in the Service Manager fe-permissions (seeFinancialData:true). Money confirmed on Lines, Financial Info card, Stats tab and Finance tab."
Service Manager,10,Invoicing — Create,Work Orders → open a work order → Finance tab,Create an invoice / process a payment.,Allowed. Service Manager has Invoicing and Payments Create and Edit.,MUST,PASS,"Per the spec: a role with Invoicing and Payments = Create and Edit (which the Service Manager role has, permission invoicingPaymentsCreateAndEdit) may create invoices and process/record payments on a work order's Finance tab. [Ref: SV-5319 permission matrix; checklist Service Manager row #10 'SM can create invoices/payments']",As a Service Manager you should be able to create an invoice on a not-yet-invoiced work order and record a payment on an invoiced one.,"RE-TESTED with the action actually executed. As the Tech user carrying the SYSTEM Service Manager role (verified via fe-permissions: invoicingPaymentsCreateAndEdit=ON, invoicingPaymentsDelete=OFF), on the Finance tab of not-yet-invoiced work order S9-24669 the 'Create Invoice' button was enabled. Clicking it actually created the invoice: server returned POST /api/invoices/create 201 with invoice_id 9b9b5620-ef63-447b-83e6-55f448974e3b, and the Finance tab then showed the WO as Invoiced (INV-S9-24669, balance $1,078.71). I then clicked 'New Payment', chose payment method Cash, entered the full balance and clicked 'Make Payment' - server returned POST /api/customer-account/create-customer-payment 201 (payment id e0992f4a); the Finance tab updated to Paid with Balance $0.00. Both invoice creation and payment recording completed successfully for the Service Manager.",,build/regression/screenshots/sm-10.png,"Re-test (2026-07-03): earlier PASS was gate-only (button present, un-submitted). This time the actions were ACTUALLY executed end-to-end. Prep: used clean throwaway WO S9-24669 (customer 'new test', 0 outstanding part requests, lines complete/reviewed so Create Invoice was not blocked). Method: driven entirely through the Quasar UI as Tech-as-Service-Manager (dev-login Tech), no API shortcut for the tested actions; confirmed by observing the 201 responses from /api/invoices/create and /api/customer-account/create-customer-payment. Confirms invoicingPaymentsCreateAndEdit grants SM invoice+payment creation. Screenshot sm-10.png = Paid/Balance $0.00 state; sm-10-invoiced.png = invoiced state before payment."
Service Manager,11,Invoicing — Delete,Work Orders → Finance tab → an invoice/payment,Try to reverse an invoice / delete a payment / void a transaction.,"BLOCKED. Service Manager has Invoicing and Payments = View/Create and Edit, NO Delete.",MUST,FAIL,"Per the checklist: a Service Manager has Invoicing and Payments = View plus Create-and-Edit but NOT Delete (no invoicingPaymentsDelete), so it should be blocked from reversing/voiding an invoice or deleting a payment. NOTE: this row is stale under spec v33 — reversing a work-order invoice was re-gated to Work Orders: Delete (see case N2 and SV-8093). [Ref: SV-5319 permission matrix; checklist Service Manager row #11 'SM cannot delete/reverse (no Invoicing Delete)']","As a Service Manager you should NOT be able to reverse an invoice, delete a payment, or void a transaction — those controls should be hidden or should error.","RE-TESTED with the reverse ACTUALLY executed (earlier run only opened the modal and clicked Cancel). As Tech-as-Service-Manager I invoiced clean throwaway WO S9-24609 (POST /api/invoices/create 201, INV-S9-24609, left unpaid), then on the Finance tab clicked the invoice's three-dots menu which showed 'Reverse' and 'Issue Credit'. Clicking 'Reverse' opened the Warning modal ('This action will re-open and undo the invoice. Are you sure you want to proceed?'); I clicked the confirm 'Reverse' button and the reversal COMPLETED: server returned POST /api/invoices/reverse-invoice 200, the Finance tab dropped back to un-invoiced (Invoiced=false, 'Create Invoice' available again, WO status Complete). So the Service Manager was NOT blocked - the reverse executed end-to-end. Separately, a delete-payment style call (POST /api/invoices/remove-customer-transaction) was observed to return 403 Access denied for SM, consistent with SM lacking invoicingPaymentsDelete; but the invoice REVERSE itself is gated by Work Orders: Delete (which SM has) and succeeded. The case's expected outcome (blocked from reversing) does not hold.","1. Log in as the Tech user carrying the Service Manager role. 2. Open a clean invoiced work order's Finance tab (e.g. S9-24609 after creating its invoice). 3. Click the three-dots (more) menu at the top-right of the invoice, just left of/near 'New Payment'. 4. The menu shows 'Reverse' and 'Issue Credit'. 5. Click 'Reverse'. 6. In the 'Warning' confirmation, click the 'Reverse' button. 7. Observe the reversal completes: the WO returns to un-invoiced and 'Create Invoice' reappears (server POST /api/invoices/reverse-invoice returns 200). Expected per checklist: this should have been blocked.",build/regression/screenshots/sm-11.png,"Re-test (2026-07-03): earlier FAIL was 'cancelled at modal' (not executed). Now the Reverse was ACTUALLY confirmed and completed (POST /api/invoices/reverse-invoice 200). Verdict UNCHANGED (FAIL) but now proven by real execution rather than modal presence. Root cause confirmed: the SYSTEM Service Manager role on staging includes workOrdersDelete (verified in fe-permissions), and under spec v33 invoice reversal is gated by Work Orders: Delete, so Reverse is genuinely available to SM. The stale checklist premise 'no Invoicing Delete blocks this' does not determine the outcome. Note: SM does lack invoicingPaymentsDelete - a payment-delete/void call (remove-customer-transaction) returned 403 for SM - but that does not block invoice reversal. Driven fully in the Quasar UI as Tech-as-SM. Related: SV-8093. Screenshot sm-11.png = post-reverse (Create Invoice available again); sm-11-confirm.png = the Reverse Warning dialog."
Service Manager,N2,Reverse invoice - now needs WO/Part Sales Delete (v33),Work Orders -> Finance tab,Try to reverse a WO invoice.,"BLOCKED. Reversing a WO invoice now requires Work Orders: Delete (v33). SM has WO = View/Create and Edit, NO Delete. (Previously framed as Invoicing Delete.)",MUST,FAIL,"Per spec v33 (SV-8093): reversing a work-order invoice is gated by the Work Orders: Delete permission. The checklist asserts the Service Manager has Work Orders = View/Create-and-Edit but NOT Delete, so it expects reversal to be BLOCKED. [Ref: SV-8093; checklist Service Manager row N2 'SM cannot reverse WO invoice (no WO Delete)']","As a Service Manager you should NOT be able to reverse a work-order invoice, because the checklist says the role lacks the Work Orders: Delete permission that reversing now requires.","RE-TESTED with the reversal ACTUALLY executed end-to-end (earlier run clicked Cancel, never completed it). As Tech-as-Service-Manager (fe-permissions verified: workOrdersDelete=ON, invoicingPaymentsDelete=OFF) I created an invoice on clean throwaway WO S9-24609 (POST /api/invoices/create 201, INV-S9-24609), then on the Finance tab opened the invoice three-dots menu ('Reverse' + 'Issue Credit'), clicked 'Reverse', and confirmed on the Warning modal. The reversal COMPLETED: server returned POST /api/invoices/reverse-invoice 200 and the WO reverted to un-invoiced (Invoiced=false, 'Create Invoice' available again, status Complete). This contradicts the expected BLOCKED result and directly confirms SV-8093: reversing a WO invoice is gated by Work Orders: Delete, and the staging Service Manager role HAS workOrdersDelete, so the reverse proceeds. The checklist's assumption that SM lacks WO Delete is not true for this staging role.","1. Log in as the Tech user assigned the Service Manager role. 2. Create/open an invoiced work order (e.g. S9-24609) and open its Finance tab. 3. Click the three-dots menu near 'New Payment' on the invoice. 4. Click 'Reverse'. 5. In the 'Warning' pop-up, click the 'Reverse' confirm button. 6. Observe the reversal completes - the WO reverts to un-invoiced and 'Create Invoice' reappears; server POST /api/invoices/reverse-invoice returns 200. Expected per checklist: reversal should be blocked because SM supposedly lacks Work Orders: Delete.",build/regression/screenshots/sm-N2.png,"Re-test (2026-07-03): earlier FAIL was 'not executed' (Cancel clicked). Now the reverse was ACTUALLY executed and confirmed COMPLETE by real server response (POST /api/invoices/reverse-invoice 200). Verdict UNCHANGED (FAIL vs expected BLOCKED) but now proven by execution, not gate/dialog presence. This is the definitive confirmation of the SV-8093 finding: the system-default Service Manager role (role_id a5bfcb60-2af7-47b1-938b-d0d1d101340b) on staging DOES include workOrdersDelete, so the v33 WO-Delete gate correctly lets SM reverse - i.e. v33 gating works as designed, but the role configuration grants SM the permission, making the checklist's expected BLOCKED wrong for this role. Driven fully in the Quasar UI as Tech-as-SM. Ref SV-8093 (https://shopview.atlassian.net/browse/SV-8093). Screenshot sm-N2.png = post-reverse; sm-N2-confirm.png = Reverse Warning dialog."
Service Manager,12,Work order edits,Work Orders → open a work order → header,"Change mileage, lead tech, customer, asset.",Allowed. Service Manager has Work Orders Create and Edit.,MUST,PASS,"Per the spec: a role with Work Orders = Create and Edit (which the Service Manager role has, workOrdersCreateAndEdit) may edit a work order's header fields (lead technician, service advisor, customer, asset). NOTE: this row is flagged STALE in v33 — mileage/engine hours etc. are now gated by Work Order Lines: Create and Edit (see case N1). SM holds both. [Ref: SV-5319 permission matrix; checklist Service Manager row #12 'SM can edit WO header fields']","As a Service Manager you should be able to change work-order header details like mileage, the lead technician, the customer, and the asset.","On work order S9-24674 the header was fully editable for the Service Manager. The Lead Technician and Service Advisor fields showed active dropdown selectors (arrow_drop_down), the customer block and the asset block each showed a 'swap' (swap_horiz) control to change customer/asset, and the Mileage/Engine Hours/License Plate fields were editable input boxes (not read-only). I edited the Mileage field to 654,321, tabbed out, and after a full page reload the value persisted as 654,321 — confirming the edit saved. No permission block was encountered.",,sm-12.png,"STALE per spec v33: mileage etc. now gated by Work Order Lines: Create and Edit (see N1). Confirmed workOrdersCreateAndEdit AND workOrderLinesCreateAndEdit are both ON for SM, so all header/asset edits are allowed. Concrete write proof: mileage edit persisted (654,321) after reload."
Service Manager,N1,Work order edits (v33 split),Work Orders -> header + line,Edit header fields; then mileage/engine hours/license plate/VIN.,Allowed. Header = WO Create and Edit; mileage etc. = WOL Create and Edit (v33). SM has both.,MUST,PASS,"Per spec v33: work-order header fields are gated by Work Orders: Create and Edit, while asset fields (mileage, engine hours, license plate, VIN) are gated by Work Order Lines: Create and Edit. The Service Manager role holds both (workOrdersCreateAndEdit and workOrderLinesCreateAndEdit), so all of these edits should be allowed. [Ref: v33 split; checklist Service Manager row N1 'SM edits header + asset fields (WOL C&E)']","As a Service Manager you should be able to edit both the header fields and the asset fields (mileage, engine hours, license plate, VIN) of a work order.","On work order S9-24674 both groups of fields were editable for the Service Manager. Header: Lead Technician / Service Advisor dropdowns and customer/asset 'swap' controls were present and active. Asset fields: the Mileage, Engine Hours and License Plate fields were editable input boxes (read-only flag false). I typed 654,321 into Mileage and tabbed out; after reloading the page the Mileage input still held 654,321, proving the asset-field edit was accepted and saved. Nothing was blocked.",,sm-N1.png,"NEW (v33) - replaces struck row #12. Confirms the v33 permission split: SM has both WO Create&Edit (header) and WOL Create&Edit (mileage/engine hours/license plate/VIN). Mileage edit persisted after reload (654,321)."
Service Manager,13,Customer Portal,Top nav,Confirm Customer Portal is accessible.,Accessible. Service Manager Customer Portal = ON (per 6/19 change).,SPOT,PASS,"Per the spec (6/19 change): the Service Manager role has Customer Portal access ON (customerPortalPageAccess), so the Customer Portal entry point should be visible/accessible to the role. [Ref: SV-5319 permission matrix; checklist Service Manager row #13 'SM Customer Portal now ON']",As a Service Manager you should be able to reach the Customer Portal.,"The Customer Portal is accessible to the Service Manager. It is exposed from the account menu (click the shop/avatar 'Staging Heavy Duty - 9919 / TS' at the top-right): the menu lists 'Customer Portal' (with a 'New' badge and an open-in-new external-link icon), alongside Billing, Settings and Logout. The entry was present and enabled (not greyed/hidden). The same menu confirmed the logged-in user is 'Tech ShopView / tech@shopview.com'.",,sm-13.png,"customerPortalPageAccess is ON in the Service Manager fe-permissions. The Customer Portal link lives in the account/avatar menu (top-right), not as a separate top-nav tab; it opens in a new tab (open_in_new). Direct URL /customer-portal returns the app's generic not-found page, so the intended entry point is the account-menu link."
Service Manager,14,Settings — limited,Settings (cog),Open Settings; check which sub-sections appear.,"Only App Settings and Wages available. Service, Parts, Finance, Data Import should NOT appear/open.",MUST,FAIL,"Per the spec, the Service Manager has only settingsApp and settingsWages, and the role is described as 'Full operational access, limited admin (App Settings + Wages only)'. So inside Settings, only App Settings and Wages should be available; Service, Parts, Finance and Data Import settings should not appear or open, and other admin consoles (Staff, Roles & Permissions, Locations, Departments) should not be exposed. [Ref: SV-5319 permission matrix; checklist Service Manager row #14 'SM Settings limited to App Settings + Wages']","As a Service Manager, opening Settings should show only App Settings and Wages. It should NOT expose Service, Parts, Finance or Data Import settings, and it should not give access to admin areas like Staff, Roles & Permissions, Locations or Departments.","The Service Manager's Settings/Administration area was NOT limited to App Settings + Wages. Opening Settings (account menu -> Settings) lands in the Administration console whose left sidebar shows six items: 'DEV TOOLS: Feature Flags' and 'SETTINGS: Settings, Staff, Roles & Permissions, Locations, Departments'. Every one of these opened with real, interactive content for the Service Manager: (a) Settings = App settings form (Organization/Invoice/Work Orders tabs, Save Details); (b) Staff = full staff directory showing Active(214)/Deactivated(73) with a 'New Staff Member' button; (c) Roles & Permissions = full list of all system and custom roles with a 'Create Custom Role' button and per-role edit/delete/view controls; (d) Locations = full locations table with 'New Location'; (e) Departments = full departments table with 'New Department'; (f) Feature Flags = feature-flag override panel. On the positive side, the four sections the checklist said must NOT appear (Service, Parts, Finance, Data Import) did NOT appear. But because the Service Manager can additionally see and open Staff, Roles & Permissions, Locations, Departments and Feature Flags, the 'only App Settings and Wages' limit is not enforced. (Note: a dedicated 'Wages' section was not surfaced as its own sidebar item.)","1. Log in as the Tech user assigned the Service Manager role. 2. Click the shop/avatar button at the top-right ('Staging Heavy Duty - 9919 / TS') and choose 'Settings'. 3. You land on the Administration console. Look at the left sidebar. 4. Observe it lists Feature Flags, Settings, Staff, Roles & Permissions, Locations and Departments. 5. Click 'Staff' -> a full employee directory loads with a 'New Staff Member' button. 6. Click 'Roles & Permissions' -> the full list of roles loads with a 'Create Custom Role' button and edit controls on every role. 7. Click 'Locations' and 'Departments' -> full tables load with New Location / New Department buttons. Expected per checklist: only App Settings and Wages should be available; Staff, Roles & Permissions, Locations, Departments and Feature Flags should not be accessible to a Service Manager.",sm-14.png,"Departments grouping is under review (SV-7781). In-page role was verified as 'Service Manager' (localStorage user.role.name) and SM fe-permissions only include settingsApp + settingsWages (no staff/roles/locations management permissions), yet the Administration console exposes and opens Staff, Roles & Permissions, Locations, Departments and Feature Flags for this role. The role's own description ('limited admin (App Settings + Wages only)') is not honored by the UI. Screenshot shows the Roles & Permissions page (with Create Custom Role) open under the Service Manager, and the row for the Service Manager role itself reading 'Full operational access, limited admin (App Settings + Wages...'."
Service Manager,15,AP/AR reports,Reports → AP/AR aging reports,Open them.,Accessible. Service Manager has Manage Accounts Payable and Receivable ON.,SPOT,PASS,"Per the spec: a role with the Accounts Payable/Receivable data permission ON (seeApArData, which the Service Manager role has, plus reportsPageAccess) can open the AP and AR aging reports. [Ref: SV-5319 permission matrix; checklist Service Manager row #15 'SM AP/AR access']",As a Service Manager you should be able to open the Accounts Receivable and Accounts Payable aging reports.,"Both AP and AR aging reports were accessible and rendered full data for the Service Manager. The Reports page's left menu listed an ACCOUNTS RECEIVABLE group (A/R Aging Summary, A/R Aging Detail, A/R Aging Collection) and an ACCOUNTS PAYABLE group (A/P Aging Summary, A/P Aging Detail, A/P Unpaid Invoices). Opening A/R Aging Summary showed the aging table with Current / 1-30 / 31-60 / 61-90 / 91-and-over / Total columns and real totals (Totals row $253,475.64). Opening A/P Aging Summary likewise showed vendor aging with a Totals row of $4,002,673.89. No access block occurred.",,sm-15.png,seeApArData is ON for the Service Manager. Both AR (A/R Aging Summary/Detail/Collection) and AP (A/P Aging Summary/Detail/Unpaid Invoices) reports open with data.
Service Manager,N3,WO Notes (v33),Work Orders -> Notes tab,Create/edit own note; try to edit/delete another user's note.,"Create/edit own = WO View (SM has). Edit/delete ALL notes = WO Delete - SM has NO WO Delete, so cannot edit/delete others' notes.",MUST,FAIL,"Per spec v33: creating/editing your OWN work-order note only needs Work Orders: View (which the Service Manager has), while editing or deleting ANY note (including other users') is gated by Work Orders: Delete. The checklist asserts the Service Manager lacks Work Orders: Delete, so it should be able to manage its own notes but NOT edit or delete another user's note. [Ref: checklist Service Manager row N3 'SM WO Notes: own yes, all no']","As a Service Manager you should be able to create and edit your own work-order notes, but you should NOT be able to edit or delete a note written by someone else.","The 'own note' half passed but the 'others' notes' half failed. Create-own worked: as the Service Manager I added a note on work order S9-24674 (saved via POST /api/note/create) and it appeared under author 'Tech ShopView'. Then a second note was created by the Admin user (author 'Admin ShopView'). Viewing the Notes tab as the Service Manager, the three-dot action menu on the OTHER user's (Admin's) note offered 'Edit note', 'Delete note' and 'Attach files' — the same as on my own note. I clicked 'Delete note' on the Admin-authored note and it was removed (POST /api/note/delete; the note disappeared from the list), proving the Service Manager can delete another user's note. This contradicts the expected result (should not be able to edit/delete others' notes).","1. Log in as the Tech user assigned the Service Manager role. 2. Open a work order (e.g. S9-24674) and go to the Notes tab. 3. Click 'New Note', type something, and Save — the note is created under your name (this part is correct). 4. Have a DIFFERENT user (e.g. an Admin) add a note to the same work order. 5. Back as the Service Manager, refresh the Notes tab and click the three-dots menu on the OTHER user's note. 6. Observe that 'Edit note' and 'Delete note' are offered. 7. Click 'Delete note' — the other user's note is deleted. Expected per checklist: the Service Manager should NOT be able to edit or delete another user's note.",sm-N3.png,"NEW (v33). Root cause matches N2 and case 11/14: the staging Service Manager role actually includes workOrdersDelete, which is the permission that gates edit/delete of ALL notes, so the Service Manager gets Edit/Delete on other users' notes. Create/edit-own works as expected (WO View). Test data cleanup: both ZZAUTOTEST notes (the SM's own and the Admin's) were deleted after the test; no ZZAUTOTEST notes remain on the work order."
Senior Service Advisor,16,Pricing visibility,Work Orders → open a work order,Check prices/totals/Finance/Stats.,All money visible. Senior SA has See Financial Data ON.,DEEP,PASS,"Per SV-5319, the Senior Service Advisor role has the 'See Financial Data' cross-toggle ON, so every dollar figure on a work order — line Rate/Margin/Total, the Financial Info card, the Stats tab money columns, and the Finance tab invoice — must be visible, nothing hidden or masked. [Ref: SV-5319 Custom Roles permission matrix; checklist Senior Service Advisor row #16]","Logged in as a Senior Service Advisor, every price and dollar amount on a work order should be visible.","Opened invoiced work order S9-24661 as Tech-with-Senior-Service-Advisor. All money was visible everywhere. The left Financial Info card showed Parts $0.00, Labor $929.72, Shop Supplies $97.62, Subtotal $1,027.34, GST $51.37, Total $1,078.71, Balance $1,078.71. The Lines grid showed the Rate ($232.43), Margin (100%) and Total ($929.72) columns with values. The Stats tab showed Labor/Parts/Total sections with Sell price ($929.72), Cost ($0), Margin ($929.72) and % (100%) figures. The Finance tab rendered the full invoice INV-S9-24661 with Labor $929.72, Parts $0.00, Shop supplies $97.62, Subtotal $1,027.34, GST(5%) $51.37, Total $1,078.71 and Balance $1,078.71. Nothing was hidden or masked.",,ssa-16.png,"fe-permissions confirm cross_toggles.seeFinancialData=true and view_mode=full for the Senior Service Advisor role. Money confirmed on Lines, Financial Info card, Stats tab and Finance tab."
Senior Service Advisor,17,Invoicing — full,Work Orders → Finance tab,"Create invoice, then reverse an invoice / delete a payment / void.",All allowed. Senior SA has Invoicing and Payments View/Create and Edit/Delete (full).,MUST,PASS,"Per SV-5319 the Senior Service Advisor role has Invoicing & Payments View, Create/Edit AND Delete all ON, so the role can create invoices, take payments, and reverse/void/delete invoices and payments without restriction. [Ref: SV-5319 Custom Roles permission matrix; checklist Senior Service Advisor row #17]",A Senior Service Advisor should be able to create an invoice and also reverse/void an invoice or delete a payment — nothing blocked.,"RE-TESTED WITH REAL EXECUTION as Tech-with-Senior-Service-Advisor. On a freshly-prepped disposable work order S9-24750 (ZZAUTOTEST customer, one approved labor line, Total $539.35, moved through Approved -> Reviewed -> Complete): (1) CREATE INVOICE actually executed — clicking Create Invoice finalized invoice INV-S9-24750 and the header badge changed to 'Invoiced' (Balance $539.35). (2) RECORD PAYMENT actually executed — opened New Payment, chose Cash, entered $539.35 and clicked Make Payment; API returned POST 201 create-customer-payment (payment id ab1f0e79...), the invoice showed Payments $539.35 / Balance $0.00 and the badge changed to 'Paid'. (3) REVERSE actually executed — the invoice three-dots menu offered Reverse/Issue Credit; Reverse initially warned 'This invoice has been paid, please delete payment before reversing' (a business rule, NOT a permission block), so the payment was removed and Reverse was then confirmed: POST 200 /api/invoices/reverse-invoice, badge returned to 'Complete' and Create Invoice became available again. All three invoicing actions completed successfully for the Senior Service Advisor.",,ssa-17.png,"RE-TEST (actual execution, replaces earlier gate-only PASS). fe-permissions confirm invoicingPaymentsView, invoicingPaymentsCreateAndEdit, invoicingPaymentsDelete all present. Data setup on disposable staging WO S9-24750: labor line added and WO advanced to Complete via the UI. Create Invoice, New Payment/Make Payment, and Reverse were all driven in the Quasar UI and confirmed by API responses (invoice create -> Invoiced; create-customer-payment 201 -> Paid; reverse-invoice 200 -> re-opened). To satisfy the app's business rule that a paid invoice cannot be reversed, the test payment was removed via the same reversePayment endpoint the UI uses (POST customer-account/reverse-customer-payment) before executing the invoice reversal; this is data cleanup, not the tested action. No permission gate blocked any step. Screenshot ssa-17.png shows the finalized INV-S9-24750 with the Cash payment applied (Paid)."
