C-id,TestRail link,Title,Source cited BEFORE,Source cited NOW,Requirements now cited,Anchor quote-verified live,Changed this pass,What changed,Raw markup in tester text,Automation marker
C29571,https://shopview.testrail.io/index.php?/cases/view/29571,Clear Selection in the Customer dropdown removes all selected customers,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R7; S8-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29572,https://shopview.testrail.io/index.php?/cases/view/29572,Clicking outside the Customer dropdown closes it and the selections remain,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-R8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29573,https://shopview.testrail.io/index.php?/cases/view/29573,Customer search with no matching name shows a no-results message in the list,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-N1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29574,https://shopview.testrail.io/index.php?/cases/view/29574,A customer with no work orders is still listed; picking them shows no rows,spec v18 | refs spec v18,spec v19 | refs spec v19,S3-E1; S3-N2; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29575,https://shopview.testrail.io/index.php?/cases/view/29575,Lead Technician chip opens a dropdown with a search field and a list,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29576,https://shopview.testrail.io/index.php?/cases/view/29576,Typing in the technician search narrows the list to matching names,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29577,https://shopview.testrail.io/index.php?/cases/view/29577,Selecting technicians shows only work orders where they are the lead technician,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-R3; S4-R4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29578,https://shopview.testrail.io/index.php?/cases/view/29578,Clear Selection in the Lead Technician dropdown removes all selected technicians,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-R5; S8-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29579,https://shopview.testrail.io/index.php?/cases/view/29579,Clicking outside the Lead Technician dropdown closes it,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-R6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29580,https://shopview.testrail.io/index.php?/cases/view/29580,Selecting a technician who leads no work orders shows the empty state,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-N1; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29581,https://shopview.testrail.io/index.php?/cases/view/29581,A deactivated technician does not appear in the Lead Technician filter list,spec v18 | refs spec v18,spec v19 | refs spec v19,S4-E1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29582,https://shopview.testrail.io/index.php?/cases/view/29582,Service Advisor chip opens a dropdown with a search field and a list,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29583,https://shopview.testrail.io/index.php?/cases/view/29583,Typing in the advisor search narrows the list to matching names,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-R2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29584,https://shopview.testrail.io/index.php?/cases/view/29584,Selecting advisors shows only work orders assigned to those advisors,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-R3; S5-R4,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29585,https://shopview.testrail.io/index.php?/cases/view/29585,Clear Selection in the Service Advisor dropdown removes all selected advisors,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-R5; S8-R2,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29586,https://shopview.testrail.io/index.php?/cases/view/29586,Clicking outside the Service Advisor dropdown closes it,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-R6,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29587,https://shopview.testrail.io/index.php?/cases/view/29587,Selecting an advisor with no assigned work orders shows the empty state,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-N1; S8-R3,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29588,https://shopview.testrail.io/index.php?/cases/view/29588,A deactivated advisor does not appear in the Service Advisor filter list,spec v18 | refs spec v18,spec v19 | refs spec v19,S5-E1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29589,https://shopview.testrail.io/index.php?/cases/view/29589,Asset on Site chip opens a dropdown with Yes and No plus Clear Selection,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29590,https://shopview.testrail.io/index.php?/cases/view/29590,Choosing Yes shows only work orders whose asset is on site,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29591,https://shopview.testrail.io/index.php?/cases/view/29591,Asset on Site is single-select: choosing the other option replaces the first,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29592,https://shopview.testrail.io/index.php?/cases/view/29592,Clear Selection in the Asset on Site dropdown removes the filter,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R4; S8-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29593,https://shopview.testrail.io/index.php?/cases/view/29593,Clicking outside the Asset on Site dropdown closes it,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29594,https://shopview.testrail.io/index.php?/cases/view/29594,An Asset on Site choice that matches no work orders shows the empty state,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-N1; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38878,https://shopview.testrail.io/index.php?/cases/view/38878,Choosing No shows only work orders whose asset is not on site,spec v18 | refs spec v18,spec v19 | refs spec v19,S6-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29595,https://shopview.testrail.io/index.php?/cases/view/29595,A chip with a selected value turns blue and shows the value,spec v18 | refs spec v18,spec v19 | refs spec v19,S7-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29596,https://shopview.testrail.io/index.php?/cases/view/29596,A chip with several values shows the first ones and shortens the rest,spec v18 | refs spec v18,spec v19 | refs spec v19,S7-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29597,https://shopview.testrail.io/index.php?/cases/view/29597,'Clear Filters' shows right of the chips only when a filter is active,spec v18 | refs spec v18,spec v19 | refs spec v19,S7-N1; S7-R3; S8-N1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29598,https://shopview.testrail.io/index.php?/cases/view/29598,'Clear Filters' removes every active filter and resets all chips,spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R13; S8-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29599,https://shopview.testrail.io/index.php?/cases/view/29599,'Clear Selection' in one dropdown clears only that filter,spec v18 | refs spec v18,spec v19 | refs spec v19,S8-R2,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29600,https://shopview.testrail.io/index.php?/cases/view/29600,Status and Customer filters together show only work orders matching both,no spec version in the line | refs spec v18,no spec version in the line | refs spec v19,S8-R3,yes,yes,spec version re-stamp only,no,(none)
C29601,https://shopview.testrail.io/index.php?/cases/view/29601,The toolbar filter button collapses the bar and the table takes the space,spec v18 | refs spec v18,spec v19 | refs spec v19,S1-R4; S1-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29602,https://shopview.testrail.io/index.php?/cases/view/29602,Expanding the filter bar brings it back with active filters still shown,spec v18 | refs spec v18,spec v19 | refs spec v19,S1-R6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29603,https://shopview.testrail.io/index.php?/cases/view/29603,The filter bar's collapsed or expanded state is remembered on return,spec v18 | refs spec v18,spec v19 | refs spec v19,S1-R7; S10-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29604,https://shopview.testrail.io/index.php?/cases/view/29604,Collapsed filter button shows a blue indicator only when filters are active,spec v18 | refs spec v18,spec v19 | refs spec v19,S7-N2; S7-R4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29605,https://shopview.testrail.io/index.php?/cases/view/29605,Active filters keep filtering the table while the filter bar is collapsed,spec v18 | refs spec v18,spec v19 | refs spec v19,S7-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29606,https://shopview.testrail.io/index.php?/cases/view/29606,A filter combination with no matches shows a no-results empty state,spec v18 | refs spec v18,spec v19 | refs spec v19,S8-R3,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8847 - reported, closed without a fix)"
C29607,https://shopview.testrail.io/index.php?/cases/view/29607,The filtered empty state offers a way to clear the filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S8-R4; S8-R5,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8847 - reported, closed without a fix)"
C38897,https://shopview.testrail.io/index.php?/cases/view/38897,"When filters and a search find nothing, each can be cleared on its own",spec v18 | refs spec v18,spec v19 | refs spec v19,S13-N1; S13-N2; S8-R3; S8-R4; S8-R5,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8847 - reported, closed without a fix)"
C29608,https://shopview.testrail.io/index.php?/cases/view/29608,"The All tab shows all five filter chips, all working",spec v18 | refs spec v18,spec v19 | refs spec v19,S9-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29609,https://shopview.testrail.io/index.php?/cases/view/29609,Estimates tab: Status chip is greyed out and pre-filled; other four work,spec v19 | refs spec v19,spec v19 | refs spec v19,S2-N1; S9-R2; S9-R3,yes,no,no-op,no,"AUTOMATION: HOLD - waiting on Branko to confirm whether the Status chip is hidden or shown greyed out on the Estimates and Completed tabs, and to correct the specification"
C29610,https://shopview.testrail.io/index.php?/cases/view/29610,Completed tab: Status chip is greyed out and pre-filled; other four work,spec v19 | refs spec v19,spec v19 | refs spec v19,S2-N2; S9-R2; S9-R3,yes,no,no-op,no,"AUTOMATION: HOLD - waiting on Branko to confirm whether the Status chip is hidden or shown greyed out on the Estimates and Completed tabs, and to correct the specification"
C29611,https://shopview.testrail.io/index.php?/cases/view/29611,My Work Orders tab shows all five filters and they narrow that list,spec v18 | refs spec v18,spec v19 | refs spec v19,S9-R4,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29612,https://shopview.testrail.io/index.php?/cases/view/29612,A Status choice is kept while you switch tabs and comes back on the All tab,spec v19 | refs spec v19,spec v19 | refs spec v19,S9-R2; S9-R3; S9-R5,yes,no,no-op,no,"AUTOMATION: HOLD - waiting on Branko to confirm whether the Status chip is hidden or shown greyed out on the Estimates and Completed tabs, and to correct the specification"
C38876,https://shopview.testrail.io/index.php?/cases/view/38876,First visit opens the Estimates tab; your last-used tab is remembered,spec v18 | refs spec v18,spec v19 | refs spec v19,(none - non-spec source named),n/a - no spec anchor cited,yes,spec version re-stamp only,no,AUTOMATION: READY
C29613,https://shopview.testrail.io/index.php?/cases/view/29613,Leaving the page and coming back restores the filters and the bar state,spec v18 | refs spec v18,spec v19 | refs spec v19,S1-R7; S10-R1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8871 - reported, still open)"
C29614,https://shopview.testrail.io/index.php?/cases/view/29614,"Filters are remembered permanently, even after closing the browser",spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R1; S10-R2; S10-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29615,https://shopview.testrail.io/index.php?/cases/view/29615,Saved filters are per user: one user's filters do not appear for another user,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - needs a second test login to prove one person's saved filters do not reach another
C29616,https://shopview.testrail.io/index.php?/cases/view/29616,A remembered filter value that was deleted is silently ignored,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-N1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8832 - reported, still open)"
C38880,https://shopview.testrail.io/index.php?/cases/view/38880,Each page and tab remembers its own filters separately,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R4,yes,yes,spec version re-stamp only,no,AUTOMATION: HOLD - waiting on Branko's Parts and Reports product write-up - the behaviour this case asserts is not documented anywhere yet
C38881,https://shopview.testrail.io/index.php?/cases/view/38881,Filters saved before the redesign carry over after the update,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R2,yes,yes,spec has no requirement for the migration,no,"AUTOMATION: HOLD - cannot be run - it needs an account whose filters were saved before the redesign, and none exists"
C43560,https://shopview.testrail.io/index.php?/cases/view/43560,"When two devices set different filters, the last one saved wins",spec v19 | refs spec v19,spec v19 | refs spec v19,S10-R1; S10-R2,yes,no,no-op,no,AUTOMATION: READY
C29617,https://shopview.testrail.io/index.php?/cases/view/29617,Applying filters updates the page URL to reflect the active filter state,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29618,https://shopview.testrail.io/index.php?/cases/view/29618,Opening a shared URL or bookmark loads the page with those filters on,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-R2,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8845 - reopened, still open)"
C29619,https://shopview.testrail.io/index.php?/cases/view/29619,A URL with a deleted filter value loads and ignores that value,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-R3,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8832 - reported, still open)"
C29620,https://shopview.testrail.io/index.php?/cases/view/29620,A broken filter URL loads the page with no filters and no error,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-N1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8832 - reported, still open)"
C38879,https://shopview.testrail.io/index.php?/cases/view/38879,Opening a shared link does not change your own saved filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-R6; S11-R7; S11-R8,yes,yes,"spec S11-R7 pins the label ""Back to my view""",no,AUTOMATION: READY
C38896,https://shopview.testrail.io/index.php?/cases/view/38896,'Back to my view' is not shown when you are on your own view,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-N3; S11-R7,yes,yes,spec S11-N3/S11-R7 pin the label,no,AUTOMATION: READY
C29621,https://shopview.testrail.io/index.php?/cases/view/29621,"Mobile: chips sit in a scrollable row below the tabs, starting All Filters",no spec version in the line | refs spec v18,no spec version in the line | refs spec v19,S12-R1,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",(none)
C29622,https://shopview.testrail.io/index.php?/cases/view/29622,Mobile: All Filters opens a sheet of expandable rows with Apply filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R3; S12-R6,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29623,https://shopview.testrail.io/index.php?/cases/view/29623,Mobile: tapping Apply filters applies the statuses and updates the count,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S12-R3; S12-R6; S2-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29624,https://shopview.testrail.io/index.php?/cases/view/29624,Mobile: one chip opens its own sheet and applies only on Apply filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S12-R3; S12-R6; S2-R2; S2-R6,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8875 - reported, still open)"
C29625,https://shopview.testrail.io/index.php?/cases/view/29625,"Mobile Customer filter has search, multi-select and removable tags",spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S12-R6; S3-R2; S3-R3,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8875 - reported, still open)"
C29626,https://shopview.testrail.io/index.php?/cases/view/29626,Mobile Lead Technician and Service Advisor filters offer their search lists,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S12-R6; S4-R1; S5-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29627,https://shopview.testrail.io/index.php?/cases/view/29627,The mobile Asset on Site filter offers Yes/No with Clear Selection in the sheet,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S12-R6; S6-R1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29628,https://shopview.testrail.io/index.php?/cases/view/29628,Active chips and Clear Filters behave on mobile the same way as on desktop,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R2; S7-R1; S8-R1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8846 - reported, still open)"
C29629,https://shopview.testrail.io/index.php?/cases/view/29629,Mobile has no collapse toggle: the filter chip row is always visible,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R4,yes,yes,spec version re-stamp only,"YES - pre-existing, not repaired",AUTOMATION: READY
C29630,https://shopview.testrail.io/index.php?/cases/view/29630,Filters matching no work orders on mobile show the same empty state as desktop,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-N1; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C43563,https://shopview.testrail.io/index.php?/cases/view/43563,"On a phone, picking Imported works alone and disables the other filters",spec v19 | refs spec v19,spec v19 | refs spec v19,S12-R6; S2-N4; S2-R7,yes,no,no-op,"YES - pre-existing, not repaired",AUTOMATION: READY
C29631,https://shopview.testrail.io/index.php?/cases/view/29631,The work order list request carries the active filter selections,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R2; S3-R6,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29632,https://shopview.testrail.io/index.php?/cases/view/29632,A combined multi-filter request returns only work orders matching all filters,spec v18 | refs spec v18,spec v19 | refs spec v19,S2-R2; S3-R6; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29633,https://shopview.testrail.io/index.php?/cases/view/29633,A request with a deleted or unknown filter value gives no server error,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-N1; S11-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C29634,https://shopview.testrail.io/index.php?/cases/view/29634,A list request with malformed filter parameters does not produce a server error,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-N1,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8832 - reported, still open)"
C29635,https://shopview.testrail.io/index.php?/cases/view/29635,"A filter combination matching nothing returns an empty list, not an error",spec v18 | refs spec v18,spec v19 | refs spec v19,S2-N3; S8-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38895,https://shopview.testrail.io/index.php?/cases/view/38895,"Saved-filters service round-trip: save, reload, and per-user isolation",spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R2; S10-R3,yes,yes,service-level detail is tech-plan sourced,no,AUTOMATION: HOLD - needs a second test login to prove one person's saved filters do not reach another
C38883,https://shopview.testrail.io/index.php?/cases/view/38883,Page toolbar Search expands in place and narrows the list as you type,spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R1; S13-R12; S13-R15; S13-R9,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38884,https://shopview.testrail.io/index.php?/cases/view/38884,Page search combines with filters and is cleared separately,spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R10; S13-R13; S8-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38886,https://shopview.testrail.io/index.php?/cases/view/38886,Your typed search stays in this browser tab only and is never saved,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R5; S13-N4; S13-R14; S13-R25,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38888,https://shopview.testrail.io/index.php?/cases/view/38888,The search term is part of the shareable page link,spec v18 | refs spec v18,spec v19 | refs spec v19,S11-N2; S11-R4; S11-R5; S11-R8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38889,https://shopview.testrail.io/index.php?/cases/view/38889,On mobile the search expands in the toolbar and buttons make room,spec v18 | refs spec v18,spec v19 | refs spec v19,S12-R5; S13-R16; S13-R17; S13-R18; S13-R19; S13-R20,yes,yes,spec version re-stamp only,no,"AUTOMATION: READY - EXPECT FAIL (SV-8912 - reported, still open)"
C38891,https://shopview.testrail.io/index.php?/cases/view/38891,"Every list page keeps its own search box (Parts, Reports, detail tabs)",spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R22; S14-N1; S14-R5; S14-R6,yes,yes,spec version re-stamp only,no,"AUTOMATION: HOLD - cannot be run yet - its own precondition needs the page-search rollout finished everywhere, and it is still part-way through"
C38893,https://shopview.testrail.io/index.php?/cases/view/38893,The top navigation search no longer filters page lists,spec v18 | refs spec v18,spec v19 | refs spec v19,S14-R1; S14-R2; S14-R4; S14-R5,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38898,https://shopview.testrail.io/index.php?/cases/view/38898,"The Search box changes look as you hover over it, open it and type",spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R2; S13-R3; S13-R4; S13-R5; S13-R6; S13-R8,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38899,https://shopview.testrail.io/index.php?/cases/view/38899,"The list narrows shortly after you stop typing, with no button to press",spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R12; S13-R7,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38900,https://shopview.testrail.io/index.php?/cases/view/38900,One search box serves all Work Orders tabs and searches the tab you are on,spec v18 | refs spec v18,spec v19 | refs spec v19,S13-R11; S13-R24,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38901,https://shopview.testrail.io/index.php?/cases/view/38901,Each Report tab and each Parts view keeps its own separate search,spec v18 | refs spec v18,spec v19 | refs spec v19,S10-R4; S13-R11; S13-R24,yes,yes,spec version re-stamp only,no,"AUTOMATION: HOLD - only half of it can be run - the report pages have no page search box yet, so the report-tab half cannot be tested"
C38902,https://shopview.testrail.io/index.php?/cases/view/38902,An old link carrying a top-search word no longer narrows the page list,spec v18 | refs spec v18,spec v19 | refs spec v19,S14-R1; S14-R2; S14-R3,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C38903,https://shopview.testrail.io/index.php?/cases/view/38903,Collapsing the filter bar keeps an active search working,spec v18 | refs spec v18,spec v19 | refs spec v19,S13-E1,yes,yes,spec version re-stamp only,no,AUTOMATION: READY
C43561,https://shopview.testrail.io/index.php?/cases/view/43561,"On a phone, pages with two or more icon buttons collapse them into one menu",spec v19 | refs spec v19,spec v19 | refs spec v19,S13-R19,yes,no,no-op,no,AUTOMATION: READY
C38904,https://shopview.testrail.io/index.php?/cases/view/38904,Every Parts list page shows its designed filter buttons,spec v18 | refs spec v18,spec v19 | refs spec v19,(none - non-spec source named),n/a - no spec anchor cited,yes,spec version re-stamp only,no,AUTOMATION: HOLD - waiting on Branko's Parts and Reports product write-up - the filter bar is built but no source states what it should do
C38905,https://shopview.testrail.io/index.php?/cases/view/38905,Part Type filter opens a Core / Non Core list with Clear Selection,spec v18 | refs spec v18,spec v19 | refs spec v19,(none - non-spec source named),n/a - no spec anchor cited,yes,spec version re-stamp only,no,AUTOMATION: HOLD - waiting on Branko's Parts and Reports product write-up - the filter bar is built but no source states what it should do
C38906,https://shopview.testrail.io/index.php?/cases/view/38906,Choosing a Parts filter narrows the list on that page,spec v18 | refs spec v18,spec v19 | refs spec v19,(none - non-spec source named),n/a - no spec anchor cited,yes,spec version re-stamp only,no,AUTOMATION: HOLD - waiting on Branko's Parts and Reports product write-up - the filter bar is built but no source states what it should do
