"Locations: All locations"
Type,"Part #",Description,Category,Vendor,Location,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
"Special Order",84693643,"Brake Pad Wear Sensor",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",0.00,2.00,0.00,0.00,—,—,$0.00,$0.00,—,2,"80 days",—,—,—,—
"Special Order","A4700781710 ","High Pressure Fuel Line Kit, Cyl 4-6","HD-Engine Comp","Enson Forestry","Staging Lethbridge - 4310",4.00,0.00,4.00,0.00,$118.95,$174.93,$699.72,$223.92,32.0%,2,"56 days",—,—,—,—
"Special Order",ASSY-HY16,"'-16 HYDRAULIC LINE, 26.5""","HD-Equipment & Hydraulics","Uivale Consulting","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$302.45,$461.69,$923.37,$318.48,34.5%,2,"60 days",—,—,—,—
"Special Order",AT435649,"Hydraulic Filter",Off-Road,"Botown Retail","Staging Heavy Duty - 9919",1.00,3.00,1.00,0.00,$160.22,$200.28,$200.28,$40.06,20.0%,2,"60 days",—,—,—,—
"Special Order",B20-99865-1PAB,"Brake Drum/Hub","HD-Trailer Brake Comp","Wuboro Farms","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$157.25,$257.78,"$1,031.12",$402.12,39.0%,2,"66 days",—,—,—,—
"Special Order",CS-46-1349,"Spring Assembly, Air Leaf Suspension, Rear, Airliner HD, LH","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$272.69,$426.08,$852.16,$306.78,36.0%,2,"3 days",—,—,—,—
"Special Order",E-11870,"Height Control Valve","HD-Air Brakes & Air Suspension","Zoburg Maintenance","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$164.55,$269.75,$539.50,$210.40,39.0%,2,"62 days",—,—,—,—
"Special Order","LK4Z 15K868 X",Wire,"AUTO-Electrical (Belts, Lighting, Starting & Charging Systems)","Uitown Industries","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$122.06,$169.53,$339.06,$94.94,28.0%,2,"67 days",—,—,—,—
"Special Order",N000000004751,"Banjo Bolt","HD-Engine Comp","Enson Forestry","Staging Heavy Duty - 9919",0.00,3.00,0.00,0.00,—,—,$0.00,$0.00,—,2,"67 days",—,—,—,—
"Special Order","N35 50PLS","CLAMP-5IN, STAINLESS STEEL, PRE-FORMED",HD-Exhaust,"Enson Forestry","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$16.79,$31.68,$63.36,$29.78,47.0%,2,"61 days",—,—,—,—
"Special Order","NGF 230655","Cabin Air Filter","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$25.07,$58.09,$116.18,$66.04,56.8%,2,"60 days",—,—,—,—
"Special Order",S421471160,"Rear Axle Wheel Spacer","HD-Wheel Comp","Rafalls Equipment","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$82.01,$130.17,$260.34,$96.32,37.0%,2,"68 days",—,—,—,—
"Special Order",SSP1369,"Air Disc Brake Pad Kit","HD-Heavy Duty Brake Comp","Zoburg Maintenance","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$109.75,$171.48,$342.96,$123.46,36.0%,2,"68 days",—,—,—,—
"Special Order",01-35625-518,"Fan Drive Belt","HD-Belts, Pulleys & Tensioners","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$29.95,$53.48,$53.48,$23.53,44.0%,1,"54 days",—,—,—,—
"Special Order",01-35642-336,"Alternator Belt","HD-Belts, Pulleys & Tensioners","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$34.14,$60.96,$60.96,$26.82,44.0%,1,"54 days",—,—,—,—
"Special Order",01-35651-880,"Air Conditioning Compressor Belt","HD-Belts, Pulleys & Tensioners","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$60.15,$103.70,$103.70,$43.55,42.0%,1,"54 days",—,—,—,—
"Special Order",0210133,"Dessicant Bag","AUTO-HVAC (Heating, Ventilation & Air Conditioning)","Tehaven Energy","Staging Lethbridge - 4310",0.00,1.00,0.00,0.00,—,—,$0.00,$0.00,—,1,"52 days",—,—,—,—
"Special Order",03-36867-010,"Engine Air FIlter",HD-Filters,"Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$398.31,$553.21,$553.21,$154.90,28.0%,1,"61 days",—,—,—,—
"Special Order",04-35649-002,"DEF Sending Unit",HD-Emissions,"Enson Forestry","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$882.19,"$1,200.22","$1,200.22",$318.03,26.5%,1,"69 days",—,—,—,—
"Special Order",04514920000,"Continental Vancontact A/S 235/65R16C (LT) ","AUTO-Tires & Wheels","Fuview Retail","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$248.81,$318.81,$637.62,$140.00,22.0%,1,"68 days",—,—,—,—
"Special Order",05-20763-002,"Surge Tank Cap, Freightliner","HD-Cooling & HVAC","Enson Forestry","Staging Heavy Duty - 9919",1.00,2.00,1.00,0.00,$19.80,$37.36,$37.36,$17.56,47.0%,1,"61 days",—,—,—,—
"Special Order",061-8499-0,"Bungee Rope","HD-Misc / Other","Tiline Management","Staging Lethbridge - 4310",0.00,0.00,0.00,0.00,—,—,$0.00,$0.00,—,1,"56 days",—,—,—,—
"Special Order",07002-11023,"O-Ring Seal",Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",5.00,0.00,5.00,0.00,$2.53,$3.37,$16.85,$4.20,24.9%,1,"81 days",—,—,—,—
"Special Order",07289-00055,"Hose Clamp",Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$23.78,$29.73,$59.46,$11.90,20.0%,1,"69 days",—,—,—,—
"Special Order",10001393,"Fender Bracket Kit","HD-Body Exterior","Zoburg Maintenance","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$81.20,$130.97,$130.97,$49.77,38.0%,1,"68 days",—,—,—,—
"Special Order",10001870,"Minimizer PM2261B Poly Fender","HD-Body Exterior","Zoburg Maintenance","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$358.25,$530.74,$530.74,$172.49,32.5%,1,"68 days",—,—,—,—
"Special Order",100351,"Oil Filter","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$9.93,$15.17,$15.17,$5.24,34.5%,1,"53 days",—,—,—,—
"Special Order",103254,"Warn VR12 Winch","HD-Truck Accessories","Yahall Energy","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$795.59,"$1,120.59","$1,120.59",$325.00,29.0%,1,"52 days",—,—,—,—
"Special Order",11899,"Front Axle Seal","AUTO-Drive Train (Final Drive, Transaxle, Differential & Transfer Case)","Reson Farms","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$17.32,$45.25,$45.25,$27.93,61.7%,1,"62 days",—,—,—,—
"Special Order",11Y-54-31961,Latch,Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$524.45,$655.56,$655.56,$131.11,20.0%,1,"69 days",—,—,—,—
"Special Order",12-14741-000,"Strap, Air Tank ",HD-Fasteners,"Ruridge Mining","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$8.54,$16.75,$16.75,$8.21,49.0%,1,"55 days",—,—,—,—
"Special Order",12-15476-000,"Air Tank, Primary","HD-Air Brakes & Air Suspension","Ruridge Mining","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$517.99,$750.72,$750.72,$232.73,31.0%,1,"55 days",—,—,—,—
"Special Order",12705503,"Fuel Rail Pressure Sensor ",AUTO-Engine,"Pibay Solutions","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$64.21,$98.78,$98.78,$34.57,35.0%,1,"81 days",—,—,—,—
"Special Order",12813,"8"" Round Convex Mirror with Offset Ball-Stud, Heated","HD-Body Exterior","Aiboro Rentals","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$62.74,$89.63,$89.63,$26.89,30.0%,1,"68 days",—,—,—,—
"Special Order",14-22078-000,"Power Steering Reservior Filter Cap","HD-Engine Comp","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$34.26,$55.26,$55.26,$21.00,38.0%,1,"66 days",—,—,—,—
"Special Order",15525,"SKF Cr Seal","AUTO-Drive Train (Final Drive, Transaxle, Differential & Transfer Case)","Tehaven Energy","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$10.60,$27.44,$27.44,$16.84,61.4%,1,"62 days",—,—,—,—
"Special Order",15788,"DIFFERENTIAL PINION SEAL","AUTO-Drive Train (Final Drive, Transaxle, Differential & Transfer Case)","Reson Farms","Staging Lethbridge - 4310",0.00,1.00,0.00,0.00,—,—,$0.00,$0.00,—,1,"62 days",—,—,—,—
"Special Order",16-12323-000,"Spring Pin Retainer","HD-Steering & Suspension","Ruridge Mining","Staging Heavy Duty - 9919",4.00,0.00,4.00,0.00,$35.66,$63.68,$254.72,$112.08,44.0%,1,"68 days",—,—,—,—
"Special Order",16-17010-002,"Mouting Bracket","HD-Steering & Suspension","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$37.31,$66.62,$66.62,$29.31,44.0%,1,"63 days",—,—,—,—
"Special Order",17A-54-41814,"LH Grab Handle",Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$321.85,$402.31,$402.31,$80.46,20.0%,1,"69 days",—,—,—,—
"Special Order",17A-54-45190,"Compartment Latch",Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$427.96,$534.95,$534.95,$106.99,20.0%,1,"69 days",—,—,—,—
"Special Order",17A-71-45662,Step/Cover,Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,"$1,902.79","$2,378.49","$2,378.49",$475.70,20.0%,1,"69 days",—,—,—,—
"Special Order",1845232C1,"Oil Drain Hose, Air Compressor","HD-Engine Comp","Lawood Transport","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$50.75,$90.51,$90.51,$39.76,43.9%,1,"74 days",—,—,—,—
"Special Order",1858048C2,"Lip Seal","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$54.07,$83.19,$83.19,$29.12,35.0%,1,"73 days",—,—,—,—
"Special Order",1881778C2,"EGR Valve Mounting Bolt",HD-Fasteners,"Xistone Consulting","Staging Heavy Duty - 9919",3.00,0.00,3.00,0.00,$7.29,$11.22,$33.66,$11.79,35.0%,1,"53 days",—,—,—,—
"Special Order",1885394C1,"Enigine Booster Control Harness","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$74.84,$114.26,$114.26,$39.42,34.5%,1,"73 days",—,—,—,—
"Special Order",1885691C1,"O-Ring Seal","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",0.00,1.00,0.00,0.00,—,—,$0.00,$0.00,—,1,"73 days",—,—,—,—
"Special Order",1885693C2,"V-Band Clamp","HD-Hose & Fittings","Xistone Consulting","Staging Heavy Duty - 9919",0.00,1.00,0.00,0.00,—,—,$0.00,$0.00,—,1,"73 days",—,—,—,—
"Special Order",1889144C1,"Oetiker Clamp","HD-Hose & Fittings","Xistone Consulting","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$4.84,$8.07,$16.14,$6.46,40.0%,1,"73 days",—,—,—,—
"Special Order",1890328C1,"Tube Seal","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$128.55,$189.05,$189.05,$60.50,32.0%,1,"73 days",—,—,—,—
"Special Order",18A2679A,"Rear Brake Rotor",AUTO-Brakes,"Mefield Supply","Staging Heavy Duty - 9919",2.00,0.00,0.00,2.00,$101.82,$127.28,$254.56,$50.92,20.0%,1,"67 days",—,—,—,—
"Special Order",18A81016A,"Brake Rotor",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$182.85,$304.75,$609.50,$243.80,40.0%,1,"53 days",—,—,—,—
"Special Order",18A81018A,"Brake Rotor",AUTO-Brakes,"Mefield Supply","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$142.48,$308.82,$617.64,$332.68,53.9%,1,"53 days",—,—,—,—
"Special Order",18A82458AC,"Brake Rotor, Front",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$178.75,$286.00,$572.00,$214.50,37.5%,1,"80 days",—,—,—,—
"Special Order",18FR12277C,"RR Brake Caliper",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",1.00,0.00,0.00,1.00,$107.09,$133.86,$133.86,$26.77,20.0%,1,"67 days",—,—,—,—
"Special Order",18FR12278C,"LR Brake Caliper",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",1.00,0.00,0.00,1.00,$107.09,$133.86,$133.86,$26.77,20.0%,1,"67 days",—,—,—,—
"Special Order",18FR12593C,"Brake Caliper, RF",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$155.54,$259.23,$259.23,$103.69,40.0%,1,"53 days",—,—,—,—
"Special Order",18FR12594C,"Brake Caliper, LF",AUTO-Brakes,"Yahall Energy","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$155.54,$259.23,$259.23,$103.69,40.0%,1,"53 days",—,—,—,—
"Special Order",18N43591,"Driveshaft End Yoke","HD-Drive Train","Ruridge Mining","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$350.75,$531.46,$531.46,$180.71,34.0%,1,"55 days",—,—,—,—
"Special Order",19801,"Panel Retainer",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",5.00,0.00,5.00,0.00,$0.84,$1.29,$6.45,$2.25,34.9%,1,"52 days",—,—,—,—
"Special Order",1S10891,"Door Lock Switch","HD-Lighting & Electrical","Zafield Rentals","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$259.96,$382.30,$382.30,$122.34,32.0%,1,"66 days",—,—,—,—
"Special Order","2 x 12 x 12' Deck Board","2 x 12 x 12' Deck Board","HD-Fabrication & Building","Duhaven Maintenance","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$47.28,$60.22,$60.22,$12.94,21.5%,1,"59 days",—,—,—,—
"Special Order",2-90123-210-0,"Starter Assembly","HD-Starters & Alternators","Baview Ventures","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$629.78,$868.66,$868.66,$238.88,27.5%,1,"54 days",—,—,—,—
"Special Order",2050132,"High Rail Drag Link Pin","HD-Equipment & Hydraulics","Botown Retail","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$179.04,$284.19,$568.38,$210.30,37.0%,1,"63 days",—,—,—,—
"Special Order",22-51296-000,SWITCH-PR,"HD-Cooling & HVAC","Enson Forestry","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$33.12,$59.14,$59.14,$26.02,44.0%,1,"66 days",—,—,—,—
"Special Order",22-75520-000,"AC COMPRESSOR","HD-Cooling & HVAC","Enson Forestry","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$539.31,$781.62,$781.62,$242.31,31.0%,1,"66 days",—,—,—,—
"Special Order",2210S7689,"S-Cam, LH","HD-Heavy Duty Brake Comp","Ruridge Mining","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$100.41,$156.89,$156.89,$56.48,36.0%,1,"55 days",—,—,—,—
"Special Order",223-455V,"Pressure Protection Valve, 55PSI","HD-Air Brakes & Air Suspension","Ruridge Mining","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$24.19,$43.98,$43.98,$19.79,45.0%,1,"55 days",—,—,—,—
"Special Order","224 389 026","RH Headlamp Rear Cover","HD-Lighting & Electrical","Enson Forestry","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$11.56,$22.23,$22.23,$10.67,48.0%,1,"74 days",—,—,—,—
"Special Order",22U-62-23991,"90deg Elbow",Off-Road,"Wamont Hauling","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$204.55,$255.69,$255.69,$51.14,20.0%,1,"81 days",—,—,—,—
"Special Order",23-13929-000,"1/4"" 90° Elbow Plug-In with 1/4"" Plug-In Stem, Composite, PTC",HD-Fasteners,"Enson Forestry","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$10.28,$19.77,$39.54,$18.98,48.0%,1,"68 days",—,—,—,—
"Special Order",235-097,"1/4"" x 1-1/4"" Socket Head Cap Screw",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",6.00,0.00,6.00,0.00,$0.09,$0.26,$1.56,$1.02,65.4%,1,"68 days",—,—,—,—
"Special Order",24225347,Seal,"HD-Transmission & Clutch","Mefield Supply","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$8.78,$0.00,$0.00,-$8.78,—,1,"64 days",—,—,—,—
"Special Order",2518062C1,"Coolant Level Sensor","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$91.20,$136.12,$136.12,$44.92,33.0%,1,"67 days",—,—,—,—
"Special Order",252-300,"3"" Groove Coupler Gasket","HD-Equipment & Hydraulics","Bihampton Works","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$13.95,$26.83,$26.83,$12.88,48.0%,1,"70 days",—,—,—,—
"Special Order",26573,"AIR FILTER","AUTO-Oil, Lube & Maintenance","Zocrest Maintenance","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$15.87,$0.00,$0.00,-$15.87,—,1,"80 days",—,—,—,—
"Special Order",280,"Rear Driveshaft U-Joint","AUTO-Drive Train (Final Drive, Transaxle, Differential & Transfer Case)","Reson Farms","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$41.12,$76.82,$153.64,$71.40,46.5%,1,"62 days",—,—,—,—
"Special Order",2866636,"4"" CUMMINS INLET GASKET (2866636, 3846392C1, 1844896PE, 35813, GSK1020)",HD-Exhaust,"Teline Rentals","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$25.30,$45.18,$45.18,$19.88,44.0%,1,"68 days",—,—,—,—
"Special Order",2872288,"Injector Supply Tube","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",6.00,0.00,6.00,0.00,$94.11,$140.46,$842.76,$278.10,33.0%,1,"54 days",—,—,—,—
"Special Order",29539579,"Transmission Filter, Spin-On, Allison 1000 Series",HD-Filters,"Ouport Builders","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$22.53,$39.53,$39.53,$17.00,43.0%,1,"62 days",—,—,—,—
"Special Order",29542824,"Deep Pan Internal Transmission Filter Kit, Allison 1000/2000",HD-Filters,"Ouport Builders","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$52.89,$85.31,$85.31,$32.42,38.0%,1,"62 days",—,—,—,—
"Special Order",2x061-0220-0,"Bungee Cord 20'","HD-Misc / Other","Tiline Management","Staging Lethbridge - 4310",2.00,0.00,2.00,0.00,$14.99,$31.23,$62.46,$32.48,52.0%,1,"56 days",—,—,—,—
"Special Order",327-487E,"Spring Pin","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",6.00,0.00,6.00,0.00,$13.52,$28.17,$169.02,$87.90,52.0%,1,"68 days",—,—,—,—
"Special Order",3357,"Fuel Filter",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$23.47,$41.18,$41.18,$17.71,43.0%,1,"54 days",—,—,—,—
"Special Order",3358,Filter,HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",1.00,0.00,1.00,0.00,$20.57,$36.09,$36.09,$15.52,43.0%,1,"54 days",—,—,—,—
"Special Order",3403,"Spark plug",Uncategorized,"Reson Farms","Staging Lethbridge - 4310",6.00,0.00,6.00,0.00,$5.68,$9.10,$54.60,$20.52,37.6%,1,"67 days",—,—,—,—
"Special Order",343-4009,"Hub Cap w/ Fill Plug, Stemco","HD-Wheel Comp","Aiboro Rentals","Staging Lethbridge - 4310",6.00,0.00,0.00,6.00,$22.79,$42.20,$253.20,$116.46,46.0%,1,"73 days",—,—,—,—
"Special Order",346-535,"DRAG LINK ASSY","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",1.00,0.00,1.00,0.00,$206.97,$328.52,$328.52,$121.55,37.0%,1,"68 days",—,—,—,—
"Special Order",3523866C1,"Constant Tension Clamp","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",2.00,0.00,2.00,0.00,$51.38,$79.05,$158.10,$55.34,35.0%,1,"73 days",—,—,—,—
