"Locations: Staging Heavy Duty - 9919"
Type,"Part #",Description,Category,Vendor,"Units Sold","Units Returned","Sold (WO)","Sold (Parts Sale)","Unit Cost","Sell Price",Revenue,Margin,"Margin %",Demand,"Last Sale","On Hand",Turns/Yr,Min,Max
Inventory,S100,"STROKE INDICATOR","HD-Heavy Duty Brake Comp","Xistone Consulting",42.00,0.00,42.00,0.00,$0.76,$1.65,$69.30,$37.38,53.9%,15,"69 days",37.00,1.93,0,0
Inventory,12105,"Spring Loaded Air Tank Drain Valve, 1/4' NPT, 60"" Cable","HD-Hose & Fittings","Zoburg Maintenance",16.00,0.00,15.00,0.00,$5.53,$10.85,$162.68,$79.71,49.0%,14,"73 days",4.00,6.79,2,4
Inventory,393-0173,"VOYAGER 1PC WHEEL SEAL (SKF47697/47691, 370003A/380003A, 392-9131, 309-0973, 10045887)","HD-Wheel Comp","Aiboro Rentals",18.00,0.00,18.00,0.00,$67.49,$103.14,"$1,856.47",$641.72,34.6%,14,"55 days",1.00,30.56,2,8
Inventory,CS8SC-075-250,"3/4""X2-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",24.00,0.00,20.00,0.00,$1.83,$3.90,$77.98,$41.32,53.0%,14,"3 days",58.00,0.70,0,0
Inventory,SH550045136,"10W30 SHELL ROTELLA T4, 18.9L [PAIL]",HD-Fluids,"Xistone Consulting",23.00,0.00,21.30,2.00,$89.26,$128.11,"$2,984.97",$905.26,30.3%,14,"60 days",48.70,0.80,5,10
Inventory,57151,"Engine Oil Filter, Ford Super Duty, Diesel, 11-Current",HD-Filters,"Baplains Solutions",11.00,0.00,12.00,0.00,$35.28,$38.81,$465.69,$42.30,9.1%,13,"69 days",0.00,0.00,2,3
Inventory,769865,"1/2' SPLIT LOOM","HD-Lighting & Electrical","Yahall Energy",35.00,0.00,35.00,0.00,$0.74,$1.77,$61.79,$35.98,58.2%,13,"56 days",88.00,0.68,50,100
Inventory,CS-9-138-916,"TRAILER BRAKE DRUM, 9/16"" STUD (CS-9-138-916)","HD-Trailer Brake Comp","Wuboro Farms",20.00,0.00,20.00,0.00,$88.48,$160.27,"$3,205.42","$1,435.92",44.8%,13,"56 days",4.00,8.49,2,4
Inventory,FF5971NN,"Fuel Filter, Tall, Cummins X15",HD-Filters,"Enson Forestry",12.00,0.00,13.00,0.00,$94.70,$106.79,"$1,388.21",$157.15,11.3%,13,"59 days",2.00,10.19,2,4
Inventory,MD668D,"ATF Bulk- Mobil Delvac 1 ATF 668 ",HD-Fluids,"Hibridge Supply",143.00,0.00,201.00,0.00,$11.10,$15.86,"$3,187.35",$957.19,30.0%,13,"53 days",311.00,0.78,200,"1,100"
Inventory,N64CT-40,"CONSTANT TENSION GEAR CLAMP 2.05"" - 2.99"" (52-76MM)","HD-Hose & Fittings","Humoor Energy",25.00,0.00,25.00,0.00,$4.50,$8.87,$221.77,$109.21,49.2%,13,"74 days",9.00,4.72,4,10
Inventory,67050,"2-Wire Pigtail, Single Seal, Ring Terminal Ground, 6"" Blunt Cut Wire","HD-Lighting & Electrical","Zoburg Maintenance",20.00,0.00,20.00,0.00,$1.64,$3.49,$69.77,$37.00,53.0%,12,"66 days",10.00,3.40,2,10
Inventory,83-2410,"Heat Shrinkable Ring Terminal, 16-14 Gauge, #10 Stud","HD-Lighting & Electrical","Aiboro Rentals",75.00,0.00,76.00,0.00,$0.53,$1.26,$95.76,$55.48,57.9%,12,"66 days",13.00,9.79,10,25
Inventory,330-3024,"Hub Cap Gasket","HD-Heavy Duty Brake Comp",—,12.00,0.00,13.00,0.00,$2.86,$5.22,$67.89,$30.77,45.3%,11,"119 days",9.00,2.26,5,15
Inventory,47022,"22"" WIPER BLADE","HD-Truck Accessories","Vatown Works",20.00,0.00,20.00,0.00,$9.78,$20.74,$414.89,$219.29,52.9%,11,"59 days",29.00,1.17,6,16
Inventory,49333,"MicroNova® Dot LED Clearance Marker Light, Amber, With Grommet, P2/PC","HD-Lighting & Electrical",—,12.00,0.00,13.00,0.00,$8.65,$16.96,$220.46,$108.01,49.0%,11,"82 days",8.00,2.55,2,4
Inventory,84-4001PK,"3/8 BLACK SHRINK TUBE","HD-Lighting & Electrical",—,13.00,0.00,13.00,0.00,$1.68,$3.12,$40.53,$18.63,46.0%,11,"67 days",22.00,1.00,12,24
Inventory,84-6100PK,"1/4 RED SHRINK TUBE","HD-Lighting & Electrical",—,13.00,0.00,13.00,0.00,$1.46,$3.12,$40.51,$21.49,53.1%,11,"61 days",18.00,1.23,6,12
Inventory,91400,"2.5"" Marker Light Grommet, Open Back","HD-Lighting & Electrical","Zoburg Maintenance",15.00,0.00,15.00,0.00,$1.53,$3.25,$48.73,$25.83,53.0%,11,"66 days",3.00,8.49,2,4
Inventory,A4731800909,"Engine Oil Filter Cartridge Kit, Detroit DD13/15/16, OEM 2010-Up",HD-Filters,"Enson Forestry",9.00,0.00,10.00,0.00,$38.49,$62.97,$629.67,$244.80,38.9%,11,"61 days",3.00,5.09,2,4
Inventory,CS-SE-16,"6-7K SEAL, 3.375""OD X 2.25""ID ","HD-Trailer Comp","Wuboro Farms",38.00,0.00,41.00,0.00,$1.83,$3.99,$163.49,$88.28,54.0%,11,"102 days",6.00,10.75,6,16
Inventory,G1002,"Hi Count® 2 1/2"" LED Clearance Marker Light, Red, Built-In Reflector","HD-Lighting & Electrical","Zoburg Maintenance",17.00,0.00,18.00,0.00,$8.45,$17.48,$314.57,$162.47,51.7%,11,"66 days",6.00,4.81,4,8
Inventory,HD-DEF,"DIESEL EXHAUST FLUID (BOXED 9.5L)",HD-Fluids,—,12.00,0.00,15.00,0.00,$14.45,$14.81,$222.14,$5.34,2.4%,11,"74 days",9.00,2.26,4,12
Inventory,N9500-08,"#08 BSPP BONDED SEAL","HD-Hose & Fittings","Humoor Energy",7.00,0.00,7.00,0.00,$0.65,$1.40,$9.78,$5.23,53.5%,11,"98 days",14.00,0.85,5,10
Inventory,WL10255,"Engine Oil Filter, GM/Navistar",HD-Filters,—,11.00,0.00,10.00,1.00,$9.32,$30.03,$330.34,$227.82,69.0%,11,"70 days",0.00,0.00,1,2
"Special Order",FREIGHT,Freight,HD-Freight,"Xistone Consulting",11.00,3.00,10.00,1.00,$82.43,$99.80,"$1,097.85",$191.14,17.4%,11,"54 days",—,—,—,—
Inventory,201.3013,"Flanged Wheel Nut, M22x1.5, Hex Size 33mm","HD-Wheel Comp","Iview Commercial",81.00,0.00,81.00,0.00,$2.89,$5.69,$460.86,$226.38,49.1%,10,"55 days",124.00,1.11,20,40
Inventory,24579,"Cabin Air Filter, Ram Trucks, 09-24",HD-Filters,"Yahall Energy",10.00,0.00,10.00,0.00,$16.14,$35.08,$350.76,$189.41,54.0%,10,"55 days",3.00,5.66,2,3
Inventory,47020,"20"" WIPER BLADE","HD-Truck Accessories","Vatown Works",19.00,0.00,19.00,0.00,$9.78,$20.71,$393.51,$207.75,52.8%,10,"52 days",16.00,2.02,6,12
Inventory,49332,"MicroNova® Dot LED Clearance Marker Light, 1"", Red, With Grommet","HD-Lighting & Electrical","Zoburg Maintenance",13.00,0.00,14.00,0.00,$8.60,$15.66,$219.18,$98.78,45.1%,10,"62 days",4.00,5.52,2,5
Inventory,A4711800209,"Engine Oil Filter Cartridge Kit, Detroit DD13/15/16, OEM, 2019-Current",HD-Filters,"Enson Forestry",10.00,0.00,10.00,0.00,$35.35,$48.70,$486.95,$133.47,27.4%,10,"52 days",3.00,5.66,2,4
Inventory,AS2620C,"ANTI SAIL BRACKET (FLTCR22170)","HD-Truck Accessories","Weriver Electrical",10.00,0.00,14.00,0.00,$12.45,$28.19,$394.72,$220.49,55.9%,10,"68 days",2.00,8.49,2,4
Inventory,PC1469S-4B,"1/4"" BRASS DOT TUBE PUSH-IN X 1/4"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings",—,10.00,0.00,10.00,0.00,$4.32,$8.65,$86.48,$43.24,50.0%,10,"55 days",6.00,2.83,2,4
Inventory,R810027,"Clevis Pin Kit","HD-Heavy Duty Brake Comp","Iview Commercial",6.00,0.00,10.00,0.00,$4.40,$16.80,$167.97,$123.97,73.8%,10,"73 days",23.00,0.44,4,8
Inventory,SLCSF-075,"3/4"" NF STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",29.00,0.00,29.00,0.00,$0.69,$1.73,$50.17,$30.16,60.1%,10,"75 days",136.00,0.36,0,0
Inventory,71422,"TRIANGLE FLARE KIT, HAZARD (5043410, 553453, GT-8500)","HD-Truck Accessories","Weriver Electrical",9.00,0.00,9.00,0.00,$41.47,$73.48,$661.35,$288.11,43.6%,9,"73 days",2.00,7.64,2,5
Inventory,83-2350PK,"16-14GA BLUE BUTT CONNECTOR","HD-Lighting & Electrical","Aiboro Rentals",14.00,0.00,14.00,0.00,$0.51,$1.19,$16.64,$9.50,57.1%,9,"67 days",0.00,0.00,0,0
Inventory,ABP10081520,"Preset Wheel Seal and Spacer Kit","HD-Wheel Comp","Enson Forestry",7.00,0.00,7.00,0.00,$74.89,$111.25,$778.75,$254.54,32.7%,9,"68 days",4.00,2.97,0,2
Inventory,CS-12-1217,"12""x2"" LH BRAKE BACKING PLATE ASSY (FP12-1219B)","HD-Trailer Brake Comp","Wuboro Farms",9.00,0.00,9.00,0.00,$36.88,$78.21,$703.86,$371.95,52.8%,9,"56 days",5.00,3.06,2,4
Inventory,FLT4707QP23KNSP,"Brake Shoe Kit, w/ Hardware, 16.5""x7"" ","HD-Heavy Duty Shoes","Xistone Consulting",20.00,0.00,20.00,0.00,$51.88,$94.33,"$1,886.60",$849.00,45.0%,9,"75 days",0.00,0.00,0,0
Inventory,FS53000,"Fuel/Water Separator Filter Cartridge, Ram 6.7l, 2010-Current",HD-Filters,"Enson Forestry",9.00,0.00,9.00,0.00,$57.50,$91.27,$821.45,$303.93,37.0%,9,"63 days",2.00,7.64,1,2
Inventory,GENO-1,"NYLON SHIELD RETAINER","HD-Body Exterior","Aiboro Rentals",21.00,0.00,38.00,0.00,$0.33,$0.56,$21.10,$8.54,40.5%,9,"75 days",317.00,0.11,0,0
Inventory,"N64CT-36	","CONSTANT TENSION GEAR CLAMP 1.81"" -2.76"" (46-70MM)
","HD-Hose & Fittings","Humoor Energy",13.00,0.00,21.00,0.00,$4.43,$8.86,$186.06,$93.03,50.0%,9,"89 days",9.00,2.45,4,10
Inventory,N79-088,"CUSHIONED TUBE SUPPORT FOR 7/8"" (22mm) OD",HD-Fasteners,"Humoor Energy",15.00,0.00,18.00,0.00,$0.36,$1.00,$18.05,$11.57,64.1%,9,"67 days",11.00,2.32,10,25
Inventory,NL329-06,"#06 SAE100R16 HYD HOSE 5100 PS 3/8","HD-Hose & Fittings","Humoor Energy",108.00,0.00,108.00,0.00,$2.25,$4.79,$517.32,$274.32,53.0%,9,"56 days",35.00,5.24,50,300
Inventory,NL560-04,"1/4 SYNFLEX, BLACK GENUINE SAE J844 DOT AIRBRAKE TUBING","HD-Hose & Fittings","Humoor Energy",24.00,0.00,24.00,0.00,$0.37,$1.06,$25.44,$16.56,65.1%,9,"68 days",89.00,0.46,0,0
Inventory,PET-8,"SS HOSE CLAMP (5/8"" - 13/16""), 1/2"" WIDE","HD-Hose & Fittings","Aiboro Rentals",15.00,0.00,15.00,0.00,$1.43,$3.36,$50.46,$29.01,57.5%,9,"59 days",0.00,0.00,0,0
Inventory,SLCSF-050,"1/2"" NF STOVER LOCKNUT",HD-Fasteners,"Viwick Paving",72.00,0.00,76.00,0.00,$0.23,$0.66,$50.16,$32.68,65.2%,9,"55 days",110.00,1.11,0,0
Inventory,TP-801-4,"9/16"" X 3.5"" Splined Spring Eye Bolt, NF",HD-Fasteners,"Wuboro Farms",28.00,0.00,28.00,0.00,$3.28,$6.56,$183.72,$91.86,50.0%,9,"74 days",0.00,0.00,0,1
Inventory,151.6726BA,"Standard Brake Drum, 16.5""X7"" ","HD-Heavy Duty Drums",—,20.00,0.00,19.00,0.00,$94.40,$138.48,"$2,631.13",$837.53,31.8%,8,"55 days",1.00,33.95,0,48
Inventory,23-12892-062,"Retaining Bolt, Full Round U-Joint Cap",HD-Fasteners,"Ruridge Mining",12.00,0.00,28.00,0.00,$0.62,$1.73,$48.48,$31.08,64.1%,8,"61 days",4.00,5.09,0,0
Inventory,30873,"RIGHT STUFF 80ML",HD-Fluids,"Yahall Energy",8.00,0.00,7.00,1.00,$15.16,$19.57,$156.58,$35.32,22.6%,8,"75 days",2.00,6.79,2,4
Inventory,4932615,"EGR Crossover Tube Gasket","HD-Engine Comp","Enson Forestry",15.00,0.00,14.00,0.00,$5.63,$11.04,$154.50,$75.68,49.0%,8,"54 days",3.00,8.49,2,4
Inventory,750.936,"CENTER BEARING LOCK NUT (1227Z936)","HD-Drive Train","Iview Commercial",2.00,0.00,4.00,0.00,$4.36,$9.48,$37.92,$20.48,54.0%,8,"89 days",0.00,0.00,0,0
Inventory,82-1056,"7-WAY PLUG, TRAILER SIDE (179.1053)","HD-Trailer Comp","Iview Commercial",7.00,0.00,7.00,0.00,$6.99,$13.31,$93.18,$44.22,47.5%,8,"66 days",7.00,1.70,1,3
Inventory,ABP10081519,"Conmet Hubseal & Preset Spacer Kit, FL, Front","HD-Wheel Comp","Enson Forestry",8.00,0.00,8.00,0.00,$68.96,$98.89,$791.12,$239.45,30.3%,8,"68 days",3.00,4.53,2,4
Inventory,AF26154,"Engine Air Filter - NON-FR Media - Use With AF27706 (P616400)",HD-Filters,"Enson Forestry",7.00,0.00,7.00,0.00,$81.28,$117.54,$822.78,$253.82,30.9%,8,"123 days",2.00,5.94,1,3
Inventory,AF4331,"Engine Air Filter, Freightliner/Western Star",HD-Filters,"Enson Forestry",4.00,0.00,6.00,0.00,$184.85,$264.07,"$1,584.44",$475.36,30.0%,8,"52 days",2.00,3.40,1,2
Inventory,B194,"194 LIGHT BULB","HD-Lighting & Electrical",—,8.00,0.00,10.00,0.00,$0.46,$1.03,$10.26,$5.62,54.8%,8,"52 days",8.00,1.70,5,15
Inventory,CS-12-1218,"12""x2"" RH BRAKE BACKING PLATE ASSY (FP12-1220B)","HD-Trailer Brake Comp","Wuboro Farms",8.00,0.00,8.00,0.00,$36.62,$77.45,$619.60,$326.66,52.7%,8,"56 days",5.00,2.72,2,4
Inventory,CS8SC-075-600,"3/4""X6"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",9.00,0.00,13.00,0.00,$4.28,$8.56,$111.32,$55.66,50.0%,8,"63 days",15.00,1.02,0,0
Inventory,FF63041NN,"Fuel Filter, Cummins B6.7/L9, 2020+ ",HD-Filters,"Enson Forestry",8.00,0.00,9.00,0.00,$67.41,$93.49,$841.43,$234.74,27.9%,8,"69 days",3.00,4.53,3,5
