"Section","Title","Priority","Type","Preconditions","Steps","Expected Result","References"
"Service Manager","Verify Service Manager can process a payment on an invoice","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role has Invoicing and Payments: Create and Edit).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab.
2. On the invoice, click the option to record/process a payment.
3. Enter a payment amount and save.","The payment is recorded successfully and shows against the invoice.","SV-5319"
"Service Manager","Verify Service Manager cannot delete a payment","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role has Invoicing and Payments = View/Create and Edit only - NO Delete).
The work order already has an invoice created on its Finance tab.
A payment has been recorded against the invoice.","1. Open the work order's Finance tab and locate the recorded payment.
2. Look for a Delete option on the payment; if present, click it.","Deleting the payment is BLOCKED: the Delete action is hidden or disabled, or clicking it returns a permission error. Record in the test run whether the control is hidden, greyed out, or errors.","SV-5319"
"Service Manager","Verify Service Manager cannot void a transaction","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role has NO Invoicing and Payments: Delete).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab and locate a transaction.
2. Look for a Void option; if present, click it.","Voiding is BLOCKED: the Void action is hidden or disabled, or clicking it returns a permission error. Record which blocked state is shown.","SV-5319"
"Service Manager","Verify Service Manager can access the Customer Portal","Medium","Smoke","Log in to ShopView as a user assigned the Service Manager role. (Customer Portal was turned ON for Service Manager per the 6/19 change).","1. Look at the top navigation.
2. Click Customer Portal.","The Customer Portal entry is visible in the navigation and opens successfully.","SV-5319"
"Service Manager","Verify Service Manager only sees App Settings and Wages in Settings","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (this role's Settings sub-toggles allow only App Settings and Wages).
Note: Departments grouping is under review (SV-7781).","1. Click the Settings (cog) icon.
2. Note which sub-sections are listed.
3. Open App Settings.
4. Open Wages.
5. Look for Service, Parts, Finance, and Data Import sub-sections.","1. Settings opens.
2. Only App Settings and Wages are available.
3. App Settings opens successfully.
4. Wages opens successfully.
5. Service, Parts, Finance, and Data Import do NOT appear (or do not open).","SV-5319, SV-7781"
"Service Manager","Verify Service Manager can open AP/AR reports","Medium","Smoke","Log in to ShopView as a user assigned the Service Manager role. (this role has Manage Accounts Payable and Receivable ON).","1. Click Reports in the main navigation.
2. Open the AR Aging report.
3. Open the AP Aging report.","Both AP/AR aging reports open and display data with no permission error.","SV-5319"
"Service Manager","Verify Service Manager can edit work order header fields","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (header fields are gated by Work Orders: Create and Edit per spec v33; this role has it).
At least one work order exists.","1. Open a work order.
2. In the header, change the Customer and save.
3. Change the Asset and save.
4. Change the Lead Technician and save.","All header edits are allowed and save successfully with no permission error.","SV-5319"
"Service Manager","Verify Service Manager can edit mileage, engine hours, license plate, and VIN on a work order line","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (these fields are gated by Work Order Lines: Create and Edit per spec v33; this role has it).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order and open a line.
2. Change Mileage and save.
3. Change Engine Hours and save.
4. Change License Plate and save.
5. Change VIN and save.","All four fields are editable and each change saves successfully.","SV-5319"
"Service Manager","Verify Service Manager cannot reverse a work order invoice","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (reversing a work order invoice requires Work Orders: Delete per spec v33; Service Manager has Work Orders = View/Create and Edit, NO Delete).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab.
2. Look for a Reverse option on the invoice; if present, click it.","Reversing the invoice is BLOCKED: the Reverse action is hidden or disabled, or clicking it returns a permission error. (Known failure SV-8093 was raised when this was allowed - retest.)","SV-5319, SV-8093"
"Service Manager","Verify Service Manager can create and edit their own work order note","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (own-note create/edit is gated by Work Orders: View, which this role has).
At least one work order exists.","1. Open a work order and go to the Notes tab.
2. Add a new note with the text ""SM test note"" and save.
3. Edit that note to ""SM test note - edited"" and save.","The note is created and the edit saves; the updated text is displayed.","SV-5319"
"Service Manager","Verify Service Manager cannot edit or delete another user's work order note","High","Regression","Log in to ShopView as a user assigned the Service Manager role. (editing/deleting ALL notes requires Work Orders: Delete per spec v33; this role does not have it).
A work order exists with a note created by a DIFFERENT user.","1. Open the work order's Notes tab and locate a note created by another user.
2. Try to edit the note.
3. Try to delete the note.","Both editing and deleting another user's note are BLOCKED: the actions are hidden/disabled or return a permission error.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can see all pricing and financial data on a work order","Critical","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has See Financial Data ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders and open a work order.
2. Check line prices and the work order totals.
3. Open the Finance card and the Stats tab.","All money values (line prices, totals, Finance card, Stats tab) are visible with actual amounts.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can create an invoice on a work order","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has full Invoicing and Payments: View/Create and Edit/Delete).
At least one work order exists.
The work order has at least one part line where the part has been RECEIVED and has a part number (parts must be received with a part number before an invoice can be created), and the Review button on the work order has been clicked (an unclicked Review button blocks the Create Invoice button).","1. Open the work order and go to the Finance tab.
2. Click Create Invoice, complete the dialog, and save.","The invoice is created successfully and appears on the Finance tab.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can delete a payment","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has Invoicing and Payments: Delete).
The work order already has an invoice created on its Finance tab.
A payment has been recorded against the invoice.","1. Open the work order's Finance tab and locate the payment.
2. Click Delete on the payment and confirm.","The payment is deleted successfully with no permission error.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can void a transaction","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has Invoicing and Payments: Delete).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab and locate a transaction.
2. Click Void and confirm.","The transaction is voided successfully.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can delete a work order","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has Work Orders: Delete).
The work order is in Uncomplete status (a work order must be Uncomplete before it can be deleted).","1. Open the Uncomplete work order.
2. Open the work order action menu and click Delete.
3. Confirm the deletion.","The work order is deleted and no longer appears in the Work Orders list.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can delete a work order line","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has Work Order Lines: Delete).
The work order contains at least one line that is NOT in Complete status (a line can be deleted in any status except Complete).","1. Open the work order and locate a line that is not Complete.
2. Open the line's action menu, click Delete, and confirm.","The line is deleted and removed from the work order.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can approve a work order line","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (this role has Work Order Lines Full View).
At least one work order exists that contains labor and part lines with prices entered.","1. Open the work order and locate a line awaiting approval.
2. Click Approve on the line.","The line is approved and its status updates to Approved.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can access the Customer Portal","Medium","Smoke","Log in to ShopView as a user assigned the Senior Service Advisor role. (Customer Portal = ON for this role).","1. Look at the top navigation and click Customer Portal.","The Customer Portal entry is visible and opens successfully.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can delete a parts return","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (deleting a return requires Invoicing & Payments: Delete per spec v33 / SV-7911; this role has it).
At least one parts return record exists under Parts > Returns.","1. Click Parts, open Returns, and open a return record.
2. Click Delete and confirm.","The return is deleted and removed from the Returns list.","SV-5319, SV-7911"
"Senior Service Advisor","Verify Senior Service Advisor can reverse a work order invoice","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (reversing a work order invoice requires Work Orders: Delete per spec v33; this role has it).
The work order already has an invoice created on its Finance tab.
Note: an OVER LIMIT badge on the customer does not block reversing an invoice.","1. Open the work order's Finance tab.
2. Click Reverse on the invoice and confirm.","The invoice is reversed successfully.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can reverse a Part Sales invoice","High","Regression","Log in to ShopView as a user assigned the Senior Service Advisor role. (reversing a Part Sales invoice requires Part Sales: Delete per spec v33; this role has it).
At least one Part Sales invoice exists under Part Sales.","1. Click Part Sales and open an existing invoice.
2. Click Reverse and confirm.","The Part Sales invoice is reversed successfully.","SV-5319"
"Senior Service Advisor","Verify Senior Service Advisor can edit and delete another user's work order note","Medium","Smoke","Log in to ShopView as a user assigned the Senior Service Advisor role. (edit/delete ALL notes requires Work Orders: Delete per spec v33; this role has it).
A work order exists with a note created by a DIFFERENT user.","1. Open the work order's Notes tab.
2. Edit another user's note and save.
3. Delete that note and confirm.","Both the edit and the delete succeed with no permission error.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor can see all pricing and financial data on a work order","Critical","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has See Financial Data ON).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders and open a work order.
2. Check line prices and totals.
3. Open the Finance card and the Stats tab.","All money values (line prices, totals, Finance card, Stats tab) are visible with actual amounts.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor cannot delete a work order","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Work Orders = View/Create and Edit, NO Delete).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
The work order is in Uncomplete status (a work order must be Uncomplete before it can be deleted).","1. Open the Uncomplete work order.
2. Open the work order action menu and look for a Delete option; if present, click it.","Deleting the work order is BLOCKED even though the work order is Uncomplete: the Delete action is hidden or disabled, or clicking it returns a permission error.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor can create an invoice on a work order","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Invoicing and Payments: Create and Edit).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one work order exists.
The work order has at least one part line where the part has been RECEIVED and has a part number (parts must be received with a part number before an invoice can be created), and the Review button on the work order has been clicked (an unclicked Review button blocks the Create Invoice button).","1. Open the work order and go to the Finance tab.
2. Click Create Invoice, complete the dialog, and save.","The invoice is created successfully and appears on the Finance tab.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor is blocked from deleting a payment while Manage AP/AR is OFF","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Invoicing and Payments: Delete, but Manage Accounts Payable and Receivable is OFF; per spec v33 / SV-7913, Invoicing Delete additionally requires Manage AP/AR ON - this blocking is intended, not a bug).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
The work order already has an invoice created on its Finance tab.
A payment has been recorded against the invoice.","1. Open the work order's Finance tab and locate the payment.
2. Try to delete the payment.","Deleting the payment is BLOCKED (a configuration prompt or permission block appears) because Manage AP/AR is OFF, even though the role has Invoicing Delete. This is the intended behavior per SV-7913.","SV-5319, SV-7913"
"Service Advisor (Junior SA)","Verify Service Advisor is blocked from voiding a transaction while Manage AP/AR is OFF","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (Invoicing Delete additionally requires Manage AP/AR ON per spec v33 / SV-7913; this role has Manage AP/AR OFF).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab and locate a transaction.
2. Try to void the transaction.","Voiding is BLOCKED (configuration prompt or permission block) because Manage AP/AR is OFF. Intended behavior per SV-7913.","SV-5319, SV-7913"
"Service Advisor (Junior SA)","Verify Service Advisor can pick a part on a work order line","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Pick Parts ON).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one work order exists that contains labor and part lines with prices entered.
A part is available in inventory to pick. Note: an OVER LIMIT badge on the customer does not block picking parts.","1. Open a work order and open a line.
2. Open the parts actions on the line and click Pick.
3. Select the part and quantity and confirm.","The part is picked onto the line successfully; inventory decrements accordingly.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor can order a part on a work order line","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Order Parts ON).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order and open a line.
2. Open the parts actions on the line and click Order.
3. Select the part, vendor, and quantity and confirm the order.","The part order is created successfully with no permission error.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor cannot see AP/AR tabs on customer and vendor pages","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (this role has Manage Accounts Payable and Receivable OFF).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one customer and one vendor exist.","1. Click Customers and open a customer.
2. Look for Unpaid Invoices, Payments, and Credits tabs on the customer page.
3. Click Vendors and open a vendor.
4. Look for the equivalent AP/AR tabs on the vendor page.","The Unpaid Invoices, Payments, and Credits tabs are HIDDEN on both the customer page and the vendor page. (Known failure SV-8110 was raised when these were visible - retest.)","SV-5319, SV-8110"
"Service Advisor (Junior SA)","Verify Service Advisor cannot delete a parts return","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (deleting a return requires Invoicing & Payments: Delete per spec v33; this role has Invoicing = View/Create and Edit, NO Delete).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one parts return record exists under Parts > Returns.","1. Click Parts, open Returns, and open a return record.
2. Look for a Delete option; if present, click it.","Deleting the return is BLOCKED: the Delete Return control is absent or disabled, or clicking it returns a permission error.","SV-5319, SV-7911"
"Service Advisor (Junior SA)","Verify Service Advisor cannot reverse a work order invoice","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (reversing a work order invoice requires Work Orders: Delete per spec v33; this role has NO Work Orders Delete).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab.
2. Look for a Reverse option on the invoice; if present, click it.","Reversing the work order invoice is BLOCKED: the action is hidden/disabled or returns a permission error.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor cannot reverse a Part Sales invoice","High","Regression","Log in to ShopView as a user assigned the Service Advisor role. (reversing a Part Sales invoice requires Part Sales: Delete per spec v33; this role has Part Sales = View/Create and Edit, NO Delete).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one Part Sales invoice exists under Part Sales.","1. Click Part Sales and open an existing invoice.
2. Look for a Reverse option; if present, click it.","Reversing the Part Sales invoice is BLOCKED: the action is hidden/disabled or returns a permission error.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor can create and edit their own work order note","Medium","Smoke","Log in to ShopView as a user assigned the Service Advisor role. (own-note create/edit is gated by Work Orders: View, which this role has).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
At least one work order exists.","1. Open a work order and go to the Notes tab.
2. Add a note with the text ""SA test note"" and save.
3. Edit the note to ""SA test note - edited"" and save.","The note is created and the edit saves successfully.","SV-5319"
"Service Advisor (Junior SA)","Verify Service Advisor cannot edit or delete another user's work order note","Medium","Smoke","Log in to ShopView as a user assigned the Service Advisor role. (edit/delete ALL notes requires Work Orders: Delete, which this role lacks).
Note: the role may display as 'Junior Service Advisor' in the build (the spec calls it 'Service Advisor').
A work order exists with a note created by a DIFFERENT user.","1. Open the work order's Notes tab and locate another user's note.
2. Try to edit the note.
3. Try to delete the note.","Both actions are BLOCKED: hidden/disabled controls or a permission error.","SV-5319"
"Foreman","Verify Foreman can see all pricing and financial data on a work order","Critical","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has See Financial Data ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Click Work Orders and open a work order.
2. Check line prices and totals.
3. Open the Finance card and the Stats tab.","All money values (line prices, totals, Finance card, Stats tab) are visible with actual amounts.","SV-5319"
"Foreman","Verify Foreman cannot delete a work order","High","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has Work Orders = View/Create and Edit, NO Delete).
The work order is in Uncomplete status (a work order must be Uncomplete before it can be deleted).","1. Open the Uncomplete work order.
2. Open the work order action menu and look for a Delete option; if present, click it.","Deleting the work order is BLOCKED: the Delete action is hidden/disabled or returns a permission error.","SV-5319"
"Foreman","Verify Foreman can delete a work order line","High","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has Work Order Lines: Delete).
The work order contains at least one line that is NOT in Complete status (a line can be deleted in any status except Complete).","1. Open the work order and locate a line that is not Complete.
2. Open the line's action menu, click Delete, and confirm.","The line is deleted and removed from the work order.","SV-5319"
"Foreman","Verify Foreman can view the parts catalog","High","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has Catalog: View/Create and Edit).
Parts exist in the catalog.","1. Click Parts in the main navigation.
2. Open Catalog (and Inventory).","The catalog opens and parts are listed with their details.","SV-5319"
"Foreman","Verify Foreman can order a part on a work order line","High","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has Order Parts ON).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order line and open the parts actions.
2. Click Order, select part/vendor/quantity, and confirm.","The part order is created successfully.","SV-5319"
"Foreman","Verify Foreman can pick a part on a work order line","High","Regression","Log in to ShopView as a user assigned the Foreman role. (this role has Pick Parts ON).
At least one work order exists that contains labor and part lines with prices entered.
A part is available in inventory to pick. Note: an OVER LIMIT badge on the customer does not block picking parts.","1. Open a work order line and open the parts actions.
2. Click Pick, select the part and quantity, and confirm.","The part is picked onto the line successfully.","SV-5319"
"Foreman","Verify Foreman can create an invoice on a work order","Medium","Smoke","Log in to ShopView as a user assigned the Foreman role. (this role has Invoicing: View/Create and Edit - create only, no Delete).
At least one work order exists.
The work order has at least one part line where the part has been RECEIVED and has a part number (parts must be received with a part number before an invoice can be created), and the Review button on the work order has been clicked (an unclicked Review button blocks the Create Invoice button).","1. Open the work order's Finance tab.
2. Click Create Invoice, complete the dialog, and save.","The invoice is created successfully and appears on the Finance tab.","SV-5319"
"Foreman","Verify Foreman can edit mileage, engine hours, license plate, and VIN on a work order line","High","Regression","Log in to ShopView as a user assigned the Foreman role. (these fields are gated by Work Order Lines: Create and Edit per spec v33; this role has it).
At least one work order exists that contains labor and part lines with prices entered.","1. Open a work order line.
2. Change Mileage and save.
3. Change Engine Hours and save.
4. Change License Plate and save.
5. Change VIN and save.","All four fields are editable and each change saves successfully.","SV-5319"
"Foreman","Verify Foreman cannot reverse a work order invoice","Medium","Smoke","Log in to ShopView as a user assigned the Foreman role. (reversing a work order invoice requires Work Orders: Delete per spec v33; this role has NO Work Orders Delete).
The work order already has an invoice created on its Finance tab.","1. Open the work order's Finance tab.
2. Look for a Reverse option on the invoice; if present, click it.","Reversing is BLOCKED: the action is hidden/disabled or returns a permission error.","SV-5319"
"Foreman","Verify Foreman can return a part from a work order line","Medium","Smoke","Log in to ShopView as a user assigned the Foreman role.
A work order line has a part that has been picked/received onto the line.
Note: per spec v33, returning a part from a work order requires NO permission.","1. Open the work order line that has the part.
2. Open the part's action menu, click Return, and confirm.","The part return completes successfully.","SV-5319"
