IV-NAV-03	KEEP	First-visit defaults for date and location; the build breaks the location half.			SENSIBLE	Three steps on a fresh profile.	Y	OK	
IV-NAV-05	KEEP	Server pagination plus the return-to-first-page contract.			CONTRADICTION	Intra-case: expected 1 says "the user moves through pages with the reports suite's standard pagination control" while expected 3 says "on this build there are no numbered page controls - the rows load as you scroll". Both cannot be true of the same build. Group CG-IV-PAGINATION. Winner: our live observation (Rule 33 tier 3) - no pagination control. Repair: state scroll-loading as the behaviour and carry the spec's pagination requirement as the recorded deviation, rather than asserting both.	Y	OK	
IV-NAV-06	KEEP	The empty state across three independent causes, with the verbatim message and the no-totals assertion.			SENSIBLE	Precondition 2 enumerates the three producible causes.	Y	OK	
IV-PERM-01	KEEP	Permission allow side plus the explicit "no report-specific permission" assertion.			SENSIBLE	Expected 3 tells the tester what to do if the build disagrees - do not change the test.	Y	OK	
IV-PERM-02	KEEP	Permission block side, verified as the role.			SENSIBLE	Two steps.	Y	OK	
IV-PERS-01	KEEP	Column-selection contract plus the Total Cost cannot-be-hidden invariant.			SENSIBLE	Verbatim tooltip; three steps.	Y	OK	
IV-PERS-02	WEAK-KEEP	Order-stability under toggling is a real invariant but largely re-asserts IV-COL-01's fixed order; kept because toggle-reorder bugs are common.			FIX-WORDING	Same Location-mechanism phrase as IV-COL-01/IV-COL-04 ("when it is turned on in the column-selection control") - align all three at once.	Y	OK	
IV-PERS-03	KEEP	Persistence contract across seven settings plus the per-browser (not per-account) scope.			SENSIBLE	Four steps; the cross-browser step is marked "if practical".	Y	OK	
IV-PERS-04	KEEP	Defensive restore: a stale saved selection must not break the view.			SENSIBLE	The 2026-07-28 repair already narrowed the expected to the path the steps drive.	Y	OK	
IV-SCOPE-01	KEEP	Row-scope contract on both conditions (non-core, qty above zero) including the totals exclusion.			SENSIBLE	Preconditions seed all four part shapes; the negative one is hedged "if producible".	Y	OK	
IV-SCOPE-02	KEEP	One row per part per location, never merged - the documented v1 boundary.			SENSIBLE	Two steps.	Y	OK	
IV-SCOPE-05	CUT	Duplicate: the absence of a dead-stock filter is already asserted by IV-SCOPE-01 (C30540) expected 4, "Only parts meeting BOTH conditions - not a core charge, and on-hand quantity greater than zero - are listed". Restates a spec context note with no independent observable.			SENSIBLE	Readable and executable; it dies on usefulness, not on sense.	Y	OK	
IV-SORT-01	KEEP	Default sort contract and its persistence across pages over the full server-side set.			SENSIBLE	Two steps, values readable top-down.	Y	OK	
IV-SORT-02	KEEP	Sort toggle semantics: ascending then descending, no third state, one column at a time, page-1 return.			SENSIBLE	Four steps including the third-click probe.	Y	OK	
