Section,Title,Type,Priority,Preconditions,Steps,Expected Result,References,Internal ID,TestRail Case ID,TestRail Link
Scope Tabs,The scope tab strip lists All plus the six entity tabs in the exact order,Functional,High,1. The palette is open with a query typed in that returns results.,"1. Read the horizontal tab strip directly under the search input, left to right.","1. The tabs read, in this exact left-to-right order: All, Work Orders, Customers, Assets, Parts, Vendors, Part Sales.
2. The 'All' tab is selected by default.",requirements.md 5.2 State 3 (tab strip); design-notes cross-reference,GS-TAB-01,pending push,
Scope Tabs,The 'All' tab shows results from every entity group together,Functional,High,"1. The palette is open.
2. Test data exists so a single query (for example 'Fib') matches Work Orders, Customers, Assets, Parts and Vendors.","1. Make sure the 'All' tab is selected.
2. Type the query (for example 'Fib').
3. Read the grouped results.","1. Results from every matching entity type appear, each under its own group heading with a count (for example 'Work orders (12)', 'Customers (2)').
2. Groups appear in the order Work Orders, Customers, Assets, Parts, Vendors, Part Sales.",requirements.md 5.2 State 3; 6.2 group order,GS-TAB-02,pending push,
Scope Tabs,The 'Work Orders' tab shows only Work Order results,Functional,High,1. The palette is open with a query typed in that matches more than one entity type.,"1. Click the 'Work Orders' tab.
2. Read the results.","1. Only Work Order results are shown; other entity groups (Customers, Assets, Parts, Vendors, Part Sales) are hidden.
2. The 'Work Orders' tab appears selected/active.",requirements.md 5.2 State 3 (selecting a tab scopes the query to that entity type),GS-TAB-03,pending push,
Scope Tabs,The 'Customers' tab shows only Customer results,Functional,High,1. The palette is open with a query typed in that matches more than one entity type.,"1. Click the 'Customers' tab.
2. Read the results.","1. Only Customer results are shown; other entity groups are hidden.
2. The 'Customers' tab appears selected/active.",requirements.md 5.2 State 3,GS-TAB-04,pending push,
Scope Tabs,The 'Assets' tab shows only Asset (vehicle) results,Functional,High,1. The palette is open with a query typed in that matches more than one entity type.,"1. Click the 'Assets' tab.
2. Read the results.","1. Only Asset results are shown; other entity groups are hidden.
2. The 'Assets' tab appears selected/active.",requirements.md 5.2 State 3,GS-TAB-05,pending push,
Scope Tabs,The 'Parts' tab shows only Part (inventory) results,Functional,High,1. The palette is open with a query typed in that matches more than one entity type.,"1. Click the 'Parts' tab.
2. Read the results.","1. Only Part results are shown; other entity groups are hidden.
2. The 'Parts' tab appears selected/active.",requirements.md 5.2 State 3,GS-TAB-06,pending push,
Scope Tabs,The 'Vendors' tab shows only Vendor results,Functional,High,1. The palette is open with a query typed in that matches more than one entity type.,"1. Click the 'Vendors' tab.
2. Read the results.","1. Only Vendor results are shown; other entity groups are hidden.
2. The 'Vendors' tab appears selected/active.",requirements.md 5.2 State 3,GS-TAB-07,pending push,
Scope Tabs,The 'Part Sales' tab shows only Part Sales results,Functional,High,"1. The palette is open with a query typed in that matches Part Sales records.
2. At least one Part Sale exists (for example 'P2-58').","1. Click the 'Part Sales' tab.
2. Read the results.","1. Only Part Sales results are shown; other entity groups are hidden.
2. The 'Part Sales' tab appears selected/active.",requirements.md 4 (Part Sales is a NEW searchable entity); 5.2 State 3,GS-TAB-08,pending push,
Grouped Results and Counts,Each result group shows a heading with the total match count,Functional,High,"1. The palette is open.
2. Test data exists so a query (for example 'Fib') returns several Work Orders and a couple of Customers.","1. Type the query (for example 'Fib').
2. Read each group heading.","1. Each group heading shows the entity name and the total count in parentheses, for example 'Work orders (12)' and 'Customers (2)'.
2. The count reflects the total number of matches for that entity type, even when only the first few rows are shown.",requirements.md 5.2 State 3 (results grouped by entity type with a count),GS-GRP-01,pending push,
Grouped Results and Counts,A group shows up to five results (raised from three),Functional,High,"1. The palette is open.
2. Test data exists so at least one entity group has more than five matches (for example twelve Work Orders match 'Fib').","1. Type the query so a group has many matches.
2. Count the rows shown under that group heading in the 'All' view.","1. The group shows at most five result rows.
2. It does not show six or more rows inline (the old behavior was three - it is now five).",requirements.md 1 (old = 3 per category); 5.2 State 3 (up to 5 results),GS-GRP-02,pending push,
Grouped Results and Counts,A 'Show all N' link appears when a group has more matches than are shown,Functional,High,"1. The palette is open.
2. A query returns more than five Work Order matches (for example twelve).","1. Type the query.
2. Look at the bottom of the Work Orders group.","1. A link appears at the bottom of the group, worded like 'Show all work orders' (or 'Show all 12 work orders').
2. The link only appears when there are more matches than the rows shown.",requirements.md 5.2 State 3 ('Show all N work orders' link),GS-GRP-03,pending push,
Grouped Results and Counts,Clicking 'Show all N' switches the palette into that entity's scope tab,Functional,High,1. The palette is open with a query showing a Work Orders group that has a 'Show all' link.,"1. Click the 'Show all work orders' link.
2. Watch the palette.","1. The palette stays open and switches to the 'Work Orders' scope tab.
2. The full list of matching Work Orders for the current query is shown, scoped to Work Orders only.
3. The palette does not leave to a separate full page (the recommended behavior is the scoped tab within the modal).",requirements.md 5.2 (Show all switches to the scope tab - recommended); Open Question OQ-SPEC-1,GS-GRP-04,pending push,
Grouped Results and Counts,"Groups appear in the fixed order Work Orders, Customers, Assets, Parts, Vendors, Part Sales",Functional,Medium,"1. The palette is open.
2. A query matches all six entity types at once.","1. Type the query on the 'All' tab.
2. Read the group headings top to bottom.","1. The groups appear top to bottom in this order: Work Orders, Customers, Assets, Parts, Vendors, Part Sales.
2. The order does not change based on how many matches each group has.",requirements.md 6.2 (group display order in 'All'),GS-GRP-05,pending push,
Grouped Results and Counts,The typed text is highlighted inside each matching result,Functional,Medium,"1. The palette is open.
2. Test data exists such that 'Fib' matches records like 'S1-644 Fibridge Commercial'.","1. Type 'Fib'.
2. Look at the matched part of the text in each result row.","1. The matched substring 'Fib' is visually highlighted (in the captures it is highlighted in yellow) inside the result's primary text.
2. Only the matched portion is highlighted, not the whole row.",requirements.md 5.3 (matched substring highlighted),GS-GRP-06,pending push,
Grouped Results and Counts,A screen reader announces the results count when it changes,Accessibility,Medium,"1. A screen reader is turned on.
2. The palette is open.","1. Type a query that returns results across several groups.
2. Listen to the screen reader.","1. The screen reader announces the total results count when it changes, for example 'X results found across N categories'.
2. Every interactive element (input, tabs, rows, links) has a visible focus ring when reached by keyboard.",requirements.md 9 Non-Functional (screen-reader announcements when results count changes; focus rings),GS-GRP-07,pending push,
Per-Entity Result Shape,"A Work Order result shows number, customer, status badge, assignee and date",Functional,Critical,"1. The palette is open.
2. A Work Order exists that matches the query (for example 'S1-644 Fibridge Commercial').","1. Type a query that matches a Work Order.
2. Read the Work Order result row.","1. The row shows the Work Order number and customer name as the main line (for example 'S1-644 Fibridge Commercial').
2. A colored status badge is shown (for example Approved, Estimate).
3. The lead technician / assignee name is shown (for example 'James Smith').
4. A date is shown (for example 'Apr 27, 2026').
5. A briefcase / work-order icon is shown on the left of the row.","requirements.md 4 Work Orders (Displayed: WO number + customer, status badge, lead technician, asset/unit, date)",GS-ENT-01,pending push,
Per-Entity Result Shape,"A Customer result shows name, address and an open work-order count chip",Functional,Critical,"1. The palette is open.
2. A Customer exists that matches the query (for example 'Fibridge Commercial').","1. Type a query that matches a Customer.
2. Read the Customer result row.","1. The row shows the customer name as the main line (for example 'Fibridge Commercial').
2. An address line is shown as the secondary line (for example '923 Ross Islands, X1T 2B1').
3. A count chip is shown (the open work-order / document count, for example '12').
4. A person icon is shown on the left of the row.","requirements.md 4 Customers (Displayed: name, address line, open WO count badge, telephone on hover)",GS-ENT-02,pending push,
Per-Entity Result Shape,An Asset result shows year/make/model and the owning customer,Functional,High,"1. The palette is open.
2. An Asset exists that matches the query (for example '2025 Freightliner M2' owned by 'Bryan Smith').","1. Type a query that matches an Asset.
2. Read the Asset result row.","1. The row shows year, make and model as the main line (for example '2025 Freightliner M2').
2. The owning customer name is shown as smaller secondary text (for example 'Bryan Smith').
3. A vehicle icon is shown on the left of the row.","requirements.md 4 Assets (Displayed: year + make + model primary, customer name secondary)",GS-ENT-03,pending push,
Per-Entity Result Shape,"A Part result shows description, part number and a quantity chip colored by stock level",Functional,High,"1. The palette is open.
2. Parts exist matching the query, including at least one in stock (green) and, if possible, one low (orange) and one out (red).","1. Type a query that matches parts (for example 'Microfiber' or a part number '65547').
2. Read the Part result rows and the quantity chip color.","1. The row shows the part description as the main line (for example 'Microfiber' or 'Rear Shock').
2. The part number is shown as the secondary line (for example '65547').
3. A total quantity chip is shown (for example '72').
4. The quantity chip is colored by stock status: green when in stock, orange when low, red when out of stock.
5. A tag / part icon is shown on the left of the row.","requirements.md 4 Parts (Displayed: description, part number, total quantity with stock-status color)",GS-ENT-04,pending push,
Per-Entity Result Shape,A Vendor result shows the vendor name and address,Functional,High,"1. The palette is open.
2. A Vendor exists matching the query (for example 'Fibridge Mining').","1. Type a query that matches a Vendor.
2. Read the Vendor result row.","1. The row shows the vendor name as the main line (for example 'Fibridge Mining').
2. An address line is shown as the secondary line.
3. A building icon is shown on the left of the row.","requirements.md 4 Vendors (Displayed: vendor name primary, address line secondary)",GS-ENT-05,pending push,
Per-Entity Result Shape,"A Part Sale result shows the P-number, customer, status badge, total price and date",Functional,High,"1. The palette is open.
2. A Part Sale exists matching the query (for example 'P2-58' for 'Toboro Industries').","1. Type a query that matches a Part Sale (for example 'P2-58').
2. Read the Part Sale result row.","1. The row shows the P-number and customer name as the main line (for example 'P2-58 Toboro Industries').
2. A status badge is shown.
3. A total price and a created date are shown.
4. A label icon is shown on the left of the row.","requirements.md 4 Part Sales (Displayed: P-number + customer primary, status badge, total price + created date)",GS-ENT-06,pending push,
Per-Entity Result Shape,A customer or vendor matched on a phone or email shows 'Contact/info match',Functional,Medium,"1. The palette is open.
2. A customer exists whose telephone or email contains the query but whose name does not.","1. Type the customer's phone digits or email (a value that matches a contact field, not the name).
2. Read the matched customer/vendor row's secondary line.","1. The customer/vendor still appears in the results.
2. The secondary line shows 'Contact/info match' to indicate the match was on a contact field (phone/email) rather than the name.",requirements.md 4 (secondary line shows 'Contact/info match'),GS-ENT-07,pending push,
Per-Entity Result Shape,Work Order status badges use the correct colors,Functional,Medium,"1. The palette is open.
2. Work Orders exist in several statuses (Approved, Estimate, In Progress, Review, Completed, Declined, Invoiced).","1. Search so Work Orders in different statuses appear.
2. Read the status badge colors.","1. Status badge colors match the Work Order list tokens: Approved green, Estimate blue, Review yellow, In Progress blue, Completed gray, Declined red, Invoiced purple.
2. Part stock badges use green (available), orange (low), red (out).","requirements.md 5.3 (status badge colors, same tokens as the WO list)",GS-ENT-08,pending push,
Fuzzy Matching,A misspelled name still finds the record - 'Petersn' finds 'Peterson',Functional,Critical,"1. The palette is open.
2. A record whose name contains 'Peterson' exists (for example a customer or vendor).","1. Type the misspelled query 'Petersn' (missing the 'o').
2. Read the results.","1. The 'Peterson' record is found and shown, despite the typo.
2. The matched part of the text is highlighted.",requirements.md 7 (token n-gram / trigram matching catches Petersn -> Peterson),GS-FUZ-01,pending push,
Fuzzy Matching,A misspelled name still finds the record - 'Abrige' finds 'Aabridge',Functional,High,"1. The palette is open.
2. A record whose name contains 'Aabridge' exists.","1. Type the misspelled query 'Abrige'.
2. Read the results.","1. The 'Aabridge' record is found and shown, despite the typo.",requirements.md 1 + 10 Phase 5 (fuzzy query 'Abrige'),GS-FUZ-02,pending push,
Fuzzy Matching,A transposed-letters query still finds the record - 'frieghtliner' finds 'Freightliner',Functional,High,"1. The palette is open.
2. An asset or part whose text contains 'Freightliner' exists (for example '2025 Freightliner M2').","1. Type the misspelled query 'frieghtliner' (letters transposed).
2. Read the results.","1. The 'Freightliner' record is found and shown, despite the transposed letters.",requirements.md 7 (Damerau-Levenshtein; freihgtliner -> freightliner),GS-FUZ-03,pending push,
Fuzzy Matching,A phonetically-similar name still finds the record - 'Filbridge' finds 'Fibridge',Functional,Medium,"1. The palette is open.
2. A customer/vendor/contact whose name contains 'Fibridge' exists.","1. Type the phonetically-similar query 'Filbridge'.
2. Read the results.","1. The 'Fibridge' record is found and shown (matched by sound, as a last-resort phonetic match), likely lower in the ranking than an exact/near-exact match.",requirements.md 7 (phonetic fallback catches Filbridge -> Fibridge),GS-FUZ-04,pending push,
Fuzzy Matching,A Work Order number matches exactly with or without the dash or a space,Functional,Critical,"1. The palette is open.
2. A Work Order 'S2-15276' exists.","1. Type 'S2-15276' and read the result.
2. Clear the input and type 'S215276' (no dash) and read the result.
3. Clear the input and type 'S2 15276' (with a space) and read the result.","1. All three forms find the same Work Order 'S2-15276'.
2. The Work Order number is treated as an identifier: it is normalized by stripping the dash/space, so 'S2-15276' equals 's215276'.
3. The match is exact (identifier), not fuzzy.",requirements.md 7 (S2-15276 = s215276); identifier fields are exact-only,GS-FUZ-05,pending push,
Fuzzy Matching,A VIN / serial number requires an exact match after normalization,Functional,High,"1. The palette is open.
2. An asset with a known VIN / serial number exists.","1. Type the asset's exact VIN / serial number and read the result.
2. Clear the input, type the VIN with one wrong character, and read the result.","1. The exact VIN (case and spacing normalized) finds the matching asset / work order.
2. A VIN with a wrong character does NOT return a fuzzy match - VINs are exact-only identifiers, no typo tolerance.","requirements.md 7 (What is NOT fuzzy: VIN, WO number, P-number, part number - exact match after normalization)",GS-FUZ-06,pending push,
Fuzzy Matching,"A telephone number matches on digits only, ignoring formatting",Functional,Medium,"1. The palette is open.
2. A customer with telephone '(264) 328-6723' exists.","1. Type the digits '2643286723' and read the result.
2. Clear the input, type '(264) 328-6723' with the formatting, and read the result.","1. Both forms find the same customer.
2. The phone is normalized to digits only, so '(264) 328-6723' equals '2643286723'.
3. The matched customer's secondary line shows 'Contact/info match' (matched on a contact field, not the name).",requirements.md 7 (phone normalization); 4 (Contact/info match affordance),GS-FUZ-07,pending push,
Fuzzy Matching,A part number requires an exact match after normalization,Functional,Medium,"1. The palette is open.
2. A part with a known part number (for example '65547') exists.","1. Type the exact part number '65547' and read the result.
2. Clear the input, type a part number with one wrong digit, and read the result.","1. The exact part number finds the matching part.
2. A part number with a wrong digit does NOT return a fuzzy match - part numbers are exact-only identifiers.",requirements.md 7 (What is NOT fuzzy: part number),GS-FUZ-08,pending push,
Fuzzy Matching,Typos in identifier fields do NOT return fuzzy matches,Negative,High,"1. The palette is open.
2. A Work Order 'S2-15276' exists and no Work Order 'S2-15286' exists.","1. Type a near-miss Work Order number, for example 'S2-15286' (one digit off from a real WO).
2. Read the results.","1. The real Work Order 'S2-15276' is NOT returned as a fuzzy match.
2. Because identifier fields are exact-only, a one-digit-off WO number returns no fuzzy identifier match (it may show 'No results' if nothing else matches).",requirements.md 7 (exact identifier fields bypass fuzzy logic),GS-FUZ-09,pending push,
Fuzzy Matching,A soft (fuzzy) match is visually indicated,Functional,Low,"1. The palette is open.
2. A record exists that will only match via fuzzy logic (for example type 'Petersn' for a 'Peterson' record).","1. Type a fuzzy query (for example 'Petersn').
2. Look at how the matched token is shown in the result row.","1. The matched token is highlighted.
2. A subtle soft-match indicator is shown for fuzzy matches (spec mentions a '≈' symbol or italic treatment).","requirements.md 7 (fuzzy soft-match highlight treatment - design polish, confirm with design)",GS-FUZ-10,pending push,
Fuzzy Matching,A Part Sale P-number requires an exact match (no fuzzy typo tolerance),Negative,Medium,"1. The palette is open.
2. A Part Sale 'P2-58' exists and no Part Sale 'P2-59' exists.","1. Type the exact P-number 'P2-58' and read the result.
2. Clear the input, type a near-miss P-number 'P2-59' (one digit off a real Part Sale), and read the results.","1. The exact P-number 'P2-58' finds the matching Part Sale.
2. A one-digit-off P-number does NOT return the real Part Sale as a fuzzy match - P-numbers are exact-only identifiers, no typo tolerance (it may show 'No results' if nothing else matches).","requirements.md 7 (What is NOT fuzzy: VIN, WO number, P-number, part number - exact match after normalization)",GS-FUZ-11,pending push,
Ranking and Prioritization,An exact identifier match is pinned as a single row at the very top,Functional,High,"1. The palette is open.
2. A Work Order 'S2-15276' exists.","1. Type the exact Work Order number 'S2-15276'.
2. Look at the top of the results.","1. The exactly-matched Work Order is pinned as a single row at the very top, above the grouped results, labeled with its entity icon.
2. This gives the 'type the number, jump straight to it' experience.",requirements.md 6.2 (ID match > 0.95 pinned at top),GS-RANK-01,pending push,
Ranking and Prioritization,"Within a group, more relevant results appear first",Functional,Medium,"1. The palette is open.
2. Several Work Orders match the query, some open/active (Approved, In Progress, Review) and recently updated, some old and Completed/Invoiced.","1. Type a query that matches many Work Orders.
2. Read the order of the Work Order rows.","1. Open/active and recently-updated Work Orders rank above old, closed ones.
2. Work Orders assigned to or recently viewed by the signed-in user are boosted; closed/Invoiced Work Orders older than 90 days are pushed down.","requirements.md 6.1 Work Orders signals (open status +0.30, recency, assigned/viewed, old-closed demoted)",GS-RANK-02,pending push,
Ranking and Prioritization,In-stock parts rank above out-of-stock parts (out-of-stock not hidden),Functional,Medium,"1. The palette is open.
2. Two parts match the query - one in stock, one out of stock.","1. Type a query that matches both parts.
2. Read the order of the Part rows.","1. The in-stock part ranks above the out-of-stock part.
2. The out-of-stock part is still shown (out-of-stock parts are not demoted below relevance and are not hidden).",requirements.md 6.1 Parts signals,GS-RANK-03,pending push,
Ranking and Prioritization,"On a Customer page, that customer's assets and work orders are boosted",Functional,Medium,"1. You are on a specific Customer's page.
2. That customer owns some assets and work orders, and other customers have similar-matching assets/work orders.","1. While on the Customer page, open the palette and type a query that matches assets/work orders belonging to several customers.
2. Read the ranking of the asset and work-order results.","1. Assets and Work Orders owned by the customer whose page you are on are boosted (appear higher) compared to the same search run from an unrelated page.
2. This is a lightweight, single contextual-bias signal.",requirements.md 6.3 Contextual bias,GS-RANK-04,pending push,
Ranking and Prioritization,"On a Work Order page, parts already on that work order are pushed down",Functional,Medium,"1. You are on a specific Work Order's page.
2. That work order already has some parts on it, and other similar-matching parts exist that are not on it.","1. While on the Work Order page, open the palette and search for parts.
2. Read the ranking of the part results.","1. Parts already on that work order are pushed down (demoted) relative to other matching parts.
2. Other parts in the same category as the work order's existing parts get a small boost.",requirements.md 6.3 Contextual bias,GS-RANK-05,pending push,
Empty and First-Time State,"First-time empty state shows the placeholder, helper text and three quick-create buttons",Functional,High,"1. You are signed in as a user with no recent search activity.
2. The palette is open and the input is empty.","1. Open the palette without typing anything.
2. Read the placeholder, the helper text, and the buttons.","1. The input shows the placeholder 'Search or ask a question'.
2. Helper text below the input reads 'Type to start searching for work orders, parts, customers and more'.
3. Three quick-create buttons are shown: 'New work order', 'New customer', 'New inventory part'.
4. The footer keyboard legend is visible.",requirements.md 5.2 State 1 (First-time search),GS-EMPTY-01,pending push,
Empty and First-Time State,The quick-create buttons in the empty state start the matching create flow,Functional,Medium,1. The palette is open in the empty state showing the three quick-create buttons.,"1. Click 'New work order' and observe.
2. Reopen the palette, click 'New customer' and observe.
3. Reopen the palette, click 'New inventory part' and observe.","1. 'New work order' starts the create-work-order flow.
2. 'New customer' starts the create-customer flow.
3. 'New inventory part' starts the create-inventory-part flow.
4. None of the buttons perform a destructive action.",requirements.md 5.2 State 1 (quick-create chips),GS-EMPTY-02,pending push,
Recent Activity Default State,"Recent activity is grouped under Today, Yesterday, Past week and Past 30 days",Functional,High,"1. You are signed in as a user who has recently opened several records (across different days).
2. The palette is open and the input is empty.","1. Open the palette without typing anything.
2. Read the group headings and the rows under them.","1. Instead of the first-time helper text, the palette shows your recent activity.
2. Rows are grouped under time headings: 'Today', 'Yesterday', 'Past week', 'Past 30 days'.
3. Each row is a previously opened record (not just a previous search word).",requirements.md 5.2 State 2 (Recent searches grouped by interval); 8 (persist recent-entity-views 30 days),GS-REC-01,pending push,
Recent Activity Default State,Recent activity mixes different entity types using the same row template,Functional,Medium,"1. You have recently opened records of different types (work orders, assets, customers, parts, part sales, vendors).
2. The palette is open and empty.","1. Open the palette without typing.
2. Read the recent rows across the time groups.","1. Recent rows include a mix of entity types (for example a Work Order, an Asset, a Customer, a Part, a Vendor).
2. Each recent row uses the same row template as a normal result row (icon, primary line, secondary line, status/quantity cluster).
3. Example rows: WO 'S1-644 Fisquare Farms' [Approved], Asset '2025 Freightliner M2 - Bryan Smith', Customer 'Adale Transport' with a doc chip, Part 'Rear Shock 65547' [72], Vendor 'Report Beverages'.",requirements.md 5.2 State 2 (same row template as a result row),GS-REC-02,pending push,
Recent Activity Default State,Clicking a recent item opens that record,Functional,Medium,"1. The palette is open and empty, showing recent activity.","1. Click a recent item (for example the Work Order 'S1-644 Fisquare Farms').
2. Watch the screen.","1. The palette closes and the clicked record opens.
2. Opening the record refreshes its position in recent activity (it is 'touched').",requirements.md 10 Phase 4 (records a touch on every result click / entity-page visit),GS-REC-03,pending push,
Persisting Query,The typed query is retained in the header search field after the palette closes,Functional,High,"1. The palette is open.
2. You have typed a query (for example 'Fibridge') that returns results.","1. Type 'Fibridge' so results appear.
2. Close the palette (press Esc or click a result).
3. Look at the header search field.","1. After closing, the header search field still shows the last query 'Fibridge' as plain text.
2. A small count badge (for example '1') is shown beside the persisted query.","requirements.md 5.2 State 5 (Persisting search); 8 (persist last query, rehydrate on reopen)",GS-PERS-01,pending push,
Persisting Query,"Reopening the palette restores the last query, scope tab and result list",Functional,High,"1. You have just searched (for example 'Fibridge'), selected a scope tab, and closed the palette (the query persists in the header field).","1. Click the header search field again (or press Cmd+K).
2. Look at the input, the scope tab, and the results.","1. The palette reopens with the last query 'Fibridge' already in the input.
2. The previously selected scope tab is restored.
3. The result list for that query is shown again.
4. The query text may appear selected/highlighted in the input so it can be replaced by typing.","requirements.md 5.2 State 5 (Reopening restores the query, the scope tab, and the result list)",GS-PERS-02,pending push,
Persisting Query,The persisted query can be cleared with the clear (x) button,Functional,Medium,1. The palette is open with a persisted query (for example 'Fibridge') in the input and a clear (x) button at the right of the input.,"1. Click the clear (x) button at the right of the input.
2. Look at the input and the results.","1. The input is cleared to empty.
2. The results clear and the palette returns to the empty / recent-activity state (placeholder 'Search or ask a question').
3. The persisted query is removed from the header field.",requirements.md 5.2 State 5; design-notes screenshot 9 (clearable via the x button),GS-PERS-03,pending push,
No-Results State,No matches shows 'No results for <query>' plus the three quick-create buttons,Functional,High,"1. The palette is open.
2. You will type a query that matches nothing (for example 'S1- 56438').","1. Type a query with no matches (for example 'S1- 56438').
2. Read the centered message and the buttons.","1. A centered message reads 'No results for \'S1- 56438\'' (the exact query is echoed in quotes).
2. The three quick-create buttons are shown: 'New work order', 'New customer', 'New inventory part'.
3. The footer keyboard legend is still visible.",requirements.md 5.2 State 4 (No results for <query> + quick-create chips),GS-NORES-01,pending push,
No-Results State,A quick-create button in the no-results state starts the create flow,Functional,Medium,1. The palette is showing the no-results state with the three quick-create buttons.,"1. Click 'New work order' (or 'New customer' / 'New inventory part').
2. Watch the screen.","1. The matching create flow starts (create work order / customer / inventory part).
2. No destructive action occurs.",requirements.md 5.2 State 4,GS-NORES-02,pending push,
