report,report_prefix,story,story_title,requirement_id,kind,requirement_text,status,covering_cases,covering_c_ids,retired_only_anchor,text_candidates,verdict,judgement
Sales By Customer,SBC,2,Filter by date range,S2-R8,requirement,S2-R8:** Changing the date range is remembered between visits — see Story 6.,COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,2,Filter by date range,S2-R9,requirement,"S2-R9:** When the report is opened with both a saved view and a date range in the page link, the saved view is applied and the link value is ignored. > _* Context note: the remembered view (Story 6) was given priority over the link so a returning user always lands on their own last view. A shared link therefore restores the sender's range only for a recipient who has no saved range of their own for this report._ **Negative cases:**",COVERED-DIRECT,SBC-DATE-04; SBC-PERS-06,C30105; C30179,,,,
Sales By Customer,SBC,2,Filter by date range,S2-N1,negative,"S2-N1:** If the chosen date range contains no matching invoices, the table shows the empty-state message (see Story 17).",COVERED-DIRECT,SBC-EMPTY-01,C30181,,,,
Sales By Customer,SBC,2,Filter by date range,S2-N2,negative,"S2-N2:** A Custom range wider than 366 days cannot be applied. If the user picks a start and end date more than 366 days apart, the report prevents the selection rather than loading the wider range.",COVERED-DIRECT,SBC-DATE-03,C30104,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R1,requirement,"S3-R1:** A ""Product Type"" dropdown is visible in the report toolbar.",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R2,requirement,"S3-R2:** The dropdown offers exactly three options, in this order: ""Parts & Service,"" ""Parts only,"" ""Service only.""",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R3,requirement,"S3-R3:** ""Parts & Service"" is the default selection on first load.",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R4,requirement,"S3-R4:** When ""Parts & Service"" is selected, no product-type filter is applied.",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R5,requirement,"S3-R5:** When ""Service only"" is selected, the report includes only invoices whose number starts with S.",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R6,requirement,"S3-R6:** When ""Parts only"" is selected, the report includes only invoices whose number starts with P.",COVERED-DIRECT,SBC-TYPE-02,C30107,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R7,requirement,"S3-R7:** The chosen Product Type is reflected in the CSV export, the PDF export, and the PDF's filter summary line.",COVERED-DIRECT,SBC-EXP-05,C30163,,,,
Sales By Customer,SBC,3,Filter by product type,S3-R8,requirement,S3-R8:** Changing the Product Type is remembered between visits — see Story 6. **Negative cases:**,COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,3,Filter by product type,S3-N1,negative,"S3-N1:** If the selection produces no matching invoices, the table shows the empty-state message (see Story 17).",COVERED-DIRECT,SBC-EMPTY-01,C30181,,,,
Sales By Customer,SBC,4,Filter by location,S4-R1,requirement,"S4-R1:** A location filter is visible in the report toolbar, as the rightmost filter.",COVERED-DIRECT,SBC-LOC-01,C30109,,,,
Sales By Customer,SBC,4,Filter by location,S4-R2,requirement,S4-R2:** The filter lists the locations the signed-in user has access to.,COVERED-DIRECT,SBC-LOC-01,C30109,,,,
Sales By Customer,SBC,4,Filter by location,S4-R3,requirement,"S4-R3:** The filter also offers an ""All locations"" option, pinned to the top, that selects or clears every listed location at once.",COVERED-DIRECT,SBC-LOC-01,C30109,,,,
Sales By Customer,SBC,4,Filter by location,S4-R4,requirement,"S4-R4:** On first load, the filter defaults to the location the user is currently working in (their active location) — a single location.",COVERED-DIRECT,SBC-PERS-05,C30178,,,,
Sales By Customer,SBC,4,Filter by location,S4-R5,requirement,"S4-R5:** When the user selects one or more locations, the report includes only data from those locations.",COVERED-DIRECT,SBC-LOC-03,C30111,,,,
Sales By Customer,SBC,4,Filter by location,S4-R6,requirement,"S4-R6:** When the user selects ""All locations,"" the report includes data from every location the user has access to.",COVERED-DIRECT,SBC-LOC-03,C30111,,,,
Sales By Customer,SBC,4,Filter by location,S4-R7,requirement,S4-R7:** An administrator has access to every location in the organization.,COVERED-DIRECT,SBC-PERM-04,C30101,,,,
Sales By Customer,SBC,4,Filter by location,S4-R8,requirement,S4-R8:** A non-administrator has access to the locations assigned to them.,COVERED-DIRECT,SBC-PERM-04,C30101,,,,
Sales By Customer,SBC,4,Filter by location,S4-R9,requirement,"S4-R9:** The report never includes data from a location the user does not have access to, regardless of what is requested.",COVERED-DIRECT,SBC-PERM-04,C30101,,,,
Sales By Customer,SBC,4,Filter by location,S4-R10,requirement,S4-R10:** The chosen location selection is applied to the on-screen report and to the CSV and PDF exports.,COVERED-DIRECT,SBC-EXP-05,C30163,,,,
Sales By Customer,SBC,4,Filter by location,S4-R11,requirement,S4-R11:** Changing the location selection is remembered between visits — see Story 6.,COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,4,Filter by location,S4-R12,requirement,"S4-R12:** When more than one location is in scope, the report shows a per-row Location column; the column is hidden when a single location is in scope.",COVERED-DIRECT,SBC-LOC-04,C38912,,,,
Sales By Customer,SBC,4,Filter by location,S4-R12a,requirement,"S4-R12a:** In the Location column, a customer or asset row whose invoices are all at one location shows that location's name; a customer or asset row that aggregates invoices from more than one location shows ""Multiple""; an invoice detail row always shows its exact location.",COVERED-DIRECT,SBC-LOC-04,C38912,,,,
Sales By Customer,SBC,4,Filter by location,S4-R13,requirement,"S4-R13:** Every export — each CSV and each PDF, Summary and Expanded — includes a ""Locations:"" line naming the currently selected location or locations, or ""All locations"" when every location the user has access to is selected. When the Location column is shown on screen (more than one location in scope, S4-R12), every export also includes that Location column. **Negative cases:**",GAP-CLOSED,SBC-EXP-03; SBC-EXP-11; SBC-EXP-16; SBC-LOC-04,C30161; C30169; C38856; C38912,,,GAP,"EXTEND SBC-LOC-04 (C38912) - First half (the 'Locations:' line in every export) IS covered - SBC-EXP-09 (C30167) expected 4 for the PDF header and SBC-EXP-03 (C30161) expected 7 for the CSV. SECOND half is uncovered: when the Location column is shown on screen, every export must also include that Location column. No SBC case asserts it."
Sales By Customer,SBC,4,Filter by location,S4-N1,negative,"S4-N1:** If the user requests a location they do not have access to, that location is ignored; the report does not widen to the whole organization.",COVERED-DIRECT,SBC-PERM-04,C30101,,,,
Sales By Customer,SBC,4,Filter by location,S4-N2,negative,"S4-N2:** If the selected locations contain no matching invoices, the table shows the empty-state message (see Story 17).",COVERED-DIRECT,SBC-EMPTY-01,C30181,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R1,requirement,S6-R1:** The report saves the user's view to the browser so it can be restored on the next visit.,COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R2,requirement,"S6-R2:** The saved view includes: the date range, the Product Type, the location selection, the Customer filter selection, the sort column and direction, and the visible columns.",COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R3,requirement,"S6-R3:** The saved view does not include the Customer filter's type-ahead search text, expansion state, or scroll position. > _* Context note: the Customer filter's search text is a transient way to find a name in the dropdown, not a saved setting — only the resulting customer selection is saved (S18-R8); expansion is treated as fresh each visit so a returning user is not faced with rows expanded against data they have not looked at yet._",COVERED-DIRECT,SBC-PERS-02,C30175,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R4,requirement,"S6-R4:** On load, the report shows the restored view immediately — the default view is never shown first and then replaced.",COVERED-DIRECT,SBC-PERS-01,C30174,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R5,requirement,"S6-R5:** On restore, any saved value that is no longer valid is discarded, and that setting uses its default instead.",COVERED-DIRECT,SBC-PERS-03,C30176,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R6,requirement,"S6-R6:** A saved value is treated as no longer valid when it is an unknown date range, a location the user no longer has access to, a sort column that no longer exists, or a column set that does not match the current columns.",COVERED-DIRECT,SBC-PERS-03,C30176,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-R7,requirement,S6-R7:** The saved view is specific to this report and does not affect any other report. **Negative cases:**,COVERED-DIRECT,SBC-PERS-04,C30177,,,,
Sales By Customer,SBC,6,Remember filters and view between visits,S6-N1,negative,"S6-N1:** If no saved view exists (first visit, or cleared browser storage), every setting uses the default defined in its own story: date range (S2-R5), Product Type (S3-R3), location (S4-R4), the Customer filter (S18-R4 — all customers selected), sort (S10-R4), and visible columns (S13-R7).",COVERED-DIRECT,SBC-PERS-05,C30178,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R1,requirement,S7-R1:** Each customer occupies one summary row at the top level of the table.,COVERED-DIRECT,SBC-TREE-01,C30121,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R2,requirement,S7-R2:** The customer's name is shown at the start of the row.,COVERED-DIRECT,SBC-TREE-01,C30121,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R3,requirement,"S7-R3:** The number of invoices contributing to that customer's totals in the current view is shown in parentheses immediately after the name — for example, Acme Corp (5).",COVERED-DIRECT,SBC-TREE-01,C30121,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R4,requirement,"S7-R4:** That invoice count is rendered in the color #616161 at font-weight 600, the same font size as the name.",COVERED-DIRECT,SBC-TREE-01,C30121,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R5,requirement,"S7-R5:** The count reflects the active date range, Product Type, and location; it is not a lifetime count.",COVERED-DIRECT,SBC-TREE-01,C30121,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R6,requirement,"S7-R6:** The summary row totals the customer's matching invoices for each financial column: Inv. Hrs, Labor Invoiced, Labor Margin, Parts Invoiced, Parts Margin, Shop Supplies, Margin, Margin %, and Subtotal.",COVERED-DIRECT,SBC-CALC-01,C30149,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R7,requirement,"S7-R7:** A reversed or voided invoice is excluded from every row, count, and total, regardless of the Product Type filter.",COVERED-DIRECT,SBC-TREE-12,C30132,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R8,requirement,S7-R8:** The Date cell on the summary row is blank.,COVERED-DIRECT,SBC-TREE-13,C30133,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R9,requirement,"S7-R9:** Every cell on a customer summary row uses font-weight 600, except the Subtotal cell.",COVERED-DIRECT,SBC-TREE-13,C30133,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R10,requirement,S7-R10:** The Subtotal cell on a customer summary row uses font-weight 700.,COVERED-DIRECT,SBC-TREE-13,C30133,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R11,requirement,"S7-R11 (Margin %):** The Margin % column shows the row's Margin divided by its Subtotal, times 100, to one decimal with a percent sign — for example, 64.7%.",COVERED-DIRECT,SBC-CALC-02,C30150,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R12,requirement,"S7-R12:** When the row's Subtotal is zero or below, the Margin % cell shows an em dash.",COVERED-DIRECT,SBC-CALC-02,C30150,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R13,requirement,S7-R13:** Margin % is monochrome — it has no green or red coloring.,COVERED-DIRECT,SBC-CALC-02,C30150,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R14,requirement,"S7-R14:** The Margin % calculation and format (S7-R11, S7-R12) apply the same way to customer rows, asset rows, and invoice rows.",COVERED-DIRECT,SBC-CALC-02,C30150,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R15,requirement,"S7-R15:** Every row type — customer, asset, invoice, totals — renders the same columns in the same left-to-right order.",COVERED-DIRECT,SBC-TREE-13,C30133,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-R16,requirement,"S7-R16:** A cell with no value for its row (for example, the Date cell on a customer or asset row) is left blank and keeps its column position; no value moves into another column. **Negative cases:**",COVERED-DIRECT,SBC-TREE-13,C30133,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-N1,negative,S7-N1:** A customer with no matching invoices in the current view is not shown.,COVERED-DIRECT,SBC-TREE-02,C30122,,,,
Sales By Customer,SBC,7,View customer summary rows,S7-N2,negative,"S7-N2:** A reversed or voided invoice never appears as an invoice row and never adds to any count or total, even under ""Parts & Service.""",COVERED-DIRECT,SBC-TREE-12,C30132,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R1,requirement,S8-R1:** Each customer summary row has a chevron control that toggles its asset rows.,COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R2,requirement,"S8-R2:** Activating a customer's chevron reveals that customer's asset rows beneath the summary row — one row per vehicle the customer's invoices were done on, plus the ""Parts Sales"" bucket (S8-R6) when there is no-vehicle work.",COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R3,requirement,"S8-R3:** Invoices are grouped into one asset row when they reference the same vehicle record (the same vehicle id). For an older invoice that has no vehicle id on file, the invoice's own stored vehicle snapshot is used as the grouping key instead of a vehicle id.",COVERED-DIRECT,SBC-TREE-05,C30125,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R4,requirement,S8-R4:** Each asset row has its own chevron; activating it reveals the invoice detail rows for that asset.,COVERED-DIRECT,SBC-TREE-04,C30124,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R5,requirement,"S8-R5:** An asset row shows a vehicle icon, the asset label (S8-R7), and the asset's invoice count in parentheses.",COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R5a,requirement,"S8-R5a:** An asset row shows the same financial columns as the customer row, rolled up for that asset.",COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R5b,requirement,S8-R5b:** The Date cell is blank on asset rows.,COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R5c,requirement,S8-R5c:** Asset rows are indented one level under the customer.,COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R6,requirement,"S8-R6:** A customer's work with no vehicle collects under a single row labeled ""Parts Sales,"" always sorted last among that customer's assets. > _* Context note: a service work order always has a vehicle, so no-vehicle work is treated as a parts sale._",COVERED-DIRECT,SBC-TREE-06,C30126,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R6a,requirement,"S8-R6a:** A customer's real asset rows are ordered A→Z by their label, case-insensitive; the ""Parts Sales"" bucket is always last, whatever the active column sort.",COVERED-DIRECT,SBC-TREE-06,C30126,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R7,requirement,S8-R7 (asset label — primary):** The asset label is the vehicle's VIN.,COVERED-DIRECT,SBC-LBL-01,C30134,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R8,requirement,"S8-R8 (asset label — first fallback):** When the vehicle has no VIN, the label is the vehicle's Unit number.",COVERED-DIRECT,SBC-LBL-01,C30134,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R9,requirement,"S8-R9 (asset label — second fallback):** When the vehicle has no VIN and no Unit number, the label is the vehicle's plate.",COVERED-DIRECT,SBC-LBL-01,C30134,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R10,requirement,"S8-R10 (asset label — nothing on file):** When the vehicle has no VIN, Unit number, or plate, the label reads ""Unknown Asset.""",COVERED-DIRECT,SBC-LBL-01,C30134,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R11,requirement,"S8-R11 (asset label — duplicates):** When two of a customer's assets still produce the same label, a suffix "" (#1),"" "" (#2),"" and so on is added, numbered in a fixed, repeatable order so the same vehicle always keeps the same number across reloads.",COVERED-DIRECT,SBC-LBL-04,C30137,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R12,requirement,"S8-R12:** Each invoice detail row shows the invoice number (as a link, see Story 9), the invoice date, and the per-invoice Inv. Hrs, Labor Invoiced, Labor Margin, Parts Invoiced, Parts Margin, Shop Supplies, Margin, Margin %, and Subtotal.",COVERED-DIRECT,SBC-TREE-04,C30124,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R12a,requirement,"S8-R12a:** The invoice date on screen shows in the format ""Mon DD YYYY"" — for example, May 14 2026.",COVERED-DIRECT,SBC-TREE-04,C30124,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R13,requirement,"S8-R13:** An asset's invoice subtotals sum exactly to that asset's row total, and a customer's asset subtotals sum exactly to the customer's row total.",COVERED-DIRECT,SBC-CALC-05,C30153,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R14,requirement,S8-R14 (lazy drill-down):** A customer's asset and invoice rows are fetched from the server the first time that customer is expanded; they are not preloaded with the customer summary rows. Expanding a customer that has not been expanded in the current view triggers that fetch.,COVERED-DIRECT,SBC-API-01,C30190,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R15,requirement,"S8-R15:** Each chevron toggles back to collapsed on a second activation, and each customer's and each asset's expansion state is independent.",COVERED-DIRECT,SBC-TREE-03,C30123,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R16,requirement,"S8-R16:** A header-row chevron expands every customer on the current page in one action, and collapses them all when activated again. Because each customer's asset and invoice rows are fetched lazily on expand (S8-R14), expanding all triggers at most one drill-down fetch per not-yet-expanded customer on the current page — a bounded number of fetches never exceeding the page size; it does not fetch customers beyond the current page or the whole result set.",COVERED-DIRECT,SBC-API-01; SBC-TREE-08,C30190; C30128,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R17,requirement,"S8-R17:** The header-row chevron shows the ""expand"" icon when at least one visible customer is collapsed, and the ""collapse"" icon when all visible customers are expanded.",COVERED-DIRECT,SBC-TREE-08,C30128,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R18,requirement,"S8-R18:** Hovering the header-row chevron shows an ""Expand all"" or ""Collapse all"" tooltip that matches its current action.",COVERED-DIRECT,SBC-TREE-08,C30128,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R19,requirement,S8-R19:** The header-row chevron acts on the currently visible customers only.,COVERED-DIRECT,SBC-TREE-08,C30128,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R20,requirement,"S8-R20:** Any change that re-fetches customer rows from the server — the date range, Product Type, location, the Customer filter, or the sort — collapses all expanded rows.",COVERED-DIRECT,SBC-TREE-09,C30129,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R21,requirement,"S8-R21:** Typing in the Customer filter's type-ahead — which only narrows the filter's own dropdown list, not the table — does not collapse expanded rows.",COVERED-DIRECT,SBC-TREE-09,C30129,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-R22,requirement,S8-R22:** Reloading the browser clears all expansion state. **Negative cases:**,COVERED-DIRECT,SBC-PERS-02,C30175,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-N1,negative,S8-N1:** The header-row chevron is hidden when the table has no visible rows. **Edge cases:**,COVERED-DIRECT,SBC-EMPTY-01,C30181,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-E1,edge,S8-E1:** An asset with a single invoice can still be expanded; one invoice detail row is shown.,COVERED-DIRECT,SBC-TREE-10,C30130,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-E2,edge,"S8-E2:** A customer with only no-vehicle work shows a single ""Parts Sales"" row and no vehicle rows.",COVERED-DIRECT,SBC-TREE-10,C30130,,,,
Sales By Customer,SBC,8,"Expand a customer to its assets, and an asset to its invoices",S8-E3,edge,"S8-E3:** No-vehicle work collects under ""Parts Sales"" based on the absence of a vehicle, not on the invoice-number prefix; a service (S) invoice with no vehicle therefore also appears in that customer's ""Parts Sales"" row.",COVERED-DIRECT,SBC-TREE-11,C30131,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R1,requirement,S9-R1:** Each invoice number on a detail row is a clickable link.,COVERED-DIRECT,SBC-LINK-01,C30138,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R2,requirement,S9-R2:** Activating the link opens the invoice in the same browser tab.,COVERED-DIRECT,SBC-LINK-01,C30138,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R2a,requirement,S9-R2a:** A service invoice opens the associated work order's Finance tab.,COVERED-DIRECT,SBC-LINK-01,C30138,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R2b,requirement,S9-R2b:** A parts invoice opens the associated part sale's Part Requests tab.,COVERED-DIRECT,SBC-LINK-01,C30138,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R3,requirement,"S9-R3:** Before navigating, the active date range and Product Type are written to the page link so the report can be restored.",COVERED-DIRECT,SBC-LINK-02,C30139,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R4,requirement,"S9-R4:** Pressing the browser back button returns to the report with its filters, sort, and columns restored; expanded rows are shown collapsed again (expansion is not restored).",COVERED-DIRECT,SBC-LINK-02,C30139,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R5,requirement,"S9-R5:** The customer name on each summary row is plain text, not a link.",COVERED-DIRECT,SBC-LINK-03,C30140,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R6,requirement,"S9-R6:** The invoice number link is shown in the application's primary color at rest, on hover, and after it has been clicked.",COVERED-DIRECT,SBC-LINK-03,C30140,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R7,requirement,"S9-R7:** The invoice number link has no underline at rest, on hover, or after it has been clicked.",COVERED-DIRECT,SBC-LINK-03,C30140,,,,
Sales By Customer,SBC,9,Open an invoice,S9-R8,requirement,S9-R8:** The invoice number link never recolors to the browser's visited-link color. **Negative cases:**,COVERED-DIRECT,SBC-LINK-03,C30140,,,,
Sales By Customer,SBC,9,Open an invoice,S9-N1,negative,"S9-N1:** If the underlying invoice has been deleted or reversed after the report loaded, the destination page shows the application's standard ""not found"" state; the user can press back to return to the report.",COVERED-DIRECT,SBC-LINK-04,C30141,,,,
Sales By Customer,SBC,9,Open an invoice,S9-N2,negative,"S9-N2:** If the user lacks permission to open the destination invoice, the destination page shows the application's standard access-denied state; the user can press back to return to the report.",COVERED-DIRECT,SBC-PERM-03,C30100,,,,
Sales By Customer,SBC,10,Sort the report,S10-R1,requirement,S10-R1:** Every column is sortable except the chevron column.,COVERED-DIRECT,SBC-SORT-01,C30142,,,,
Sales By Customer,SBC,10,Sort the report,S10-R2,requirement,S10-R2:** Text columns sort alphabetically; numeric columns sort by value.,COVERED-DIRECT,SBC-SORT-01,C30142,,,,
Sales By Customer,SBC,10,Sort the report,S10-R3,requirement,S10-R3:** A missing value sorts to the bottom in ascending order and to the top in descending order; a Margin % em-dash cell (S7-R12) counts as a missing value.,COVERED-DIRECT,SBC-SORT-03,C30144,,,,
Sales By Customer,SBC,10,Sort the report,S10-R4,requirement,"S10-R4:** The default sort on first load is Customer name, ascending, case-insensitive.",COVERED-DIRECT,SBC-SORT-02,C30143,,,,
Sales By Customer,SBC,10,Sort the report,S10-R5,requirement,"S10-R5:** Sorting by the Date column orders customer rows by each customer's most recent invoice date, even though the Date cell is blank on customer rows.",COVERED-DIRECT,SBC-SORT-04,C30145,,,,
Sales By Customer,SBC,10,Sort the report,S10-R6,requirement,S10-R6:** Sorting reorders only the customer summary rows; asset rows keep their own order (per S8-R6a) and invoice rows keep their order under their asset.,COVERED-DIRECT,SBC-SORT-01; SBC-TREE-06,C30142; C30126,,,,
Sales By Customer,SBC,10,Sort the report,S10-R7,requirement,S10-R7:** Clicking a column header replaces the default with that column's sort.,COVERED-DIRECT,SBC-SORT-02,C30143,,,,
Sales By Customer,SBC,10,Sort the report,S10-R8,requirement,S10-R8:** Sorting is applied on the server. Clicking a column header re-fetches the customer rows ordered by that column and returns the first page of results in the new order.,COVERED-DIRECT,SBC-API-02,C30191,,,,
Sales By Customer,SBC,10,Sort the report,S10-R8a,requirement,"S10-R8a:** Because sorting re-fetches from the server, changing the sort collapses any expanded customer rows; a customer's assets and invoices are re-fetched lazily on the next expand (Story 8).",COVERED-DIRECT,SBC-TREE-09,C30129,,,,
Sales By Customer,SBC,10,Sort the report,S10-R8b,requirement,"S10-R8b:** The full filtered set of customers is re-ordered on the server and re-paginated, so changing the sort can change which customers appear on the current page.",COVERED-DIRECT,SBC-API-02; SBC-TREE-09,C30191; C30129,,,,
