internal_id,testrail_case_id,testrail_link,report,section,title,verdict,reason,merge_group,merge_survivor,tier
IV-TOT-03,C30558,https://shopview.testrail.io/index.php?/cases/view/30558,IV,IV — Totals Row,"The totals-row Margin % is recomputed from the totals (total Margin ÷ total Total Sell), not the average of the row percentages",KEEP,Totals/summary aggregation contract over the full filtered set — catches real aggregation bugs.,,,T1
IV-TOT-04,C30559,https://shopview.testrail.io/index.php?/cases/view/30559,IV,IV — Totals Row,"Applying the Category filter, the Vendor filter, or the part search recomputes the totals on the server to match the filtered set",MERGE,Recompute-on-filter action of the full-set totals contract TOT-02 owns.,G-IV-TOTFILTER,IV-TOT-02,T2
IV-TOT-05,C30560,https://shopview.testrail.io/index.php?/cases/view/30560,IV,IV — Totals Row,"When no parts qualify, no totals row is shown",CUT,"Duplicate: ""no totals row when empty"" is already expected line 2 of IV-NAV-06 (and its merged variants).",,,-
IV-DATE-01,C30561,https://shopview.testrail.io/index.php?/cases/view/30561,IV,IV — As-of Date & Snapshots,"The date-range control offers the standard presets plus Custom and does not offer ""All Time"" — expected, do not file",KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-DATE-02,C30562,https://shopview.testrail.io/index.php?/cases/view/30562,IV,IV — As-of Date & Snapshots,"The report values inventory as of the END of the selected range — the date is an as-of anchor, not a created-date filter",KEEP,"The date is an as-of anchor, not a created-date filter — the report's core semantic; testers WILL misread this without the case.",,,T1
IV-DATE-03,C30563,https://shopview.testrail.io/index.php?/cases/view/30563,IV,IV — As-of Date & Snapshots,"When the selected window reaches today and today has not been recorded yet, the report values the current live stock",KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-DATE-04,C30564,https://shopview.testrail.io/index.php?/cases/view/30564,IV,IV — As-of Date & Snapshots,For a past date the report replays the closest recorded day on or before the end of the selected range,KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-DATE-05,C30565,https://shopview.testrail.io/index.php?/cases/view/30565,IV,IV — As-of Date & Snapshots,"An ""As of"" indicator names the day actually shown when it is earlier than the date asked for, and is hidden when they match",KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-DATE-06,C30566,https://shopview.testrail.io/index.php?/cases/view/30566,IV,IV — As-of Date & Snapshots,"A Custom range lets the user pick start and end dates, values as of the picked end date, is capped at today, and reloads on change",KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-DATE-07,C30567,https://shopview.testrail.io/index.php?/cases/view/30567,IV,IV — As-of Date & Snapshots,"When no recorded day exists on or before the end of the selected range, the report shows the no-data message and no totals row",MERGE,Same no-data message/no-totals with a snapshot cause; a cause-table row in NAV-06.,G-IV-EMPTY,IV-NAV-06,T2
IV-DATE-08,C30568,https://shopview.testrail.io/index.php?/cases/view/30568,IV,IV — As-of Date & Snapshots,"History accrues forward only — a date before the first nightly recording cannot be reconstructed — expected, do not file",KEEP,Date-range semantics (presets/cap/anchoring) — drives every number on the report.,,,T1
IV-FLT-01,C30569,https://shopview.testrail.io/index.php?/cases/view/30569,IV,IV — Filters & Part Search,The Category and Vendor filters are multi-selects that reload the report to only the matching parts,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
IV-FLT-02,C30570,https://shopview.testrail.io/index.php?/cases/view/30570,IV,IV — Filters & Part Search,"The Category filter, Vendor filter, and part search apply server-side — each change re-queries and returns the first page",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
IV-FLT-03,C30571,https://shopview.testrail.io/index.php?/cases/view/30571,IV,IV — Filters & Part Search,"With no category or vendor selected all parts show, and an empty part search applies no narrowing",WEAK-KEEP,No-selection-means-no-narrowing; restates the absence of a filter (trivial inverse).,,,T2
IV-FLT-04,C30572,https://shopview.testrail.io/index.php?/cases/view/30572,IV,IV — Filters & Part Search,"The part search is a page-local toolbar field matching part number OR description, case-insensitively, on the server",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
IV-FLT-05,C30573,https://shopview.testrail.io/index.php?/cases/view/30573,IV,IV — Filters & Part Search,"Date range, Location, Category, Vendor, and the part search combine with AND",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
IV-LOC-01,C30574,https://shopview.testrail.io/index.php?/cases/view/30574,IV,IV — Location Filter,"The Location filter (rightmost) is a multi-select of the user's accessible locations with an ""All locations"" / ""Clear all"" toggle, defaulting to the active location",KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,,,T1
IV-LOC-02,C30575,https://shopview.testrail.io/index.php?/cases/view/30575,IV,IV — Location Filter,"Selecting one, several, or all locations reloads the report scoped to that set",KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,,,T1
IV-LOC-03,C30576,https://shopview.testrail.io/index.php?/cases/view/30576,IV,IV — Location Filter,"Scoping never includes an inaccessible location, and a selection resolving to none falls back to the user's active location",KEEP,Location scoping/fallback contract — includes the accessible-locations security boundary.,,,T1
IV-LOC-04,C30577,https://shopview.testrail.io/index.php?/cases/view/30577,IV,IV — Location Filter,A user with access to only one location still sees the Location filter with a single selectable location,WEAK-KEEP,Single-location-still-sees-filter: contradicted by pending video P33; may invert.,,,T2
IV-LOC-05,C30578,https://shopview.testrail.io/index.php?/cases/view/30578,IV,IV — Location Filter,"When the selected location(s) hold no in-stock parts on the resolved date, the no-data message shows",MERGE,Same no-data message/no-totals with a location cause; a cause-table row in NAV-06.,G-IV-EMPTY,IV-NAV-06,T2
IV-PERS-01,C30579,https://shopview.testrail.io/index.php?/cases/view/30579,IV,IV — Column Selection & Persistence,"The column-selection icon button (tooltip ""Column Selection"") toggles columns, and Total Cost cannot be turned off",KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,,,T2
IV-PERS-02,C30580,https://shopview.testrail.io/index.php?/cases/view/30580,IV,IV — Column Selection & Persistence,Toggling columns never reorders them — the fixed order is kept with Total Cost always last,KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,,,T2
IV-PERS-03,C30581,https://shopview.testrail.io/index.php?/cases/view/30581,IV,IV — Column Selection & Persistence,"The report remembers the date range, category, vendor, part search text, location, columns, and sort per browser and restores them on return",KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,,,T1
IV-PERS-04,C30582,https://shopview.testrail.io/index.php?/cases/view/30582,IV,IV — Column Selection & Persistence,"Restore is defensive: an invalid saved value falls back to its default, and a saved category or vendor no longer present is dropped",KEEP,Persistence/restore contract. NOTE: Stefan flagged on the kickoff that per-user-per-device persistence may be delegated to the Filters squad — re-check before execution.,,,T1
IV-SORT-01,C30583,https://shopview.testrail.io/index.php?/cases/view/30583,IV,IV — Sorting,"On first load and after any reload, rows are sorted by Total Cost, highest first, applied by the server",KEEP,"Sorting contract (default/direction/null placement/scope) — spec-defined, observable, distinct.",,,T1
IV-SORT-02,C30584,https://shopview.testrail.io/index.php?/cases/view/30584,IV,IV — Sorting,"Header clicks sort ascending then descending with no third state, re-fetching from the server and returning the first page",KEEP,"Sorting contract (default/direction/null placement/scope) — spec-defined, observable, distinct.",,,T1
IV-SORT-03,C30585,https://shopview.testrail.io/index.php?/cases/view/30585,IV,IV — Sorting,"Money and numeric columns sort by value; text columns sort as text, case-insensitively",KEEP,"Sorting contract (default/direction/null placement/scope) — spec-defined, observable, distinct.",,,T1
IV-SORT-04,C30586,https://shopview.testrail.io/index.php?/cases/view/30586,IV,IV — Sorting,Sorting reorders only the data rows — the totals row stays at the bottom — and the chosen sort is remembered per browser,KEEP,"Sorting contract (default/direction/null placement/scope) — spec-defined, observable, distinct.",,,T1
IV-EXP-01,C30587,https://shopview.testrail.io/index.php?/cases/view/30587,IV,IV — Exports,"A three-dot toolbar menu holds ""Download (PDF)"" and ""Download (CSV)""",KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T2
IV-EXP-02,C30588,https://shopview.testrail.io/index.php?/cases/view/30588,IV,IV — Exports,"Downloads contain the shown columns in screen order (Total Cost last), honor all filters and the sort, and include a ""Totals"" row matching the full-set totals",KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T1
IV-EXP-03,C30589,https://shopview.testrail.io/index.php?/cases/view/30589,IV,IV — Exports,"Export number formats: two-decimal money, one-decimal Margin % (""—"" when undefined); CSV money as plain numbers, PDF with on-screen currency formatting",KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T1
IV-EXP-04,C30590,https://shopview.testrail.io/index.php?/cases/view/30590,IV,IV — Exports,"The PDF header shows the report name, organization, selected period, and an ""as of"" line; the shop logo shows when set and the CSV never has one",KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T1
IV-EXP-05,C30591,https://shopview.testrail.io/index.php?/cases/view/30591,IV,IV — Exports,"The downloaded files are named ""inventory-value-report.pdf"" and ""inventory-value-report.csv""",WEAK-KEEP,"Verbatim filenames; string conformance, verify once.",,,T2
IV-EXP-06,C30592,https://shopview.testrail.io/index.php?/cases/view/30592,IV,IV — Exports,Exports are generated server-side over the full filtered set — rows beyond the loaded page are included,KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T1
IV-EXP-07,C30593,https://shopview.testrail.io/index.php?/cases/view/30593,IV,IV — Exports,An over-cap filtered set produces no file and shows the too-large-to-export message (exact cap value pending owner confirmation),KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T1
IV-EXP-08,C30594,https://shopview.testrail.io/index.php?/cases/view/30594,IV,IV — Exports,"A successful download shows the format-specific success notification, verbatim",MERGE,Success-notification wording; pairs with EXP-09 as one notification case.,G-IV-EXPTOAST,IV-EXP-09,T2
IV-EXP-09,C30595,https://shopview.testrail.io/index.php?/cases/view/30595,IV,IV — Exports,"A failed download shows the format-specific error notification, verbatim",KEEP,Export content/behavior contract (what is in the file / when it is refused) — distinct observable outcome.,,,T2
IV-VIS-01,C30596,https://shopview.testrail.io/index.php?/cases/view/30596,IV,IV — Visual & Accessibility,The report uses an all-white table with no alternating row shading on the standard soft blue-grey report backdrop,WEAK-KEEP,"All-white/backdrop theme; cosmetic, verify once.",,,T2
IV-VIS-02,C30597,https://shopview.testrail.io/index.php?/cases/view/30597,IV,IV — Visual & Accessibility,"Toolbar layout: three-dot menu leftmost in the action cluster then Column Selection; filters run date range, part search, Category, Vendor, Location",WEAK-KEEP,Toolbar control order; cosmetic conformance.,,,T2
IV-VIS-03,C30598,https://shopview.testrail.io/index.php?/cases/view/30598,IV,IV — Visual & Accessibility,The totals row stays visible at the bottom while the user scrolls the rows,MERGE,Totals-row visible-on-scroll duplicates the pinned-layout assertions in TOT-01.,G-IV-TOTSTICKY,IV-TOT-01,T2
IV-VIS-04,C30599,https://shopview.testrail.io/index.php?/cases/view/30599,IV,IV — Visual & Accessibility,"Long Description, Category, and Vendor values truncate with an ellipsis and show the full value on hover; the Part # is never truncated",KEEP,Accessibility/visual conformance requirement from the spec.,,,T2
IV-VIS-05,C30600,https://shopview.testrail.io/index.php?/cases/view/30600,IV,IV — Visual & Accessibility,"In dark mode the page background, toolbar, cells, and the ""—"" glyph remain legible",WEAK-KEEP,Dark mode legibility; verify once.,,,T2
IV-VIS-06,C30601,https://shopview.testrail.io/index.php?/cases/view/30601,IV,IV — Visual & Accessibility,Each sortable column header exposes its sort state to assistive technology and shows the active direction visually,WEAK-KEEP,aria-sort exposure; one-time a11y check.,,,T2
IV-VIS-07,C30602,https://shopview.testrail.io/index.php?/cases/view/30602,IV,IV — Visual & Accessibility,The icon-only controls (three-dot download button and Column Selection button) each carry an accessible name,WEAK-KEEP,Accessible names on icon buttons; one-time a11y check.,,,T2
IV-PERM-01,C30603,https://shopview.testrail.io/index.php?/cases/view/30603,IV,IV — Permissions,A user with the existing inventory-reports permission can open the report — no new permission is added,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,,,T1
IV-PERM-02,C30604,https://shopview.testrail.io/index.php?/cases/view/30604,IV,IV — Permissions,A user without the required permission does not see Inventory Value in the reports navigation,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,,,T1
IV-API-01,C30605,https://shopview.testrail.io/index.php?/cases/view/30605,IV,IV — API,"Nightly snapshot: once per day, for every location, one row per in-stock non-core part is recorded with its identity, quantity, and values to the cent",KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,,,T1
IV-API-02,C30606,https://shopview.testrail.io/index.php?/cases/view/30606,IV,IV — API,"Nightly snapshot: the captured scope and valuation are identical to the live report, so a recorded day equals what the live report showed that day",KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,,,T1
IV-API-03,C30607,https://shopview.testrail.io/index.php?/cases/view/30607,IV,IV — API,"Nightly snapshot: re-running the capture for a date replaces that date's rows — idempotent, no duplicates",KEEP,Idempotent snapshot re-run (no duplicate rows) — protects the data the whole report stands on.,,,T1
IV-API-04,C30608,https://shopview.testrail.io/index.php?/cases/view/30608,IV,IV — API,Nightly snapshot: history accrues forward only — a re-run records current truth under the current date and cannot reconstruct a past date,KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,,,T1
IV-API-05,C30609,https://shopview.testrail.io/index.php?/cases/view/30609,IV,IV — API,Snapshot retention: daily captures are kept for 0–13 months; older history is reduced to the last capture of each calendar month,KEEP,"Snapshot retention thinning (13 months daily, then monthly) — spec change-log item; data-lifecycle contract.",,,T1
IV-API-06,C30610,https://shopview.testrail.io/index.php?/cases/view/30610,IV,IV — API,"Thinned history is served unchanged: the closest-recorded-day rule bridges retention gaps, the ""As of"" indicator names the day shown, and a fully-pruned range shows the empty state",KEEP,Server-side contract (pagination/sort/snapshot/enforcement) — placed in an API section per Rule 4; verifiable via network tab/DB; failures are real defects.,,,T1
PV-NAV-01,C30322,https://shopview.testrail.io/index.php?/cases/view/30322,PV,PV — Access & Defaults,Parts Velocity appears under a new Parts section in the Reports navigation,KEEP,Navigation/entry contract — additive placement was an explicit PO instruction on the video.,,,T2
PV-NAV-02,C30323,https://shopview.testrail.io/index.php?/cases/view/30323,PV,PV — Access & Defaults,First visit: date range defaults to This Year and data is fetched automatically,KEEP,"First-visit defaults (This Year, auto-fetch, Demand ranking) — PV's only defaults case.",,,T1
PV-NAV-03,C30324,https://shopview.testrail.io/index.php?/cases/view/30324,PV,PV — Access & Defaults,A loading indicator shows while data loads and old rows are replaced only when new data returns,WEAK-KEEP,"Loading-indicator/no-blank-flash; standard framework behavior, verify once.",,,T2
PV-PERM-01,C30325,https://shopview.testrail.io/index.php?/cases/view/30325,PV,PV — Permissions,A user with the Inventory Reports → View permission can load the report and export it,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,,,T1
PV-PERM-02,C30326,https://shopview.testrail.io/index.php?/cases/view/30326,PV,PV — Permissions,A user without the Manager or Office User role does not see the Parts Velocity navigation entry,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,,,T1
PV-PERM-03,C30327,https://shopview.testrail.io/index.php?/cases/view/30327,PV,PV — Permissions,A user with Reports access but without Inventory Reports → View sees the entry but is denied the data and the export,KEEP,Permission gate (positive/negative observable behavior). NOTE: Q2 permission-model discrepancy raised to Chris/dev 2026-07-28; cases stay per the shipped mixed model per user ruling.,,,T1
PV-FILT-01,C30328,https://shopview.testrail.io/index.php?/cases/view/30328,PV,PV — Filters,"Type filter is single-select, first in the filter row, with options Both, Inventory, Catalogue (default Both)",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-02,C30329,https://shopview.testrail.io/index.php?/cases/view/30329,PV,PV — Filters,Selecting a Type value immediately reloads the data limited to that type,MERGE,"Per-option effect of the Type filter FILT-01 defines; one control, one case.",G-PV-TYPE,PV-FILT-01,T2
PV-FILT-03,C30330,https://shopview.testrail.io/index.php?/cases/view/30330,PV,PV — Filters,Date range selector offers exactly the eleven bounded options and no All Time,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-04,C30331,https://shopview.testrail.io/index.php?/cases/view/30331,PV,PV — Filters,Custom date range requires valid start and end dates and rejects a span over 366 days,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-05,C30332,https://shopview.testrail.io/index.php?/cases/view/30332,PV,PV — Filters,Category and Vendor multi-select filters limit the table to matching parts,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-06,C30333,https://shopview.testrail.io/index.php?/cases/view/30333,PV,PV — Filters,"Toolbar search matches part number or description, case-insensitively, and is page-specific",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-07,C30334,https://shopview.testrail.io/index.php?/cases/view/30334,PV,PV — Filters,All active filters combine with AND logic,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-08,C30335,https://shopview.testrail.io/index.php?/cases/view/30335,PV,PV — Filters,Bin multi-select filter limits the table to inventory parts stocked in the selected bins,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-09,C30336,https://shopview.testrail.io/index.php?/cases/view/30336,PV,PV — Filters,Any Bin filter excludes all catalogue rows - Type Catalogue plus a Bin filter is empty by design,KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-10,C30337,https://shopview.testrail.io/index.php?/cases/view/30337,PV,PV — Filters,"Location filter is the rightmost control, defaults to the active location, and scopes to accessible locations only",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-11,C30338,https://shopview.testrail.io/index.php?/cases/view/30338,PV,PV — Filters,Empty state shows the standard no-data message when no parts match the filters,WEAK-KEEP,"Verbatim empty-state label; string conformance, verify once.",,,T2
PV-FILT-12,C30339,https://shopview.testrail.io/index.php?/cases/view/30339,PV,PV — Filters,"Parts with no category, vendor, or bin assigned are excluded when that filter is active",KEEP,Filter data-effect contract — changes which rows/totals appear; failures are real.,,,T1
PV-FILT-13,C30340,https://shopview.testrail.io/index.php?/cases/view/30340,PV,PV — Filters,A user with access to only one location still sees the Location filter with a single selectable location,WEAK-KEEP,Single-location-still-sees-filter: contradicted by pending video P33; may invert.,,,T2
PV-ROW-01,C30341,https://shopview.testrail.io/index.php?/cases/view/30341,PV,PV — Row Model,An inventory part stocked at two selected locations shows as two rows with per-location stock figures,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-02,C30342,https://shopview.testrail.io/index.php?/cases/view/30342,PV,PV — Row Model,A catalogue part shows as one merged row with values summed across the selected locations,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-03,C30343,https://shopview.testrail.io/index.php?/cases/view/30343,PV,PV — Row Model,Rows load ranked by Demand descending with the descending indicator on the Demand header,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-04,C30344,https://shopview.testrail.io/index.php?/cases/view/30344,PV,PV — Row Model,"Clicking a column header sorts ascending first, toggles on re-click, and places null values first-ascending / last-descending",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-05,C30345,https://shopview.testrail.io/index.php?/cases/view/30345,PV,PV — Row Model,"Sticky header, all-left alignment on screen, and plain-text Type values",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T2
PV-ROW-06,C30346,https://shopview.testrail.io/index.php?/cases/view/30346,PV,PV — Row Model,"Info icons on Units Sold, Demand, and Turns / Yr show the exact spec descriptions and never trigger a sort",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T2
PV-ROW-07,C30347,https://shopview.testrail.io/index.php?/cases/view/30347,PV,PV — Row Model,"Description, Category, and Vendor truncate with an ellipsis and show in full on hover; Part # is never truncated",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T2
PV-ROW-08,C30348,https://shopview.testrail.io/index.php?/cases/view/30348,PV,PV — Row Model,Null values render as an em-dash only in the nullable fields; counts and Revenue/Margin are never null,KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-09,C30349,https://shopview.testrail.io/index.php?/cases/view/30349,PV,PV — Row Model,"An inventory part is excluded only when it has no movement, under one unit on hand, AND no billed revenue",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
PV-ROW-10,C30350,https://shopview.testrail.io/index.php?/cases/view/30350,PV,PV — Row Model,"A sale invoiced then fully reversed in-window shows Demand 1 with Units Sold 0.00, and negative movement shows a leading minus",KEEP,"Row-model/scope contract (who appears, where, exactly once) — data-correctness core.",,,T1
