id,cid,testrail_link,rep,area,title,verdict,field,detail,field_title,field_title_vs_expected,field_references,field_section,field_notes,curated
IV-CALC-05,C30549,https://shopview.testrail.io/index.php?/cases/view/30549,IV,CALC,Margin is Total Sell minus Total Cost for the whole on-hand quantity,PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-CALC-06,C30550,https://shopview.testrail.io/index.php?/cases/view/30550,IV,CALC,Margin % is Margin over Total Sell to one decimal; em-dash when Sell <= 0,PARTLY OBSERVED,-,Money and hours invariants were recomputed against the live payload where the report exposes them.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-COL-03,C30553,https://shopview.testrail.io/index.php?/cases/view/30553,IV,COL,Total Cost is bold and pinned far right; it stays put on sideways scroll,CORRECT AS IS,-,"Column headers, order and the Column Selection contents were captured verbatim from the build.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-COL-04,C30554,https://shopview.testrail.io/index.php?/cases/view/30554,IV,COL,On a first visit the default columns show and the rest stay available,CORRECT AS IS,-,"Column headers, order and the Column Selection contents were captured verbatim from the build.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-COL-05,C30555,https://shopview.testrail.io/index.php?/cases/view/30555,IV,COL,"Category and Vendor show their names; an em dash (""—"") when the part has none",CORRECT AS IS,-,"Column headers, order and the Column Selection contents were captured verbatim from the build.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-TOT-01,C30556,https://shopview.testrail.io/index.php?/cases/view/30556,IV,TOT,"Totals row: Total label, blank identity/per-unit cells, pinned bold Total Cost",PARTLY OBSERVED,-,Totals row observed on screen and in the CSVs.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-TOT-02,C30557,https://shopview.testrail.io/index.php?/cases/view/30557,IV,TOT,"Totals row sums the FULL filtered set on the server, not just the visible page",PARTLY OBSERVED,-,Totals row observed on screen and in the CSVs.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-TOT-03,C30558,https://shopview.testrail.io/index.php?/cases/view/30558,IV,TOT,Totals-row Margin % is recomputed from the totals; not an average of rows,PARTLY OBSERVED,-,Totals row observed on screen and in the CSVs.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-01,C30561,https://shopview.testrail.io/index.php?/cases/view/30561,IV,DATE,Date range offers the standard presets plus Custom; no All Time option,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-02,C30562,https://shopview.testrail.io/index.php?/cases/view/30562,IV,DATE,The report values inventory as of the END of the selected range,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-03,C30563,https://shopview.testrail.io/index.php?/cases/view/30563,IV,DATE,A window reaching today with today not yet recorded values live stock,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-04,C30564,https://shopview.testrail.io/index.php?/cases/view/30564,IV,DATE,For a past date the report replays the closest recorded day on or before it,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-05,C30565,https://shopview.testrail.io/index.php?/cases/view/30565,IV,DATE,"""As of"" indicator names the day shown; hidden when it matches the ask",PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-06,C30566,https://shopview.testrail.io/index.php?/cases/view/30566,IV,DATE,A Custom range values stock as of the picked end date; capped at today,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-DATE-08,C30568,https://shopview.testrail.io/index.php?/cases/view/30568,IV,DATE,History accrues forward only; a pre-first-recording date is not shown,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,REVIEW (title words not reflected in the expected result),OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-FLT-01,C30569,https://shopview.testrail.io/index.php?/cases/view/30569,IV,FLT,Category and Vendor multi-selects reload the report to matching parts only,PARTLY OBSERVED,-,Filter labels and option lists captured; the filtering BEHAVIOUR (does selecting X actually narrow the rows) was not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-FLT-02,C30570,https://shopview.testrail.io/index.php?/cases/view/30570,IV,FLT,"Category, Vendor and part search are server-side; each change returns page 1",PARTLY OBSERVED,-,Filter labels and option lists captured; the filtering BEHAVIOUR (does selecting X actually narrow the rows) was not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-FLT-03,C30571,https://shopview.testrail.io/index.php?/cases/view/30571,IV,FLT,With no category or vendor selected all parts show,PARTLY OBSERVED,-,Filter labels and option lists captured; the filtering BEHAVIOUR (does selecting X actually narrow the rows) was not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-FLT-04,C30572,https://shopview.testrail.io/index.php?/cases/view/30572,IV,FLT,Part search matches part number or description on the server; case-insensitive,PARTLY OBSERVED,-,Filter labels and option lists captured; the filtering BEHAVIOUR (does selecting X actually narrow the rows) was not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-FLT-05,C30573,https://shopview.testrail.io/index.php?/cases/view/30573,IV,FLT,"Date range, Location, Category, Vendor, and the part search combine with AND",PARTLY OBSERVED,-,Filter labels and option lists captured; the filtering BEHAVIOUR (does selecting X actually narrow the rows) was not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-LOC-01,C30574,https://shopview.testrail.io/index.php?/cases/view/30574,IV,LOC,The Location filter is a rightmost multi-select with an All locations toggle,CORRECT AS IS,-,"Location column and filter observed on screen and in the CSVs, for single-location and multi-location scope.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-LOC-02,C30575,https://shopview.testrail.io/index.php?/cases/view/30575,IV,LOC,"Selecting one, several, or all locations reloads the report scoped to that set",CORRECT AS IS,-,"Location column and filter observed on screen and in the CSVs, for single-location and multi-location scope.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-LOC-03,C30576,https://shopview.testrail.io/index.php?/cases/view/30576,IV,LOC,Scoping never includes an inaccessible location,CORRECT AS IS,-,"Location column and filter observed on screen and in the CSVs, for single-location and multi-location scope.",OK,REVIEW (title words not reflected in the expected result),OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-LOC-04,C30577,https://shopview.testrail.io/index.php?/cases/view/30577,IV,LOC,Inventory Value: the Location filter is hidden for a one-location user,DEVIATION,Expected,CURRENT: single-location Location filter hidden  ||  PROPOSED: NO CHANGE - same live observation as C30216.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",yes
IV-DATE-09,C38892,https://shopview.testrail.io/index.php?/cases/view/38892,IV,DATE,A recorded day keeps its category and vendor names after a rename or delete,PARTLY OBSERVED,-,The date-range picker presets and controls were captured verbatim; individual range maths not driven.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-LOC-06,C38917,https://shopview.testrail.io/index.php?/cases/view/38917,IV,LOC,"The Location column is automatic, sits after Vendor, and never reads Multiple",CORRECT AS IS,-,"Location column and filter observed on screen and in the CSVs, for single-location and multi-location scope.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERS-01,C30579,https://shopview.testrail.io/index.php?/cases/view/30579,IV,PERS,Column Selection toggles columns; Total Cost cannot be turned off,NOT REACHED,-,"Persistence needs a set-then-revisit-then-reload pass, plus a second browser profile for the per-browser claim.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERS-02,C30580,https://shopview.testrail.io/index.php?/cases/view/30580,IV,PERS,Toggling columns never reorders them,NOT REACHED,-,"Persistence needs a set-then-revisit-then-reload pass, plus a second browser profile for the per-browser claim.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERS-03,C30581,https://shopview.testrail.io/index.php?/cases/view/30581,IV,PERS,The report remembers all filters; columns and sort per browser,NOT REACHED,-,"Persistence needs a set-then-revisit-then-reload pass, plus a second browser profile for the per-browser claim.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERS-04,C30582,https://shopview.testrail.io/index.php?/cases/view/30582,IV,PERS,Defensive restore: a stale saved category or vendor is dropped on load,NOT REACHED,-,"Persistence needs a set-then-revisit-then-reload pass, plus a second browser profile for the per-browser claim.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SORT-01,C30583,https://shopview.testrail.io/index.php?/cases/view/30583,IV,SORT,Rows are sorted by Total Cost highest first on load and after any reload,NOT REACHED,-,Header-click sorting was not driven. Needs a UI pass clicking each sortable header and reading the resulting order.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SORT-02,C30584,https://shopview.testrail.io/index.php?/cases/view/30584,IV,SORT,Header clicks sort ascending then descending; no third state; page 1 returns,NOT REACHED,-,Header-click sorting was not driven. Needs a UI pass clicking each sortable header and reading the resulting order.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SORT-03,C30585,https://shopview.testrail.io/index.php?/cases/view/30585,IV,SORT,Money and numeric columns sort by value; text columns sort as text,NOT REACHED,-,Header-click sorting was not driven. Needs a UI pass clicking each sortable header and reading the resulting order.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-SORT-04,C30586,https://shopview.testrail.io/index.php?/cases/view/30586,IV,SORT,Sorting reorders only the data rows — the totals row stays at the bottom,NOT REACHED,-,Header-click sorting was not driven. Needs a UI pass clicking each sortable header and reading the resulting order.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-01,C30587,https://shopview.testrail.io/index.php?/cases/view/30587,IV,EXP,Inventory Value: a three-dot menu holds Download (PDF) and Download (CSV),CORRECT AS IS,Expected,"""Download (PDF)"" and ""Download (CSV)"" match verbatim.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",yes
IV-EXP-02,C30588,https://shopview.testrail.io/index.php?/cases/view/30588,IV,EXP,"Downloads keep shown columns and order, honor filters, and include Totals",DEVIATION,Expected,"CURRENT: item 1: ""...in the same left-to-right order as the screen, with Total Cost last.""  ||  PROPOSED: The export re-orders: Part #, Description, Category, Vendor, [Location], Qty, Unit Cost, Unit Sell, Total Cost, Total Sell, Margin, Margin % - Total Cost is 9th and Margin % is last, whereas on screen Total Cost IS last. Same columns, different order. Also the file carries ""As of: <date>"" as line 1 with the Locations line beneath it.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",yes
IV-EXP-03,C30589,https://shopview.testrail.io/index.php?/cases/view/30589,IV,EXP,Export number formats: money to 2 decimals; Margin % to 1 with em-dash,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-04,C30590,https://shopview.testrail.io/index.php?/cases/view/30590,IV,EXP,PDF header shows report name; org; period and an as-of line; logo if set,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-05,C30591,https://shopview.testrail.io/index.php?/cases/view/30591,IV,EXP,Downloaded files are named inventory-value-report.pdf and .csv,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-06,C30592,https://shopview.testrail.io/index.php?/cases/view/30592,IV,EXP,Exports are generated server-side over the full filtered set,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-07,C30593,https://shopview.testrail.io/index.php?/cases/view/30593,IV,EXP,An over-cap set produces no file and shows the too-large-to-export message,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-EXP-09,C30595,https://shopview.testrail.io/index.php?/cases/view/30595,IV,EXP,Download notifications: verbatim success and failure texts per format,PARTLY OBSERVED,-,"Export menu wording, CSV headers, the Locations line, the Totals row and the row-cap message were observed; PDF file CONTENTS were not (no PDF text extractor available).",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-01,C30596,https://shopview.testrail.io/index.php?/cases/view/30596,IV,VIS,All-white table with no row shading on the standard report backdrop,PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-02,C30597,https://shopview.testrail.io/index.php?/cases/view/30597,IV,VIS,Toolbar layout: menu leftmost then Column Selection; then the 5 filters,PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-04,C30599,https://shopview.testrail.io/index.php?/cases/view/30599,IV,VIS,Long Description; Category and Vendor truncate on hover; Part # never does,PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-05,C30600,https://shopview.testrail.io/index.php?/cases/view/30600,IV,VIS,"In dark mode the page background, toolbar, cells; the ""—"" glyph remain legible",PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-06,C30601,https://shopview.testrail.io/index.php?/cases/view/30601,IV,VIS,Each sortable header exposes its sort state and shows the direction,PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-VIS-07,C30602,https://shopview.testrail.io/index.php?/cases/view/30602,IV,VIS,The icon-only download and Column Selection buttons carry accessible names,PARTLY OBSERVED,-,"Some visual facts observed (bold Totals row, pinned Total); font weights, colours and sticky behaviour on scroll were not measured.",OK,REVIEW (title words not reflected in the expected result),OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERM-01,C30603,https://shopview.testrail.io/index.php?/cases/view/30603,IV,PERM,A user with ordinary reports access can open Inventory Value,CORRECT AS IS,-,Verified both ways live: with ordinary reports access all six reports and exports return 200; without it all six return 403 Access denied.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-PERM-02,C30604,https://shopview.testrail.io/index.php?/cases/view/30604,IV,PERM,Without reports access Inventory Value is absent from the navigation,CORRECT AS IS,-,Verified both ways live: with ordinary reports access all six reports and exports return 200; without it all six return 403 Access denied.,OK,REVIEW (title words not reflected in the expected result),OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-01,C30605,https://shopview.testrail.io/index.php?/cases/view/30605,IV,API,Nightly snapshot records one row per in-stock non-core part per location,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-02,C30606,https://shopview.testrail.io/index.php?/cases/view/30606,IV,API,A recorded snapshot day equals what the live report showed that day,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-03,C30607,https://shopview.testrail.io/index.php?/cases/view/30607,IV,API,Nightly snapshot: re-running the capture for a date replaces that date's rows,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-04,C30608,https://shopview.testrail.io/index.php?/cases/view/30608,IV,API,Nightly snapshot: a re-run records today's truth; it cannot rebuild a past day,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-05,C30609,https://shopview.testrail.io/index.php?/cases/view/30609,IV,API,Snapshot retention: daily captures are kept for 0–13 months,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
IV-API-06,C30610,https://shopview.testrail.io/index.php?/cases/view/30610,IV,API,Thinned history still served by the closest-recorded-day rule,PARTLY OBSERVED,-,"Endpoints, parameters and status codes observed; pagination/sort round-trips not exercised case by case.",OK,OK,OK (ticket + spec anchor),API case - must sit in an API-titled section,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
PV-NAV-01,C30322,https://shopview.testrail.io/index.php?/cases/view/30322,PV,NAV,Parts Velocity appears under a new Parts section in the Reports navigation,CORRECT AS IS,-,Route and navigation placement observed live; see the nav map. Any group-name claim is corrected in the label diff.,OK,OK,OK (ticket + spec anchor),OK,"EDIT NEEDED - add the non-final-build marker (build v3.4.1-0ed4433, observed 2026-08-03)",no
