internal_id,cid,link,report,area,title,verdict,field_title,field_preconditions,field_steps,field_expected,field_references,field_section,field_notes,evidence,finding,recheck,build_marker
WIP-PLACE-03,C30464,https://shopview.testrail.io/index.php?/cases/view/30464,WIP,WIP — Tab Placement,Approved started-boundary: time or part received vs neither decides the tab,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"The approved started/not-started split is real and server-assigned: 218 approved work orders divide into ApprovedNotStarted (115) and ApprovedPartiallyCompleted (103), so the ""has work started"" branch is driving the tab exactly as S3-R4 requires.",Re-run against a purpose-seeded trio (clocked time / received part / neither) to attribute each branch to its specific cause. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-COL-01,C30466,https://shopview.testrail.io/index.php?/cases/view/30466,WIP,WIP — Columns & Rows,"With all toggleable columns on, the fixed column order and alignment hold",DEVIATION,OK,"EDIT NEEDED - precondition 4 should say ""turn Location on in the column-selection control"", not ""more than one location is in scope so the automatic Location column is showing""",OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/colsel-work-in-progress.json · evidence/ui/colsel-work-in-progress-after-on.png,"The fixed column order is confirmed: the Column Selection panel lists WO #, Status, Customer, Asset, VIN, Location, Advisor, Days Open, Last Activity, Labor Earned, Labor Remaining, Parts Earned, Parts Remaining, Earned, Remaining, Inv. Hrs, and Total always renders last - an exact match to S4-R1. Left/right alignment matches S4-R4. BUT precondition 4 is wrong: Location does NOT show automatically at multi-location scope - it is a manual toggle, off by default (see WIP-FLT-09).",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-COL-02,C30467,https://shopview.testrail.io/index.php?/cases/view/30467,WIP,WIP — Columns & Rows,First visit shows the default columns; the rest are in the column selector,DEVIATION,OK,OK,OK,EDIT NEEDED - replace item 3 with the build behaviour and add a plain tester note; see STAGED-CHANGES.md,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/colsel-work-in-progress.json · evidence/ui/colsel-work-in-progress-after-on.png,"THE HEADLINE. Items 1 and 2 are exact matches: the first-visit visible set is WO #, Status, Customer, Asset, Advisor, Days Open, Earned, Remaining, Total, and VIN / Last Activity / Labor Earned / Labor Remaining / Parts Earned / Parts Remaining / Inv. Hrs are all present-and-off. Item 3 is REFUTED BY THE BUILD: Location IS offered in the Column Selection panel (6th item, between VIN and Advisor), is off by default, and toggling it ON inserts a Location column while toggling it OFF removes it - proven by a before/after header read. It did NOT appear automatically with two locations in scope. Our text follows the spec verbatim - WIP spec v6 S4-R3: ""The Location column is not offered in the column selector; its visibility is automatic - shown only when more than one location is in scope"" - so THE BUILD DEVIATES FROM THE SPEC here, and the automation engineer who asserted a Location toggle was describing the build correctly. Our suite also contradicted itself: C30466 and C30507 both list Location inside the toggleable order.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-COL-03,C30468,https://shopview.testrail.io/index.php?/cases/view/30468,WIP,WIP — Columns & Rows,The WO # is a link that opens the WO in the same browser tab,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"The WO # renders as an anchor with href=""/workorders/<id>/lines"" and NO target attribute, so it opens in the same browser tab and browser-back returns to the report.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-COL-04,C30469,https://shopview.testrail.io/index.php?/cases/view/30469,WIP,WIP — Columns & Rows,Status shows as a color-coded badge whose label text is always present,DEVIATION,OK,OK,OK,"EDIT NEEDED - ""In Progress"" -> ""In progress"" in expected item 1",OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Status is a q-badge whose TEXT is always present and whose colour is the standard status colour - Approved bg-teal-1/text-teal-9, Complete bg-orange-1/text-orange-10, Estimate bg-light-blue-1/text-light-blue-10 - so colour is never the sole signal. BUT the closed label list is wrong on one entry: the build's status enum (GET /api/work-orders/statuses) labels the status ""In progress"" with a lower-case p, while our case (following WIP spec v6 S4-R6 verbatim) says ""In Progress"".",Re-confirm the on-screen label text on the final build before adopting it permanently.,v3.4.1-0ed4433
WIP-COL-05,C30470,https://shopview.testrail.io/index.php?/cases/view/30470,WIP,WIP — Columns & Rows,"Asset cell identifies the asset by VIN, falling back to Unit #, then plate",DEVIATION,OK,OK,OK,DECISION NEEDED - do not edit: the case follows the newest PO ruling and the build follows the older spec. Chris to confirm which ships.,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"The Asset cell is a two-line cell whose DOM is unambiguous: <span class=""wip-asset__unit text-weight-bold"">6548</span> then <span class=""wip-asset__vin text-caption text-grey-7"">1FDSE3EL1EDB20609</span> - the UNIT NUMBER leads in bold and the VIN sits underneath, smaller and muted. Our case asserts the opposite (""The Asset cell identifies the asset by its VIN""), which follows Chris Ward's 2026-07-29 VIN -> Unit # -> plate ruling; the build still implements the older WIP spec v6 S4-R7 (""the unit number on the first line in bold, and the vehicle identification number on the second line in a smaller, muted style""). Read: the build has NOT yet been changed to Chris's ruling - unbuilt-yet against the newest product source, not a case error. The ""(no unit #)"" placeholder was also observed live.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-COL-06,C30471,https://shopview.testrail.io/index.php?/cases/view/30471,WIP,WIP — Columns & Rows,Customer shows the customer's company name,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Customer shows the company name (""Ieburg Rentals"", ""Niburg Fabrication"") and the cell is empty for a work order with no customer name.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-COL-07,C30472,https://shopview.testrail.io/index.php?/cases/view/30472,WIP,WIP — Columns & Rows,Days Open shows whole days since creation and reads 0 days / 1 days,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Days Open renders as ""X days"" and is NOT pluralised - values observed on screen include ""52 days"", ""186 days"", ""216 days""; the CSV carries the same quoted ""52 days"" string. The payload has no days_open field, so the browser derives it from start_date.","Re-run against a work order created today and one created exactly one day ago to observe the ""0 days"" / ""1 days"" endpoints specifically. Also re-confirm on the final build.",v3.4.1-0ed4433
WIP-COL-08,C30473,https://shopview.testrail.io/index.php?/cases/view/30473,WIP,WIP — Columns & Rows,Last Activity shows Today; Xd ago; or an em-dash when there is none,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Last Activity renders ""52d ago"" / ""90d ago"" in the ""Xd ago"" shape and the payload carries a last_activity timestamp on every row.","Re-run against a work order touched today (""Today"") and one with no recorded activity (""—"") to observe those two branches. Also re-confirm on the final build.",v3.4.1-0ed4433
WIP-CALC-01,C30474,https://shopview.testrail.io/index.php?/cases/view/30474,WIP,WIP — Earned & Remaining,Money columns show US dollars to two decimals with thousands separators,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Money formatting confirmed on screen and in both file formats: ""$1,581.07"", ""$223,570.02"", ""$0.00""; the CSV quotes a value containing a thousands comma and leaves values without one unquoted.",A negative WIP money value did not occur in the data; re-run if one becomes producible. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-CALC-02,C30475,https://shopview.testrail.io/index.php?/cases/view/30475,WIP,WIP — Earned & Remaining,Labor Earned is the clocked share of each approved line's quoted value,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,The payload exposes labor_earned per row and the aggregate contract holds on 442/442 rows. The per-line clocked-share cap could not be attributed to a specific seeded line because the line-create endpoint needs a canned line and GET /api/canned-lines returns 404 on this build.,"Re-run with a purpose-seeded work order (one approved labor line, known quote, known clocked time, plus an over-clocked line) to observe the per-line cap directly. Also re-confirm on the final build.",v3.4.1-0ed4433
WIP-CALC-03,C30476,https://shopview.testrail.io/index.php?/cases/view/30476,WIP,WIP — Earned & Remaining,Labor Remaining is the approved labor's quoted value minus Labor Earned,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"Labor Earned + Labor Remaining behaves as the quoted total across all 442 rows: every row satisfies remaining = labor_remaining + parts_remaining and total = earned + remaining, with labor_earned and labor_remaining exposed separately.",Re-run with a seeded known-quote work order to check the arithmetic against a hand-computed quoted value. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-CALC-04,C30477,https://shopview.testrail.io/index.php?/cases/view/30477,WIP,WIP — Earned & Remaining,Parts Earned is the sell value of approved-line parts already received,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,parts_earned is exposed per row and feeds Earned exactly (earned = labor_earned + parts_earned on 442/442 rows); rows with received parts show a non-zero parts_earned (e.g. S2-15868 parts_earned $326.37).,Re-run with a seeded partly-received parts line to attribute the figure to a known quantity x sell price. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-CALC-05,C30478,https://shopview.testrail.io/index.php?/cases/view/30478,WIP,WIP — Earned & Remaining,Parts Remaining values the not-yet-received quantity at its sell price,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,parts_remaining is exposed per row and feeds Remaining exactly on 442/442 rows (e.g. S2-15868 parts_remaining $195.15 against parts_earned $326.37).,The core-charge half (outstanding quantity valued INCLUDING the core charge) needs a seeded cored part on an approved unreceived line - re-run for that. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-CALC-06,C30479,https://shopview.testrail.io/index.php?/cases/view/30479,WIP,WIP — Earned & Remaining,Earned + Remaining make Total; not the WO's grand total,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"THE CALCULATION CONTRACT, PROVEN AT SCALE: on all 442 rows returned for a full year across both locations, Earned = Labor Earned + Parts Earned (442/442), Remaining = Labor Remaining + Parts Remaining (442/442) and Total = Earned + Remaining (442/442). The payload carries no work-order grand total, so the report figure is provably its own number.","Re-run the ""differs from the work order's stored grand total"" comparison against a seeded work order carrying tax/fee/discount. Also re-confirm on the final build.",v3.4.1-0ed4433
WIP-CALC-07,C30480,https://shopview.testrail.io/index.php?/cases/view/30480,WIP,WIP — Earned & Remaining,Lines that are not yet approved contribute nothing to any money figure,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,Consistent with approved-only valuation: 229 estimate-status work orders (whose lines are by definition unapproved) all carry labor_earned / labor_remaining / parts_earned / parts_remaining / earned / remaining / total of exactly 0.,Re-run the before/after variant - add an unapproved line to a valued work order and confirm no figure moves. Also re-confirm on the final build.,v3.4.1-0ed4433
WIP-CALC-08,C30481,https://shopview.testrail.io/index.php?/cases/view/30481,WIP,WIP — Earned & Remaining,Inv. Hrs shows quoted minus worked hours; signed to one decimal,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"The payload carries quoted_hours and worked_hours per row (no invoiced_hours field), so Inv. Hrs is the browser-side quoted-minus-worked delta - e.g. S2-16051 quoted 1.5 / worked 0.0 = +1.5. The column is offered in the selector and toggles on.",The green/red/zero colouring and the exact +2.0 / -14.0 / 0.0 rendering still need a screen read with the column on and rows of each sign - the toggle click was flaky in the scripted run (a tooling artefact; the toggle itself is proven by colsel-work-in-progress.json). Re-run on the final build.,v3.4.1-0ed4433
WIP-CALC-09,C30482,https://shopview.testrail.io/index.php?/cases/view/30482,WIP,WIP — Earned & Remaining,An open estimate with no approved work shows $0.00 in every money column,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,"Observed on live data: every one of the 229 Estimates-tab rows shows 0 in every money field and the Estimates tab Totals row reads ""$0.00 / $0.00 / $0.00"" while still listing all its rows - the row is not hidden for having no value.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SORT-01,C30483,https://shopview.testrail.io/index.php?/cases/view/30483,WIP,WIP — Sorting,The initial sort is Days Open with the longest-open work order first,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"The initial sort is Days Open descending: the Days Open header carries the sort caret and the first rows read 216 days, 187 days, 186 days, 179 days on load with no header clicked. The Estimates tab likewise opens at 304 days.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SORT-02,C30484,https://shopview.testrail.io/index.php?/cases/view/30484,WIP,WIP — Sorting,"Clicking a header sorts ascending, clicking again toggles descending",VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,Header clicks re-order the rows and the caret moves to the clicked column; the Totals row stays at the bottom throughout.,"The exact asc -> desc -> asc cycle with no third cleared state, and the single-active-sort rule, need one more careful click sequence per column. Re-run on the final build.",v3.4.1-0ed4433
WIP-SORT-03,C30485,https://shopview.testrail.io/index.php?/cases/view/30485,WIP,WIP — Sorting,Columns sort by underlying values; Asset sorts by the identifier shown,DEVIATION,OK,OK,OK,DECISION NEEDED - tied to WIP-COL-05; do not edit until Chris confirms which identifier ships,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,"Money columns sort by value and Days Open by day count. BUT expected item 4 says ""The Asset column sorts by the identifier it shows - the VIN, falling back to Unit #, then plate"", which follows Chris Ward's 2026-07-29 ruling; the build's Asset cell leads with the UNIT NUMBER (WIP spec v6 S4-R9 ""The Asset column sorts by unit number""), so the case and the build disagree for the same reason as WIP-COL-05 - the ruling is not built yet.",Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-SORT-04,C30486,https://shopview.testrail.io/index.php?/cases/view/30486,WIP,WIP — Sorting,Sorting reorders only the active tab's rows; Totals stays at the bottom,VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/ui/obs-wip2.json · evidence/ui/wip-default-view.png,Sorting reorders the active tab only and the Totals row remains the last row; switching tabs shows the other tab at its own default order.,Re-confirm on the final build: the observation is provisional (branch declared not final).,v3.4.1-0ed4433
WIP-CALC-10,C38890,https://shopview.testrail.io/index.php?/cases/view/38890,WIP,WIP — Earned & Remaining,"A technician still clocked in counts toward Labor Earned, capped at the quote",VIU-Observed-PASS,OK,OK,OK,OK,OK,OK,"EDIT NEEDED - add the Rule-49 non-final-build marker: ""Observed live on QA branch sv8582, build v3.4.1-0ed4433, 2026-08-03/04; the branch was declared NOT FINAL, so this is provisional and queued for re-check.""",evidence/api/api-wip-iv.json · evidence/api/api-probe2.json,The aggregate cap holds - no row anywhere in the 442 shows labor_earned exceeding its quoted labor value.,"The running-clock behaviour (a technician clocked in, time accruing between refreshes) needs a live clock-in on a seeded quoted line and could not be driven this run. Re-run on the final build with an open clock.",v3.4.1-0ed4433
